# _root_ `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .
#goldHeads=20,3,4,20,6,11,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
#predictedHeads=20,3,4,20,8,5,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
(8,17),-2.82434 # DEPENDENCYPART_ARC
(8,18),-2.02928 # DEPENDENCYPART_ARC
(8,19),-1.13975 # DEPENDENCYPART_ARC
(8,20),-2.62346 # DEPENDENCYPART_ARC
(8,33),-3.20249 # DEPENDENCYPART_ARC
(9,1),-2.1295 # DEPENDENCYPART_ARC
(9,3),-1.85085 # DEPENDENCYPART_ARC
(9,4),-2.07704 # DEPENDENCYPART_ARC
(9,5),-0.137887 # DEPENDENCYPART_ARC
(9,6),-1.79929 # DEPENDENCYPART_ARC
(9,7),-1.45698 # DEPENDENCYPART_ARC
(9,8),-1.07554 # DEPENDENCYPART_ARC
(9,10),1.36729 # DEPENDENCYPART_ARC
(9,11),-0.284515 # DEPENDENCYPART_ARC
(9,12),-1.29204 # DEPENDENCYPART_ARC
(9,13),-1.20995 # DEPENDENCYPART_ARC
(9,14),-0.419456 # DEPENDENCYPART_ARC
(9,15),-1.65261 # DEPENDENCYPART_ARC
(9,17),-1.49727 # DEPENDENCYPART_ARC
(9,18),-1.36412 # DEPENDENCYPART_ARC
(9,19),-1.41286 # DEPENDENCYPART_ARC
(9,23),-2.33624 # DEPENDENCYPART_ARC
(9,24),-1.68301 # DEPENDENCYPART_ARC
(9,27),-2.43417 # DEPENDENCYPART_ARC
(10,5),-1.22808 # DEPENDENCYPART_ARC
(10,7),-2.30099 # DEPENDENCYPART_ARC
(10,8),-1.80805 # DEPENDENCYPART_ARC
(10,9),-1.44371 # DEPENDENCYPART_ARC
(10,11),1.8754 # DEPENDENCYPART_ARC
(10,12),-0.871813 # DEPENDENCYPART_ARC
(10,13),-1.29897 # DEPENDENCYPART_ARC
(10,14),-1.65591 # DEPENDENCYPART_ARC
(10,15),-0.878285 # DEPENDENCYPART_ARC
(10,23),-2.85903 # DEPENDENCYPART_ARC
(11,4),-2.17743 # DEPENDENCYPART_ARC
(11,5),-0.567527 # DEPENDENCYPART_ARC
(11,6),-1.92381 # DEPENDENCYPART_ARC
(11,7),-2.35186 # DEPENDENCYPART_ARC
(11,12),0.0697945 # DEPENDENCYPART_ARC
(11,13),-0.124795 # DEPENDENCYPART_ARC
(11,14),0.0758857 # DEPENDENCYPART_ARC
(11,15),-0.806627 # DEPENDENCYPART_ARC
(11,17),-0.487135 # DEPENDENCYPART_ARC
(11,18),-1.25918 # DEPENDENCYPART_ARC
(11,19),-1.37194 # DEPENDENCYPART_ARC
(11,20),-1.19278 # DEPENDENCYPART_ARC
(11,21),-1.89792 # DEPENDENCYPART_ARC
(11,22),-1.83358 # DEPENDENCYPART_ARC
(11,23),-1.71002 # DEPENDENCYPART_ARC
(11,24),-2.15034 # DEPENDENCYPART_ARC
(11,26),-1.96871 # DEPENDENCYPART_ARC
(11,27),-2.03664 # DEPENDENCYPART_ARC
(11,29),-2.07777 # DEPENDENCYPART_ARC
(11,30),-1.79328 # DEPENDENCYPART_ARC
(11,31),-2.17494 # DEPENDENCYPART_ARC
(11,32),-2.01704 # DEPENDENCYPART_ARC
(11,33),-2.55693 # DEPENDENCYPART_ARC
(12,13),-1.07011 # DEPENDENCYPART_ARC
(12,14),-1.87108 # DEPENDENCYPART_ARC
(12,17),-2.30803 # DEPENDENCYPART_ARC
(12,18),-2.10242 # DEPENDENCYPART_ARC
(13,1),-3.07928 # DEPENDENCYPART_ARC
(13,2),-3.03677 # DEPENDENCYPART_ARC
(13,3),-2.6918 # DEPENDENCYPART_ARC
(13,6),-2.37648 # DEPENDENCYPART_ARC
(13,9),-1.74691 # DEPENDENCYPART_ARC
(13,11),-1.21144 # DEPENDENCYPART_ARC
(13,12),1.34587 # DEPENDENCYPART_ARC
(13,14),-0.936867 # DEPENDENCYPART_ARC
(13,15),-1.7595 # DEPENDENCYPART_ARC
(13,17),-1.65977 # DEPENDENCYPART_ARC
(13,18),-1.62379 # DEPENDENCYPART_ARC
(13,19),-1.49427 # DEPENDENCYPART_ARC
(13,20),-1.98297 # DEPENDENCYPART_ARC
(13,23),-3.40582 # DEPENDENCYPART_ARC
(13,24),-1.63757 # DEPENDENCYPART_ARC
(13,26),-3.51713 # DEPENDENCYPART_ARC
(14,5),-1.35125 # DEPENDENCYPART_ARC
(14,12),-1.91596 # DEPENDENCYPART_ARC
(14,13),-1.18427 # DEPENDENCYPART_ARC
(14,15),2.26388 # DEPENDENCYPART_ARC
(14,17),-0.56619 # DEPENDENCYPART_ARC
(14,18),-1.28311 # DEPENDENCYPART_ARC
(14,19),-1.00673 # DEPENDENCYPART_ARC
(14,22),-2.26754 # DEPENDENCYPART_ARC
(14,23),-2.15243 # DEPENDENCYPART_ARC
(15,5),-0.361249 # DEPENDENCYPART_ARC
(15,12),-1.68155 # DEPENDENCYPART_ARC
(15,13),-1.76211 # DEPENDENCYPART_ARC
(15,16),-0.555051 # DEPENDENCYPART_ARC
(15,17),0.766159 # DEPENDENCYPART_ARC
(15,18),-0.994146 # DEPENDENCYPART_ARC
(15,19),-1.0233 # DEPENDENCYPART_ARC
(15,20),-0.914271 # DEPENDENCYPART_ARC
(15,21),-1.74403 # DEPENDENCYPART_ARC
(15,22),-1.69427 # DEPENDENCYPART_ARC
(15,23),-1.57602 # DEPENDENCYPART_ARC
(15,24),-1.69711 # DEPENDENCYPART_ARC
(15,26),-1.22487 # DEPENDENCYPART_ARC
(15,27),-1.91653 # DEPENDENCYPART_ARC
(15,29),-2.17944 # DEPENDENCYPART_ARC
(15,30),-1.88813 # DEPENDENCYPART_ARC
(15,31),-2.19781 # DEPENDENCYPART_ARC
(15,32),-2.08159 # DEPENDENCYPART_ARC
(15,33),-2.17072 # DEPENDENCYPART_ARC
(17,12),-1.72502 # DEPENDENCYPART_ARC
(17,13),-1.81304 # DEPENDENCYPART_ARC
(17,16),1.84002 # DEPENDENCYPART_ARC
(17,18),-0.884329 # DEPENDENCYPART_ARC
(17,19),-0.974242 # DEPENDENCYPART_ARC
(17,20),-1.17238 # DEPENDENCYPART_ARC
(17,21),-2.04009 # DEPENDENCYPART_ARC
(17,22),-2.06932 # DEPENDENCYPART_ARC
(17,23),-1.93834 # DEPENDENCYPART_ARC
(17,24),-1.13475 # DEPENDENCYPART_ARC
(17,26),-2.88194 # DEPENDENCYPART_ARC
(17,27),-1.97812 # DEPENDENCYPART_ARC
(17,30),-2.99271 # DEPENDENCYPART_ARC
(17,31),-2.27559 # DEPENDENCYPART_ARC
(20,1),-0.111942 # DEPENDENCYPART_ARC
(20,3),-2.44309 # DEPENDENCYPART_ARC
(20,4),-0.146546 # DEPENDENCYPART_ARC
(20,5),-1.53614 # DEPENDENCYPART_ARC
(20,6),-2.61723 # DEPENDENCYPART_ARC
(20,7),-2.89535 # DEPENDENCYPART_ARC
(20,8),-0.616228 # DEPENDENCYPART_ARC
(20,9),-1.85145 # DEPENDENCYPART_ARC
(20,10),-2.20892 # DEPENDENCYPART_ARC
(20,11),-2.05784 # DEPENDENCYPART_ARC
(20,12),-2.13217 # DEPENDENCYPART_ARC
(20,13),-1.99236 # DEPENDENCYPART_ARC
(20,14),-1.96868 # DEPENDENCYPART_ARC
(20,15),-1.91444 # DEPENDENCYPART_ARC
(20,16),-1.91317 # DEPENDENCYPART_ARC
(20,17),-1.3408 # DEPENDENCYPART_ARC
(20,18),0.111678 # DEPENDENCYPART_ARC
(20,19),0.504098 # DEPENDENCYPART_ARC
(20,21),-0.539243 # DEPENDENCYPART_ARC
(20,22),-0.888829 # DEPENDENCYPART_ARC
(20,23),-0.882579 # DEPENDENCYPART_ARC
(20,24),-0.994745 # DEPENDENCYPART_ARC
(20,26),-2.03716 # DEPENDENCYPART_ARC
(20,27),-2.06598 # DEPENDENCYPART_ARC
(20,29),-2.68224 # DEPENDENCYPART_ARC
(20,30),-2.52014 # DEPENDENCYPART_ARC
(20,31),-2.50741 # DEPENDENCYPART_ARC
(20,32),-2.90982 # DEPENDENCYPART_ARC
(20,33),0.994673 # DEPENDENCYPART_ARC
(21,22),-1.77142 # DEPENDENCYPART_ARC
(21,24),-1.60393 # DEPENDENCYPART_ARC
(21,26),-2.82769 # DEPENDENCYPART_ARC
(22,21),-0.0377399 # DEPENDENCYPART_ARC
(22,23),-0.534209 # DEPENDENCYPART_ARC
(22,24),-0.947846 # DEPENDENCYPART_ARC
(22,26),-1.91421 # DEPENDENCYPART_ARC
(22,27),-2.38864 # DEPENDENCYPART_ARC
(22,29),-3.7401 # DEPENDENCYPART_ARC
(22,30),-3.73513 # DEPENDENCYPART_ARC
(22,31),-2.45619 # DEPENDENCYPART_ARC
(23,1),-2.80894 # DEPENDENCYPART_ARC
(23,2),-3.88757 # DEPENDENCYPART_ARC
(23,3),-3.54541 # DEPENDENCYPART_ARC
(23,4),-3.08232 # DEPENDENCYPART_ARC
(23,6),-3.13186 # DEPENDENCYPART_ARC
(23,9),-2.76377 # DEPENDENCYPART_ARC
(23,12),-2.74432 # DEPENDENCYPART_ARC
(23,13),-3.13201 # DEPENDENCYPART_ARC
(23,16),-2.54478 # DEPENDENCYPART_ARC
(23,17),-2.78516 # DEPENDENCYPART_ARC
(23,19),-1.93291 # DEPENDENCYPART_ARC
(23,21),1.01429 # DEPENDENCYPART_ARC
(23,22),1.29738 # DEPENDENCYPART_ARC
(23,24),0.1769 # DEPENDENCYPART_ARC
(23,25),-1.76668 # DEPENDENCYPART_ARC
(23,26),-1.07992 # DEPENDENCYPART_ARC
(23,27),-1.7103 # DEPENDENCYPART_ARC
(23,28),-2.92177 # DEPENDENCYPART_ARC
(23,29),-3.26407 # DEPENDENCYPART_ARC
(23,30),-3.10923 # DEPENDENCYPART_ARC
(23,31),-2.0996 # DEPENDENCYPART_ARC
(23,32),-3.46618 # DEPENDENCYPART_ARC
(25,27),-1.71792 # DEPENDENCYPART_ARC
(26,16),-1.90539 # DEPENDENCYPART_ARC
(26,21),-2.24346 # DEPENDENCYPART_ARC
(26,22),-2.16939 # DEPENDENCYPART_ARC
(26,25),1.20213 # DEPENDENCYPART_ARC
(26,27),0.325783 # DEPENDENCYPART_ARC
(26,28),-1.46387 # DEPENDENCYPART_ARC
(26,29),-1.40548 # DEPENDENCYPART_ARC
(26,30),-1.47327 # DEPENDENCYPART_ARC
(26,31),-0.971609 # DEPENDENCYPART_ARC
(26,32),-2.2101 # DEPENDENCYPART_ARC
(27,25),-2.07658 # DEPENDENCYPART_ARC
(27,26),-1.54629 # DEPENDENCYPART_ARC
(27,28),-0.240839 # DEPENDENCYPART_ARC
(27,29),-0.538415 # DEPENDENCYPART_ARC
(27,30),-0.661597 # DEPENDENCYPART_ARC
(27,32),-1.15325 # DEPENDENCYPART_ARC
(28,29),-1.71834 # DEPENDENCYPART_ARC
(28,31),-2.03159 # DEPENDENCYPART_ARC
(28,32),-3.16236 # DEPENDENCYPART_ARC
(29,28),-0.141901 # DEPENDENCYPART_ARC
(29,30),-0.717133 # DEPENDENCYPART_ARC
(29,31),-1.42845 # DEPENDENCYPART_ARC
(29,32),-2.58947 # DEPENDENCYPART_ARC
(30,1),-2.99784 # DEPENDENCYPART_ARC
(30,21),-2.63996 # DEPENDENCYPART_ARC
(30,22),-2.78543 # DEPENDENCYPART_ARC
(30,25),-1.60722 # DEPENDENCYPART_ARC
(30,26),-1.53092 # DEPENDENCYPART_ARC
(30,27),-1.67489 # DEPENDENCYPART_ARC
(30,28),0.727202 # DEPENDENCYPART_ARC
(30,29),1.10434 # DEPENDENCYPART_ARC
(30,31),-0.313689 # DEPENDENCYPART_ARC
(30,32),-1.37867 # DEPENDENCYPART_ARC
(31,32),1.52847 # DEPENDENCYPART_ARC
(32,28),-2.10314 # DEPENDENCYPART_ARC
(32,29),-1.7749 # DEPENDENCYPART_ARC
(32,30),-1.27238 # DEPENDENCYPART_ARC
(0,4),(0,8),-1.59234 # DEPENDENCYPART_SIBL
(0,4),(0,20),-2.09067 # DEPENDENCYPART_SIBL
(0,8),(0,20),-1.98764 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0762593 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.043848 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0645402 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0433472 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0535549 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00293727 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00792187 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.091858 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0836781 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.532759 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0485575 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00417598 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.229176 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00637947 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0327114 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.000691651 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.146404 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0585646 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.131187 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.154949 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0113869 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0669541 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0359887 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00731683 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00338342 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.079502 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00338342 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00436079 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0610918 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.240302 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0459273 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0491562 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0610918 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.1023 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.186519 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.305933 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.219443 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.155789 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.109027 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.247157 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.320996 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.160116 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.320996 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.154799 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.105403 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.111719 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.102367 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.227074 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.105403 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.318463 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.100031 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0432241 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.043713 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.149353 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.168373 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0946348 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00956839 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0946348 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0532854 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.162184 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.130113 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0772342 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.10869 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.162184 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.160933 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.188854 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.146257 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0536821 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.139389 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.115026 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.172499 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.115026 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.237869 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.131337 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.1151 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.109466 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.182363 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.131337 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.143565 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0792486 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0654667 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0984755 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0470713 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.106841 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0470713 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.268318 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0363343 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0947476 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.147205 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.149459 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0363343 # DEPENDENCYPART_SIBL
(4,6),(4,33),-0.0580297 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.131889 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.077773 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.189417 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0786774 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.189417 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0476605 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0391666 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0177005 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0263702 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.020055 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0391666 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.0842406 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.020761 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.144653 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.121733 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.144653 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.178003 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0259798 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0671309 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.36788 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.172803 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0259798 # DEPENDENCYPART_SIBL
(4,8),(4,33),0.101133 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.163651 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.311031 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.163651 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.429108 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0621355 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.00997379 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.172489 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.328409 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0621355 # DEPENDENCYPART_SIBL
(4,9),(4,33),-0.084424 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.231041 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.317105 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.160862 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0356407 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0666283 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.112672 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.138192 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0356407 # DEPENDENCYPART_SIBL
(4,10),(4,33),-0.00123182 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.111916 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.299382 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0152084 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.00294505 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0908494 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.245848 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.0152084 # DEPENDENCYPART_SIBL
(4,11),(4,33),-0.0149033 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.160862 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0356407 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0666283 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.112672 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.138192 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0356407 # DEPENDENCYPART_SIBL
(4,14),(4,33),-0.00123182 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0105545 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0303869 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0771725 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.185986 # DEPENDENCYPART_SIBL
(4,17),(4,24),0.0105545 # DEPENDENCYPART_SIBL
(4,17),(4,33),-0.00698735 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0496837 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.12224 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.147665 # DEPENDENCYPART_SIBL
(4,18),(4,24),-0.0283337 # DEPENDENCYPART_SIBL
(4,18),(4,33),0.0047359 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0866236 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0696079 # DEPENDENCYPART_SIBL
(4,19),(4,24),-0.207927 # DEPENDENCYPART_SIBL
(4,19),(4,33),-0.0645488 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.180899 # DEPENDENCYPART_SIBL
(4,20),(4,24),-0.0162776 # DEPENDENCYPART_SIBL
(4,20),(4,33),0.0293113 # DEPENDENCYPART_SIBL
(4,23),(4,24),-0.0223434 # DEPENDENCYPART_SIBL
(4,23),(4,33),0.00279183 # DEPENDENCYPART_SIBL
(4,24),(4,33),0.0047359 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0303402 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.024864 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0812568 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0229721 # DEPENDENCYPART_SIBL
