# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(31,10),-2.31675 # DEPENDENCYPART_ARC
(31,11),-2.9412 # DEPENDENCYPART_ARC
(31,13),-2.47976 # DEPENDENCYPART_ARC
(31,15),-1.47793 # DEPENDENCYPART_ARC
(31,16),-2.36154 # DEPENDENCYPART_ARC
(31,17),-2.91915 # DEPENDENCYPART_ARC
(31,18),-2.29558 # DEPENDENCYPART_ARC
(31,19),-2.3986 # DEPENDENCYPART_ARC
(31,20),-0.577073 # DEPENDENCYPART_ARC
(31,21),-1.70895 # DEPENDENCYPART_ARC
(31,22),-1.77767 # DEPENDENCYPART_ARC
(31,23),-2.18705 # DEPENDENCYPART_ARC
(31,24),-2.19911 # DEPENDENCYPART_ARC
(31,25),-1.8071 # DEPENDENCYPART_ARC
(31,26),-1.41297 # DEPENDENCYPART_ARC
(31,27),0.95549 # DEPENDENCYPART_ARC
(31,28),-1.32201 # DEPENDENCYPART_ARC
(31,29),-0.917068 # DEPENDENCYPART_ARC
(31,30),0.642603 # DEPENDENCYPART_ARC
(31,32),1.24201 # DEPENDENCYPART_ARC
(0,4),(0,31),-2.10267 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.117721 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0847407 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0697863 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.203735 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.348106 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00839936 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.12952 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.235948 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.139349 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0554964 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.160947 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0443118 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0126852 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.172254 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00274891 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0159509 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0821508 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00411092 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.148514 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.225779 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0990938 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0932644 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.155482 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0875006 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0755457 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.203727 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.124342 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.166783 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0172038 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.101343 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0231156 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.10046 # DEPENDENCYPART_SIBL
(4,1),(4,32),-0.204456 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.042742 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0159985 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0280526 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.044284 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0539966 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0286504 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.057672 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0495555 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0104879 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0119535 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0135087 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.019674 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0270087 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0423256 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0983074 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0310552 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0453308 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0544706 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0326753 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0428904 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0844937 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0174588 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00375808 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0107816 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0122762 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0231663 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.0530429 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.225161 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0949641 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.152379 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.189278 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.144919 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.13983 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.283851 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0782165 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0986623 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.162403 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0787032 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.159887 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0130277 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.152522 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.279529 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.159518 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0322356 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.426006 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0524039 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0281707 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.191497 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.125209 # DEPENDENCYPART_SIBL
(4,6),(4,32),-0.0364502 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.198137 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.363897 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.129386 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.181715 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.40416 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.03746 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0127261 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.19104 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.168656 # DEPENDENCYPART_SIBL
(4,7),(4,32),0.023492 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.021903 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0579613 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0947618 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.192323 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0211637 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0647966 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0414999 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00488653 # DEPENDENCYPART_SIBL
(4,8),(4,32),0.0327268 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.122142 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0373799 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.405987 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0441479 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0686184 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.195292 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0550609 # DEPENDENCYPART_SIBL
(4,10),(4,32),-0.0571365 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.182876 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.306084 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00259364 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0728707 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.191408 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0580187 # DEPENDENCYPART_SIBL
(4,11),(4,32),-0.039945 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.386976 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.00915776 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0560448 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.128815 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.136173 # DEPENDENCYPART_SIBL
(4,12),(4,32),-0.0802994 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0120091 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0617476 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0900472 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.172257 # DEPENDENCYPART_SIBL
(4,15),(4,32),0.0448334 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.743271 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.197635 # DEPENDENCYPART_SIBL
(4,17),(4,23),0.425709 # DEPENDENCYPART_SIBL
(4,17),(4,32),-0.000682224 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.10916 # DEPENDENCYPART_SIBL
(4,18),(4,23),-0.047031 # DEPENDENCYPART_SIBL
(4,18),(4,32),1.40966e-06 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0170985 # DEPENDENCYPART_SIBL
(4,20),(4,32),0.0229756 # DEPENDENCYPART_SIBL
(4,23),(4,32),-0.0100905 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0528678 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0924126 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.16724 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.06184 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0128007 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0934492 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0244248 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.022991 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0167451 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0393686 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.228958 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.249862 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0466808 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.616241 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.158759 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0242717 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0024357 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0304593 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0290896 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.104112 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.157332 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.037228 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.225919 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.14312 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0494614 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.025918 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0266626 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0547088 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00231599 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0523236 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.321838 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0849709 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0771734 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0145836 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0036595 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0182259 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.024681 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0201378 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0517756 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0734863 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0265219 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0921053 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0213713 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0818819 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.431459 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0736274 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0112091 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.435851 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0618862 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.119753 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00322641 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0453684 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0019038 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.217558 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0668132 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0832673 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0116138 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0406706 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0325415 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0236709 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0640165 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0175437 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0648344 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.114326 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.506497 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0188892 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.176614 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.151253 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0563732 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0440392 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0309123 # DEPENDENCYPART_SIBL
