# _root_ But yesterday , Manhattan Cable announced it will launch Showtime on Nov. 1 to over 230,000 subscribers .
#goldHeads=6,6,6,5,6,0,8,6,8,9,9,11,12,9,17,15,14,6,
#predictedHeads=6,6,6,5,6,0,8,6,8,9,9,11,12,9,17,15,14,6,
(6,7),0.26237 # DEPENDENCYPART_ARC
(6,8),-0.0499064 # DEPENDENCYPART_ARC
(6,9),-0.456783 # DEPENDENCYPART_ARC
(6,10),-0.60643 # DEPENDENCYPART_ARC
(6,11),-1.14286 # DEPENDENCYPART_ARC
(6,12),-1.21211 # DEPENDENCYPART_ARC
(6,14),-1.1428 # DEPENDENCYPART_ARC
(6,15),-1.39611 # DEPENDENCYPART_ARC
(6,17),-1.44428 # DEPENDENCYPART_ARC
(6,18),-0.000467464 # DEPENDENCYPART_ARC
(7,8),-0.369312 # DEPENDENCYPART_ARC
(7,9),-1.08781 # DEPENDENCYPART_ARC
(7,10),-1.46734 # DEPENDENCYPART_ARC
(8,1),-1.35465 # DEPENDENCYPART_ARC
(8,2),-2.1014 # DEPENDENCYPART_ARC
(8,3),-1.57645 # DEPENDENCYPART_ARC
(8,4),-1.20352 # DEPENDENCYPART_ARC
(8,5),-1.14126 # DEPENDENCYPART_ARC
(8,6),-1.19931 # DEPENDENCYPART_ARC
(8,7),0.859578 # DEPENDENCYPART_ARC
(8,9),1.46887 # DEPENDENCYPART_ARC
(8,10),-0.816432 # DEPENDENCYPART_ARC
(8,11),-1.33106 # DEPENDENCYPART_ARC
(8,15),-1.62135 # DEPENDENCYPART_ARC
(8,18),-0.287783 # DEPENDENCYPART_ARC
(9,1),-2.08845 # DEPENDENCYPART_ARC
(9,2),-2.93813 # DEPENDENCYPART_ARC
(9,3),-2.34309 # DEPENDENCYPART_ARC
(9,5),-1.91337 # DEPENDENCYPART_ARC
(9,6),-2.00431 # DEPENDENCYPART_ARC
(9,7),-1.19048 # DEPENDENCYPART_ARC
(9,8),-0.713829 # DEPENDENCYPART_ARC
(9,10),0.84516 # DEPENDENCYPART_ARC
(9,11),-0.45434 # DEPENDENCYPART_ARC
(9,12),-0.713645 # DEPENDENCYPART_ARC
(9,13),-1.40392 # DEPENDENCYPART_ARC
(9,14),-1.21508 # DEPENDENCYPART_ARC
(9,15),-1.1866 # DEPENDENCYPART_ARC
(9,16),-1.79443 # DEPENDENCYPART_ARC
(9,17),-1.45782 # DEPENDENCYPART_ARC
(9,18),-0.416671 # DEPENDENCYPART_ARC
(10,2),-3.41464 # DEPENDENCYPART_ARC
(10,4),-1.99226 # DEPENDENCYPART_ARC
(10,5),-2.0088 # DEPENDENCYPART_ARC
(10,6),-2.21973 # DEPENDENCYPART_ARC
(10,7),-1.80899 # DEPENDENCYPART_ARC
(10,9),-0.27303 # DEPENDENCYPART_ARC
(10,11),0.344568 # DEPENDENCYPART_ARC
(10,12),-1.11614 # DEPENDENCYPART_ARC
(10,13),-1.53353 # DEPENDENCYPART_ARC
(10,15),-1.4348 # DEPENDENCYPART_ARC
(10,16),-2.08677 # DEPENDENCYPART_ARC
(10,17),-1.65589 # DEPENDENCYPART_ARC
(10,18),-1.14983 # DEPENDENCYPART_ARC
(11,12),0.659221 # DEPENDENCYPART_ARC
(11,13),-0.987322 # DEPENDENCYPART_ARC
(11,14),-1.30004 # DEPENDENCYPART_ARC
(11,15),-1.46871 # DEPENDENCYPART_ARC
(11,16),-1.92595 # DEPENDENCYPART_ARC
(11,17),-1.61723 # DEPENDENCYPART_ARC
(12,10),-1.98404 # DEPENDENCYPART_ARC
(12,13),0.453683 # DEPENDENCYPART_ARC
(12,15),-1.05994 # DEPENDENCYPART_ARC
(12,16),-1.57387 # DEPENDENCYPART_ARC
(12,17),-1.48814 # DEPENDENCYPART_ARC
(12,18),-0.947142 # DEPENDENCYPART_ARC
(13,10),-1.31014 # DEPENDENCYPART_ARC
(13,11),-1.16114 # DEPENDENCYPART_ARC
(13,12),-0.234589 # DEPENDENCYPART_ARC
(13,14),-0.372552 # DEPENDENCYPART_ARC
(13,15),-1.35105 # DEPENDENCYPART_ARC
(13,16),-1.85984 # DEPENDENCYPART_ARC
(13,17),-1.7083 # DEPENDENCYPART_ARC
(14,11),-1.01223 # DEPENDENCYPART_ARC
(14,13),-0.105525 # DEPENDENCYPART_ARC
(14,15),-0.178849 # DEPENDENCYPART_ARC
(14,16),-0.876727 # DEPENDENCYPART_ARC
(14,17),-0.969775 # DEPENDENCYPART_ARC
(14,18),-0.869861 # DEPENDENCYPART_ARC
(15,11),-1.14267 # DEPENDENCYPART_ARC
(15,13),-1.2409 # DEPENDENCYPART_ARC
(15,14),-0.137996 # DEPENDENCYPART_ARC
(15,16),0.469344 # DEPENDENCYPART_ARC
(15,17),-0.143334 # DEPENDENCYPART_ARC
(16,13),-1.21983 # DEPENDENCYPART_ARC
(16,14),-1.34204 # DEPENDENCYPART_ARC
(16,15),-0.351041 # DEPENDENCYPART_ARC
(16,17),-0.455373 # DEPENDENCYPART_ARC
(17,10),-2.1132 # DEPENDENCYPART_ARC
(17,11),-1.44848 # DEPENDENCYPART_ARC
(17,12),-1.24927 # DEPENDENCYPART_ARC
(17,13),-1.03948 # DEPENDENCYPART_ARC
(17,14),-1.43497 # DEPENDENCYPART_ARC
(17,15),-0.421389 # DEPENDENCYPART_ARC
(17,16),1.16554 # DEPENDENCYPART_ARC
(17,18),-0.257978 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0550394 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0540186 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.148667 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0506711 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.14796 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0649224 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.128515 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0419045 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.116732 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.133838 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0438814 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.121009 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.116618 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.227995 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.120291 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0497733 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0583174 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0716934 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0615002 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0561357 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0224464 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.000873877 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0357297 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00241759 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0764041 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0635982 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0705704 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.109758 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0465854 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0806061 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0230136 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00145818 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0015918 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00193355 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0451154 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00161648 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0176649 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0108984 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.110412 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0197061 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00144776 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0740173 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0210086 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0209869 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0234135 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0194548 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0204761 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0510259 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0217046 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0337993 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0378544 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0209581 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0189679 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0170703 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0150544 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.012511 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0172151 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00894821 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0046272 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0149022 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00559329 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0170365 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.015053 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0180139 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.012175 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0190037 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0141688 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00641579 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.014478 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00094382 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0188251 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0134166 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0128019 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0108322 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00322388 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00295469 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.011018 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00191626 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0106739 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00461124 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0166327 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0297753 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00775649 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0109666 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0211807 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0164638 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0467906 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0101664 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00468099 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0149738 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.000504197 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0170901 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0146721 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0770939 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00971714 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0154278 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0453887 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.073491 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.000911052 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0422116 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0247177 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0543681 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0396396 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0355958 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00904967 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00334445 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.081498 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0161488 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0822676 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00252253 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00285998 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0133547 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0578689 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0461169 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0847812 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0103231 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0667559 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0227908 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00969123 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0228981 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00953097 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0361436 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00240454 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0218033 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0117724 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0185319 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00378404 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0159604 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0136793 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0821444 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00252076 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0625684 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0152285 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0578003 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0461869 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.00381173 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00203526 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0199401 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0698941 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0849949 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.038165 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.064331 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0237699 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.008714 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0429532 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00617951 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00904364 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0469156 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00242706 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0112675 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0361436 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00240317 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0144973 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0200802 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0899649 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0324086 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0569561 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0234876 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00400161 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0372679 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0115235 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00408681 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00119687 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.000982727 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0207263 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0164191 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.020332 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00336439 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.000769561 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0136785 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00605463 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00999038 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00248698 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0037275 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0163952 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0166297 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0279826 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0506698 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0214653 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00258622 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0075768 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0170015 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0276844 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.082195 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0507162 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0468169 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0226529 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0225722 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0697255 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0386777 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0139679 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0306585 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00830743 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.036212 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0544464 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0277354 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.028296 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.134387 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.15269 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.018146 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0176959 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00818843 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0194774 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0146187 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0320918 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0457835 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0233244 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0536574 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0351841 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0362298 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.15967 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0207209 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0192444 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0848023 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0185856 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0403893 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0313121 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0162581 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0223899 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0790146 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0570464 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0352685 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.134181 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0709107 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0152431 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00520173 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00965872 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00954651 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0461047 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00077913 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.02437 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0477104 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0136845 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0365046 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0162172 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00737211 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.000313329 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00213835 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0291919 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00662903 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0266225 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0602186 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00627635 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0393183 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0315385 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00441681 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0138965 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0129148 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00662062 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0218496 # DEPENDENCYPART_SIBL
(6,7),(6,15),-7.36192e-05 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0139014 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0518781 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0095685 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0429673 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0537683 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0356899 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0429627 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0566763 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0429722 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0136198 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00475452 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00243194 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00181387 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0454175 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00834367 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.00477034 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0139136 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00530382 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00460803 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00565494 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0130748 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.029057 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0164226 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.000151004 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0298009 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0214554 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.000738572 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0050497 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.01754 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.00928794 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0154501 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0342078 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0204407 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.00379166 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0182503 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0108613 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0247736 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0237123 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0030897 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.012432 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0112665 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0153823 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0199002 # DEPENDENCYPART_SIBL
