# _root_ The sales are being dragged down by a glut of 1989 vehicles , said Joel Pitcoff , a Ford analyst .
#goldHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
#predictedHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
(5,6),1.15877 # DEPENDENCYPART_ARC
(5,7),0.373917 # DEPENDENCYPART_ARC
(5,9),-0.0319075 # DEPENDENCYPART_ARC
(5,10),-0.574994 # DEPENDENCYPART_ARC
(5,12),-0.62848 # DEPENDENCYPART_ARC
(5,13),-0.360314 # DEPENDENCYPART_ARC
(5,14),-1.2234 # DEPENDENCYPART_ARC
(5,16),-1.87422 # DEPENDENCYPART_ARC
(5,17),-1.32492 # DEPENDENCYPART_ARC
(5,20),-1.61993 # DEPENDENCYPART_ARC
(5,21),-0.745628 # DEPENDENCYPART_ARC
(6,7),-0.119963 # DEPENDENCYPART_ARC
(6,9),-1.18546 # DEPENDENCYPART_ARC
(7,8),0.16983 # DEPENDENCYPART_ARC
(7,9),0.0343455 # DEPENDENCYPART_ARC
(7,10),-1.05095 # DEPENDENCYPART_ARC
(7,11),-1.31446 # DEPENDENCYPART_ARC
(7,12),-0.821711 # DEPENDENCYPART_ARC
(7,13),-1.02277 # DEPENDENCYPART_ARC
(7,14),-1.87235 # DEPENDENCYPART_ARC
(7,16),-2.62694 # DEPENDENCYPART_ARC
(7,20),-2.71981 # DEPENDENCYPART_ARC
(8,7),-0.378141 # DEPENDENCYPART_ARC
(8,10),-1.11633 # DEPENDENCYPART_ARC
(9,3),-1.79199 # DEPENDENCYPART_ARC
(9,7),-0.948039 # DEPENDENCYPART_ARC
(9,8),1.12701 # DEPENDENCYPART_ARC
(9,10),0.537722 # DEPENDENCYPART_ARC
(9,11),-0.871343 # DEPENDENCYPART_ARC
(9,12),-1.14987 # DEPENDENCYPART_ARC
(9,13),-1.15343 # DEPENDENCYPART_ARC
(9,14),-1.42346 # DEPENDENCYPART_ARC
(9,16),-1.81691 # DEPENDENCYPART_ARC
(9,17),-1.55531 # DEPENDENCYPART_ARC
(9,20),-2.0779 # DEPENDENCYPART_ARC
(9,21),-1.61417 # DEPENDENCYPART_ARC
(10,4),-1.47996 # DEPENDENCYPART_ARC
(10,7),-1.0064 # DEPENDENCYPART_ARC
(10,8),-1.10221 # DEPENDENCYPART_ARC
(10,9),-0.32264 # DEPENDENCYPART_ARC
(10,11),-0.201369 # DEPENDENCYPART_ARC
(10,12),-0.0176357 # DEPENDENCYPART_ARC
(10,13),-1.22303 # DEPENDENCYPART_ARC
(10,14),-1.92085 # DEPENDENCYPART_ARC
(10,16),-2.73226 # DEPENDENCYPART_ARC
(10,20),-2.82101 # DEPENDENCYPART_ARC
(11,8),-1.61125 # DEPENDENCYPART_ARC
(11,9),-1.58745 # DEPENDENCYPART_ARC
(11,10),-0.510712 # DEPENDENCYPART_ARC
(11,13),-1.10813 # DEPENDENCYPART_ARC
(11,14),-1.7196 # DEPENDENCYPART_ARC
(11,16),-2.20757 # DEPENDENCYPART_ARC
(11,20),-2.05094 # DEPENDENCYPART_ARC
(12,4),-1.35461 # DEPENDENCYPART_ARC
(12,7),-1.03798 # DEPENDENCYPART_ARC
(12,8),-0.801167 # DEPENDENCYPART_ARC
(12,9),-0.953419 # DEPENDENCYPART_ARC
(12,10),-0.339062 # DEPENDENCYPART_ARC
(12,11),0.878915 # DEPENDENCYPART_ARC
(12,13),0.280045 # DEPENDENCYPART_ARC
(12,14),-1.48854 # DEPENDENCYPART_ARC
(12,15),-1.41882 # DEPENDENCYPART_ARC
(12,16),-1.56741 # DEPENDENCYPART_ARC
(12,17),-1.2557 # DEPENDENCYPART_ARC
(12,20),-1.98207 # DEPENDENCYPART_ARC
(12,21),-1.81451 # DEPENDENCYPART_ARC
(14,2),-2.66872 # DEPENDENCYPART_ARC
(14,3),-1.449 # DEPENDENCYPART_ARC
(14,4),-1.38435 # DEPENDENCYPART_ARC
(14,5),-1.22185 # DEPENDENCYPART_ARC
(14,7),-1.23334 # DEPENDENCYPART_ARC
(14,8),-1.84047 # DEPENDENCYPART_ARC
(14,9),-1.87276 # DEPENDENCYPART_ARC
(14,10),-1.34122 # DEPENDENCYPART_ARC
(14,11),-1.52246 # DEPENDENCYPART_ARC
(14,12),-1.33099 # DEPENDENCYPART_ARC
(14,13),0.861957 # DEPENDENCYPART_ARC
(14,15),0.323966 # DEPENDENCYPART_ARC
(14,16),-0.0652438 # DEPENDENCYPART_ARC
(14,17),-0.979832 # DEPENDENCYPART_ARC
(14,20),-1.82 # DEPENDENCYPART_ARC
(14,21),-0.0459859 # DEPENDENCYPART_ARC
(15,16),-0.669471 # DEPENDENCYPART_ARC
(15,20),-2.35011 # DEPENDENCYPART_ARC
(16,8),-2.39701 # DEPENDENCYPART_ARC
(16,12),-2.03946 # DEPENDENCYPART_ARC
(16,13),-1.67405 # DEPENDENCYPART_ARC
(16,14),-0.629568 # DEPENDENCYPART_ARC
(16,15),1.76668 # DEPENDENCYPART_ARC
(16,17),0.473986 # DEPENDENCYPART_ARC
(16,19),-1.5584 # DEPENDENCYPART_ARC
(16,20),-1.75037 # DEPENDENCYPART_ARC
(16,21),-1.89029 # DEPENDENCYPART_ARC
(18,17),-0.0123624 # DEPENDENCYPART_ARC
(19,18),-0.665561 # DEPENDENCYPART_ARC
(19,21),-1.24027 # DEPENDENCYPART_ARC
(20,8),-1.64071 # DEPENDENCYPART_ARC
(20,10),-1.02539 # DEPENDENCYPART_ARC
(20,11),-1.31397 # DEPENDENCYPART_ARC
(20,15),-0.753047 # DEPENDENCYPART_ARC
(20,16),-1.42763 # DEPENDENCYPART_ARC
(20,17),-1.23876 # DEPENDENCYPART_ARC
(20,18),0.487892 # DEPENDENCYPART_ARC
(20,19),1.76941 # DEPENDENCYPART_ARC
(20,21),-0.323405 # DEPENDENCYPART_ARC
(21,20),-0.333659 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.105409 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.114904 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.105844 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.122769 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.178038 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.177201 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.205042 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.163343 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.189878 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.189686 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0191096 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0812233 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.128809 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.114294 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0680503 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.290698 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0208398 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.127445 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0224511 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.020603 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0182417 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0340701 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.010472 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.029665 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.020189 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0183505 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.033473 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0211264 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.008732 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0130474 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0224775 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.01551 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0137965 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.014779 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0407557 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0435924 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0201292 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0149927 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0186335 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0516848 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0825587 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0883299 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0840946 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0156735 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0666767 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0655081 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0111485 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0881361 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0111485 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.117292 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.089545 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0504689 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0606031 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0227275 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00139353 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00043644 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0497418 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0588961 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0497418 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0704488 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0856037 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.067003 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0514355 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.040322 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0349079 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0391814 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.10021 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0391814 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.00482502 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0728667 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.067411 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0458367 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0404226 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0334014 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.107747 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0334014 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0214869 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.072051 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0787207 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0842609 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0579397 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0201259 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0579397 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0782212 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0053001 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.000324181 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0127704 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0548097 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0127704 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0502189 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0324323 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00812938 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0592887 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00812938 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.00046735 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0109949 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0624195 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0109949 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.00770006 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0475457 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0473254 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.0158167 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.00151291 # DEPENDENCYPART_SIBL
(3,14),(3,21),0.00536594 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.0158167 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.031428 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0221998 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0580398 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0133376 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0268814 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.118816 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0259243 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0753883 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0188227 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0753883 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0871303 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0156222 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.061 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0211335 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0126033 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0407294 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0137882 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0453002 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0280457 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0453002 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0511623 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0543639 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0220763 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.03448 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0382458 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0324887 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0203613 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0449819 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0203613 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0272907 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.092926 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0695192 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0183428 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0716366 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0521728 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0494812 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0521728 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.101077 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00840406 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0496496 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00685093 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0117402 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0234841 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0117402 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0712358 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00494179 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0284135 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00255508 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0286491 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00255508 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0370061 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0309751 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0370997 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.081488 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0370997 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0583533 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00318722 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0295467 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.00318722 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0420055 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00476299 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0159698 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0182782 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.00992213 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.00300423 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0182782 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0200858 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0724334 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.053896 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0799521 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0194702 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0563774 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.259364 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0552088 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0232672 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.081553 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0563774 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0232672 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0798348 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.104956 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.024616 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00933677 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0539137 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00572626 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0137262 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.111101 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0127691 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0712953 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0369733 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0137262 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0712953 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.00344302 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0876584 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0420919 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0639582 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.027668 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.003723 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0473694 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00253807 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0482397 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00931506 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.003723 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0482397 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0235668 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0519038 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0552779 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0345934 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00634795 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00336445 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00753288 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0421149 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0123089 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.00634795 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0421149 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0134958 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0520607 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0923806 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.070806 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0189066 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0729235 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0602214 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.047843 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.070806 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0602214 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0662953 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0846071 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00399278 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0461323 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00243964 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0231366 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0221173 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00399278 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0231366 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0079456 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0519876 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00441863 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0225883 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0104193 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0246108 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0240652 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0104193 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0322148 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.00614634 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.026621 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0257364 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0801569 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0279941 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0257364 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0321538 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0391366 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00978718 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0255083 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.02251 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.00978718 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0306596 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0111457 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.00222899 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.00271152 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0319443 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00275964 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.00522725 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.013703 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0349222 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0183747 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.030921 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0104208 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0322148 # DEPENDENCYPART_SIBL
(5,16),(5,21),-0.00614634 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.00275964 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.00522725 # DEPENDENCYPART_SIBL
(5,20),(5,21),0.00191103 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00721353 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0011545 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0670793 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0527061 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00147565 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0299844 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00325065 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0011545 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.00158564 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0419046 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00271484 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0873793 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0286899 # DEPENDENCYPART_SIBL
