# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,15,18,12,18,18,20,12,25,23,22,8,
(8,11),-0.896338 # DEPENDENCYPART_ARC
(8,12),-1.06919 # DEPENDENCYPART_ARC
(8,13),-1.37089 # DEPENDENCYPART_ARC
(8,14),-2.65736 # DEPENDENCYPART_ARC
(8,15),-2.28942 # DEPENDENCYPART_ARC
(8,16),-1.51517 # DEPENDENCYPART_ARC
(8,19),-0.762002 # DEPENDENCYPART_ARC
(8,22),-1.64093 # DEPENDENCYPART_ARC
(8,26),0.878299 # DEPENDENCYPART_ARC
(9,2),-4.12711 # DEPENDENCYPART_ARC
(9,4),-2.05966 # DEPENDENCYPART_ARC
(9,5),-1.64689 # DEPENDENCYPART_ARC
(9,6),-1.79104 # DEPENDENCYPART_ARC
(9,7),-1.36882 # DEPENDENCYPART_ARC
(9,8),-1.01378 # DEPENDENCYPART_ARC
(9,10),-0.965123 # DEPENDENCYPART_ARC
(9,11),-1.82591 # DEPENDENCYPART_ARC
(9,12),-2.01679 # DEPENDENCYPART_ARC
(10,1),-1.51541 # DEPENDENCYPART_ARC
(10,2),-1.67913 # DEPENDENCYPART_ARC
(10,3),-1.21506 # DEPENDENCYPART_ARC
(10,5),-1.57621 # DEPENDENCYPART_ARC
(10,6),-1.20271 # DEPENDENCYPART_ARC
(10,7),-1.34031 # DEPENDENCYPART_ARC
(10,8),-1.27182 # DEPENDENCYPART_ARC
(10,9),0.470732 # DEPENDENCYPART_ARC
(10,11),1.1854 # DEPENDENCYPART_ARC
(10,12),1.27948 # DEPENDENCYPART_ARC
(10,13),-0.866697 # DEPENDENCYPART_ARC
(10,14),-1.94331 # DEPENDENCYPART_ARC
(10,15),-1.35277 # DEPENDENCYPART_ARC
(10,16),-0.633565 # DEPENDENCYPART_ARC
(10,18),-1.30132 # DEPENDENCYPART_ARC
(10,19),-0.754937 # DEPENDENCYPART_ARC
(10,20),-1.49405 # DEPENDENCYPART_ARC
(10,21),-2.01452 # DEPENDENCYPART_ARC
(10,22),-0.822643 # DEPENDENCYPART_ARC
(10,23),-1.94727 # DEPENDENCYPART_ARC
(10,25),-2.29977 # DEPENDENCYPART_ARC
(10,26),-0.155152 # DEPENDENCYPART_ARC
(11,9),-2.51823 # DEPENDENCYPART_ARC
(11,12),-0.794055 # DEPENDENCYPART_ARC
(11,13),-1.65048 # DEPENDENCYPART_ARC
(11,14),-1.98001 # DEPENDENCYPART_ARC
(11,15),-2.01985 # DEPENDENCYPART_ARC
(11,16),-1.35262 # DEPENDENCYPART_ARC
(11,17),-2.50709 # DEPENDENCYPART_ARC
(11,18),-2.3518 # DEPENDENCYPART_ARC
(12,2),-2.22966 # DEPENDENCYPART_ARC
(12,3),-2.13237 # DEPENDENCYPART_ARC
(12,6),-1.79177 # DEPENDENCYPART_ARC
(12,7),-1.93578 # DEPENDENCYPART_ARC
(12,8),-1.65824 # DEPENDENCYPART_ARC
(12,9),-1.50623 # DEPENDENCYPART_ARC
(12,10),-1.6326 # DEPENDENCYPART_ARC
(12,11),0.280033 # DEPENDENCYPART_ARC
(12,13),-0.230954 # DEPENDENCYPART_ARC
(12,14),-1.69962 # DEPENDENCYPART_ARC
(12,15),-1.18808 # DEPENDENCYPART_ARC
(12,16),-0.5967 # DEPENDENCYPART_ARC
(12,17),-1.9937 # DEPENDENCYPART_ARC
(12,18),-1.35786 # DEPENDENCYPART_ARC
(12,19),-1.03676 # DEPENDENCYPART_ARC
(12,20),-1.59483 # DEPENDENCYPART_ARC
(12,21),-1.91485 # DEPENDENCYPART_ARC
(12,22),-0.904494 # DEPENDENCYPART_ARC
(12,23),-1.88811 # DEPENDENCYPART_ARC
(12,25),-2.31354 # DEPENDENCYPART_ARC
(12,26),-1.6006 # DEPENDENCYPART_ARC
(13,9),-3.01483 # DEPENDENCYPART_ARC
(13,11),-2.21665 # DEPENDENCYPART_ARC
(13,12),-1.72724 # DEPENDENCYPART_ARC
(14,13),-1.49717 # DEPENDENCYPART_ARC
(14,15),-1.42832 # DEPENDENCYPART_ARC
(14,16),-1.49354 # DEPENDENCYPART_ARC
(15,2),-2.95347 # DEPENDENCYPART_ARC
(15,9),-2.47705 # DEPENDENCYPART_ARC
(15,11),-1.58003 # DEPENDENCYPART_ARC
(15,12),-2.1197 # DEPENDENCYPART_ARC
(15,13),-1.15644 # DEPENDENCYPART_ARC
(15,14),0.503409 # DEPENDENCYPART_ARC
(15,16),0.0901656 # DEPENDENCYPART_ARC
(15,17),-0.487272 # DEPENDENCYPART_ARC
(15,18),-1.27034 # DEPENDENCYPART_ARC
(15,19),-1.26729 # DEPENDENCYPART_ARC
(15,20),-1.27779 # DEPENDENCYPART_ARC
(15,22),-1.72793 # DEPENDENCYPART_ARC
(15,23),-1.78286 # DEPENDENCYPART_ARC
(15,24),-2.04529 # DEPENDENCYPART_ARC
(15,25),-2.05353 # DEPENDENCYPART_ARC
(16,11),-2.07714 # DEPENDENCYPART_ARC
(16,13),-1.49955 # DEPENDENCYPART_ARC
(16,14),-1.8401 # DEPENDENCYPART_ARC
(16,15),-1.40125 # DEPENDENCYPART_ARC
(16,17),-0.764269 # DEPENDENCYPART_ARC
(16,18),0.0850236 # DEPENDENCYPART_ARC
(16,19),-0.866427 # DEPENDENCYPART_ARC
(16,20),-1.45436 # DEPENDENCYPART_ARC
(16,21),-1.88649 # DEPENDENCYPART_ARC
(16,22),-1.9674 # DEPENDENCYPART_ARC
(16,23),-2.41471 # DEPENDENCYPART_ARC
(16,25),-1.48999 # DEPENDENCYPART_ARC
(17,14),-1.86159 # DEPENDENCYPART_ARC
(17,15),-1.70197 # DEPENDENCYPART_ARC
(17,16),-0.466721 # DEPENDENCYPART_ARC
(17,18),-1.11194 # DEPENDENCYPART_ARC
(17,20),-1.56361 # DEPENDENCYPART_ARC
(17,21),-2.63304 # DEPENDENCYPART_ARC
(18,11),-1.63721 # DEPENDENCYPART_ARC
(18,12),-1.8069 # DEPENDENCYPART_ARC
(18,13),-1.12615 # DEPENDENCYPART_ARC
(18,14),-0.430142 # DEPENDENCYPART_ARC
(18,15),-0.0958399 # DEPENDENCYPART_ARC
(18,16),-0.744472 # DEPENDENCYPART_ARC
(18,17),1.60479 # DEPENDENCYPART_ARC
(18,19),-0.097155 # DEPENDENCYPART_ARC
(18,20),0.0863 # DEPENDENCYPART_ARC
(18,21),-1.58623 # DEPENDENCYPART_ARC
(18,22),-1.18953 # DEPENDENCYPART_ARC
(18,23),-1.63241 # DEPENDENCYPART_ARC
(18,25),-1.74486 # DEPENDENCYPART_ARC
(19,18),-2.25354 # DEPENDENCYPART_ARC
(19,20),-1.56508 # DEPENDENCYPART_ARC
(19,21),-2.21594 # DEPENDENCYPART_ARC
(20,19),-1.37376 # DEPENDENCYPART_ARC
(20,21),0.906289 # DEPENDENCYPART_ARC
(20,22),-1.66295 # DEPENDENCYPART_ARC
(20,23),-1.86871 # DEPENDENCYPART_ARC
(20,24),-2.47054 # DEPENDENCYPART_ARC
(20,25),-0.526366 # DEPENDENCYPART_ARC
(21,22),-0.902385 # DEPENDENCYPART_ARC
(21,23),-1.73708 # DEPENDENCYPART_ARC
(21,24),-1.90447 # DEPENDENCYPART_ARC
(21,25),-2.29852 # DEPENDENCYPART_ARC
(22,18),-2.11454 # DEPENDENCYPART_ARC
(22,20),-1.4578 # DEPENDENCYPART_ARC
(22,21),-1.61707 # DEPENDENCYPART_ARC
(22,23),-0.537858 # DEPENDENCYPART_ARC
(22,24),-0.858787 # DEPENDENCYPART_ARC
(22,25),1.1674 # DEPENDENCYPART_ARC
(23,22),-0.811336 # DEPENDENCYPART_ARC
(23,24),1.13618 # DEPENDENCYPART_ARC
(23,25),-1.04062 # DEPENDENCYPART_ARC
(24,14),-2.74115 # DEPENDENCYPART_ARC
(24,16),-2.3565 # DEPENDENCYPART_ARC
(24,17),-2.6908 # DEPENDENCYPART_ARC
(24,20),-1.95591 # DEPENDENCYPART_ARC
(24,21),-2.46711 # DEPENDENCYPART_ARC
(24,22),-1.51628 # DEPENDENCYPART_ARC
(24,23),-0.727448 # DEPENDENCYPART_ARC
(25,15),-2.7902 # DEPENDENCYPART_ARC
(25,16),-2.00052 # DEPENDENCYPART_ARC
(25,17),-2.45562 # DEPENDENCYPART_ARC
(25,20),-1.77696 # DEPENDENCYPART_ARC
(25,21),-1.82141 # DEPENDENCYPART_ARC
(25,23),0.864468 # DEPENDENCYPART_ARC
(25,24),1.20826 # DEPENDENCYPART_ARC
(26,25),-2.47623 # DEPENDENCYPART_ARC
(0,2),(0,8),-1.16707 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.771477 # DEPENDENCYPART_SIBL
(0,8),(0,10),-1.92475 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0575093 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0307334 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0647187 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0575093 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0307334 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.082138 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0724258 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0173649 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.672814 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.593228 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0268982 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.672814 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.315216 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.469716 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.16993 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0647181 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0570437 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.030733 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0821094 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0724253 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0173665 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.199207 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00287394 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0754637 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0311231 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.00358689 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.672814 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.315216 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.469716 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.16993 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0821094 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0724253 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0173665 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0991815 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0643055 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.110148 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.318454 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.038234 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0756439 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.181232 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.318454 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.178454 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0733106 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.157854 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0993121 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.108266 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0348068 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.038234 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0101198 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0831892 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0842128 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.114409 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.670742 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.600021 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00969947 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.25729 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.670742 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.317321 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.313975 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.471813 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.331327 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.114409 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.275446 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.395377 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.172045 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0197595 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0146243 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00530653 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00203175 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0197595 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0250926 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0482554 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0069396 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0419035 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0438954 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00925767 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.047006 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0665247 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0686801 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00084592 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0791693 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0577445 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0864962 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0447216 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0768145 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00765625 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0493312 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0421463 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0780511 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0129881 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.229151 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0783619 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0141826 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0833259 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00251766 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0389877 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.000767985 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00441444 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.017884 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.309924 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0114345 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.25729 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.670742 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.317321 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.313975 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.471813 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.331327 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.114409 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.275446 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.395377 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.172045 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0750892 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.271255 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00953701 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0126098 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0515846 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.00666819 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0050707 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0897563 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.130619 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0864962 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0447216 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0768145 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00765625 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0493312 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0421463 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0780511 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0129881 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.042052 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0815242 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0174879 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0553011 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0550626 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.163739 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0819736 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0212218 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00154859 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0493121 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0111327 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00546256 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.00188346 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0375308 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0570974 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0791759 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.228717 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.110159 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0408312 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.106899 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.149006 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.331849 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.00925767 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.047006 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0665247 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.123994 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0178688 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0265648 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0460927 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.117613 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.013551 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0602518 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0736193 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.359838 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.486948 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.11652 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0608954 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00740884 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0144424 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0336286 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0764718 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0888068 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00138496 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.118971 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.104522 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0160744 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0462183 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00898068 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.31239 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.253367 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00605683 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0752294 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.704137 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.350628 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0854831 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0411967 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0734773 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.406333 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0336445 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0971069 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.071674 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00698894 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0398795 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0618887 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0016679 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0163889 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0805227 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.000883163 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.106688 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.402879 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0376425 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.028076 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0879548 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0109281 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0503263 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0688953 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.00995902 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0349822 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.116713 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00288845 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0454784 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0560322 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00129166 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.19569 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0486847 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00157285 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0326597 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00768646 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0613061 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0537387 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00656405 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.182241 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0414039 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0934873 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00933547 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.174792 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0381878 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.390846 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.217287 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.162636 # DEPENDENCYPART_SIBL
