# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
(14,16),-1.30672 # DEPENDENCYPART_ARC
(14,17),-1.65555 # DEPENDENCYPART_ARC
(14,18),-2.13499 # DEPENDENCYPART_ARC
(14,21),-2.95508 # DEPENDENCYPART_ARC
(14,22),-2.09821 # DEPENDENCYPART_ARC
(15,10),-2.05312 # DEPENDENCYPART_ARC
(15,11),-1.70633 # DEPENDENCYPART_ARC
(15,12),-1.6158 # DEPENDENCYPART_ARC
(15,14),-1.101 # DEPENDENCYPART_ARC
(15,16),0.301007 # DEPENDENCYPART_ARC
(15,17),-0.674143 # DEPENDENCYPART_ARC
(15,18),-0.550945 # DEPENDENCYPART_ARC
(15,20),-0.870422 # DEPENDENCYPART_ARC
(15,21),-1.00736 # DEPENDENCYPART_ARC
(15,22),-0.805605 # DEPENDENCYPART_ARC
(15,23),-1.47502 # DEPENDENCYPART_ARC
(15,24),-2.37756 # DEPENDENCYPART_ARC
(16,14),-1.25351 # DEPENDENCYPART_ARC
(16,15),-1.37623 # DEPENDENCYPART_ARC
(16,17),-1.33372 # DEPENDENCYPART_ARC
(16,18),-1.26396 # DEPENDENCYPART_ARC
(16,21),-2.32182 # DEPENDENCYPART_ARC
(16,22),-2.40891 # DEPENDENCYPART_ARC
(17,1),-2.27529 # DEPENDENCYPART_ARC
(17,11),-1.75288 # DEPENDENCYPART_ARC
(17,12),-1.99386 # DEPENDENCYPART_ARC
(17,13),-1.7986 # DEPENDENCYPART_ARC
(17,14),-1.20523 # DEPENDENCYPART_ARC
(17,15),-1.48547 # DEPENDENCYPART_ARC
(17,16),0.830689 # DEPENDENCYPART_ARC
(17,18),0.283623 # DEPENDENCYPART_ARC
(17,19),-1.7678 # DEPENDENCYPART_ARC
(17,20),-1.42971 # DEPENDENCYPART_ARC
(17,21),-1.71535 # DEPENDENCYPART_ARC
(17,22),-1.36132 # DEPENDENCYPART_ARC
(17,23),-2.1309 # DEPENDENCYPART_ARC
(17,24),-2.05433 # DEPENDENCYPART_ARC
(18,16),-1.73401 # DEPENDENCYPART_ARC
(18,17),-1.8368 # DEPENDENCYPART_ARC
(18,19),-1.63833 # DEPENDENCYPART_ARC
(18,20),-0.589846 # DEPENDENCYPART_ARC
(18,21),-0.749731 # DEPENDENCYPART_ARC
(18,22),-1.97875 # DEPENDENCYPART_ARC
(18,23),-1.3801 # DEPENDENCYPART_ARC
(20,19),-0.276328 # DEPENDENCYPART_ARC
(20,22),-1.42681 # DEPENDENCYPART_ARC
(21,16),-1.25942 # DEPENDENCYPART_ARC
(21,17),-1.6484 # DEPENDENCYPART_ARC
(21,18),-0.75335 # DEPENDENCYPART_ARC
(21,19),1.32948 # DEPENDENCYPART_ARC
(21,20),1.94332 # DEPENDENCYPART_ARC
(21,22),-0.133794 # DEPENDENCYPART_ARC
(21,23),-1.35247 # DEPENDENCYPART_ARC
(21,24),-1.79866 # DEPENDENCYPART_ARC
(22,21),-1.51741 # DEPENDENCYPART_ARC
(22,23),2.07744 # DEPENDENCYPART_ARC
(23,19),-2.5604 # DEPENDENCYPART_ARC
(23,20),-1.60028 # DEPENDENCYPART_ARC
(23,21),-1.72897 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.152964 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.137287 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.726982 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.285437 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.745485 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.773697 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.485852 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0445064 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.169411 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.345706 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.431276 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.136714 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.340243 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.117177 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0445064 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.176138 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0675978 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.358004 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.857893 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.595253 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.246914 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.843995 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0481247 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0675978 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.034297 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0549474 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0643928 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.197094 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0442344 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00445536 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.327808 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0322061 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.126521 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.472691 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.459044 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.125568 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.464065 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0712776 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0356575 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.104238 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.590373 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.203482 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.822437 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0266316 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00799831 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.0603568 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0576382 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.370928 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0767284 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.173102 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.256879 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.377781 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.178178 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0800101 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0470498 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.025417 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00260229 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.033667 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0148629 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.0323851 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.126521 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.116899 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0458482 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00165564 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0170084 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0631398 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0770151 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0485028 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0201664 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0755545 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0283481 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0458482 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0432693 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0674478 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0391813 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.219656 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.175612 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.13655 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0280349 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.458099 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.160565 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.158976 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0937714 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0391813 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0328532 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.199903 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.272819 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.549081 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.487329 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.540105 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0235008 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.616339 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.160666 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.687715 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.132529 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.517441 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0139807 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0371997 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0449554 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0112342 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0191878 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0294936 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0712913 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0220963 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0439776 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.000966316 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0482489 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.126681 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0461291 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0778778 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.232621 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0627508 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0835829 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00152037 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00919666 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0438406 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0344327 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0491449 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0218131 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0583524 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0238558 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.336014 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.000915029 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.032463 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0583817 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.109809 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.201364 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0885284 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.111025 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00364597 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.027727 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.140076 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.139098 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.174747 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.238186 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0163878 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.187116 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0510578 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0926548 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.00933365 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0123182 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0160285 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.15734 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.111441 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0417003 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0385621 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00740625 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0545286 # DEPENDENCYPART_SIBL
(3,12),(3,24),-0.00694265 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.517441 # DEPENDENCYPART_SIBL
(3,13),(3,24),-0.0139807 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0149403 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00808191 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.376112 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0359941 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.124622 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0503205 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0351722 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.110232 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.104272 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.260515 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0685472 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0192721 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0953205 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0689682 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0707731 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0334026 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0411451 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.177578 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.248892 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0610568 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0589334 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.104084 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00707259 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0166557 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.226348 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.14548 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.114733 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.100764 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.228955 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.133075 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.113001 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.116666 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.124967 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0205656 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.132194 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0971459 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.00846676 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.140583 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.069631 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.424912 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.021501 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0344211 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0566327 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.235885 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.030872 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.109841 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0377394 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.100226 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0743923 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.11562 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0695536 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0184767 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.166507 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0479409 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.306707 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.114927 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.212891 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0394939 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.103621 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.160565 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0945463 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.149798 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.13069 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0381423 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.151889 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0477611 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0352177 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0459346 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.163775 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0260167 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.123607 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0268576 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.171517 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0746648 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.265368 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0280437 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.157101 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0177575 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0926442 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.404292 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0361852 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.116507 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0166622 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.116153 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0422319 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.100415 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.141517 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.038473 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0250511 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.206838 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0346261 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0543178 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.103986 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0728764 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0285687 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0671211 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0876157 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0434858 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0502823 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0427992 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00696087 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.417826 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0143331 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0469269 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0234731 # DEPENDENCYPART_SIBL
