# _root_ The offer , which also includes common and preferred stock purchase rights , was to expire last night at midnight .
#goldHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
#predictedHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
(8,15),-1.59711 # DEPENDENCYPART_ARC
(8,17),-2.01194 # DEPENDENCYPART_ARC
(9,2),-2.90071 # DEPENDENCYPART_ARC
(9,4),-2.09231 # DEPENDENCYPART_ARC
(9,5),-2.38703 # DEPENDENCYPART_ARC
(9,8),-1.9475 # DEPENDENCYPART_ARC
(9,10),-0.564958 # DEPENDENCYPART_ARC
(9,11),-1.00105 # DEPENDENCYPART_ARC
(9,12),-1.25327 # DEPENDENCYPART_ARC
(9,13),-1.65768 # DEPENDENCYPART_ARC
(9,14),-1.51659 # DEPENDENCYPART_ARC
(9,15),-1.31022 # DEPENDENCYPART_ARC
(9,18),-2.16738 # DEPENDENCYPART_ARC
(9,19),-1.68192 # DEPENDENCYPART_ARC
(9,21),-2.4869 # DEPENDENCYPART_ARC
(10,5),-2.3854 # DEPENDENCYPART_ARC
(10,7),-1.2921 # DEPENDENCYPART_ARC
(10,8),-2.03739 # DEPENDENCYPART_ARC
(10,9),-0.149414 # DEPENDENCYPART_ARC
(10,11),-1.25889 # DEPENDENCYPART_ARC
(10,13),-1.60336 # DEPENDENCYPART_ARC
(10,14),-1.87413 # DEPENDENCYPART_ARC
(11,2),-2.91095 # DEPENDENCYPART_ARC
(11,4),-2.88345 # DEPENDENCYPART_ARC
(11,6),-2.55622 # DEPENDENCYPART_ARC
(11,7),-1.42201 # DEPENDENCYPART_ARC
(11,9),-0.569482 # DEPENDENCYPART_ARC
(11,10),0.398307 # DEPENDENCYPART_ARC
(11,13),-1.87801 # DEPENDENCYPART_ARC
(11,14),-1.72313 # DEPENDENCYPART_ARC
(11,15),-1.90039 # DEPENDENCYPART_ARC
(12,1),-1.7959 # DEPENDENCYPART_ARC
(12,2),-1.24197 # DEPENDENCYPART_ARC
(12,3),-2.55106 # DEPENDENCYPART_ARC
(12,4),-2.1282 # DEPENDENCYPART_ARC
(12,5),-1.77578 # DEPENDENCYPART_ARC
(12,6),-1.54054 # DEPENDENCYPART_ARC
(12,7),-0.00336437 # DEPENDENCYPART_ARC
(12,8),-1.84684 # DEPENDENCYPART_ARC
(12,9),0.0219634 # DEPENDENCYPART_ARC
(12,10),1.56631 # DEPENDENCYPART_ARC
(12,11),2.23165 # DEPENDENCYPART_ARC
(12,13),-1.05137 # DEPENDENCYPART_ARC
(12,14),-1.30194 # DEPENDENCYPART_ARC
(12,15),-1.22855 # DEPENDENCYPART_ARC
(12,17),-2.41582 # DEPENDENCYPART_ARC
(12,18),-2.62322 # DEPENDENCYPART_ARC
(12,19),-1.99671 # DEPENDENCYPART_ARC
(12,20),-2.71832 # DEPENDENCYPART_ARC
(12,21),-2.60918 # DEPENDENCYPART_ARC
(13,12),-2.05258 # DEPENDENCYPART_ARC
(14,2),-1.3175 # DEPENDENCYPART_ARC
(14,3),-2.54353 # DEPENDENCYPART_ARC
(14,4),-1.51881 # DEPENDENCYPART_ARC
(14,5),-1.58415 # DEPENDENCYPART_ARC
(14,6),-1.71079 # DEPENDENCYPART_ARC
(14,7),-1.86635 # DEPENDENCYPART_ARC
(14,8),-1.81082 # DEPENDENCYPART_ARC
(14,9),-1.99786 # DEPENDENCYPART_ARC
(14,10),-1.10056 # DEPENDENCYPART_ARC
(14,11),-0.748685 # DEPENDENCYPART_ARC
(14,12),-0.90664 # DEPENDENCYPART_ARC
(14,13),-0.580846 # DEPENDENCYPART_ARC
(14,15),1.53436 # DEPENDENCYPART_ARC
(14,16),-0.00446128 # DEPENDENCYPART_ARC
(14,17),-1.05967 # DEPENDENCYPART_ARC
(14,18),-0.584083 # DEPENDENCYPART_ARC
(14,19),-0.59282 # DEPENDENCYPART_ARC
(14,20),-1.62147 # DEPENDENCYPART_ARC
(14,21),0.556129 # DEPENDENCYPART_ARC
(15,12),-1.94685 # DEPENDENCYPART_ARC
(15,16),1.89401 # DEPENDENCYPART_ARC
(15,17),-0.966979 # DEPENDENCYPART_ARC
(15,18),-0.660829 # DEPENDENCYPART_ARC
(15,19),-1.05659 # DEPENDENCYPART_ARC
(15,20),-1.26804 # DEPENDENCYPART_ARC
(15,21),-1.67655 # DEPENDENCYPART_ARC
(16,2),-2.14079 # DEPENDENCYPART_ARC
(16,3),-2.03558 # DEPENDENCYPART_ARC
(16,4),-1.449 # DEPENDENCYPART_ARC
(16,5),-1.91717 # DEPENDENCYPART_ARC
(16,6),-1.88701 # DEPENDENCYPART_ARC
(16,7),-1.93619 # DEPENDENCYPART_ARC
(16,8),-2.12764 # DEPENDENCYPART_ARC
(16,9),-1.80558 # DEPENDENCYPART_ARC
(16,12),-1.03654 # DEPENDENCYPART_ARC
(16,13),-1.26824 # DEPENDENCYPART_ARC
(16,15),-0.624943 # DEPENDENCYPART_ARC
(16,17),-0.358623 # DEPENDENCYPART_ARC
(16,18),0.0343103 # DEPENDENCYPART_ARC
(16,19),-0.186535 # DEPENDENCYPART_ARC
(16,20),-0.866136 # DEPENDENCYPART_ARC
(16,21),-1.59446 # DEPENDENCYPART_ARC
(17,18),-1.17886 # DEPENDENCYPART_ARC
(17,19),-1.56414 # DEPENDENCYPART_ARC
(17,20),-2.28866 # DEPENDENCYPART_ARC
(18,9),-2.45933 # DEPENDENCYPART_ARC
(18,12),-2.84097 # DEPENDENCYPART_ARC
(18,17),1.00274 # DEPENDENCYPART_ARC
(18,19),-0.43617 # DEPENDENCYPART_ARC
(18,20),-1.65811 # DEPENDENCYPART_ARC
(18,21),-2.27453 # DEPENDENCYPART_ARC
(19,17),-2.11356 # DEPENDENCYPART_ARC
(19,18),-1.54939 # DEPENDENCYPART_ARC
(19,20),1.89301 # DEPENDENCYPART_ARC
(19,21),-2.20336 # DEPENDENCYPART_ARC
(20,17),-1.25659 # DEPENDENCYPART_ARC
(20,18),-1.41597 # DEPENDENCYPART_ARC
(20,19),-0.634776 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.660564 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.758577 # DEPENDENCYPART_SIBL
(0,6),(0,14),-1.44375 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0196384 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0934944 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.218583 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.132853 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.095244 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.186573 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0155875 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.107927 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0593136 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.159782 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0196384 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0957416 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.260413 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.01099 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0415708 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.176162 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0275846 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.286466 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.624103 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.335407 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.590394 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.626341 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.665184 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.6726 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.609604 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0639536 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.53235 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.14435 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.634757 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0660061 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0400615 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0583522 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0276891 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0792451 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0155538 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0131556 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.105001 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0900027 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0544678 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0567723 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0340118 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.022926 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0875351 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.118008 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.141098 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0637833 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00304824 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0316527 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0181559 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0247892 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0408393 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0990543 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0456051 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.027847 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0417409 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0524496 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0806324 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0754945 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0217764 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.102028 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0585969 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0365022 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0213861 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0016858 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.144005 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.133626 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0212575 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0201243 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0355816 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0697199 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0307213 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00747238 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0619014 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.046925 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0372881 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0259338 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0380704 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0218891 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0221382 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0338206 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0519114 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.106184 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0739584 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.083726 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00555708 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0362251 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0109929 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0584556 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0883699 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.166485 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0570576 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.138989 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.123981 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00903753 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.204268 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0252145 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0248096 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.114468 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0838783 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0336298 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0968971 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.12735 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0862355 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0271116 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0627035 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0861304 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0941452 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00507147 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.117187 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0155242 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0126071 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00784162 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0913364 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0297312 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.00893315 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0491 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.107384 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0406856 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.101583 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0853436 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0589014 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.53235 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.14435 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.634757 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0660061 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0400615 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0168728 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0858411 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0923891 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0307912 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.205303 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0842518 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0599895 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0973835 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.059981 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0726961 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.023485 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0130801 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0256359 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0189361 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0266341 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0048799 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0731887 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00214383 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0510311 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.124473 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0205392 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0935771 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0605472 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0323972 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.043302 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0428852 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0134572 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.209799 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0360445 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.098681 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.014469 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0669236 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0949347 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00536934 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0166863 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0137973 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00999144 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0203815 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0536804 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.14961 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0379548 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0565559 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.125707 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0958921 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.081552 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0494649 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.184986 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.161608 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.278526 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0900446 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.194379 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.17479 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.146841 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.152291 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.154587 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.187303 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.151296 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0212575 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.236515 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.144422 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.188756 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.251565 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0929387 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.49669 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0549069 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0312157 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0120435 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0307925 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00315631 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.000187666 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0277182 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0326227 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00508584 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0247707 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00528124 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00230666 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0233983 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.137192 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0149971 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0853115 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0813826 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0240369 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0302631 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0695949 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00970783 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0259215 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.00895125 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0541194 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0306491 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0281331 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.033868 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.197592 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.151473 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.138251 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.151227 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.18179 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.14988 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.207249 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0917112 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.053625 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.201924 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.13877 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.121266 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.496809 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.141284 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.18668 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0717662 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0489055 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.126998 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0542712 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.15283 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0547749 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.190758 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0881089 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.22355 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.142117 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0102531 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0626832 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.251137 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.251755 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.21568 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0900925 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.123044 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0517888 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.231459 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0219889 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0681695 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0456305 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0347831 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0598601 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.014733 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0672923 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0360374 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.118744 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0722085 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.170062 # DEPENDENCYPART_SIBL
