# _root_ Mr. Carpenter , a former consulting-firm executive who has a love for `` task forces , '' says he has done a `` complete rethink '' of Kidder in recent months .
#goldHeads=2,18,2,7,7,7,2,9,7,11,9,11,12,15,12,2,2,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
#predictedHeads=2,18,2,7,7,7,2,9,7,11,9,11,15,15,12,18,18,0,20,18,20,25,25,25,21,25,25,27,21,31,29,18,
(7,11),-1.28217 # DEPENDENCYPART_ARC
(7,12),-1.42443 # DEPENDENCYPART_ARC
(7,13),-1.58603 # DEPENDENCYPART_ARC
(7,15),-1.66012 # DEPENDENCYPART_ARC
(7,16),-1.63872 # DEPENDENCYPART_ARC
(7,17),-1.63452 # DEPENDENCYPART_ARC
(7,18),-2.29412 # DEPENDENCYPART_ARC
(7,20),-2.11295 # DEPENDENCYPART_ARC
(7,21),-2.27915 # DEPENDENCYPART_ARC
(7,25),-1.77992 # DEPENDENCYPART_ARC
(7,26),-1.32354 # DEPENDENCYPART_ARC
(7,32),-2.39852 # DEPENDENCYPART_ARC
(9,2),-2.83136 # DEPENDENCYPART_ARC
(9,3),-2.07604 # DEPENDENCYPART_ARC
(9,4),-1.75396 # DEPENDENCYPART_ARC
(9,5),-1.77551 # DEPENDENCYPART_ARC
(9,6),-1.48753 # DEPENDENCYPART_ARC
(9,7),-1.3916 # DEPENDENCYPART_ARC
(9,8),0.419601 # DEPENDENCYPART_ARC
(9,10),0.176333 # DEPENDENCYPART_ARC
(9,11),0.54261 # DEPENDENCYPART_ARC
(9,12),-0.346135 # DEPENDENCYPART_ARC
(9,13),-0.995936 # DEPENDENCYPART_ARC
(9,14),-0.751874 # DEPENDENCYPART_ARC
(9,15),-0.605433 # DEPENDENCYPART_ARC
(9,16),-1.38063 # DEPENDENCYPART_ARC
(9,17),-1.17815 # DEPENDENCYPART_ARC
(9,18),-1.95414 # DEPENDENCYPART_ARC
(9,20),-2.24515 # DEPENDENCYPART_ARC
(9,21),-2.0022 # DEPENDENCYPART_ARC
(9,23),-1.66798 # DEPENDENCYPART_ARC
(9,26),-0.878551 # DEPENDENCYPART_ARC
(9,32),-1.24538 # DEPENDENCYPART_ARC
(10,12),-1.22174 # DEPENDENCYPART_ARC
(11,4),-2.25499 # DEPENDENCYPART_ARC
(11,5),-1.78461 # DEPENDENCYPART_ARC
(11,6),-1.26223 # DEPENDENCYPART_ARC
(11,7),-1.4934 # DEPENDENCYPART_ARC
(11,8),-1.23723 # DEPENDENCYPART_ARC
(11,9),-0.887984 # DEPENDENCYPART_ARC
(11,10),1.33402 # DEPENDENCYPART_ARC
(11,12),0.114587 # DEPENDENCYPART_ARC
(11,13),-1.26265 # DEPENDENCYPART_ARC
(11,14),-1.43886 # DEPENDENCYPART_ARC
(11,15),-1.64279 # DEPENDENCYPART_ARC
(11,16),-2.02524 # DEPENDENCYPART_ARC
(11,17),-1.62649 # DEPENDENCYPART_ARC
(11,18),-2.02175 # DEPENDENCYPART_ARC
(11,20),-2.11827 # DEPENDENCYPART_ARC
(11,21),-2.38711 # DEPENDENCYPART_ARC
(12,7),-1.73036 # DEPENDENCYPART_ARC
(12,8),-1.11131 # DEPENDENCYPART_ARC
(12,10),-1.27686 # DEPENDENCYPART_ARC
(12,11),-0.4597 # DEPENDENCYPART_ARC
(12,13),0.592544 # DEPENDENCYPART_ARC
(12,14),-0.325697 # DEPENDENCYPART_ARC
(12,15),-0.695993 # DEPENDENCYPART_ARC
(12,16),-1.1597 # DEPENDENCYPART_ARC
(12,17),-1.40104 # DEPENDENCYPART_ARC
(12,18),-1.78586 # DEPENDENCYPART_ARC
(12,20),-2.25596 # DEPENDENCYPART_ARC
(14,8),-2.38387 # DEPENDENCYPART_ARC
(14,10),-2.1536 # DEPENDENCYPART_ARC
(14,11),-1.8467 # DEPENDENCYPART_ARC
(14,13),-0.272875 # DEPENDENCYPART_ARC
(14,15),-0.604271 # DEPENDENCYPART_ARC
(14,17),-1.72536 # DEPENDENCYPART_ARC
(14,18),-2.13123 # DEPENDENCYPART_ARC
(15,3),-1.55573 # DEPENDENCYPART_ARC
(15,6),-1.25691 # DEPENDENCYPART_ARC
(15,7),-1.80794 # DEPENDENCYPART_ARC
(15,8),-1.41454 # DEPENDENCYPART_ARC
(15,10),-0.956949 # DEPENDENCYPART_ARC
(15,11),-0.61645 # DEPENDENCYPART_ARC
(15,12),-1.01126 # DEPENDENCYPART_ARC
(15,13),-0.131297 # DEPENDENCYPART_ARC
(15,14),2.07771 # DEPENDENCYPART_ARC
(15,16),0.110491 # DEPENDENCYPART_ARC
(15,17),-1.5084 # DEPENDENCYPART_ARC
(15,18),-2.07039 # DEPENDENCYPART_ARC
(15,20),-2.33146 # DEPENDENCYPART_ARC
(15,21),-2.53932 # DEPENDENCYPART_ARC
(15,23),-2.14668 # DEPENDENCYPART_ARC
(15,25),-1.70228 # DEPENDENCYPART_ARC
(15,26),-1.60067 # DEPENDENCYPART_ARC
(15,27),-2.48949 # DEPENDENCYPART_ARC
(15,32),-2.3711 # DEPENDENCYPART_ARC
(18,1),-1.66649 # DEPENDENCYPART_ARC
(18,2),-1.5226 # DEPENDENCYPART_ARC
(18,3),-2.68412 # DEPENDENCYPART_ARC
(18,5),-1.63624 # DEPENDENCYPART_ARC
(18,7),-2.38784 # DEPENDENCYPART_ARC
(18,9),-1.02265 # DEPENDENCYPART_ARC
(18,10),-1.75935 # DEPENDENCYPART_ARC
(18,11),-1.96741 # DEPENDENCYPART_ARC
(18,12),-1.29127 # DEPENDENCYPART_ARC
(18,13),-1.02167 # DEPENDENCYPART_ARC
(18,14),-1.88958 # DEPENDENCYPART_ARC
(18,15),-1.67359 # DEPENDENCYPART_ARC
(18,16),-0.17291 # DEPENDENCYPART_ARC
(18,17),0.811522 # DEPENDENCYPART_ARC
(18,19),0.380867 # DEPENDENCYPART_ARC
(18,20),0.279332 # DEPENDENCYPART_ARC
(18,21),-0.315321 # DEPENDENCYPART_ARC
(18,23),-1.0655 # DEPENDENCYPART_ARC
(18,24),-1.20888 # DEPENDENCYPART_ARC
(18,25),-1.01672 # DEPENDENCYPART_ARC
(18,26),-0.617239 # DEPENDENCYPART_ARC
(18,27),-1.73954 # DEPENDENCYPART_ARC
(18,29),-1.72778 # DEPENDENCYPART_ARC
(18,32),0.297654 # DEPENDENCYPART_ARC
(19,20),-0.433885 # DEPENDENCYPART_ARC
(19,25),-1.83763 # DEPENDENCYPART_ARC
(20,1),-1.7066 # DEPENDENCYPART_ARC
(20,2),-1.5169 # DEPENDENCYPART_ARC
(20,3),-2.80993 # DEPENDENCYPART_ARC
(20,7),-2.58671 # DEPENDENCYPART_ARC
(20,9),-1.82942 # DEPENDENCYPART_ARC
(20,11),-2.35842 # DEPENDENCYPART_ARC
(20,12),-1.67967 # DEPENDENCYPART_ARC
(20,13),-1.55731 # DEPENDENCYPART_ARC
(20,15),-2.40859 # DEPENDENCYPART_ARC
(20,16),-1.49816 # DEPENDENCYPART_ARC
(20,17),-1.24003 # DEPENDENCYPART_ARC
(20,18),-1.29338 # DEPENDENCYPART_ARC
(20,19),1.0119 # DEPENDENCYPART_ARC
(20,21),1.44884 # DEPENDENCYPART_ARC
(20,22),-1.33164 # DEPENDENCYPART_ARC
(20,23),-1.46913 # DEPENDENCYPART_ARC
(20,24),-1.5956 # DEPENDENCYPART_ARC
(20,25),-1.24407 # DEPENDENCYPART_ARC
(20,26),-1.22472 # DEPENDENCYPART_ARC
(20,27),-1.95713 # DEPENDENCYPART_ARC
(20,29),-1.68345 # DEPENDENCYPART_ARC
(20,32),-0.575603 # DEPENDENCYPART_ARC
(21,7),-3.48133 # DEPENDENCYPART_ARC
(21,12),-2.20655 # DEPENDENCYPART_ARC
(21,16),-2.19645 # DEPENDENCYPART_ARC
(21,18),-2.00378 # DEPENDENCYPART_ARC
(21,19),-1.56178 # DEPENDENCYPART_ARC
(21,20),-0.940021 # DEPENDENCYPART_ARC
(21,22),-0.221172 # DEPENDENCYPART_ARC
(21,23),-0.859937 # DEPENDENCYPART_ARC
(21,24),-0.981338 # DEPENDENCYPART_ARC
(21,25),-0.348274 # DEPENDENCYPART_ARC
(21,26),-1.04754 # DEPENDENCYPART_ARC
(21,27),-1.4702 # DEPENDENCYPART_ARC
(21,28),-0.917879 # DEPENDENCYPART_ARC
(21,29),-1.20584 # DEPENDENCYPART_ARC
(21,30),-1.44064 # DEPENDENCYPART_ARC
(21,31),-1.17995 # DEPENDENCYPART_ARC
(21,32),-0.343569 # DEPENDENCYPART_ARC
(22,23),-0.0871343 # DEPENDENCYPART_ARC
(22,24),-1.12906 # DEPENDENCYPART_ARC
(22,27),-1.33019 # DEPENDENCYPART_ARC
(22,29),-1.35723 # DEPENDENCYPART_ARC
(23,24),-0.307867 # DEPENDENCYPART_ARC
(24,19),-1.82817 # DEPENDENCYPART_ARC
(24,22),-1.16678 # DEPENDENCYPART_ARC
(24,23),-0.121633 # DEPENDENCYPART_ARC
(24,26),-0.979485 # DEPENDENCYPART_ARC
(24,27),-1.14296 # DEPENDENCYPART_ARC
(24,28),-1.46409 # DEPENDENCYPART_ARC
(24,29),-1.44251 # DEPENDENCYPART_ARC
(24,30),-1.04346 # DEPENDENCYPART_ARC
(25,17),-1.68364 # DEPENDENCYPART_ARC
(25,21),-0.950807 # DEPENDENCYPART_ARC
(25,22),-0.263061 # DEPENDENCYPART_ARC
(25,23),-0.106686 # DEPENDENCYPART_ARC
(25,24),1.50142 # DEPENDENCYPART_ARC
(25,26),0.267647 # DEPENDENCYPART_ARC
(25,27),-0.814994 # DEPENDENCYPART_ARC
(25,28),-1.48875 # DEPENDENCYPART_ARC
(25,29),-1.18238 # DEPENDENCYPART_ARC
(25,30),-1.5777 # DEPENDENCYPART_ARC
(25,31),-1.83908 # DEPENDENCYPART_ARC
(25,32),-1.23757 # DEPENDENCYPART_ARC
(27,25),-1.17305 # DEPENDENCYPART_ARC
(27,26),0.00642097 # DEPENDENCYPART_ARC
(27,28),0.810018 # DEPENDENCYPART_ARC
(27,29),-1.05247 # DEPENDENCYPART_ARC
(27,30),-1.09449 # DEPENDENCYPART_ARC
(27,31),-1.13628 # DEPENDENCYPART_ARC
(28,22),-2.63829 # DEPENDENCYPART_ARC
(28,23),-1.88588 # DEPENDENCYPART_ARC
(28,24),-2.06057 # DEPENDENCYPART_ARC
(28,29),0.136329 # DEPENDENCYPART_ARC
(28,30),-1.31805 # DEPENDENCYPART_ARC
(28,31),-1.47495 # DEPENDENCYPART_ARC
(28,32),-1.34391 # DEPENDENCYPART_ARC
(29,25),-1.63613 # DEPENDENCYPART_ARC
(29,27),-1.23 # DEPENDENCYPART_ARC
(29,30),0.0853257 # DEPENDENCYPART_ARC
(29,31),0.214749 # DEPENDENCYPART_ARC
(30,27),-1.64697 # DEPENDENCYPART_ARC
(30,28),-1.43585 # DEPENDENCYPART_ARC
(31,22),-2.20987 # DEPENDENCYPART_ARC
(31,24),-1.6626 # DEPENDENCYPART_ARC
(31,25),-1.86723 # DEPENDENCYPART_ARC
(31,27),-1.34333 # DEPENDENCYPART_ARC
(31,28),-0.90759 # DEPENDENCYPART_ARC
(31,29),-0.987116 # DEPENDENCYPART_ARC
(31,30),1.40197 # DEPENDENCYPART_ARC
(31,32),-0.622718 # DEPENDENCYPART_ARC
(32,29),-1.45026 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.127901 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.141979 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.127901 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.128107 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.268374 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.23302 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.237344 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.209393 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.219249 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.237344 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0183028 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.015275 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0223263 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0252763 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0158829 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0183028 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0437245 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0668858 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0292835 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0431972 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0387024 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0220467 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0213349 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0156033 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0131101 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0320999 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0239502 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.00437961 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0180633 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0304749 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0116076 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.117822 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0548169 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00852053 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0013908 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0664885 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0206261 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.168433 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.11547 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0133123 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.117822 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0126495 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0900991 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0664885 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.11547 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.00962974 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0126495 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.076106 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.04176 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0627925 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0859585 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.047804 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0622653 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0505845 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0940018 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0644393 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0846587 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.101272 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0381998 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.047804 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0940018 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0627925 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.101272 # DEPENDENCYPART_SIBL
(2,3),(2,32),0.0230959 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00323372 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0134639 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0167707 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00375788 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0128182 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.021399 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00480241 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0222107 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0134341 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00571419 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0167707 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.021399 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.00323372 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0134341 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.00459939 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0196515 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0192627 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0132131 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00667064 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0404739 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0136544 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.034593 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0253707 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00564845 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0192627 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0404739 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0133703 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0253707 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.0255115 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0300277 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.02156 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00319742 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0326806 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0220013 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0171033 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0154923 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0161567 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0300277 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0326806 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.0217172 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0154923 # DEPENDENCYPART_SIBL
(2,7),(2,32),0.00992439 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0190499 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.027588 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0608193 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0172116 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0470749 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0762447 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0153399 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0153718 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0608193 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0185256 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0762447 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0197329 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.00271414 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0394202 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0147085 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0330906 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0212623 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00679205 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0204063 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0394202 # DEPENDENCYPART_SIBL
(2,11),(2,25),-0.0144243 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0212623 # DEPENDENCYPART_SIBL
(2,11),(2,32),0.024112 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0491368 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0379896 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0757112 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0053338 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.019101 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0287123 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0491368 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.0428463 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0053338 # DEPENDENCYPART_SIBL
(2,12),(2,32),0.0524284 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0503022 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0395161 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.392763 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.030213 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0226337 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0409217 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0508125 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.392763 # DEPENDENCYPART_SIBL
(2,13),(2,32),0.180495 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0321624 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.025366 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.00529851 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0189128 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0404693 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.0134733 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.025366 # DEPENDENCYPART_SIBL
(2,15),(2,32),0.0204171 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.101272 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0381998 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.047804 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0940018 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0627925 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.101272 # DEPENDENCYPART_SIBL
(2,16),(2,32),0.0230959 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0366535 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.00667964 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0822832 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.0336659 # DEPENDENCYPART_SIBL
(2,17),(2,26),-0.00506238 # DEPENDENCYPART_SIBL
(2,17),(2,32),-0.000905397 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0277476 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.107399 # DEPENDENCYPART_SIBL
(2,18),(2,25),0.00517985 # DEPENDENCYPART_SIBL
(2,18),(2,26),0.0973713 # DEPENDENCYPART_SIBL
(2,18),(2,32),0.0266262 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0608193 # DEPENDENCYPART_SIBL
(2,20),(2,25),-0.0185256 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.0762447 # DEPENDENCYPART_SIBL
(2,20),(2,32),0.0197329 # DEPENDENCYPART_SIBL
(2,23),(2,25),0.0508125 # DEPENDENCYPART_SIBL
(2,23),(2,26),0.392763 # DEPENDENCYPART_SIBL
(2,23),(2,32),0.180495 # DEPENDENCYPART_SIBL
(2,25),(2,26),0.0253707 # DEPENDENCYPART_SIBL
(2,25),(2,32),0.0254676 # DEPENDENCYPART_SIBL
(2,26),(2,32),-0.000905397 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00298186 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0417608 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00501111 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.213046 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.013663 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.000570637 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00594666 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00427578 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00227431 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00482659 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00528929 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.128566 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00107347 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0467975 # DEPENDENCYPART_SIBL
