# _root_ Great Northern Nekoosa reacted coolly to Georgia-Pacific 's takeover bid of $ 58 a share , or $ 3.19 billion , though the suitor said all terms are negotiable .
#goldHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,17,25,24,25,4,27,28,25,28,4,
#predictedHeads=3,3,4,0,4,4,10,7,10,6,10,13,17,15,13,17,11,17,18,18,4,25,24,25,4,27,28,25,28,4,
(11,12),-0.548805 # DEPENDENCYPART_ARC
(11,13),-0.943292 # DEPENDENCYPART_ARC
(11,15),-1.46643 # DEPENDENCYPART_ARC
(11,16),-1.5813 # DEPENDENCYPART_ARC
(11,17),-1.70095 # DEPENDENCYPART_ARC
(11,18),-2.30177 # DEPENDENCYPART_ARC
(12,9),-1.02185 # DEPENDENCYPART_ARC
(12,10),-0.922651 # DEPENDENCYPART_ARC
(12,11),0.239699 # DEPENDENCYPART_ARC
(12,13),-0.122336 # DEPENDENCYPART_ARC
(12,14),-1.15741 # DEPENDENCYPART_ARC
(12,15),-1.27207 # DEPENDENCYPART_ARC
(12,16),-1.44399 # DEPENDENCYPART_ARC
(12,18),-1.81298 # DEPENDENCYPART_ARC
(12,19),-2.43085 # DEPENDENCYPART_ARC
(12,20),-2.33748 # DEPENDENCYPART_ARC
(12,29),-1.94286 # DEPENDENCYPART_ARC
(12,30),-1.6232 # DEPENDENCYPART_ARC
(13,9),-1.08177 # DEPENDENCYPART_ARC
(13,10),-0.95231 # DEPENDENCYPART_ARC
(13,11),-0.917464 # DEPENDENCYPART_ARC
(13,12),0.772658 # DEPENDENCYPART_ARC
(13,14),0.23741 # DEPENDENCYPART_ARC
(13,15),-0.205425 # DEPENDENCYPART_ARC
(13,16),-0.762143 # DEPENDENCYPART_ARC
(13,17),-1.12471 # DEPENDENCYPART_ARC
(13,19),-1.61726 # DEPENDENCYPART_ARC
(13,22),-1.22694 # DEPENDENCYPART_ARC
(13,24),-1.28175 # DEPENDENCYPART_ARC
(13,25),-1.11362 # DEPENDENCYPART_ARC
(13,27),-1.33219 # DEPENDENCYPART_ARC
(13,30),-1.04674 # DEPENDENCYPART_ARC
(15,7),-1.85585 # DEPENDENCYPART_ARC
(15,11),-1.23781 # DEPENDENCYPART_ARC
(15,12),-1.28773 # DEPENDENCYPART_ARC
(15,13),-0.890446 # DEPENDENCYPART_ARC
(15,14),1.31422 # DEPENDENCYPART_ARC
(15,16),-0.559366 # DEPENDENCYPART_ARC
(15,17),-1.95208 # DEPENDENCYPART_ARC
(15,18),-1.93946 # DEPENDENCYPART_ARC
(15,19),-2.20949 # DEPENDENCYPART_ARC
(15,20),-2.2783 # DEPENDENCYPART_ARC
(15,21),-1.56226 # DEPENDENCYPART_ARC
(15,22),-1.89795 # DEPENDENCYPART_ARC
(15,29),-2.12425 # DEPENDENCYPART_ARC
(17,1),-2.03529 # DEPENDENCYPART_ARC
(17,2),-2.09162 # DEPENDENCYPART_ARC
(17,3),-1.76834 # DEPENDENCYPART_ARC
(17,4),-1.54423 # DEPENDENCYPART_ARC
(17,5),-1.64096 # DEPENDENCYPART_ARC
(17,6),-1.8231 # DEPENDENCYPART_ARC
(17,7),-1.53308 # DEPENDENCYPART_ARC
(17,9),-1.6061 # DEPENDENCYPART_ARC
(17,10),-1.60918 # DEPENDENCYPART_ARC
(17,11),-1.37 # DEPENDENCYPART_ARC
(17,12),-0.896156 # DEPENDENCYPART_ARC
(17,13),-0.865628 # DEPENDENCYPART_ARC
(17,14),-0.974698 # DEPENDENCYPART_ARC
(17,15),-0.808143 # DEPENDENCYPART_ARC
(17,16),1.39831 # DEPENDENCYPART_ARC
(17,18),0.422926 # DEPENDENCYPART_ARC
(17,19),-0.342275 # DEPENDENCYPART_ARC
(17,20),-1.22518 # DEPENDENCYPART_ARC
(17,21),-0.779413 # DEPENDENCYPART_ARC
(17,22),-2.07973 # DEPENDENCYPART_ARC
(17,23),-1.80693 # DEPENDENCYPART_ARC
(17,24),-2.31101 # DEPENDENCYPART_ARC
(17,25),-1.85644 # DEPENDENCYPART_ARC
(17,26),-1.90481 # DEPENDENCYPART_ARC
(17,27),-2.89857 # DEPENDENCYPART_ARC
(17,28),-2.4304 # DEPENDENCYPART_ARC
(17,30),-1.19399 # DEPENDENCYPART_ARC
(18,14),-1.97047 # DEPENDENCYPART_ARC
(18,19),0.589548 # DEPENDENCYPART_ARC
(18,20),-0.260929 # DEPENDENCYPART_ARC
(18,21),-1.04329 # DEPENDENCYPART_ARC
(18,22),-1.9063 # DEPENDENCYPART_ARC
(18,24),-1.93809 # DEPENDENCYPART_ARC
(18,25),-1.85585 # DEPENDENCYPART_ARC
(18,27),-2.09167 # DEPENDENCYPART_ARC
(18,29),-1.92044 # DEPENDENCYPART_ARC
(18,30),-1.65899 # DEPENDENCYPART_ARC
(19,14),-2.25934 # DEPENDENCYPART_ARC
(19,17),-1.21664 # DEPENDENCYPART_ARC
(19,18),-0.492138 # DEPENDENCYPART_ARC
(19,20),-0.587329 # DEPENDENCYPART_ARC
(19,21),-1.07104 # DEPENDENCYPART_ARC
(19,22),-1.63034 # DEPENDENCYPART_ARC
(19,24),-1.79531 # DEPENDENCYPART_ARC
(19,25),-1.63953 # DEPENDENCYPART_ARC
(19,27),-2.04837 # DEPENDENCYPART_ARC
(20,15),-1.63332 # DEPENDENCYPART_ARC
(20,17),-0.822871 # DEPENDENCYPART_ARC
(20,18),-0.950407 # DEPENDENCYPART_ARC
(20,19),0.495952 # DEPENDENCYPART_ARC
(20,21),-0.278297 # DEPENDENCYPART_ARC
(20,24),-1.74808 # DEPENDENCYPART_ARC
(22,20),-1.94547 # DEPENDENCYPART_ARC
(22,23),-0.325274 # DEPENDENCYPART_ARC
(22,24),-0.67112 # DEPENDENCYPART_ARC
(22,25),-1.32974 # DEPENDENCYPART_ARC
(22,27),-2.18552 # DEPENDENCYPART_ARC
(22,28),-1.87334 # DEPENDENCYPART_ARC
(22,29),-1.76871 # DEPENDENCYPART_ARC
(23,28),-1.65926 # DEPENDENCYPART_ARC
(24,14),-1.15081 # DEPENDENCYPART_ARC
(24,18),-2.48337 # DEPENDENCYPART_ARC
(24,19),-2.20264 # DEPENDENCYPART_ARC
(24,20),-2.01615 # DEPENDENCYPART_ARC
(24,22),-0.760688 # DEPENDENCYPART_ARC
(24,23),1.58849 # DEPENDENCYPART_ARC
(24,25),-0.133943 # DEPENDENCYPART_ARC
(24,27),-1.20586 # DEPENDENCYPART_ARC
(24,28),-1.58604 # DEPENDENCYPART_ARC
(24,29),-1.56906 # DEPENDENCYPART_ARC
(25,1),-1.71177 # DEPENDENCYPART_ARC
(25,2),-1.84034 # DEPENDENCYPART_ARC
(25,3),-1.70077 # DEPENDENCYPART_ARC
(25,4),-1.73844 # DEPENDENCYPART_ARC
(25,5),-1.73566 # DEPENDENCYPART_ARC
(25,6),-2.79675 # DEPENDENCYPART_ARC
(25,7),-1.2639 # DEPENDENCYPART_ARC
(25,9),-1.47738 # DEPENDENCYPART_ARC
(25,10),-1.06195 # DEPENDENCYPART_ARC
(25,12),-1.32571 # DEPENDENCYPART_ARC
(25,13),-1.42837 # DEPENDENCYPART_ARC
(25,14),-1.59122 # DEPENDENCYPART_ARC
(25,15),-0.922791 # DEPENDENCYPART_ARC
(25,16),-2.13914 # DEPENDENCYPART_ARC
(25,17),-1.69826 # DEPENDENCYPART_ARC
(25,18),-1.68062 # DEPENDENCYPART_ARC
(25,19),-1.8052 # DEPENDENCYPART_ARC
(25,20),-1.78813 # DEPENDENCYPART_ARC
(25,21),-0.808434 # DEPENDENCYPART_ARC
(25,22),0.0643139 # DEPENDENCYPART_ARC
(25,23),-0.608422 # DEPENDENCYPART_ARC
(25,24),0.876633 # DEPENDENCYPART_ARC
(25,26),0.0870926 # DEPENDENCYPART_ARC
(25,27),-0.229652 # DEPENDENCYPART_ARC
(25,28),-0.489031 # DEPENDENCYPART_ARC
(25,29),-0.996372 # DEPENDENCYPART_ARC
(25,30),-0.0708269 # DEPENDENCYPART_ARC
(26,28),-0.953898 # DEPENDENCYPART_ARC
(27,23),-1.51367 # DEPENDENCYPART_ARC
(27,24),-1.4178 # DEPENDENCYPART_ARC
(27,26),1.18913 # DEPENDENCYPART_ARC
(27,28),-0.307704 # DEPENDENCYPART_ARC
(27,29),-1.46411 # DEPENDENCYPART_ARC
(28,4),-1.39508 # DEPENDENCYPART_ARC
(28,5),-1.22507 # DEPENDENCYPART_ARC
(28,9),-0.999957 # DEPENDENCYPART_ARC
(28,10),-0.559328 # DEPENDENCYPART_ARC
(28,13),-1.29636 # DEPENDENCYPART_ARC
(28,15),-0.79575 # DEPENDENCYPART_ARC
(28,16),-2.24024 # DEPENDENCYPART_ARC
(28,17),-1.2804 # DEPENDENCYPART_ARC
(28,19),-1.6709 # DEPENDENCYPART_ARC
(28,20),-1.71185 # DEPENDENCYPART_ARC
(28,21),-1.2052 # DEPENDENCYPART_ARC
(28,22),0.00626518 # DEPENDENCYPART_ARC
(28,24),-0.315765 # DEPENDENCYPART_ARC
(28,25),-1.24467 # DEPENDENCYPART_ARC
(28,26),-0.414767 # DEPENDENCYPART_ARC
(28,27),1.10088 # DEPENDENCYPART_ARC
(28,29),0.872396 # DEPENDENCYPART_ARC
(28,30),0.139646 # DEPENDENCYPART_ARC
(29,24),-1.16573 # DEPENDENCYPART_ARC
(29,26),-1.10025 # DEPENDENCYPART_ARC
(29,27),-0.892546 # DEPENDENCYPART_ARC
(29,30),-0.219709 # DEPENDENCYPART_ARC
(30,29),-0.496811 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.12424 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0100736 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.134979 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.12179 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0751928 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.253773 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.22957 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.103215 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.108729 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.24467 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0142844 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0163249 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0169691 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00679303 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0408909 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0238674 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0383959 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0199545 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.000191251 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0132951 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00552769 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0207882 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0156087 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0505783 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0342917 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.016245 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0459289 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.00848247 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0440515 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0244186 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0356818 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.00659916 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00584002 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0204759 # DEPENDENCYPART_SIBL
(3,4),(3,30),-0.00129634 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0156079 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.012805 # DEPENDENCYPART_SIBL
(3,8),(3,30),-0.00238713 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0952247 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.094907 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00869935 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0252595 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00245025 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.014562 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00143677 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.04254 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0631764 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00610539 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0181222 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00981777 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0181222 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0134976 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0242538 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0331978 # DEPENDENCYPART_SIBL
(4,1),(4,30),0.0415946 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.102473 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00849503 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0240757 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0140601 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0261719 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0101731 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0300866 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0643657 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00550453 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0133141 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00929399 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0133141 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0260924 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0232977 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.0341406 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.0379354 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0142697 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0294724 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00936694 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0212425 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00449387 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.035458 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0636921 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.000173548 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0364228 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0111735 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0364228 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0217319 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.024289 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.0334968 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.0482401 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0256989 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0244126 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0244456 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0130604 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00156758 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00802199 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0172555 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0110573 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0326555 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0110573 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0138739 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.00219253 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0307339 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.0102538 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0176509 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0183162 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00646065 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0193579 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0553949 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0154499 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0230345 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0437585 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0230345 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0152307 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0163811 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.019963 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.035661 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0376504 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0306115 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0137409 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.033125 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0310943 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00364334 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.026435 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.00364334 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0321561 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.00449714 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.00315478 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.0182996 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.043142 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0201955 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0395602 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0436247 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00340981 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0328464 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00340981 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0386061 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0143937 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.0105135 # DEPENDENCYPART_SIBL
(4,9),(4,30),0.00621558 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0170435 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0458051 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0414679 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00229421 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.039801 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.00229421 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0354068 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0320615 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.0250328 # DEPENDENCYPART_SIBL
(4,10),(4,30),-0.00570198 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0900001 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0100799 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0178976 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0576648 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0178976 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.119993 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0801823 # DEPENDENCYPART_SIBL
(4,11),(4,28),-0.0979778 # DEPENDENCYPART_SIBL
(4,11),(4,30),-0.00184722 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00731435 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00209913 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0150923 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.00209913 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0137652 # DEPENDENCYPART_SIBL
(4,12),(4,25),-0.0194497 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0157824 # DEPENDENCYPART_SIBL
(4,12),(4,30),0.0172898 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00125064 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0290069 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.00125064 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.0771447 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.00779923 # DEPENDENCYPART_SIBL
(4,15),(4,28),0.0108755 # DEPENDENCYPART_SIBL
(4,15),(4,30),0.0235033 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.00829595 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0389716 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.00384306 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.0172047 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.0123823 # DEPENDENCYPART_SIBL
(4,16),(4,30),0.0441436 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.007051 # DEPENDENCYPART_SIBL
(4,17),(4,22),-1.22112e-05 # DEPENDENCYPART_SIBL
(4,17),(4,25),-0.00997458 # DEPENDENCYPART_SIBL
(4,17),(4,28),-0.0105797 # DEPENDENCYPART_SIBL
(4,17),(4,30),0.0192124 # DEPENDENCYPART_SIBL
(4,21),(4,22),-0.00384306 # DEPENDENCYPART_SIBL
(4,21),(4,25),0.0172047 # DEPENDENCYPART_SIBL
(4,21),(4,28),0.0123823 # DEPENDENCYPART_SIBL
(4,21),(4,30),0.0441436 # DEPENDENCYPART_SIBL
(4,22),(4,25),0.0199987 # DEPENDENCYPART_SIBL
