# _root_ `` For all intents and purposes , an agreement appears to have been achieved , '' he said .
#goldHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
#predictedHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
(11,8),-1.9241 # DEPENDENCYPART_ARC
(11,9),-2.07162 # DEPENDENCYPART_ARC
(11,12),2.0868 # DEPENDENCYPART_ARC
(11,13),-0.66045 # DEPENDENCYPART_ARC
(11,14),-1.41646 # DEPENDENCYPART_ARC
(11,15),-1.37133 # DEPENDENCYPART_ARC
(12,1),-2.45409 # DEPENDENCYPART_ARC
(12,2),-1.7935 # DEPENDENCYPART_ARC
(12,4),-1.72188 # DEPENDENCYPART_ARC
(12,6),-1.47453 # DEPENDENCYPART_ARC
(12,7),-2.15085 # DEPENDENCYPART_ARC
(12,8),-1.72884 # DEPENDENCYPART_ARC
(12,9),-1.38452 # DEPENDENCYPART_ARC
(12,11),-1.02634 # DEPENDENCYPART_ARC
(12,13),1.33017 # DEPENDENCYPART_ARC
(12,14),0.0814932 # DEPENDENCYPART_ARC
(12,15),-1.56583 # DEPENDENCYPART_ARC
(12,16),-1.45397 # DEPENDENCYPART_ARC
(12,17),-1.59546 # DEPENDENCYPART_ARC
(12,18),-1.23328 # DEPENDENCYPART_ARC
(12,19),-1.50781 # DEPENDENCYPART_ARC
(13,1),-2.42778 # DEPENDENCYPART_ARC
(13,2),-2.02758 # DEPENDENCYPART_ARC
(13,4),-2.04779 # DEPENDENCYPART_ARC
(13,9),-1.70081 # DEPENDENCYPART_ARC
(13,14),1.53095 # DEPENDENCYPART_ARC
(13,15),-1.46137 # DEPENDENCYPART_ARC
(13,16),-0.897574 # DEPENDENCYPART_ARC
(13,17),-1.37713 # DEPENDENCYPART_ARC
(13,18),-1.20282 # DEPENDENCYPART_ARC
(14,1),-1.94751 # DEPENDENCYPART_ARC
(14,2),-1.63529 # DEPENDENCYPART_ARC
(14,4),-1.52283 # DEPENDENCYPART_ARC
(14,5),-2.28863 # DEPENDENCYPART_ARC
(14,6),-1.59151 # DEPENDENCYPART_ARC
(14,7),-1.81954 # DEPENDENCYPART_ARC
(14,8),-1.96178 # DEPENDENCYPART_ARC
(14,9),-1.3861 # DEPENDENCYPART_ARC
(14,11),-0.991089 # DEPENDENCYPART_ARC
(14,13),-0.790797 # DEPENDENCYPART_ARC
(14,15),-0.819356 # DEPENDENCYPART_ARC
(14,16),-0.973259 # DEPENDENCYPART_ARC
(14,17),-1.39241 # DEPENDENCYPART_ARC
(14,18),-1.221 # DEPENDENCYPART_ARC
(15,14),-1.73309 # DEPENDENCYPART_ARC
(16,14),-2.61622 # DEPENDENCYPART_ARC
(16,17),-1.86549 # DEPENDENCYPART_ARC
(17,2),-2.70591 # DEPENDENCYPART_ARC
(17,10),-2.61889 # DEPENDENCYPART_ARC
(17,16),-1.55836 # DEPENDENCYPART_ARC
(18,1),-0.251845 # DEPENDENCYPART_ARC
(18,2),-3.13351 # DEPENDENCYPART_ARC
(18,4),-2.48388 # DEPENDENCYPART_ARC
(18,5),-2.63427 # DEPENDENCYPART_ARC
(18,7),-1.78001 # DEPENDENCYPART_ARC
(18,8),-2.31164 # DEPENDENCYPART_ARC
(18,9),-1.93582 # DEPENDENCYPART_ARC
(18,10),-1.01681 # DEPENDENCYPART_ARC
(18,11),-2.00668 # DEPENDENCYPART_ARC
(18,12),-1.42765 # DEPENDENCYPART_ARC
(18,13),-2.1419 # DEPENDENCYPART_ARC
(18,14),-1.96621 # DEPENDENCYPART_ARC
(18,15),-0.156384 # DEPENDENCYPART_ARC
(18,16),-0.336554 # DEPENDENCYPART_ARC
(18,17),1.84846 # DEPENDENCYPART_ARC
(18,19),0.860376 # DEPENDENCYPART_ARC
(0,10),(0,18),-1.96714 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0188403 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0807905 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.083358 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.106268 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0837562 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.014691 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0345631 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0209733 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0807023 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0182299 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0331006 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.014691 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.24297 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.123029 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.486738 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.149943 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.486759 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0890498 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.615579 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.568068 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.826798 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.326509 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.16952 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0890498 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.117956 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0917379 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0735407 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.947454 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00357953 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.854108 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.679487 # DEPENDENCYPART_SIBL
(2,4),(2,11),-1.06429 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.407172 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.378465 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00357953 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0461226 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0215502 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.132738 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0214222 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.169459 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.221172 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.67408 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.210737 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.00643995 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0214222 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0444188 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00139664 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0065509 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.85432 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.679699 # DEPENDENCYPART_SIBL
(2,6),(2,11),-1.0645 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.407383 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.378676 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0065509 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0463343 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0241385 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0176451 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0891201 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.387887 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0666469 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.219974 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0201353 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.112173 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.199741 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.681655 # DEPENDENCYPART_SIBL
(2,9),(2,11),-1.13593 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.49472 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.395181 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0539472 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.128496 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.000484876 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.766907 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.305768 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.249033 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.129725 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0338597 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.229811 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.330681 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.175905 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00807979 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0187859 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0117229 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.185316 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.162958 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.124037 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.143701 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.157057 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.106224 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.161339 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.112173 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.199741 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0266577 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.182942 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.131242 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0408212 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0865517 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.123099 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.299214 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.195478 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0742832 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00777852 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0123412 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0359611 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00476955 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0659846 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.050376 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0111531 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0471891 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.101717 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0359611 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.801778 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0509294 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0509402 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.137559 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0337924 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0592084 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0518041 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00538028 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.01046 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.000416648 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0303474 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0347745 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0592084 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.07518 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0181942 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00358255 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0205421 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0196563 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00921678 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0362575 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.130076 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0669518 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0199603 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0188012 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0196563 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00658087 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.000174563 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0171819 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.054268 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0209073 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00142645 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.055096 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0895969 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00756628 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0156611 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.054268 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.041327 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0335992 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0238751 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0327968 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0643228 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0810974 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0303078 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0363194 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0373434 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0238751 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.030171 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0895721 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.300524 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.601699 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.321178 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.139356 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.392401 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.439903 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0806735 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.375958 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.309071 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0466149 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.107197 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0863476 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0642402 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0732247 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0411412 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.103708 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0785762 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.073054 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0911348 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0435139 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0382493 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00356581 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0180939 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0976842 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0497883 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0618827 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0537254 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.148494 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0670575 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.200108 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.037501 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0492911 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.00798978 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.119925 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0243522 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.400926 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.261471 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.131999 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0382214 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.239969 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.148143 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0352329 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.375958 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.309071 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.121403 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.318949 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.483452 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.607544 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0428449 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0802121 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.198572 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0792267 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.134492 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.205221 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.603659 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0722284 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.21335 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.174059 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.247225 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0897066 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0742832 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.176747 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0600811 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00450287 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.065612 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.050078 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00904032 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0469225 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.10145 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0600811 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.801462 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.109333 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00292199 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0072463 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0382658 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.128075 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0707684 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0219308 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0168307 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00292199 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00459047 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0183926 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0277307 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00110453 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00619344 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0577703 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0749918 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0544768 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0183926 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00321336 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.296324 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.596997 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.31694 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.133287 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.388201 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.435703 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0642924 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.371452 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0468206 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.10721 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0882162 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0642402 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0732247 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0481694 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.103855 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0731288 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0930656 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0435762 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0383116 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00358071 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0183035 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0516738 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0618996 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0537423 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.141449 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0668937 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.037501 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0492911 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.000961497 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.119779 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.400926 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.254443 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.131852 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.232941 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.147996 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.371452 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00509084 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0289099 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0300647 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.278839 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0101489 # DEPENDENCYPART_SIBL
