# _root_ But the Oct. 17 temblor put a halt to much nonessential building , and heavy rains last week slowed the rest , freeing construction workers for earthquake repairs .
#goldHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,16,14,21,19,14,14,25,23,23,28,26,14,
#predictedHeads=14,5,5,3,6,14,8,6,6,12,12,9,14,0,16,19,18,19,14,21,19,19,19,25,23,23,28,26,14,
(10,11),-0.272454 # DEPENDENCYPART_ARC
(10,12),-1.21397 # DEPENDENCYPART_ARC
(10,13),-1.16915 # DEPENDENCYPART_ARC
(10,15),-1.59384 # DEPENDENCYPART_ARC
(11,7),-1.47922 # DEPENDENCYPART_ARC
(11,8),-1.07675 # DEPENDENCYPART_ARC
(11,9),-1.24087 # DEPENDENCYPART_ARC
(11,10),0.0922401 # DEPENDENCYPART_ARC
(12,2),-2.35792 # DEPENDENCYPART_ARC
(12,3),-1.82777 # DEPENDENCYPART_ARC
(12,4),-1.32529 # DEPENDENCYPART_ARC
(12,5),-1.931 # DEPENDENCYPART_ARC
(12,6),-1.41848 # DEPENDENCYPART_ARC
(12,7),-1.14044 # DEPENDENCYPART_ARC
(12,8),-0.786986 # DEPENDENCYPART_ARC
(12,9),-1.25816 # DEPENDENCYPART_ARC
(12,10),0.275943 # DEPENDENCYPART_ARC
(12,11),1.58151 # DEPENDENCYPART_ARC
(12,13),-0.235661 # DEPENDENCYPART_ARC
(12,14),-1.91449 # DEPENDENCYPART_ARC
(12,15),-1.88454 # DEPENDENCYPART_ARC
(12,16),-1.79919 # DEPENDENCYPART_ARC
(12,17),-2.16946 # DEPENDENCYPART_ARC
(12,18),-1.90845 # DEPENDENCYPART_ARC
(12,19),-2.33539 # DEPENDENCYPART_ARC
(12,21),-1.83761 # DEPENDENCYPART_ARC
(12,22),-1.41501 # DEPENDENCYPART_ARC
(12,25),-2.06098 # DEPENDENCYPART_ARC
(12,26),-1.59838 # DEPENDENCYPART_ARC
(12,28),-2.12352 # DEPENDENCYPART_ARC
(12,29),-2.50933 # DEPENDENCYPART_ARC
(14,1),-1.25516 # DEPENDENCYPART_ARC
(14,2),-2.32987 # DEPENDENCYPART_ARC
(14,3),-1.66215 # DEPENDENCYPART_ARC
(14,4),-1.37575 # DEPENDENCYPART_ARC
(14,5),-1.1904 # DEPENDENCYPART_ARC
(14,6),-1.46463 # DEPENDENCYPART_ARC
(14,7),-1.35447 # DEPENDENCYPART_ARC
(14,8),-1.13137 # DEPENDENCYPART_ARC
(14,9),-1.60129 # DEPENDENCYPART_ARC
(14,10),-1.02074 # DEPENDENCYPART_ARC
(14,11),-0.921919 # DEPENDENCYPART_ARC
(14,12),-0.630797 # DEPENDENCYPART_ARC
(14,13),1.41809 # DEPENDENCYPART_ARC
(14,15),0.282007 # DEPENDENCYPART_ARC
(14,16),-0.000455601 # DEPENDENCYPART_ARC
(14,17),-0.944747 # DEPENDENCYPART_ARC
(14,18),-0.985168 # DEPENDENCYPART_ARC
(14,19),-0.779712 # DEPENDENCYPART_ARC
(14,20),-1.66818 # DEPENDENCYPART_ARC
(14,21),-1.75671 # DEPENDENCYPART_ARC
(14,22),-1.19466 # DEPENDENCYPART_ARC
(14,23),-2.60778 # DEPENDENCYPART_ARC
(14,25),-2.65641 # DEPENDENCYPART_ARC
(14,26),-2.1185 # DEPENDENCYPART_ARC
(14,28),-3.16774 # DEPENDENCYPART_ARC
(14,29),-1.20151 # DEPENDENCYPART_ARC
(15,16),-0.693684 # DEPENDENCYPART_ARC
(15,17),-1.38146 # DEPENDENCYPART_ARC
(15,18),-1.76415 # DEPENDENCYPART_ARC
(16,7),-2.36606 # DEPENDENCYPART_ARC
(16,10),-2.00189 # DEPENDENCYPART_ARC
(16,11),-1.58175 # DEPENDENCYPART_ARC
(16,12),-2.06741 # DEPENDENCYPART_ARC
(16,13),-1.70999 # DEPENDENCYPART_ARC
(16,14),-0.480975 # DEPENDENCYPART_ARC
(16,15),0.947724 # DEPENDENCYPART_ARC
(16,17),-0.600044 # DEPENDENCYPART_ARC
(16,18),-1.37708 # DEPENDENCYPART_ARC
(16,19),-1.18736 # DEPENDENCYPART_ARC
(16,21),-1.89026 # DEPENDENCYPART_ARC
(16,22),-2.00022 # DEPENDENCYPART_ARC
(16,25),-2.15894 # DEPENDENCYPART_ARC
(16,26),-2.14729 # DEPENDENCYPART_ARC
(16,28),-2.45145 # DEPENDENCYPART_ARC
(17,9),-2.22804 # DEPENDENCYPART_ARC
(17,12),-1.89586 # DEPENDENCYPART_ARC
(17,14),-1.2736 # DEPENDENCYPART_ARC
(17,15),-1.24421 # DEPENDENCYPART_ARC
(17,16),-0.166483 # DEPENDENCYPART_ARC
(17,18),-0.343848 # DEPENDENCYPART_ARC
(17,19),-0.950794 # DEPENDENCYPART_ARC
(17,21),-1.71222 # DEPENDENCYPART_ARC
(18,7),-2.33109 # DEPENDENCYPART_ARC
(18,10),-1.76158 # DEPENDENCYPART_ARC
(18,11),-1.67788 # DEPENDENCYPART_ARC
(18,13),-1.58052 # DEPENDENCYPART_ARC
(18,14),-0.702396 # DEPENDENCYPART_ARC
(18,15),-0.497208 # DEPENDENCYPART_ARC
(18,16),-0.17312 # DEPENDENCYPART_ARC
(18,17),1.52611 # DEPENDENCYPART_ARC
(18,19),-0.505928 # DEPENDENCYPART_ARC
(18,21),-1.70057 # DEPENDENCYPART_ARC
(18,25),-2.13925 # DEPENDENCYPART_ARC
(19,1),-1.21459 # DEPENDENCYPART_ARC
(19,2),-2.23937 # DEPENDENCYPART_ARC
(19,3),-2.30154 # DEPENDENCYPART_ARC
(19,4),-1.98116 # DEPENDENCYPART_ARC
(19,5),-2.11512 # DEPENDENCYPART_ARC
(19,6),-1.63604 # DEPENDENCYPART_ARC
(19,8),-1.90124 # DEPENDENCYPART_ARC
(19,9),-2.52284 # DEPENDENCYPART_ARC
(19,10),-1.54401 # DEPENDENCYPART_ARC
(19,11),-1.74949 # DEPENDENCYPART_ARC
(19,12),-1.88046 # DEPENDENCYPART_ARC
(19,13),-1.33715 # DEPENDENCYPART_ARC
(19,14),-0.971816 # DEPENDENCYPART_ARC
(19,15),-1.15319 # DEPENDENCYPART_ARC
(19,16),-0.396293 # DEPENDENCYPART_ARC
(19,17),-0.867603 # DEPENDENCYPART_ARC
(19,18),0.689305 # DEPENDENCYPART_ARC
(19,20),0.237139 # DEPENDENCYPART_ARC
(19,21),0.354785 # DEPENDENCYPART_ARC
(19,22),-0.442454 # DEPENDENCYPART_ARC
(19,23),-1.17264 # DEPENDENCYPART_ARC
(19,24),-1.62092 # DEPENDENCYPART_ARC
(19,25),-1.29258 # DEPENDENCYPART_ARC
(19,26),-1.74647 # DEPENDENCYPART_ARC
(19,28),-1.72268 # DEPENDENCYPART_ARC
(19,29),-0.535016 # DEPENDENCYPART_ARC
(21,15),-1.94928 # DEPENDENCYPART_ARC
(21,16),-1.60676 # DEPENDENCYPART_ARC
(21,17),-1.42708 # DEPENDENCYPART_ARC
(21,18),-1.33699 # DEPENDENCYPART_ARC
(21,20),1.15145 # DEPENDENCYPART_ARC
(21,22),-0.297292 # DEPENDENCYPART_ARC
(21,23),-1.86458 # DEPENDENCYPART_ARC
(21,25),-2.04768 # DEPENDENCYPART_ARC
(21,26),-2.25327 # DEPENDENCYPART_ARC
(21,28),-2.33031 # DEPENDENCYPART_ARC
(22,23),-0.569722 # DEPENDENCYPART_ARC
(23,6),-2.63134 # DEPENDENCYPART_ARC
(23,19),-2.3554 # DEPENDENCYPART_ARC
(23,21),-2.51544 # DEPENDENCYPART_ARC
(23,22),-0.244161 # DEPENDENCYPART_ARC
(23,24),0.193817 # DEPENDENCYPART_ARC
(23,25),-0.12963 # DEPENDENCYPART_ARC
(23,26),-0.810758 # DEPENDENCYPART_ARC
(23,27),-1.36175 # DEPENDENCYPART_ARC
(23,28),-1.05244 # DEPENDENCYPART_ARC
(23,29),-0.220154 # DEPENDENCYPART_ARC
(24,20),-2.46386 # DEPENDENCYPART_ARC
(24,23),-0.262926 # DEPENDENCYPART_ARC
(24,26),-1.1202 # DEPENDENCYPART_ARC
(24,28),-2.14204 # DEPENDENCYPART_ARC
(25,17),-2.25861 # DEPENDENCYPART_ARC
(25,20),-1.27687 # DEPENDENCYPART_ARC
(25,21),-1.68105 # DEPENDENCYPART_ARC
(25,22),-1.51852 # DEPENDENCYPART_ARC
(25,23),-0.456049 # DEPENDENCYPART_ARC
(25,24),2.09244 # DEPENDENCYPART_ARC
(25,26),0.149855 # DEPENDENCYPART_ARC
(25,27),-1.22295 # DEPENDENCYPART_ARC
(25,28),-1.52079 # DEPENDENCYPART_ARC
(25,29),-1.31551 # DEPENDENCYPART_ARC
(26,25),-0.619426 # DEPENDENCYPART_ARC
(26,27),-0.0566701 # DEPENDENCYPART_ARC
(26,28),-0.405918 # DEPENDENCYPART_ARC
(27,28),-0.75065 # DEPENDENCYPART_ARC
(28,20),-2.27597 # DEPENDENCYPART_ARC
(28,23),-1.05249 # DEPENDENCYPART_ARC
(28,24),-0.0574153 # DEPENDENCYPART_ARC
(28,25),-0.656869 # DEPENDENCYPART_ARC
(28,27),2.01825 # DEPENDENCYPART_ARC
(28,29),-0.267708 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0542402 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0540186 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.148635 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0245523 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.093415 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.147545 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.147544 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0537748 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.123311 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.00841299 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.10351 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.125916 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.125154 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.122345 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0100726 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.10513 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.12495 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.124188 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0751928 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.182648 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.225777 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.225314 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0668942 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.104241 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.102799 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.152852 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.152851 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.225465 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0241122 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00527386 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0195262 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0802532 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.082844 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0165804 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0441744 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0628847 # DEPENDENCYPART_SIBL
(1,3),(1,29),-0.0573063 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00448695 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0485313 # DEPENDENCYPART_SIBL
(1,4),(1,29),-0.0593477 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0595528 # DEPENDENCYPART_SIBL
(1,5),(1,29),-0.064887 # DEPENDENCYPART_SIBL
(1,6),(1,29),-0.0261716 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.081526 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.121731 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00546366 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00833824 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0088999 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.000384471 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0152334 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0140372 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00933929 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0152334 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0678352 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.188159 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0258428 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.123127 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0300297 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00657503 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00935059 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0279235 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.112867 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00935059 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0996717 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0537742 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0291622 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0553398 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0547037 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0489587 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0228752 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0271144 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0489587 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.03406 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.015055 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0287202 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0332647 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0140065 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0422069 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0191557 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0140065 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.00609898 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.023715 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0230503 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00617566 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0217892 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00319995 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00617566 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.0361646 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0334535 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0142357 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0422077 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0191565 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0142357 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.00697627 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0216498 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0434002 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0185038 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0216498 # DEPENDENCYPART_SIBL
(3,12),(3,29),-0.00155288 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00924878 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00355743 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.017152 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.054582 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.000485103 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.00591577 # DEPENDENCYPART_SIBL
(3,14),(3,29),-0.0131652 # DEPENDENCYPART_SIBL
(3,19),(3,22),0.00554342 # DEPENDENCYPART_SIBL
(3,19),(3,29),-0.00849108 # DEPENDENCYPART_SIBL
(3,22),(3,29),-0.054582 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0485497 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0100341 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0482819 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0351533 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.048026 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0312147 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0630379 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.103328 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0625301 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0689054 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00652419 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0679751 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00539758 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0175663 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0246344 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0815259 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0436843 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0782334 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00784219 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0031963 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0197348 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0263987 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00531914 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0990147 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0488321 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.143257 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00363816 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00572566 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0783368 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0198166 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0481535 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.019537 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0306048 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.034208 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00472115 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0509932 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00269931 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0123759 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0272067 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00754012 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0200173 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.01832 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00553306 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00388749 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0176553 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00141432 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00588068 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0175841 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00757032 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00497577 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.00981709 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00776073 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00164393 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0167047 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00635171 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0414876 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0138598 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0785119 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0277156 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00783276 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0124616 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0086791 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0403317 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00673405 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0156022 # DEPENDENCYPART_SIBL
(6,1),(6,17),2.38204e-05 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0112894 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0172703 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0411342 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0086791 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.019395 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.0197141 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.111868 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0322279 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0560631 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0471818 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.129695 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0434257 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0675213 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.11342 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0827154 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0357638 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0256024 # DEPENDENCYPART_SIBL
