# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(6,17),-2.76378 # DEPENDENCYPART_ARC
(6,18),-2.04247 # DEPENDENCYPART_ARC
(7,1),-3.85322 # DEPENDENCYPART_ARC
(7,3),-2.17641 # DEPENDENCYPART_ARC
(7,4),-2.32795 # DEPENDENCYPART_ARC
(7,5),-0.613934 # DEPENDENCYPART_ARC
(7,6),-0.253803 # DEPENDENCYPART_ARC
(7,8),-0.500385 # DEPENDENCYPART_ARC
(7,9),-2.14012 # DEPENDENCYPART_ARC
(7,10),-2.72284 # DEPENDENCYPART_ARC
(7,11),-1.54391 # DEPENDENCYPART_ARC
(7,12),-1.28807 # DEPENDENCYPART_ARC
(7,13),-2.66078 # DEPENDENCYPART_ARC
(7,14),-2.82229 # DEPENDENCYPART_ARC
(7,15),-2.73733 # DEPENDENCYPART_ARC
(7,16),-2.88677 # DEPENDENCYPART_ARC
(7,17),-2.96907 # DEPENDENCYPART_ARC
(7,18),-2.72001 # DEPENDENCYPART_ARC
(9,8),-1.80033 # DEPENDENCYPART_ARC
(9,10),-1.51545 # DEPENDENCYPART_ARC
(9,13),-2.20819 # DEPENDENCYPART_ARC
(10,5),-3.21676 # DEPENDENCYPART_ARC
(10,8),-2.13548 # DEPENDENCYPART_ARC
(10,9),-0.92907 # DEPENDENCYPART_ARC
(10,12),-1.83714 # DEPENDENCYPART_ARC
(10,13),-2.41229 # DEPENDENCYPART_ARC
(10,14),-2.24413 # DEPENDENCYPART_ARC
(10,15),-2.48143 # DEPENDENCYPART_ARC
(10,17),-3.49537 # DEPENDENCYPART_ARC
(11,1),-2.98587 # DEPENDENCYPART_ARC
(11,3),-2.65544 # DEPENDENCYPART_ARC
(11,4),-1.88412 # DEPENDENCYPART_ARC
(11,5),-2.14999 # DEPENDENCYPART_ARC
(11,6),-1.48427 # DEPENDENCYPART_ARC
(11,7),-1.86829 # DEPENDENCYPART_ARC
(11,8),-1.5604 # DEPENDENCYPART_ARC
(11,9),1.21301 # DEPENDENCYPART_ARC
(11,10),1.19767 # DEPENDENCYPART_ARC
(11,12),-0.399133 # DEPENDENCYPART_ARC
(11,13),-0.831146 # DEPENDENCYPART_ARC
(11,14),-1.46866 # DEPENDENCYPART_ARC
(11,15),-1.84909 # DEPENDENCYPART_ARC
(11,16),-1.8642 # DEPENDENCYPART_ARC
(11,17),-2.42636 # DEPENDENCYPART_ARC
(11,18),-2.42258 # DEPENDENCYPART_ARC
(12,13),-1.89053 # DEPENDENCYPART_ARC
(13,3),-3.25926 # DEPENDENCYPART_ARC
(13,5),-2.67332 # DEPENDENCYPART_ARC
(13,6),-2.60339 # DEPENDENCYPART_ARC
(13,9),-1.56709 # DEPENDENCYPART_ARC
(13,10),-1.27021 # DEPENDENCYPART_ARC
(13,11),-1.03022 # DEPENDENCYPART_ARC
(13,12),-1.53025 # DEPENDENCYPART_ARC
(13,14),1.26783 # DEPENDENCYPART_ARC
(13,15),-0.928516 # DEPENDENCYPART_ARC
(13,16),-0.482539 # DEPENDENCYPART_ARC
(13,17),-1.52513 # DEPENDENCYPART_ARC
(13,18),-1.64648 # DEPENDENCYPART_ARC
(14,15),0.0947343 # DEPENDENCYPART_ARC
(14,16),-0.370127 # DEPENDENCYPART_ARC
(14,17),-0.775103 # DEPENDENCYPART_ARC
(14,18),-2.15001 # DEPENDENCYPART_ARC
(15,16),-0.266151 # DEPENDENCYPART_ARC
(15,17),-1.2664 # DEPENDENCYPART_ARC
(15,18),-1.72975 # DEPENDENCYPART_ARC
(16,3),-2.6436 # DEPENDENCYPART_ARC
(16,4),-1.70271 # DEPENDENCYPART_ARC
(16,11),-1.78811 # DEPENDENCYPART_ARC
(16,13),-1.15247 # DEPENDENCYPART_ARC
(16,14),-1.49582 # DEPENDENCYPART_ARC
(16,15),-1.23498 # DEPENDENCYPART_ARC
(16,17),-0.458869 # DEPENDENCYPART_ARC
(16,18),-2.22465 # DEPENDENCYPART_ARC
(17,3),-3.06065 # DEPENDENCYPART_ARC
(17,9),-0.105927 # DEPENDENCYPART_ARC
(17,10),-1.43892 # DEPENDENCYPART_ARC
(17,11),-1.49028 # DEPENDENCYPART_ARC
(17,12),-1.63131 # DEPENDENCYPART_ARC
(17,13),-1.0414 # DEPENDENCYPART_ARC
(17,14),-1.31688 # DEPENDENCYPART_ARC
(17,15),0.746001 # DEPENDENCYPART_ARC
(17,16),0.885363 # DEPENDENCYPART_ARC
(17,18),-1.65755 # DEPENDENCYPART_ARC
(18,17),-2.76408 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.697166 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0374756 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0775181 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0100241 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0616203 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.382817 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0101828 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.382817 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.023209 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.000347669 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0659826 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.132574 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.001568 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.132574 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.036275 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0445242 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0472195 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.129303 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0472195 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.121613 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0116566 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0340856 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0116566 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.206011 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.154908 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.206011 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.648891 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0761993 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.203453 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0751357 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.165391 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00688232 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00675368 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.170189 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.03093 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00412762 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.03093 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.102582 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0111452 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00539985 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0333224 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0628346 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00237452 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.235636 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.194587 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.194088 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.194092 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.105326 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.206573 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.105326 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.333298 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.11831 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.212593 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.115494 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.2047 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0486836 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.184176 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.184646 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.193075 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.016273 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0408446 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.016273 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.255435 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0225347 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.177347 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0706188 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0432508 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.11334 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.229877 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.232528 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0266581 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.13649 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0266581 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.201859 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.043229 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0417408 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0432051 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.111426 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00154193 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.220051 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0389149 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.158183 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0389149 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.201787 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0415996 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0421308 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0445762 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.133119 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00245498 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00122349 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.116967 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00122349 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.205315 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.150744 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0424229 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0406949 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0913735 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.011222 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.189701 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0283337 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0818452 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.692413 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.214834 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.552357 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.163635 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0047359 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.029826 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.305716 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00313438 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.10612 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0636069 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.289347 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0134246 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0818452 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.692413 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.214834 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.552357 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.163635 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0047359 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0747689 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0853978 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0404991 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.188158 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0919739 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.151074 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0227189 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0579707 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.00647169 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0612961 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.250689 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0328414 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.419597 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00564197 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0743551 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0185197 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0430123 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0487382 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0269108 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.203759 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.129969 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0987096 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.129969 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.19269 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0109255 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0206727 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0514403 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0320617 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0320546 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00338595 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0246027 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00338595 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0104533 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00251774 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0530136 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.052543 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0411035 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0426094 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.14212 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0426094 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.219678 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0387594 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0773583 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0817399 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0951497 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0675518 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0951497 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.023167 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0288603 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.109078 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0431096 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0146168 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0431096 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0181806 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0700485 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0779351 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0255309 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0779351 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0898175 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0672348 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.572299 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.271004 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.445627 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.627579 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0247253 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0306923 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.017014 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.445627 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.627579 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0388872 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0190286 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00187763 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.000564453 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.174742 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0210935 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00188221 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0133897 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0210935 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0926458 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0476788 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.096983 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0436204 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0409902 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0236042 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0174605 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.050614 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0212689 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0139432 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.050614 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0552579 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0592148 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0485512 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.021408 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.715454 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.71785 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.096366 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.71398 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.750286 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.096366 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.714277 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0487505 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.627884 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.172059 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.710754 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.116775 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.713348 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.777334 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.116775 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.719752 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0599537 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.63461 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.181249 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0705594 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.709872 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.730405 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0705594 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.717375 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0591119 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.625015 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.184444 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00534313 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0599155 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0836168 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0918934 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.511145 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.142502 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.038788 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.770603 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0918589 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.71351 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0441931 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.627548 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.170496 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0162274 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.93814 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0337558 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.647483 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.135276 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0918934 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.511145 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.142502 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.038788 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00734017 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.503461 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0718421 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0295166 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0471804 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0348181 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0122122 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00366201 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.113362 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.000526653 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0626192 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0876051 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0229964 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0981566 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0321472 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.124183 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.023687 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0366677 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.194037 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.152354 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.648173 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.207152 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.219195 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.139838 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.505654 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0172164 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0550648 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0424513 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0172164 # DEPENDENCYPART_SIBL
