# _root_ John Fitzsimmons , chief executive officer of Data Systems , said the company was profitable and expected sales of nearly $ 100 million this year .
#goldHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,17,11,
#predictedHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,21,11,
(2,3),(2,14),0.0712557 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0177935 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0268535 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.00261008 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00864351 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0132922 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0117494 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0110508 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0110599 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0110728 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00205619 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0317502 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00304332 # DEPENDENCYPART_SIBL
(2,4),(2,26),-0.00828181 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0262362 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00629043 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0210541 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0227585 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0400707 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0153408 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0435539 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0278471 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0108313 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0282666 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0238929 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00886272 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0134873 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00106545 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0360045 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0139072 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0159791 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0225044 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0321312 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00391105 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0482885 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0463804 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0419743 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.0112069 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00492229 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0321443 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0712557 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0177935 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0268535 # DEPENDENCYPART_SIBL
(2,10),(2,26),-0.00261008 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0551574 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00378385 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0389375 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0184761 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.00703489 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.00310647 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0215166 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0158398 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.0199786 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0356554 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.008586 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.00962447 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0128901 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.00104341 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.00765 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00645756 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.207147 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0127791 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00978632 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.20927 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0129285 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0186597 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00779186 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.114105 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00552409 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.000814458 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0151813 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00339989 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0912857 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0475587 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0611967 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0998756 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0192961 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00208391 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0652772 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00646314 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0349929 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0703167 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0248628 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0572021 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.192433 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0154723 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.133884 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.109388 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.253324 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.108021 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.139768 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0341601 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00245601 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0370621 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0172573 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0151868 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0136776 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0446619 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0358974 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.010672 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.027896 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00737755 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0201159 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0306463 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0533456 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0295531 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0590023 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0188318 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0302443 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0495497 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0112205 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0087304 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0161306 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0517802 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0423569 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0139855 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0438666 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.048237 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00584851 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00468189 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0242555 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0492443 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0345116 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.000908795 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0449357 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0094971 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00852025 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.017234 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0383089 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.00979588 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0178244 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0489883 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.210678 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0197388 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0114059 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.142446 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0407812 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.015113 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0179745 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0885916 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0371385 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0316865 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0231318 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0614888 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0245537 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.118457 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.278502 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0842596 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0761522 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0798986 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0460461 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0753526 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0972046 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0216094 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.019265 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.03157 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0803202 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0622138 # DEPENDENCYPART_SIBL
(6,4),(6,26),-0.09045 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0982619 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0158572 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00532682 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0167033 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0639747 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0244993 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0162586 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0586107 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0100665 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0232492 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0272427 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0521522 # DEPENDENCYPART_SIBL
(6,5),(6,26),-0.0246282 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00489531 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0145483 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0236487 # DEPENDENCYPART_SIBL
