# _root_ Spiegel also opposes the beeper bill , saying the noise it requires would interfere with customer orders , causing irritation and even errors .
#goldHeads=3,3,0,6,6,3,3,3,10,13,12,10,8,13,14,17,15,14,14,21,19,21,21,3,
#predictedHeads=3,3,0,6,6,3,3,3,10,8,12,10,12,13,14,17,21,21,20,21,15,23,21,3,
(8,19),-1.8337 # DEPENDENCYPART_ARC
(8,20),-2.34235 # DEPENDENCYPART_ARC
(8,21),-0.813981 # DEPENDENCYPART_ARC
(8,24),-1.65658 # DEPENDENCYPART_ARC
(9,12),-1.39896 # DEPENDENCYPART_ARC
(10,4),-2.55489 # DEPENDENCYPART_ARC
(10,5),-2.23784 # DEPENDENCYPART_ARC
(10,8),-0.868003 # DEPENDENCYPART_ARC
(10,9),1.14728 # DEPENDENCYPART_ARC
(10,11),-0.27031 # DEPENDENCYPART_ARC
(10,12),-0.488973 # DEPENDENCYPART_ARC
(10,13),-1.00029 # DEPENDENCYPART_ARC
(10,14),-1.18126 # DEPENDENCYPART_ARC
(10,15),-0.914061 # DEPENDENCYPART_ARC
(10,17),-1.5378 # DEPENDENCYPART_ARC
(10,20),-1.80117 # DEPENDENCYPART_ARC
(10,23),-1.7969 # DEPENDENCYPART_ARC
(11,14),-1.33875 # DEPENDENCYPART_ARC
(12,1),-2.22591 # DEPENDENCYPART_ARC
(12,2),-1.87592 # DEPENDENCYPART_ARC
(12,3),-1.41342 # DEPENDENCYPART_ARC
(12,5),-1.71946 # DEPENDENCYPART_ARC
(12,6),-2.15676 # DEPENDENCYPART_ARC
(12,7),-1.28116 # DEPENDENCYPART_ARC
(12,8),-1.32705 # DEPENDENCYPART_ARC
(12,9),-0.953402 # DEPENDENCYPART_ARC
(12,10),-0.660827 # DEPENDENCYPART_ARC
(12,11),0.975404 # DEPENDENCYPART_ARC
(12,13),0.336962 # DEPENDENCYPART_ARC
(12,14),-0.292277 # DEPENDENCYPART_ARC
(12,15),-1.07304 # DEPENDENCYPART_ARC
(12,17),-1.41383 # DEPENDENCYPART_ARC
(12,18),-1.44068 # DEPENDENCYPART_ARC
(12,21),-1.39587 # DEPENDENCYPART_ARC
(12,24),-1.77679 # DEPENDENCYPART_ARC
(13,1),-1.82821 # DEPENDENCYPART_ARC
(13,2),-1.84201 # DEPENDENCYPART_ARC
(13,3),-1.23999 # DEPENDENCYPART_ARC
(13,4),-1.77218 # DEPENDENCYPART_ARC
(13,6),-1.64388 # DEPENDENCYPART_ARC
(13,7),-1.37798 # DEPENDENCYPART_ARC
(13,8),-1.22238 # DEPENDENCYPART_ARC
(13,9),-1.20229 # DEPENDENCYPART_ARC
(13,10),-0.87343 # DEPENDENCYPART_ARC
(13,11),-0.61045 # DEPENDENCYPART_ARC
(13,12),0.129117 # DEPENDENCYPART_ARC
(13,14),1.42724 # DEPENDENCYPART_ARC
(13,15),-0.751288 # DEPENDENCYPART_ARC
(13,16),-0.926569 # DEPENDENCYPART_ARC
(13,18),-1.17777 # DEPENDENCYPART_ARC
(13,21),-1.17833 # DEPENDENCYPART_ARC
(13,24),-0.622056 # DEPENDENCYPART_ARC
(14,7),-2.24907 # DEPENDENCYPART_ARC
(14,10),-1.57868 # DEPENDENCYPART_ARC
(14,11),-1.8602 # DEPENDENCYPART_ARC
(14,12),-1.6295 # DEPENDENCYPART_ARC
(14,13),-0.679546 # DEPENDENCYPART_ARC
(14,15),0.841479 # DEPENDENCYPART_ARC
(14,16),-0.695655 # DEPENDENCYPART_ARC
(14,17),-0.862705 # DEPENDENCYPART_ARC
(14,18),-1.13095 # DEPENDENCYPART_ARC
(14,19),-1.62511 # DEPENDENCYPART_ARC
(14,20),-2.55189 # DEPENDENCYPART_ARC
(14,21),-1.15837 # DEPENDENCYPART_ARC
(14,23),-2.55115 # DEPENDENCYPART_ARC
(14,24),-1.81747 # DEPENDENCYPART_ARC
(15,16),0.107217 # DEPENDENCYPART_ARC
(15,17),-0.47156 # DEPENDENCYPART_ARC
(15,19),-1.68939 # DEPENDENCYPART_ARC
(15,20),-2.52342 # DEPENDENCYPART_ARC
(15,21),-1.6204 # DEPENDENCYPART_ARC
(15,23),-3.17105 # DEPENDENCYPART_ARC
(16,17),-0.661246 # DEPENDENCYPART_ARC
(16,23),-2.33846 # DEPENDENCYPART_ARC
(17,9),-2.01711 # DEPENDENCYPART_ARC
(17,10),-1.4968 # DEPENDENCYPART_ARC
(17,14),-0.802596 # DEPENDENCYPART_ARC
(17,15),-0.626545 # DEPENDENCYPART_ARC
(17,16),2.05445 # DEPENDENCYPART_ARC
(17,18),0.261513 # DEPENDENCYPART_ARC
(17,19),-1.70581 # DEPENDENCYPART_ARC
(17,20),-1.68536 # DEPENDENCYPART_ARC
(17,21),-1.51623 # DEPENDENCYPART_ARC
(17,22),-2.01257 # DEPENDENCYPART_ARC
(17,23),-1.92406 # DEPENDENCYPART_ARC
(18,19),-0.424575 # DEPENDENCYPART_ARC
(19,15),-1.90306 # DEPENDENCYPART_ARC
(19,17),-2.22571 # DEPENDENCYPART_ARC
(19,18),-0.09678 # DEPENDENCYPART_ARC
(19,20),0.44919 # DEPENDENCYPART_ARC
(19,21),-0.77422 # DEPENDENCYPART_ARC
(19,22),-1.11656 # DEPENDENCYPART_ARC
(19,23),-0.812269 # DEPENDENCYPART_ARC
(19,24),-0.746343 # DEPENDENCYPART_ARC
(20,16),-1.37648 # DEPENDENCYPART_ARC
(20,17),-1.76644 # DEPENDENCYPART_ARC
(20,19),0.821508 # DEPENDENCYPART_ARC
(20,22),-1.32487 # DEPENDENCYPART_ARC
(20,23),-1.67248 # DEPENDENCYPART_ARC
(21,1),-1.64282 # DEPENDENCYPART_ARC
(21,2),-0.527461 # DEPENDENCYPART_ARC
(21,3),-2.59756 # DEPENDENCYPART_ARC
(21,4),-2.74248 # DEPENDENCYPART_ARC
(21,6),-1.48761 # DEPENDENCYPART_ARC
(21,7),-1.98974 # DEPENDENCYPART_ARC
(21,8),-2.06402 # DEPENDENCYPART_ARC
(21,9),-2.65988 # DEPENDENCYPART_ARC
(21,10),-1.80616 # DEPENDENCYPART_ARC
(21,11),-1.42027 # DEPENDENCYPART_ARC
(21,12),-1.94142 # DEPENDENCYPART_ARC
(21,13),-1.17558 # DEPENDENCYPART_ARC
(21,14),-1.81488 # DEPENDENCYPART_ARC
(21,15),-1.48971 # DEPENDENCYPART_ARC
(21,16),-1.34884 # DEPENDENCYPART_ARC
(21,17),-0.968042 # DEPENDENCYPART_ARC
(21,18),-0.687599 # DEPENDENCYPART_ARC
(21,19),-0.440788 # DEPENDENCYPART_ARC
(21,20),1.38035 # DEPENDENCYPART_ARC
(21,22),0.607824 # DEPENDENCYPART_ARC
(21,23),0.676319 # DEPENDENCYPART_ARC
(21,24),-1.17552 # DEPENDENCYPART_ARC
(22,20),-1.57316 # DEPENDENCYPART_ARC
(22,23),-0.600206 # DEPENDENCYPART_ARC
(23,19),-0.92404 # DEPENDENCYPART_ARC
(23,20),-0.808278 # DEPENDENCYPART_ARC
(23,21),-0.365548 # DEPENDENCYPART_ARC
(23,22),1.15858 # DEPENDENCYPART_ARC
(23,24),-0.415599 # DEPENDENCYPART_ARC
(24,22),-0.970232 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.028232 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.101479 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0890031 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.101852 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0500075 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.10177 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.101462 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0951867 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0898629 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0955792 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0265063 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0954563 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0938048 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.165754 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.164771 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.072448 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.164276 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.166555 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.16312 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0735209 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.162626 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.164904 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0725165 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.164356 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.166634 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.10483 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.10483 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.166555 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0226593 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0209016 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0250176 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0207175 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0249305 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00428362 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0250176 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0223823 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0185996 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0188328 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0170818 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00942467 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00127986 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0188328 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.00458664 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0136363 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0131004 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0203385 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0241454 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0136363 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0113393 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0419109 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0231 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00049604 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.036982 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.00261008 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0139931 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0226123 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0155455 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0201988 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.00121489 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0191276 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.00249903 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0487454 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0787904 # DEPENDENCYPART_SIBL
(1,18),(1,24),-0.00261008 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0597587 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.169432 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0879879 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0040835 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0258513 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0170066 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0276772 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0893656 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00446605 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.017494 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0106942 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0258379 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0115906 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00274197 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0112374 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00318695 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0738569 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0106942 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0250652 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.00770067 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.030383 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0722758 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0235943 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00426264 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0628376 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0186288 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0111656 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0353508 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0376613 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0299652 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0689188 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0628376 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0133073 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0242344 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.160882 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0445572 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0367635 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0394711 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0194077 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.042431 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0422928 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0349601 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0435471 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0323909 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0394711 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0329786 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.042579 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.024026 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0160137 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.020992 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0131852 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0208491 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00440768 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0307033 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00589953 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00268814 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.020992 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.00496967 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0194819 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0142644 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0159157 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0296927 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0228516 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0214534 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0532545 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0226724 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0486286 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0159157 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0110413 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0341053 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.021093 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0953895 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0027696 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0345274 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0215337 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0332818 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0547441 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0319443 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0607207 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00198852 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.000994 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.000660117 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00341516 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0136433 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00314939 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00394153 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0491164 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00994378 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0350265 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.0531867 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.015432 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0568197 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.016651 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0358161 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.00829922 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0050199 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0367131 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0125012 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0315103 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0207279 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0204775 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.00778375 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0139335 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.053155 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.0198779 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0137221 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0587632 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.00927282 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.00315264 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0649045 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0138137 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0248175 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.00325241 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0182525 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0575751 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.00245264 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0181496 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.00357384 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0416633 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.0171064 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0607207 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.00198852 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.000994 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.0566401 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.00211652 # DEPENDENCYPART_SIBL
(3,21),(3,24),0.000762091 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0233914 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0100842 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0409026 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0506443 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0255358 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.103513 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0434239 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.109343 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0373605 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.096218 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0355692 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.02075 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0303347 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0220445 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0263097 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0236507 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0153017 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.096218 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0707884 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.00019997 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0207514 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0440398 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00363952 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00318227 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0263774 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0129441 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00307775 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0141545 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00532947 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00178345 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0406257 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00649934 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0263774 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0538807 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0324452 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.00307741 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.141735 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0566251 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.136364 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.161998 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0345048 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.14552 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0437311 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.176951 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0782097 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0304038 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.136364 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0695101 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0870521 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0345049 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0645821 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0749093 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0323946 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0141694 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0393292 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0301127 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0499133 # DEPENDENCYPART_SIBL
