# _root_ Lawrence B. Seidman , 41 years old , was named chairman of this savings and loan institution .
#goldHeads=3,3,9,3,6,3,6,3,0,9,10,11,15,15,12,15,15,9,
#predictedHeads=3,3,9,3,6,7,3,3,0,9,10,11,15,15,12,15,15,9,
(6,8),-1.81926 # DEPENDENCYPART_ARC
(6,9),-1.72794 # DEPENDENCYPART_ARC
(6,10),-2.27376 # DEPENDENCYPART_ARC
(6,11),-1.89016 # DEPENDENCYPART_ARC
(6,12),-2.2176 # DEPENDENCYPART_ARC
(6,15),-1.60193 # DEPENDENCYPART_ARC
(6,18),-2.44276 # DEPENDENCYPART_ARC
(7,3),-1.39116 # DEPENDENCYPART_ARC
(7,4),-1.24326 # DEPENDENCYPART_ARC
(7,5),-0.904566 # DEPENDENCYPART_ARC
(7,6),0.414291 # DEPENDENCYPART_ARC
(7,8),-0.265776 # DEPENDENCYPART_ARC
(7,9),-1.3904 # DEPENDENCYPART_ARC
(7,10),-1.79536 # DEPENDENCYPART_ARC
(7,11),-1.90668 # DEPENDENCYPART_ARC
(7,12),-1.92912 # DEPENDENCYPART_ARC
(7,15),-1.53467 # DEPENDENCYPART_ARC
(7,17),-2.12145 # DEPENDENCYPART_ARC
(7,18),-1.91372 # DEPENDENCYPART_ARC
(9,1),-0.839475 # DEPENDENCYPART_ARC
(9,2),-0.870117 # DEPENDENCYPART_ARC
(9,3),-0.47869 # DEPENDENCYPART_ARC
(9,4),-1.55248 # DEPENDENCYPART_ARC
(9,5),-1.64736 # DEPENDENCYPART_ARC
(9,6),-1.52543 # DEPENDENCYPART_ARC
(9,7),-1.14394 # DEPENDENCYPART_ARC
(9,8),0.922929 # DEPENDENCYPART_ARC
(9,10),1.30514 # DEPENDENCYPART_ARC
(9,11),-0.363686 # DEPENDENCYPART_ARC
(9,12),-1.11854 # DEPENDENCYPART_ARC
(9,13),-1.19707 # DEPENDENCYPART_ARC
(9,14),-1.17489 # DEPENDENCYPART_ARC
(9,15),-0.307275 # DEPENDENCYPART_ARC
(9,17),-1.5392 # DEPENDENCYPART_ARC
(9,18),0.0852733 # DEPENDENCYPART_ARC
(10,2),-2.20562 # DEPENDENCYPART_ARC
(10,3),-2.1287 # DEPENDENCYPART_ARC
(10,4),-3.0581 # DEPENDENCYPART_ARC
(10,6),-2.97017 # DEPENDENCYPART_ARC
(10,7),-2.44468 # DEPENDENCYPART_ARC
(10,9),-1.0321 # DEPENDENCYPART_ARC
(10,11),0.562127 # DEPENDENCYPART_ARC
(10,12),-0.845066 # DEPENDENCYPART_ARC
(10,14),-0.874682 # DEPENDENCYPART_ARC
(10,15),-0.80546 # DEPENDENCYPART_ARC
(10,16),-1.6679 # DEPENDENCYPART_ARC
(10,17),-1.31728 # DEPENDENCYPART_ARC
(10,18),-0.766859 # DEPENDENCYPART_ARC
(11,1),-1.83205 # DEPENDENCYPART_ARC
(11,2),-1.84517 # DEPENDENCYPART_ARC
(11,3),-2.2492 # DEPENDENCYPART_ARC
(11,4),-2.46923 # DEPENDENCYPART_ARC
(11,5),-1.92272 # DEPENDENCYPART_ARC
(11,6),-1.94956 # DEPENDENCYPART_ARC
(11,7),-1.54388 # DEPENDENCYPART_ARC
(11,8),-1.52197 # DEPENDENCYPART_ARC
(11,9),-0.702768 # DEPENDENCYPART_ARC
(11,10),0.697632 # DEPENDENCYPART_ARC
(11,12),0.75297 # DEPENDENCYPART_ARC
(11,13),-1.25152 # DEPENDENCYPART_ARC
(11,14),-1.03544 # DEPENDENCYPART_ARC
(11,15),-0.822236 # DEPENDENCYPART_ARC
(11,16),-1.03456 # DEPENDENCYPART_ARC
(11,17),-1.11196 # DEPENDENCYPART_ARC
(11,18),-1.00221 # DEPENDENCYPART_ARC
(12,11),-0.817491 # DEPENDENCYPART_ARC
(12,13),-8.76274e-05 # DEPENDENCYPART_ARC
(12,14),0.0776149 # DEPENDENCYPART_ARC
(12,15),-1.09054 # DEPENDENCYPART_ARC
(12,16),-1.36915 # DEPENDENCYPART_ARC
(12,17),-1.08255 # DEPENDENCYPART_ARC
(12,18),-1.38587 # DEPENDENCYPART_ARC
(13,14),-0.382855 # DEPENDENCYPART_ARC
(14,12),-1.53335 # DEPENDENCYPART_ARC
(14,13),0.592652 # DEPENDENCYPART_ARC
(14,15),-0.761034 # DEPENDENCYPART_ARC
(14,17),-1.73876 # DEPENDENCYPART_ARC
(15,1),-1.46292 # DEPENDENCYPART_ARC
(15,2),-1.45287 # DEPENDENCYPART_ARC
(15,3),-1.20871 # DEPENDENCYPART_ARC
(15,4),-1.9857 # DEPENDENCYPART_ARC
(15,5),-1.71613 # DEPENDENCYPART_ARC
(15,6),-1.70189 # DEPENDENCYPART_ARC
(15,7),-2.21357 # DEPENDENCYPART_ARC
(15,8),-1.71679 # DEPENDENCYPART_ARC
(15,9),-1.2101 # DEPENDENCYPART_ARC
(15,10),-1.30603 # DEPENDENCYPART_ARC
(15,11),-0.55423 # DEPENDENCYPART_ARC
(15,12),-1.19403 # DEPENDENCYPART_ARC
(15,13),-0.0477921 # DEPENDENCYPART_ARC
(15,14),1.94773 # DEPENDENCYPART_ARC
(15,16),2.18169 # DEPENDENCYPART_ARC
(15,17),0.447811 # DEPENDENCYPART_ARC
(15,18),-1.16332 # DEPENDENCYPART_ARC
(16,13),-2.77449 # DEPENDENCYPART_ARC
(16,17),-0.86313 # DEPENDENCYPART_ARC
(17,7),-2.50796 # DEPENDENCYPART_ARC
(17,8),-1.30974 # DEPENDENCYPART_ARC
(17,9),-1.07442 # DEPENDENCYPART_ARC
(17,11),-1.32149 # DEPENDENCYPART_ARC
(17,12),-0.887493 # DEPENDENCYPART_ARC
(17,13),-0.527791 # DEPENDENCYPART_ARC
(17,14),-0.392569 # DEPENDENCYPART_ARC
(17,15),0.090967 # DEPENDENCYPART_ARC
(17,16),1.91833 # DEPENDENCYPART_ARC
(17,18),-0.3864 # DEPENDENCYPART_ARC
(18,17),-0.692509 # DEPENDENCYPART_ARC
(0,3),(0,7),-0.0206441 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.128771 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.125634 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0487563 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.10513 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0966136 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0835653 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0087651 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0638508 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.229849 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0824809 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.195261 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0800835 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.169973 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.106412 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0220731 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0107645 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.012543 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0213156 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0107645 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0290772 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0201045 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0101635 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0122958 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0208952 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0101635 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0286991 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0206439 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0514971 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0278953 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00738335 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0289639 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0088097 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0225476 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.01125 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0265441 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0157174 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00235903 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0193928 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0167728 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0289639 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0088097 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0052361 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0322213 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0815711 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0273966 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0079493 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0950063 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0815711 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0624789 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0978915 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0132429 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00876033 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0139622 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0114295 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0132429 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0207122 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00937337 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0640754 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0493084 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.100147 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.037649 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0495212 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.095634 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0197213 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.005575 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.023064 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0234674 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00525462 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0202303 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0210474 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0114059 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00652634 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0773157 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00432784 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0251612 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0495212 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.095634 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0147805 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0523827 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0863446 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0239124 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0150762 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0984905 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0863446 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0653491 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0291001 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.105018 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0581781 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0582955 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0426614 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0266888 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0377532 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0423668 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0129501 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0821501 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0377532 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0405652 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00431919 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.074559 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0102599 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0224983 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0146351 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00114595 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0653804 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0512053 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.101156 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0394393 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0505948 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0233297 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0975309 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0218933 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0150436 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0488874 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0051002 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0192239 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00577651 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0244276 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0232446 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0133512 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00475717 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0227036 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00511181 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0162302 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0157444 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0218075 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0237254 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00980737 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00986767 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00840081 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0115397 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0277744 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0143886 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0220397 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0780749 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0043065 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00934681 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0254572 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0231186 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0220552 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0161068 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0121699 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0505948 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0233297 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0975309 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0218933 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0150436 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0488874 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0051002 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0184924 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0144858 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.00509641 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0392889 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0196513 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.00413649 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0079467 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0151503 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0157362 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0027903 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0189088 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.00973132 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.031427 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0035081 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0484875 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0588807 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0250871 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0331635 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.0377227 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.00447294 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0280481 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.012089 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.151254 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0579016 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0549964 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0150157 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.152107 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0606175 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0522306 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0190143 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00106799 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0608544 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.198919 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0129953 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0086809 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0905185 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0163281 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0264222 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0421677 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0666711 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0684279 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0262678 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0405747 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00433139 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0896319 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0166865 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0449747 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0176751 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0572874 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00338332 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0814576 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0520874 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0223236 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0157908 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0204496 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0591724 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0312318 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.00917741 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0101597 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00684751 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0787159 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0490397 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.013055 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0225993 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.01365 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0671691 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0270708 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00552561 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00807805 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0192942 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0659129 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0734597 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0581779 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.018196 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00197373 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.221315 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0564535 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0328514 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0373536 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0973219 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0378832 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00800065 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0162719 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0174176 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0732726 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0288513 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0351139 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0174026 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00374851 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00453183 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00750082 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0369395 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.00264958 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0167733 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0104905 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0499036 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0191907 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0213674 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0296017 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0214798 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0259042 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0124641 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0459252 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0107068 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00347165 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00778259 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0090999 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0123386 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00476801 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0361962 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0437941 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0415585 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0170748 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0013468 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.20729 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00365155 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0200162 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0238361 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0410671 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0037195 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0359544 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0189504 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00397605 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0288176 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.001731 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00080495 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0599687 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.433433 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0643277 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0227864 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00520464 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.101202 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00206715 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00291148 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00861473 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0252456 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0823021 # DEPENDENCYPART_SIBL
