# _root_ Computers that once were the state of the art , The marvels bought three years ago , Are now obsolete .
#goldHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
#predictedHeads=18,4,4,1,6,4,6,9,7,1,12,1,12,15,16,13,1,0,18,18,18,
(9,17),-1.50734 # DEPENDENCYPART_ARC
(9,18),-2.33368 # DEPENDENCYPART_ARC
(9,19),-1.6681 # DEPENDENCYPART_ARC
(9,20),-1.91671 # DEPENDENCYPART_ARC
(9,21),-1.98228 # DEPENDENCYPART_ARC
(11,10),-0.168888 # DEPENDENCYPART_ARC
(11,13),-1.2771 # DEPENDENCYPART_ARC
(12,8),-1.62891 # DEPENDENCYPART_ARC
(12,9),-2.21395 # DEPENDENCYPART_ARC
(12,10),-1.39658 # DEPENDENCYPART_ARC
(12,11),1.00336 # DEPENDENCYPART_ARC
(12,13),-0.134616 # DEPENDENCYPART_ARC
(12,14),-1.2724 # DEPENDENCYPART_ARC
(12,15),-1.31759 # DEPENDENCYPART_ARC
(12,16),-1.23296 # DEPENDENCYPART_ARC
(12,17),-1.87429 # DEPENDENCYPART_ARC
(12,18),-2.2206 # DEPENDENCYPART_ARC
(12,19),-1.80332 # DEPENDENCYPART_ARC
(12,20),-2.05714 # DEPENDENCYPART_ARC
(12,21),-2.00656 # DEPENDENCYPART_ARC
(13,1),-3.0124 # DEPENDENCYPART_ARC
(13,2),-2.52968 # DEPENDENCYPART_ARC
(13,4),-2.52333 # DEPENDENCYPART_ARC
(13,6),-2.54675 # DEPENDENCYPART_ARC
(13,7),-2.42996 # DEPENDENCYPART_ARC
(13,9),-2.60064 # DEPENDENCYPART_ARC
(13,10),-1.59356 # DEPENDENCYPART_ARC
(13,11),-1.6016 # DEPENDENCYPART_ARC
(13,12),0.00335825 # DEPENDENCYPART_ARC
(13,14),-0.403361 # DEPENDENCYPART_ARC
(13,15),-0.251642 # DEPENDENCYPART_ARC
(13,16),-0.788985 # DEPENDENCYPART_ARC
(13,17),-1.28026 # DEPENDENCYPART_ARC
(13,18),-1.81973 # DEPENDENCYPART_ARC
(13,19),-2.46011 # DEPENDENCYPART_ARC
(13,20),-2.23715 # DEPENDENCYPART_ARC
(13,21),-1.74308 # DEPENDENCYPART_ARC
(14,9),-1.72015 # DEPENDENCYPART_ARC
(14,11),-1.04181 # DEPENDENCYPART_ARC
(14,13),0.114958 # DEPENDENCYPART_ARC
(14,16),-1.38706 # DEPENDENCYPART_ARC
(14,18),-1.91216 # DEPENDENCYPART_ARC
(15,8),-2.62014 # DEPENDENCYPART_ARC
(15,10),-2.02498 # DEPENDENCYPART_ARC
(15,11),-1.3521 # DEPENDENCYPART_ARC
(15,12),-1.38467 # DEPENDENCYPART_ARC
(15,13),-1.13133 # DEPENDENCYPART_ARC
(15,14),1.14922 # DEPENDENCYPART_ARC
(15,16),-0.0861074 # DEPENDENCYPART_ARC
(15,17),-1.78079 # DEPENDENCYPART_ARC
(15,18),-1.79874 # DEPENDENCYPART_ARC
(15,19),-1.93202 # DEPENDENCYPART_ARC
(15,20),-2.26953 # DEPENDENCYPART_ARC
(15,21),-2.2052 # DEPENDENCYPART_ARC
(16,12),-1.04968 # DEPENDENCYPART_ARC
(16,14),-0.956246 # DEPENDENCYPART_ARC
(16,15),0.249157 # DEPENDENCYPART_ARC
(16,17),-0.355869 # DEPENDENCYPART_ARC
(16,18),-1.50282 # DEPENDENCYPART_ARC
(16,19),-1.91788 # DEPENDENCYPART_ARC
(16,20),-2.02133 # DEPENDENCYPART_ARC
(17,16),-0.183886 # DEPENDENCYPART_ARC
(18,1),-0.824897 # DEPENDENCYPART_ARC
(18,3),-0.978585 # DEPENDENCYPART_ARC
(18,4),-1.28424 # DEPENDENCYPART_ARC
(18,6),-0.824074 # DEPENDENCYPART_ARC
(18,7),-1.29992 # DEPENDENCYPART_ARC
(18,9),-0.451106 # DEPENDENCYPART_ARC
(18,10),-1.90075 # DEPENDENCYPART_ARC
(18,11),-1.99124 # DEPENDENCYPART_ARC
(18,12),-1.86912 # DEPENDENCYPART_ARC
(18,13),-1.21566 # DEPENDENCYPART_ARC
(18,14),-1.49484 # DEPENDENCYPART_ARC
(18,15),-1.36709 # DEPENDENCYPART_ARC
(18,16),-0.625217 # DEPENDENCYPART_ARC
(18,17),0.898854 # DEPENDENCYPART_ARC
(18,19),0.588896 # DEPENDENCYPART_ARC
(18,20),0.198232 # DEPENDENCYPART_ARC
(18,21),0.106719 # DEPENDENCYPART_ARC
(19,1),-1.88107 # DEPENDENCYPART_ARC
(19,6),-1.83814 # DEPENDENCYPART_ARC
(19,9),-1.86686 # DEPENDENCYPART_ARC
(19,12),-2.30146 # DEPENDENCYPART_ARC
(19,15),-2.12284 # DEPENDENCYPART_ARC
(19,20),-0.34812 # DEPENDENCYPART_ARC
(19,21),-1.26828 # DEPENDENCYPART_ARC
(20,6),-1.18093 # DEPENDENCYPART_ARC
(20,9),-1.15392 # DEPENDENCYPART_ARC
(20,15),-1.50508 # DEPENDENCYPART_ARC
(20,16),-1.28009 # DEPENDENCYPART_ARC
(20,17),-1.07603 # DEPENDENCYPART_ARC
(20,19),0.867519 # DEPENDENCYPART_ARC
(20,21),-0.35906 # DEPENDENCYPART_ARC
(21,20),-0.477949 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.121272 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.118704 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.116998 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.2274 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.231373 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.228923 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00673539 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0486121 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0302433 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0508803 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0471691 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0508805 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.000857326 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.057118 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0471691 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.017389 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0268961 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0166935 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00611189 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0144843 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0234245 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.014484 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0167696 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0122651 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0234245 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0218577 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0108997 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00342028 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00977484 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.00884708 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00977437 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0216982 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00934296 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.00884708 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.030593 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0191783 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0393374 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0288877 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0393636 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0489382 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0378542 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0288877 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0748927 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0258411 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0187009 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.00778543 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0186792 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00735402 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0187009 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0269889 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0221876 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0447829 # DEPENDENCYPART_SIBL
(1,10),(1,13),-1.36609e-05 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.051745 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0252381 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0115338 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.00280164 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0195416 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.00734007 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0146049 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0278513 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0261865 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.00862903 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0113307 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.022108 # DEPENDENCYPART_SIBL
(1,13),(1,21),-0.00158442 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0224001 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.0185435 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.0220206 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0115338 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.00280164 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0645975 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00935324 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.203288 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.043511 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0332841 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0795052 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.000241857 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.129358 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0049334 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.111884 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00445918 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0296784 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.111884 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0295914 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00636075 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0249106 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.008537 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0439026 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00636075 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0448095 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.015739 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.00511911 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.032167 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00362827 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0722981 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0373057 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.131169 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0722981 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0489005 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.103846 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0442663 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0392655 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0716674 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.103846 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0528233 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.013738 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0251811 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.19528 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0567637 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0363762 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00950435 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0567637 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0129338 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0239087 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.02153 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0320353 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0087939 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0239087 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0123011 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00938049 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0111211 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0193518 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0134263 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0629333 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0261527 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0147144 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0160403 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0147144 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0390023 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0535938 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0160403 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0393726 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0370982 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0217268 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0190105 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0359799 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0547887 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0390187 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0248057 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0390185 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0462413 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.055511 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0248057 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0244509 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0864336 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0430269 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0238683 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0885405 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00515422 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00370053 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.00512892 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0862282 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.104186 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.00370053 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0908885 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0421677 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0477179 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0600169 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0147144 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0160403 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0147144 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0390023 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0535938 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0160403 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0393726 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0370982 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0217268 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0190105 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0232781 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.045905 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0489652 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0678666 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0232781 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0265897 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0861249 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0467777 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0291114 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.00796626 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0116765 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0105778 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0016087 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0129351 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0101905 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00540593 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00651999 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0588895 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0845413 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0396713 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.036514 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0943232 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.054976 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0293143 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0304358 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0385384 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0572631 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0664907 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0494603 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.0107406 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.000505773 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.00767828 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.00056157 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0188044 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0534627 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0129351 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0101905 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.00540593 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.00651999 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0795825 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0748923 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.00578175 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0180649 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.00864808 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.00887616 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0136712 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0069693 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0209172 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.145373 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0186365 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0991566 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00901657 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0453179 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00906367 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00971757 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0155101 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0543288 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0453179 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.021304 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0701882 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00175332 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0114876 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0580352 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0106764 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0944498 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.112332 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0782937 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0763091 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0461499 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0763087 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00840444 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0748684 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0979482 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0461499 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0128961 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00228673 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0476432 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.120913 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0165877 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0234405 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.04681 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0764594 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00916598 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.000350153 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0111474 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00647487 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00866676 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0408938 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.000350153 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0225808 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0142672 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00164139 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0283257 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0125437 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0138294 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0874627 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0130907 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0152772 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0130863 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0530634 # DEPENDENCYPART_SIBL
