# _root_ `` The way the world is shaping up , the strategic buyer is going to be the rule and the financial buyer is going to be the exception , '' said one trader .
#goldHeads=31,3,19,5,6,3,6,7,19,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
#predictedHeads=31,3,13,5,6,3,6,7,13,12,12,13,19,13,16,14,18,16,31,22,22,23,19,23,26,24,28,26,31,31,0,33,31,31,
(10,11),-0.586719 # DEPENDENCYPART_ARC
(10,14),-1.60054 # DEPENDENCYPART_ARC
(11,3),-2.12595 # DEPENDENCYPART_ARC
(11,10),-0.0181845 # DEPENDENCYPART_ARC
(11,14),-1.43428 # DEPENDENCYPART_ARC
(12,7),-1.68106 # DEPENDENCYPART_ARC
(12,9),-1.49821 # DEPENDENCYPART_ARC
(12,10),0.249552 # DEPENDENCYPART_ARC
(12,11),1.49142 # DEPENDENCYPART_ARC
(12,13),-0.444602 # DEPENDENCYPART_ARC
(12,14),-1.25356 # DEPENDENCYPART_ARC
(12,16),-1.60122 # DEPENDENCYPART_ARC
(13,1),-1.3 # DEPENDENCYPART_ARC
(13,3),-1.54285 # DEPENDENCYPART_ARC
(13,5),-1.80121 # DEPENDENCYPART_ARC
(13,6),-1.50765 # DEPENDENCYPART_ARC
(13,7),-1.21224 # DEPENDENCYPART_ARC
(13,9),-0.610637 # DEPENDENCYPART_ARC
(13,10),-0.993525 # DEPENDENCYPART_ARC
(13,11),-0.752083 # DEPENDENCYPART_ARC
(13,12),1.08458 # DEPENDENCYPART_ARC
(13,14),1.63606 # DEPENDENCYPART_ARC
(13,15),-1.00462 # DEPENDENCYPART_ARC
(13,16),-0.727712 # DEPENDENCYPART_ARC
(13,18),-1.2943 # DEPENDENCYPART_ARC
(13,19),-0.598007 # DEPENDENCYPART_ARC
(13,22),-1.70682 # DEPENDENCYPART_ARC
(13,23),-1.52064 # DEPENDENCYPART_ARC
(13,24),-1.27063 # DEPENDENCYPART_ARC
(13,26),-1.73845 # DEPENDENCYPART_ARC
(13,29),-1.73379 # DEPENDENCYPART_ARC
(13,30),-0.692365 # DEPENDENCYPART_ARC
(13,34),-2.04232 # DEPENDENCYPART_ARC
(14,12),-1.50883 # DEPENDENCYPART_ARC
(14,15),0.251424 # DEPENDENCYPART_ARC
(14,16),0.069097 # DEPENDENCYPART_ARC
(14,18),-0.912967 # DEPENDENCYPART_ARC
(14,19),-0.695023 # DEPENDENCYPART_ARC
(14,22),-1.41956 # DEPENDENCYPART_ARC
(14,23),-1.22179 # DEPENDENCYPART_ARC
(14,24),-1.29918 # DEPENDENCYPART_ARC
(14,26),-1.27525 # DEPENDENCYPART_ARC
(14,28),-1.53902 # DEPENDENCYPART_ARC
(14,29),-1.82677 # DEPENDENCYPART_ARC
(14,30),-1.12699 # DEPENDENCYPART_ARC
(14,31),-2.80765 # DEPENDENCYPART_ARC
(14,34),-2.77124 # DEPENDENCYPART_ARC
(15,16),-0.572216 # DEPENDENCYPART_ARC
(15,18),-1.99788 # DEPENDENCYPART_ARC
(15,19),-1.94315 # DEPENDENCYPART_ARC
(15,22),-2.56626 # DEPENDENCYPART_ARC
(16,3),-2.58211 # DEPENDENCYPART_ARC
(16,5),-2.93255 # DEPENDENCYPART_ARC
(16,6),-1.65066 # DEPENDENCYPART_ARC
(16,9),-1.75886 # DEPENDENCYPART_ARC
(16,11),-1.47962 # DEPENDENCYPART_ARC
(16,12),-1.30837 # DEPENDENCYPART_ARC
(16,13),-1.52497 # DEPENDENCYPART_ARC
(16,14),-1.04573 # DEPENDENCYPART_ARC
(16,15),1.48107 # DEPENDENCYPART_ARC
(16,17),-0.0207289 # DEPENDENCYPART_ARC
(16,18),0.228803 # DEPENDENCYPART_ARC
(16,19),-0.499779 # DEPENDENCYPART_ARC
(16,20),-1.33284 # DEPENDENCYPART_ARC
(16,21),-1.21684 # DEPENDENCYPART_ARC
(16,22),-0.709098 # DEPENDENCYPART_ARC
(16,23),-1.12462 # DEPENDENCYPART_ARC
(16,24),-1.55169 # DEPENDENCYPART_ARC
(16,26),-1.39084 # DEPENDENCYPART_ARC
(16,28),-1.31433 # DEPENDENCYPART_ARC
(16,29),-1.66797 # DEPENDENCYPART_ARC
(16,31),-2.95913 # DEPENDENCYPART_ARC
(16,33),-2.45129 # DEPENDENCYPART_ARC
(17,16),-0.30571 # DEPENDENCYPART_ARC
(18,16),-0.685265 # DEPENDENCYPART_ARC
(18,17),1.4213 # DEPENDENCYPART_ARC
(18,22),-1.7271 # DEPENDENCYPART_ARC
(18,23),-1.55516 # DEPENDENCYPART_ARC
(19,1),-1.23037 # DEPENDENCYPART_ARC
(19,3),-2.41401 # DEPENDENCYPART_ARC
(19,5),-2.40407 # DEPENDENCYPART_ARC
(19,6),-2.69831 # DEPENDENCYPART_ARC
(19,7),-2.69072 # DEPENDENCYPART_ARC
(19,9),-1.24292 # DEPENDENCYPART_ARC
(19,10),-2.11042 # DEPENDENCYPART_ARC
(19,11),-1.92882 # DEPENDENCYPART_ARC
(19,12),-1.41617 # DEPENDENCYPART_ARC
(19,13),-1.42749 # DEPENDENCYPART_ARC
(19,14),-1.63846 # DEPENDENCYPART_ARC
(19,15),-1.12624 # DEPENDENCYPART_ARC
(19,16),-0.989114 # DEPENDENCYPART_ARC
(19,17),-0.561842 # DEPENDENCYPART_ARC
(19,18),0.574691 # DEPENDENCYPART_ARC
(19,20),0.0719784 # DEPENDENCYPART_ARC
(19,21),-0.436407 # DEPENDENCYPART_ARC
(19,22),0.032985 # DEPENDENCYPART_ARC
(19,23),-0.775225 # DEPENDENCYPART_ARC
(19,24),-1.72474 # DEPENDENCYPART_ARC
(19,25),-1.54552 # DEPENDENCYPART_ARC
(19,26),-1.83683 # DEPENDENCYPART_ARC
(19,28),-1.40184 # DEPENDENCYPART_ARC
(19,29),-1.44914 # DEPENDENCYPART_ARC
(19,30),-0.682455 # DEPENDENCYPART_ARC
(19,31),-2.91617 # DEPENDENCYPART_ARC
(19,33),-2.29789 # DEPENDENCYPART_ARC
(19,34),-1.03453 # DEPENDENCYPART_ARC
(20,21),-0.639814 # DEPENDENCYPART_ARC
(20,24),-1.65949 # DEPENDENCYPART_ARC
(21,17),-1.58182 # DEPENDENCYPART_ARC
(21,18),-1.19064 # DEPENDENCYPART_ARC
(21,20),-0.0194536 # DEPENDENCYPART_ARC
(21,23),-0.996943 # DEPENDENCYPART_ARC
(21,24),-1.43532 # DEPENDENCYPART_ARC
(21,26),-1.53567 # DEPENDENCYPART_ARC
(22,11),-1.8431 # DEPENDENCYPART_ARC
(22,17),-1.15423 # DEPENDENCYPART_ARC
(22,18),-1.1584 # DEPENDENCYPART_ARC
(22,19),-0.833775 # DEPENDENCYPART_ARC
(22,20),0.324457 # DEPENDENCYPART_ARC
(22,21),1.54269 # DEPENDENCYPART_ARC
(22,23),-0.443593 # DEPENDENCYPART_ARC
(22,24),-1.25255 # DEPENDENCYPART_ARC
(22,26),-1.60021 # DEPENDENCYPART_ARC
(23,1),-1.02566 # DEPENDENCYPART_ARC
(23,3),-1.433 # DEPENDENCYPART_ARC
(23,5),-1.92261 # DEPENDENCYPART_ARC
(23,6),-1.72704 # DEPENDENCYPART_ARC
(23,7),-1.51438 # DEPENDENCYPART_ARC
(23,9),-1.42649 # DEPENDENCYPART_ARC
(23,10),-1.62209 # DEPENDENCYPART_ARC
(23,11),-1.10163 # DEPENDENCYPART_ARC
(23,12),-0.571994 # DEPENDENCYPART_ARC
(23,13),-1.53555 # DEPENDENCYPART_ARC
(23,14),-1.19539 # DEPENDENCYPART_ARC
(23,15),-1.63887 # DEPENDENCYPART_ARC
(23,16),-1.64252 # DEPENDENCYPART_ARC
(23,17),-1.2579 # DEPENDENCYPART_ARC
(23,18),-0.480901 # DEPENDENCYPART_ARC
(23,19),-0.564112 # DEPENDENCYPART_ARC
(23,20),-0.951776 # DEPENDENCYPART_ARC
(23,21),-0.752779 # DEPENDENCYPART_ARC
(23,22),1.08458 # DEPENDENCYPART_ARC
(23,24),1.63606 # DEPENDENCYPART_ARC
(23,25),-1.00462 # DEPENDENCYPART_ARC
(23,26),-0.727712 # DEPENDENCYPART_ARC
(23,28),-1.37045 # DEPENDENCYPART_ARC
(23,29),-1.28978 # DEPENDENCYPART_ARC
(23,30),-1.13833 # DEPENDENCYPART_ARC
(23,31),-2.47206 # DEPENDENCYPART_ARC
(23,33),-2.49272 # DEPENDENCYPART_ARC
(23,34),-1.5712 # DEPENDENCYPART_ARC
(24,18),-1.74595 # DEPENDENCYPART_ARC
(24,22),-1.50883 # DEPENDENCYPART_ARC
(24,25),0.251424 # DEPENDENCYPART_ARC
(24,26),0.069097 # DEPENDENCYPART_ARC
(24,28),-0.942596 # DEPENDENCYPART_ARC
(24,29),-1.50894 # DEPENDENCYPART_ARC
(24,31),-2.13937 # DEPENDENCYPART_ARC
(24,33),-2.26507 # DEPENDENCYPART_ARC
(24,34),-2.19424 # DEPENDENCYPART_ARC
(25,26),-0.572216 # DEPENDENCYPART_ARC
(25,28),-2.0075 # DEPENDENCYPART_ARC
(25,31),-2.58985 # DEPENDENCYPART_ARC
(25,33),-3.43483 # DEPENDENCYPART_ARC
(26,12),-1.63444 # DEPENDENCYPART_ARC
(26,13),-1.88168 # DEPENDENCYPART_ARC
(26,18),-1.25346 # DEPENDENCYPART_ARC
(26,20),-1.62264 # DEPENDENCYPART_ARC
(26,21),-1.48032 # DEPENDENCYPART_ARC
(26,22),-1.30837 # DEPENDENCYPART_ARC
(26,25),1.48107 # DEPENDENCYPART_ARC
(26,27),-0.0207289 # DEPENDENCYPART_ARC
(26,28),0.251944 # DEPENDENCYPART_ARC
(26,29),-1.11641 # DEPENDENCYPART_ARC
(26,30),-1.43666 # DEPENDENCYPART_ARC
(26,31),-1.94791 # DEPENDENCYPART_ARC
(26,32),-2.17592 # DEPENDENCYPART_ARC
(26,33),-1.92396 # DEPENDENCYPART_ARC
(28,25),-1.69466 # DEPENDENCYPART_ARC
(28,27),1.18095 # DEPENDENCYPART_ARC
(28,29),-0.381457 # DEPENDENCYPART_ARC
(28,30),-1.51646 # DEPENDENCYPART_ARC
(28,31),-2.03912 # DEPENDENCYPART_ARC
(28,32),-2.45182 # DEPENDENCYPART_ARC
(28,33),-2.04799 # DEPENDENCYPART_ARC
(31,1),0.713166 # DEPENDENCYPART_ARC
(31,3),-1.84385 # DEPENDENCYPART_ARC
(31,5),-2.39097 # DEPENDENCYPART_ARC
(31,6),-1.66733 # DEPENDENCYPART_ARC
(31,7),-2.01009 # DEPENDENCYPART_ARC
(31,9),-2.77149 # DEPENDENCYPART_ARC
(31,12),-3.05122 # DEPENDENCYPART_ARC
(31,13),-1.62511 # DEPENDENCYPART_ARC
(31,14),-1.79933 # DEPENDENCYPART_ARC
(31,16),-2.13646 # DEPENDENCYPART_ARC
(31,19),-1.31669 # DEPENDENCYPART_ARC
(31,22),-2.61874 # DEPENDENCYPART_ARC
(31,23),-1.22635 # DEPENDENCYPART_ARC
(31,24),-1.21098 # DEPENDENCYPART_ARC
(31,25),-1.80951 # DEPENDENCYPART_ARC
(31,26),-1.36199 # DEPENDENCYPART_ARC
(31,27),-1.7862 # DEPENDENCYPART_ARC
(31,28),-1.71868 # DEPENDENCYPART_ARC
(31,29),-0.452906 # DEPENDENCYPART_ARC
(31,30),0.490239 # DEPENDENCYPART_ARC
(31,32),0.333327 # DEPENDENCYPART_ARC
(31,33),0.145964 # DEPENDENCYPART_ARC
(31,34),0.622438 # DEPENDENCYPART_ARC
(32,28),-1.95379 # DEPENDENCYPART_ARC
(32,33),-0.318631 # DEPENDENCYPART_ARC
(33,27),-1.95012 # DEPENDENCYPART_ARC
(33,28),-2.0789 # DEPENDENCYPART_ARC
(33,30),-1.3094 # DEPENDENCYPART_ARC
(33,31),-0.815109 # DEPENDENCYPART_ARC
(33,32),1.2274 # DEPENDENCYPART_ARC
(33,34),-0.238093 # DEPENDENCYPART_ARC
(34,33),-0.614355 # DEPENDENCYPART_ARC
(0,6),(0,13),-0.256252 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.256252 # DEPENDENCYPART_SIBL
(0,6),(0,31),-0.282613 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.256252 # DEPENDENCYPART_SIBL
(0,13),(0,31),-0.282613 # DEPENDENCYPART_SIBL
(0,23),(0,31),-0.282613 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0318978 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0105666 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0230622 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0770575 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0292621 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0123919 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.109822 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0759941 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0292621 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00591238 # DEPENDENCYPART_SIBL
(3,1),(3,34),-0.0148016 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0302199 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0788727 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.316967 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.296847 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.111636 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.068304 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.316967 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0466888 # DEPENDENCYPART_SIBL
(3,2),(3,34),-0.000299024 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0240636 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0504009 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0419549 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0173724 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0241716 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0504009 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0257764 # DEPENDENCYPART_SIBL
(3,4),(3,34),-0.0116315 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0234663 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0184699 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00386928 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0176682 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0234663 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0508302 # DEPENDENCYPART_SIBL
(3,5),(3,34),0.0149159 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0630976 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0149199 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0442409 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0685501 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0713436 # DEPENDENCYPART_SIBL
(3,6),(3,34),0.0210376 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0174942 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0180214 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.031715 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0386422 # DEPENDENCYPART_SIBL
(3,7),(3,34),-0.00837455 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0368924 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0207084 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.000183766 # DEPENDENCYPART_SIBL
(3,9),(3,34),-0.00482115 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0319802 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0495852 # DEPENDENCYPART_SIBL
(3,12),(3,34),0.0161853 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0713436 # DEPENDENCYPART_SIBL
(3,13),(3,34),0.0210376 # DEPENDENCYPART_SIBL
(3,19),(3,34),-0.0023581 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0218151 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0264077 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0218091 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0264077 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00258795 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00719417 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0250932 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.384705 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.147635 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.1221 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.169091 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0273381 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00514319 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.147635 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.1221 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0410538 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0315435 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00919118 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0315435 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0266546 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0193102 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0851012 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.109165 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0152795 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0515742 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0102268 # DEPENDENCYPART_SIBL
(6,1),(6,30),0.407754 # DEPENDENCYPART_SIBL
(6,1),(6,34),0.0387898 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.085543 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.307898 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0902601 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.177229 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.213422 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.070505 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.151523 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.145575 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.135339 # DEPENDENCYPART_SIBL
(6,2),(6,30),-0.129033 # DEPENDENCYPART_SIBL
(6,2),(6,34),-0.170206 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.133283 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.151583 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0539782 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0551352 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00579664 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0518025 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.137941 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.0416659 # DEPENDENCYPART_SIBL
(6,3),(6,30),0.0422265 # DEPENDENCYPART_SIBL
(6,3),(6,34),0.0692801 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0902601 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.177229 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.213422 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.070505 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.151523 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.145575 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.135339 # DEPENDENCYPART_SIBL
(6,4),(6,30),-0.129033 # DEPENDENCYPART_SIBL
(6,4),(6,34),-0.170206 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0238003 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0101052 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0358566 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0225082 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0490826 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00842302 # DEPENDENCYPART_SIBL
(6,5),(6,30),-0.008774 # DEPENDENCYPART_SIBL
(6,5),(6,34),-0.0285418 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.100126 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0612044 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0219535 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0524128 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.10092 # DEPENDENCYPART_SIBL
(6,7),(6,30),-0.028627 # DEPENDENCYPART_SIBL
(6,7),(6,34),-0.00616611 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0848334 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0192048 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0161338 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0599075 # DEPENDENCYPART_SIBL
(6,8),(6,30),-0.0821217 # DEPENDENCYPART_SIBL
(6,8),(6,34),-0.0731102 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0754208 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0364032 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.011358 # DEPENDENCYPART_SIBL
(6,9),(6,30),0.00730027 # DEPENDENCYPART_SIBL
(6,9),(6,34),0.00253211 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0427766 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.100421 # DEPENDENCYPART_SIBL
(6,13),(6,30),0.0278137 # DEPENDENCYPART_SIBL
(6,13),(6,34),0.0251879 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.111811 # DEPENDENCYPART_SIBL
(6,14),(6,30),-0.0195132 # DEPENDENCYPART_SIBL
(6,14),(6,34),0.000114106 # DEPENDENCYPART_SIBL
(6,19),(6,30),0.0286498 # DEPENDENCYPART_SIBL
(6,19),(6,34),0.00783982 # DEPENDENCYPART_SIBL
(6,30),(6,34),-0.0556428 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.10815 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0399209 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0382942 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00649346 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.103316 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0126579 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0113678 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00255474 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0814028 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00408349 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.016021 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.00255474 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0814028 # DEPENDENCYPART_SIBL
(7,3),(7,29),-0.00649346 # DEPENDENCYPART_SIBL
(7,3),(7,30),0.0109116 # DEPENDENCYPART_SIBL
(7,3),(7,34),0.0563344 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0388512 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0249683 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.017933 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.115356 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0246642 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0379656 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0337313 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.035678 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0403776 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.00236022 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.0337313 # DEPENDENCYPART_SIBL
(7,5),(7,24),0.035678 # DEPENDENCYPART_SIBL
(7,5),(7,29),-0.017933 # DEPENDENCYPART_SIBL
