# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(5,10),-2.10366 # DEPENDENCYPART_ARC
(5,11),-1.85138 # DEPENDENCYPART_ARC
(5,12),-1.22958 # DEPENDENCYPART_ARC
(5,15),-2.90218 # DEPENDENCYPART_ARC
(5,16),-2.25772 # DEPENDENCYPART_ARC
(5,19),-3.18162 # DEPENDENCYPART_ARC
(6,3),-2.44844 # DEPENDENCYPART_ARC
(6,5),-2.03577 # DEPENDENCYPART_ARC
(7,3),-2.32379 # DEPENDENCYPART_ARC
(7,5),-2.57268 # DEPENDENCYPART_ARC
(7,6),-1.34049 # DEPENDENCYPART_ARC
(7,11),-3.04157 # DEPENDENCYPART_ARC
(8,1),-0.352182 # DEPENDENCYPART_ARC
(8,2),-1.87924 # DEPENDENCYPART_ARC
(8,3),-1.11258 # DEPENDENCYPART_ARC
(8,4),-1.98881 # DEPENDENCYPART_ARC
(8,5),-1.37347 # DEPENDENCYPART_ARC
(8,6),-0.244317 # DEPENDENCYPART_ARC
(8,7),0.0740714 # DEPENDENCYPART_ARC
(8,9),-0.631866 # DEPENDENCYPART_ARC
(8,10),-1.03555 # DEPENDENCYPART_ARC
(8,11),-0.874755 # DEPENDENCYPART_ARC
(8,12),-1.10978 # DEPENDENCYPART_ARC
(8,15),-1.69451 # DEPENDENCYPART_ARC
(8,16),-0.89956 # DEPENDENCYPART_ARC
(8,19),-2.55373 # DEPENDENCYPART_ARC
(8,20),-2.03277 # DEPENDENCYPART_ARC
(8,22),-1.85308 # DEPENDENCYPART_ARC
(8,23),-2.70151 # DEPENDENCYPART_ARC
(8,24),-0.348176 # DEPENDENCYPART_ARC
(8,26),-2.98656 # DEPENDENCYPART_ARC
(8,27),0.957637 # DEPENDENCYPART_ARC
(9,10),-1.58276 # DEPENDENCYPART_ARC
(9,11),-2.00747 # DEPENDENCYPART_ARC
(9,12),-1.42022 # DEPENDENCYPART_ARC
(9,15),-3.06196 # DEPENDENCYPART_ARC
(10,5),-2.83387 # DEPENDENCYPART_ARC
(10,7),-2.59512 # DEPENDENCYPART_ARC
(10,9),0.242284 # DEPENDENCYPART_ARC
(10,11),-0.292836 # DEPENDENCYPART_ARC
(10,12),-0.751831 # DEPENDENCYPART_ARC
(10,14),-2.22963 # DEPENDENCYPART_ARC
(10,15),-2.07093 # DEPENDENCYPART_ARC
(10,16),-2.31697 # DEPENDENCYPART_ARC
(10,19),-3.80419 # DEPENDENCYPART_ARC
(10,24),-2.61916 # DEPENDENCYPART_ARC
(11,1),-2.31571 # DEPENDENCYPART_ARC
(11,3),-2.50331 # DEPENDENCYPART_ARC
(11,4),-2.07424 # DEPENDENCYPART_ARC
(11,5),-2.69964 # DEPENDENCYPART_ARC
(11,6),-2.09378 # DEPENDENCYPART_ARC
(11,7),-1.9431 # DEPENDENCYPART_ARC
(11,8),-1.34382 # DEPENDENCYPART_ARC
(11,9),1.14013 # DEPENDENCYPART_ARC
(11,10),1.17323 # DEPENDENCYPART_ARC
(11,12),0.154705 # DEPENDENCYPART_ARC
(11,13),-1.78888 # DEPENDENCYPART_ARC
(11,14),-1.68454 # DEPENDENCYPART_ARC
(11,15),-1.40822 # DEPENDENCYPART_ARC
(11,16),-1.81685 # DEPENDENCYPART_ARC
(11,18),-3.4827 # DEPENDENCYPART_ARC
(11,19),-3.3065 # DEPENDENCYPART_ARC
(11,20),-2.46926 # DEPENDENCYPART_ARC
(11,21),-3.26839 # DEPENDENCYPART_ARC
(11,22),-1.69799 # DEPENDENCYPART_ARC
(11,23),-4.16855 # DEPENDENCYPART_ARC
(11,24),-2.45841 # DEPENDENCYPART_ARC
(11,26),-4.19408 # DEPENDENCYPART_ARC
(13,12),-1.83667 # DEPENDENCYPART_ARC
(13,14),-1.09424 # DEPENDENCYPART_ARC
(13,16),-1.65743 # DEPENDENCYPART_ARC
(14,13),-0.633201 # DEPENDENCYPART_ARC
(14,15),-1.08128 # DEPENDENCYPART_ARC
(14,16),-0.854516 # DEPENDENCYPART_ARC
(15,1),-2.36794 # DEPENDENCYPART_ARC
(15,4),-1.91201 # DEPENDENCYPART_ARC
(15,5),-2.8993 # DEPENDENCYPART_ARC
(15,7),-2.6029 # DEPENDENCYPART_ARC
(15,9),-2.12313 # DEPENDENCYPART_ARC
(15,10),-1.55613 # DEPENDENCYPART_ARC
(15,11),-2.04449 # DEPENDENCYPART_ARC
(15,12),-1.61873 # DEPENDENCYPART_ARC
(15,13),0.87792 # DEPENDENCYPART_ARC
(15,14),1.87993 # DEPENDENCYPART_ARC
(15,16),0.526026 # DEPENDENCYPART_ARC
(15,17),-1.59998 # DEPENDENCYPART_ARC
(15,18),-1.46786 # DEPENDENCYPART_ARC
(15,19),-1.59639 # DEPENDENCYPART_ARC
(15,20),-1.78147 # DEPENDENCYPART_ARC
(15,21),-2.20435 # DEPENDENCYPART_ARC
(15,22),-1.23455 # DEPENDENCYPART_ARC
(15,24),-1.20782 # DEPENDENCYPART_ARC
(16,15),-1.64134 # DEPENDENCYPART_ARC
(16,17),-0.4179 # DEPENDENCYPART_ARC
(16,18),-0.721175 # DEPENDENCYPART_ARC
(16,19),-0.885362 # DEPENDENCYPART_ARC
(16,20),-2.19339 # DEPENDENCYPART_ARC
(16,21),-1.75815 # DEPENDENCYPART_ARC
(16,22),-2.04978 # DEPENDENCYPART_ARC
(16,23),-2.50263 # DEPENDENCYPART_ARC
(16,25),-2.73828 # DEPENDENCYPART_ARC
(16,26),-1.43413 # DEPENDENCYPART_ARC
(17,18),-1.68714 # DEPENDENCYPART_ARC
(17,21),-2.77 # DEPENDENCYPART_ARC
(18,17),-0.316139 # DEPENDENCYPART_ARC
(18,19),-1.23224 # DEPENDENCYPART_ARC
(18,21),-2.28616 # DEPENDENCYPART_ARC
(18,23),-2.78849 # DEPENDENCYPART_ARC
(18,24),-2.26648 # DEPENDENCYPART_ARC
(18,26),-3.69765 # DEPENDENCYPART_ARC
(19,1),-2.6333 # DEPENDENCYPART_ARC
(19,3),-2.97485 # DEPENDENCYPART_ARC
(19,4),-3.39763 # DEPENDENCYPART_ARC
(19,5),-3.70996 # DEPENDENCYPART_ARC
(19,9),-2.36277 # DEPENDENCYPART_ARC
(19,10),-2.76629 # DEPENDENCYPART_ARC
(19,11),-3.29411 # DEPENDENCYPART_ARC
(19,12),-2.99674 # DEPENDENCYPART_ARC
(19,13),-2.6292 # DEPENDENCYPART_ARC
(19,14),-0.868788 # DEPENDENCYPART_ARC
(19,15),-1.19777 # DEPENDENCYPART_ARC
(19,16),-1.4573 # DEPENDENCYPART_ARC
(19,17),1.05347 # DEPENDENCYPART_ARC
(19,18),1.42756 # DEPENDENCYPART_ARC
(19,20),-0.879192 # DEPENDENCYPART_ARC
(19,21),-0.555579 # DEPENDENCYPART_ARC
(19,22),-0.592184 # DEPENDENCYPART_ARC
(19,23),-1.27587 # DEPENDENCYPART_ARC
(19,24),-1.24011 # DEPENDENCYPART_ARC
(19,25),-2.73624 # DEPENDENCYPART_ARC
(19,26),-2.30498 # DEPENDENCYPART_ARC
(20,21),-1.37688 # DEPENDENCYPART_ARC
(20,22),-0.727594 # DEPENDENCYPART_ARC
(21,17),-1.75315 # DEPENDENCYPART_ARC
(21,18),-1.63844 # DEPENDENCYPART_ARC
(21,19),-1.27933 # DEPENDENCYPART_ARC
(21,20),0.358273 # DEPENDENCYPART_ARC
(21,22),-0.387186 # DEPENDENCYPART_ARC
(21,23),-1.52552 # DEPENDENCYPART_ARC
(21,24),-1.77381 # DEPENDENCYPART_ARC
(21,25),-2.82448 # DEPENDENCYPART_ARC
(21,26),-2.83221 # DEPENDENCYPART_ARC
(22,20),-1.73442 # DEPENDENCYPART_ARC
(22,21),-1.68758 # DEPENDENCYPART_ARC
(22,23),-1.04427 # DEPENDENCYPART_ARC
(22,24),-1.49321 # DEPENDENCYPART_ARC
(22,25),-2.05913 # DEPENDENCYPART_ARC
(22,26),-2.30176 # DEPENDENCYPART_ARC
(23,1),-3.52666 # DEPENDENCYPART_ARC
(23,17),-3.13673 # DEPENDENCYPART_ARC
(23,18),-2.25953 # DEPENDENCYPART_ARC
(23,19),-2.18629 # DEPENDENCYPART_ARC
(23,20),-1.29824 # DEPENDENCYPART_ARC
(23,21),-0.903255 # DEPENDENCYPART_ARC
(23,22),-0.869026 # DEPENDENCYPART_ARC
(23,24),-0.683576 # DEPENDENCYPART_ARC
(23,25),-1.70978 # DEPENDENCYPART_ARC
(23,26),-1.97566 # DEPENDENCYPART_ARC
(24,20),-1.90436 # DEPENDENCYPART_ARC
(24,23),-1.82618 # DEPENDENCYPART_ARC
(24,25),0.634677 # DEPENDENCYPART_ARC
(24,26),0.700585 # DEPENDENCYPART_ARC
(25,23),-2.28213 # DEPENDENCYPART_ARC
(25,26),-1.3062 # DEPENDENCYPART_ARC
(26,1),-3.05926 # DEPENDENCYPART_ARC
(26,9),-4.05491 # DEPENDENCYPART_ARC
(26,10),-4.46763 # DEPENDENCYPART_ARC
(26,11),-4.87887 # DEPENDENCYPART_ARC
(26,15),-3.55549 # DEPENDENCYPART_ARC
(26,17),-2.49233 # DEPENDENCYPART_ARC
(26,18),-2.63807 # DEPENDENCYPART_ARC
(26,19),-2.83936 # DEPENDENCYPART_ARC
(26,20),-2.46103 # DEPENDENCYPART_ARC
(26,21),-1.38954 # DEPENDENCYPART_ARC
(26,22),-1.88709 # DEPENDENCYPART_ARC
(26,23),-0.780913 # DEPENDENCYPART_ARC
(26,25),1.12792 # DEPENDENCYPART_ARC
(0,3),(0,8),-2.04409 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0151193 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0091264 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0218654 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0451433 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0140314 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0203579 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0451433 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.111226 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.187853 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.281253 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.105666 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.187853 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.239082 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.104435 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0763841 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.239082 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.115365 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.249447 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.312314 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0281401 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.460162 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.170596 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0978824 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0770972 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0537078 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0541051 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.378867 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.19201 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0565086 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0565086 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0541051 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0645189 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0963527 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.143233 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0891195 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.43746 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0561855 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.265802 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.201271 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.30163 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0302553 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0318515 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0318515 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.201271 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.252752 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.36486 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.190535 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.195204 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.349775 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.193596 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0718943 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0229803 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0958615 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0899656 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0899656 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0718943 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.198579 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0858272 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0378882 # DEPENDENCYPART_SIBL
(3,4),(3,24),0.07367 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0948675 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0426474 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0192804 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.169308 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.184727 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.184727 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0426474 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.273789 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00619562 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0186363 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.0529709 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0310328 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.114559 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0706223 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.095492 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.095492 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0567025 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.138131 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.229693 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0378342 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.218048 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0202908 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.119485 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0784193 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0784193 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.159876 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0219738 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.113499 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.163925 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.110908 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0581015 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.272725 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.272725 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.037041 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.305996 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.179377 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00676138 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.188919 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.102704 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.245056 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0222745 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.166705 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0297519 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0612 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0369693 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0250637 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0222745 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.166705 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0297519 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0612 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0369693 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0250637 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.138131 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.229693 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0378342 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.218048 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0202908 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0152013 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.032171 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0597801 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.00649842 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.0632962 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0493566 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0282748 # DEPENDENCYPART_SIBL
(3,22),(3,24),-0.13255 # DEPENDENCYPART_SIBL
(3,22),(3,27),-0.132648 # DEPENDENCYPART_SIBL
(3,24),(3,27),-0.106793 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.190087 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.174888 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0159286 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.072579 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.613423 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0156425 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.165963 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00708897 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0331288 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.018947 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0591731 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0455674 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0199701 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.026141 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.048083 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0121728 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00955676 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0947904 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.21686 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.154286 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.11804 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.229607 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.179362 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.148158 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0610037 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.728149 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0207265 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0582154 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0634482 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0634482 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0610037 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0447929 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0662434 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0685878 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.3452 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.182524 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0753899 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.110547 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0103704 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0313713 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0329195 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0329195 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0753899 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.112747 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.042823 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.03806 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.185168 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0465514 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0645722 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0857463 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00262021 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00418091 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00418091 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0465514 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0539924 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0585593 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.00932089 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0592525 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0893563 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0485675 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0530709 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0555191 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0555191 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0592525 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.035109 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.00138902 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0606549 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.365554 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.316915 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.633201 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.639324 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.639324 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.11957 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.761257 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.201373 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.661271 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0346437 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.124346 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.125161 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.125161 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0505338 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.285925 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.188865 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.125835 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00872726 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00792257 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00792257 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.305168 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0330939 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0823303 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.00724573 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.129655 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.129655 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0662454 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0794865 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.106188 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.125726 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.127915 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0640163 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.076793 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.104623 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.123986 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0640163 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.076793 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.104623 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.123986 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.761257 # DEPENDENCYPART_SIBL
