# _root_ He is an avuncular figure who remembers the birthdays of colleagues ' children , opens doors for women , and almost never has a bad word to say about anybody .
#goldHeads=2,0,5,5,2,20,20,9,7,9,13,11,10,20,20,15,15,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
#predictedHeads=2,0,5,5,2,7,5,9,7,9,13,11,10,5,20,15,16,17,20,5,23,21,20,26,26,23,28,26,28,29,2,
(2,9),(2,20),-0.0568019 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0585098 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.015319 # DEPENDENCYPART_SIBL
(2,9),(2,31),0.0062909 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.031373 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0889616 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.031373 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0536394 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0688103 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.102555 # DEPENDENCYPART_SIBL
(2,10),(2,31),-0.0406727 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0163695 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0346836 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.011358 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0624939 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0168202 # DEPENDENCYPART_SIBL
(2,14),(2,31),0.00253211 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0603563 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.100058 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0817933 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0335472 # DEPENDENCYPART_SIBL
(2,15),(2,31),-0.00187062 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.011358 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0624939 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.0168202 # DEPENDENCYPART_SIBL
(2,19),(2,31),0.00253211 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.000804283 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0150219 # DEPENDENCYPART_SIBL
(2,20),(2,31),0.00783982 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0286503 # DEPENDENCYPART_SIBL
(2,22),(2,31),0.055125 # DEPENDENCYPART_SIBL
(2,23),(2,31),-0.0142591 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00345729 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.000890073 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0191176 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00250364 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0416289 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.1528 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0467545 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00354581 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00413234 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0620543 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00457428 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0617959 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00424241 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0542046 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0277799 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0217967 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.027 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.118669 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0562177 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0393264 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0275639 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.118669 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0983014 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.00860861 # DEPENDENCYPART_SIBL
(5,1),(5,31),0.138141 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0311581 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.018689 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0590577 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0045878 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0243376 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00302437 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0178927 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0619499 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00654897 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00435693 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0178927 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0441997 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0463494 # DEPENDENCYPART_SIBL
(5,2),(5,31),0.108362 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0942726 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.277755 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00188646 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.249491 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00181471 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0764272 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.269931 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.123465 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00121477 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0764272 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0943511 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.358907 # DEPENDENCYPART_SIBL
(5,3),(5,31),0.121008 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0125465 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00151927 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0142491 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0031185 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.000569476 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00947367 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0143107 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.000889853 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.000569476 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.101064 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0437761 # DEPENDENCYPART_SIBL
(5,4),(5,31),-0.0141491 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0181629 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.000349508 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0184138 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0236793 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00999392 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00362919 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0188411 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0236793 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.020735 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.00578696 # DEPENDENCYPART_SIBL
