# _root_ ( Reliance floated a $ 357 million petrochemical company in 1988 that was , at the time , the largest public issue in Indian history . )
#goldHeads=3,3,0,9,9,5,5,9,3,3,10,13,9,13,13,17,15,13,22,22,22,13,22,25,23,3,3,
#predictedHeads=3,3,0,9,9,5,5,9,3,3,10,13,9,3,3,17,15,17,22,22,22,17,22,25,23,3,3,
(10,17),-2.60836 # DEPENDENCYPART_ARC
(10,22),-2.82628 # DEPENDENCYPART_ARC
(11,7),-1.37416 # DEPENDENCYPART_ARC
(11,8),-1.1753 # DEPENDENCYPART_ARC
(11,9),-1.14049 # DEPENDENCYPART_ARC
(11,10),-0.114935 # DEPENDENCYPART_ARC
(11,13),-0.610548 # DEPENDENCYPART_ARC
(11,14),-1.10335 # DEPENDENCYPART_ARC
(11,15),-1.72597 # DEPENDENCYPART_ARC
(11,17),-1.89971 # DEPENDENCYPART_ARC
(12,13),-0.0254467 # DEPENDENCYPART_ARC
(13,1),-1.34349 # DEPENDENCYPART_ARC
(13,2),-1.37652 # DEPENDENCYPART_ARC
(13,3),-1.83395 # DEPENDENCYPART_ARC
(13,4),-1.4158 # DEPENDENCYPART_ARC
(13,5),-1.22461 # DEPENDENCYPART_ARC
(13,6),-1.3979 # DEPENDENCYPART_ARC
(13,7),-1.3934 # DEPENDENCYPART_ARC
(13,8),-1.13318 # DEPENDENCYPART_ARC
(13,9),-0.965897 # DEPENDENCYPART_ARC
(13,10),-0.505798 # DEPENDENCYPART_ARC
(13,11),-0.982396 # DEPENDENCYPART_ARC
(13,12),0.699239 # DEPENDENCYPART_ARC
(13,14),0.379832 # DEPENDENCYPART_ARC
(13,15),-1.09322 # DEPENDENCYPART_ARC
(13,17),-1.71495 # DEPENDENCYPART_ARC
(13,18),-1.60173 # DEPENDENCYPART_ARC
(13,21),-1.67848 # DEPENDENCYPART_ARC
(13,22),-1.5587 # DEPENDENCYPART_ARC
(13,23),-1.82066 # DEPENDENCYPART_ARC
(13,24),-1.75672 # DEPENDENCYPART_ARC
(13,25),-1.97335 # DEPENDENCYPART_ARC
(13,26),-0.79667 # DEPENDENCYPART_ARC
(13,27),-1.50193 # DEPENDENCYPART_ARC
(14,15),-0.35255 # DEPENDENCYPART_ARC
(15,14),-0.135851 # DEPENDENCYPART_ARC
(15,16),0.0422997 # DEPENDENCYPART_ARC
(15,17),0.112663 # DEPENDENCYPART_ARC
(15,18),-0.921666 # DEPENDENCYPART_ARC
(15,21),-1.59157 # DEPENDENCYPART_ARC
(15,22),-2.24096 # DEPENDENCYPART_ARC
(15,23),-1.8432 # DEPENDENCYPART_ARC
(15,25),-2.6168 # DEPENDENCYPART_ARC
(15,26),-1.63082 # DEPENDENCYPART_ARC
(15,27),-1.63081 # DEPENDENCYPART_ARC
(17,11),-2.47973 # DEPENDENCYPART_ARC
(17,12),-2.15138 # DEPENDENCYPART_ARC
(17,14),-1.45894 # DEPENDENCYPART_ARC
(17,15),-0.67633 # DEPENDENCYPART_ARC
(17,16),1.30618 # DEPENDENCYPART_ARC
(17,18),-0.121935 # DEPENDENCYPART_ARC
(17,19),-1.62605 # DEPENDENCYPART_ARC
(17,20),-1.52037 # DEPENDENCYPART_ARC
(17,21),-1.68597 # DEPENDENCYPART_ARC
(17,22),-1.63904 # DEPENDENCYPART_ARC
(17,23),-1.90922 # DEPENDENCYPART_ARC
(17,24),-1.73043 # DEPENDENCYPART_ARC
(17,25),-1.88494 # DEPENDENCYPART_ARC
(17,26),-1.10129 # DEPENDENCYPART_ARC
(17,27),-1.699 # DEPENDENCYPART_ARC
(19,18),0.106065 # DEPENDENCYPART_ARC
(19,23),-1.28305 # DEPENDENCYPART_ARC
(20,19),-0.0390043 # DEPENDENCYPART_ARC
(20,21),-0.199339 # DEPENDENCYPART_ARC
(20,23),-0.933467 # DEPENDENCYPART_ARC
(21,17),-1.55311 # DEPENDENCYPART_ARC
(21,19),-1.03598 # DEPENDENCYPART_ARC
(21,20),-0.0536526 # DEPENDENCYPART_ARC
(21,23),-1.0407 # DEPENDENCYPART_ARC
(21,24),-1.07985 # DEPENDENCYPART_ARC
(21,25),-1.58327 # DEPENDENCYPART_ARC
(22,15),-1.55876 # DEPENDENCYPART_ARC
(22,16),-1.72787 # DEPENDENCYPART_ARC
(22,17),-1.86011 # DEPENDENCYPART_ARC
(22,18),-1.46756 # DEPENDENCYPART_ARC
(22,19),-0.243101 # DEPENDENCYPART_ARC
(22,20),0.395645 # DEPENDENCYPART_ARC
(22,21),1.62183 # DEPENDENCYPART_ARC
(22,23),0.389456 # DEPENDENCYPART_ARC
(22,24),-1.07217 # DEPENDENCYPART_ARC
(22,25),-1.30031 # DEPENDENCYPART_ARC
(22,26),-1.05901 # DEPENDENCYPART_ARC
(22,27),-1.17478 # DEPENDENCYPART_ARC
(23,21),-1.3953 # DEPENDENCYPART_ARC
(23,22),-0.483881 # DEPENDENCYPART_ARC
(23,24),0.172076 # DEPENDENCYPART_ARC
(23,25),0.177625 # DEPENDENCYPART_ARC
(23,26),-1.11465 # DEPENDENCYPART_ARC
(23,27),-0.979988 # DEPENDENCYPART_ARC
(24,22),-1.536 # DEPENDENCYPART_ARC
(25,16),-2.37644 # DEPENDENCYPART_ARC
(25,17),-2.81302 # DEPENDENCYPART_ARC
(25,19),-1.51839 # DEPENDENCYPART_ARC
(25,21),-0.684881 # DEPENDENCYPART_ARC
(25,22),-1.12212 # DEPENDENCYPART_ARC
(25,24),1.41057 # DEPENDENCYPART_ARC
(25,26),-0.129004 # DEPENDENCYPART_ARC
(25,27),-0.890459 # DEPENDENCYPART_ARC
(26,23),-0.899357 # DEPENDENCYPART_ARC
(26,24),-0.878316 # DEPENDENCYPART_ARC
(26,25),-0.0856241 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.101487 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0554581 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.10972 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0664949 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.163775 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.11966 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00186047 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0916521 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0442329 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0811408 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0191422 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00379964 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0809731 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0809731 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0579177 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0153354 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0217205 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0360829 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00304205 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0115853 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0184565 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0184565 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.00458758 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0400302 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0150482 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0127889 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0488903 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0176197 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0176197 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0151614 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0453798 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00740206 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00487171 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00804495 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00804495 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0203008 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0164843 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00310647 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0480728 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0480728 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0199786 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0025064 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0348973 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0348973 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0380064 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0382546 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0382546 # DEPENDENCYPART_SIBL
(2,13),(2,26),-0.00962447 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0356395 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.00357645 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.00357645 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0271885 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0338558 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0984002 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.107073 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.107443 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0750837 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0515835 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0634232 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.013288 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.10752 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0857775 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.10553 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.10752 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0753423 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0634232 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.0646321 # DEPENDENCYPART_SIBL
(3,1),(3,27),1.0643 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0983124 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.063151 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00101513 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.016718 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0124708 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.04043 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0092475 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.011285 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00466835 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0330119 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.00624341 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.00466835 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0171076 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0092475 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0204818 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0218176 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0460245 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0285158 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0220703 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0291655 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0298507 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0588934 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0418192 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0437084 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0276339 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0165702 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0437084 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0331915 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0588934 # DEPENDENCYPART_SIBL
(3,4),(3,26),-0.0344906 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0426304 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0365399 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0479831 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0024661 # DEPENDENCYPART_SIBL
(3,5),(3,9),2.45295e-05 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0174509 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0469981 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0016202 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00206394 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0156315 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0016202 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.00117777 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0174509 # DEPENDENCYPART_SIBL
(3,5),(3,26),-0.0108579 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0787488 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.005484 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0419079 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0496864 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00773827 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0271018 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00101 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0162701 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0285162 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.00101 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0455814 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00773827 # DEPENDENCYPART_SIBL
(3,6),(3,26),-0.0138519 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0501503 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.04756 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0589166 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00865435 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0297717 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0158556 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0127657 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0341684 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0158556 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0512484 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.00865435 # DEPENDENCYPART_SIBL
(3,7),(3,26),-0.0263069 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0465924 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0336341 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0252559 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0216881 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0102816 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0255045 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00160065 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0102816 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0338892 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0252559 # DEPENDENCYPART_SIBL
(3,8),(3,26),-0.00621974 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.020044 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0186602 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0570289 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0101665 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0202685 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.00235838 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0101665 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0346469 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0186602 # DEPENDENCYPART_SIBL
(3,9),(3,26),-0.0388624 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.00553733 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0188686 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0184988 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0491081 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0281351 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0184988 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.00425141 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0578874 # DEPENDENCYPART_SIBL
(3,10),(3,26),-0.0231485 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0821091 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0230971 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.022757 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.00101075 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0230971 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0165741 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.00832057 # DEPENDENCYPART_SIBL
(3,13),(3,26),0.00957641 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0727193 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0245184 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0130145 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0319443 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.0154417 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0120345 # DEPENDENCYPART_SIBL
(3,14),(3,26),0.0051557 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.171794 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.022783 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.101296 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.00322686 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.041083 # DEPENDENCYPART_SIBL
(3,15),(3,26),-0.02592 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.104433 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.025501 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0357238 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0397462 # DEPENDENCYPART_SIBL
(3,17),(3,26),0.00361098 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.021159 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0154417 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.0120345 # DEPENDENCYPART_SIBL
(3,18),(3,26),0.0051557 # DEPENDENCYPART_SIBL
(3,18),(3,27),0.171794 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.0343442 # DEPENDENCYPART_SIBL
(3,22),(3,26),0.00121877 # DEPENDENCYPART_SIBL
(3,22),(3,27),0.0257378 # DEPENDENCYPART_SIBL
(3,23),(3,26),-0.0231485 # DEPENDENCYPART_SIBL
(3,23),(3,27),0.0821091 # DEPENDENCYPART_SIBL
(3,26),(3,27),0.044643 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0516563 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.091025 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.000633982 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00559989 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.125343 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0211729 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.142623 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0338726 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00268504 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.142623 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0714678 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.125343 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.123568 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.553627 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0804956 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0384511 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.207155 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.157078 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.127185 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.130126 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0804719 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.127185 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0400685 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.207155 # DEPENDENCYPART_SIBL
(5,6),(5,26),0.0359092 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.108499 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0592985 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.295489 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.199222 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.142428 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.191488 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.108475 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.142428 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0412632 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.295489 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.0575423 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0275509 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0483464 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0649294 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.057554 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0389984 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.00382953 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.057554 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00903826 # DEPENDENCYPART_SIBL
