# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(7,9),-1.57696 # DEPENDENCYPART_ARC
(7,10),-1.2932 # DEPENDENCYPART_ARC
(7,11),-0.916315 # DEPENDENCYPART_ARC
(7,12),-1.38443 # DEPENDENCYPART_ARC
(7,13),-0.805961 # DEPENDENCYPART_ARC
(7,14),-2.05878 # DEPENDENCYPART_ARC
(7,15),-2.14918 # DEPENDENCYPART_ARC
(7,16),-1.48923 # DEPENDENCYPART_ARC
(7,17),-1.72635 # DEPENDENCYPART_ARC
(7,18),-2.01869 # DEPENDENCYPART_ARC
(7,20),-1.90956 # DEPENDENCYPART_ARC
(7,25),-1.71421 # DEPENDENCYPART_ARC
(8,7),-1.47599 # DEPENDENCYPART_ARC
(8,9),0.240115 # DEPENDENCYPART_ARC
(8,10),0.531443 # DEPENDENCYPART_ARC
(8,11),-0.271083 # DEPENDENCYPART_ARC
(8,12),-1.75771 # DEPENDENCYPART_ARC
(8,15),-1.22558 # DEPENDENCYPART_ARC
(8,17),-1.6398 # DEPENDENCYPART_ARC
(8,31),-1.77386 # DEPENDENCYPART_ARC
(9,10),-1.51982 # DEPENDENCYPART_ARC
(9,11),-1.70649 # DEPENDENCYPART_ARC
(10,1),-2.25715 # DEPENDENCYPART_ARC
(10,2),-2.2194 # DEPENDENCYPART_ARC
(10,3),-1.34688 # DEPENDENCYPART_ARC
(10,4),-1.77228 # DEPENDENCYPART_ARC
(10,5),-1.64036 # DEPENDENCYPART_ARC
(10,6),-1.06591 # DEPENDENCYPART_ARC
(10,7),-0.660633 # DEPENDENCYPART_ARC
(10,8),-0.715602 # DEPENDENCYPART_ARC
(10,9),1.14551 # DEPENDENCYPART_ARC
(10,11),-0.967796 # DEPENDENCYPART_ARC
(10,12),-1.31663 # DEPENDENCYPART_ARC
(10,13),-0.977256 # DEPENDENCYPART_ARC
(11,1),-1.03648 # DEPENDENCYPART_ARC
(11,2),-1.95141 # DEPENDENCYPART_ARC
(11,3),-0.31187 # DEPENDENCYPART_ARC
(11,4),-0.994543 # DEPENDENCYPART_ARC
(11,5),-1.59614 # DEPENDENCYPART_ARC
(11,6),-1.86506 # DEPENDENCYPART_ARC
(11,7),0.205476 # DEPENDENCYPART_ARC
(11,8),-0.988483 # DEPENDENCYPART_ARC
(11,9),-0.955214 # DEPENDENCYPART_ARC
(11,10),0.391193 # DEPENDENCYPART_ARC
(11,12),1.60239 # DEPENDENCYPART_ARC
(11,13),-0.645534 # DEPENDENCYPART_ARC
(11,14),-1.48078 # DEPENDENCYPART_ARC
(11,15),-1.06198 # DEPENDENCYPART_ARC
(11,16),-1.03094 # DEPENDENCYPART_ARC
(11,17),-0.457856 # DEPENDENCYPART_ARC
(11,18),-1.68098 # DEPENDENCYPART_ARC
(11,19),-2.13594 # DEPENDENCYPART_ARC
(11,20),-1.96068 # DEPENDENCYPART_ARC
(11,23),-1.29736 # DEPENDENCYPART_ARC
(11,24),-2.17236 # DEPENDENCYPART_ARC
(11,27),-1.81726 # DEPENDENCYPART_ARC
(11,28),-2.94015 # DEPENDENCYPART_ARC
(11,31),0.201689 # DEPENDENCYPART_ARC
(11,32),-0.712861 # DEPENDENCYPART_ARC
(12,4),-1.61152 # DEPENDENCYPART_ARC
(12,7),-1.74454 # DEPENDENCYPART_ARC
(12,8),-1.39678 # DEPENDENCYPART_ARC
(12,9),-1.62673 # DEPENDENCYPART_ARC
(12,10),-1.45392 # DEPENDENCYPART_ARC
(12,13),0.935839 # DEPENDENCYPART_ARC
(12,14),-0.810709 # DEPENDENCYPART_ARC
(12,15),-0.403743 # DEPENDENCYPART_ARC
(12,16),-1.27609 # DEPENDENCYPART_ARC
(12,17),-0.939714 # DEPENDENCYPART_ARC
(12,18),-1.17752 # DEPENDENCYPART_ARC
(12,19),-1.57833 # DEPENDENCYPART_ARC
(12,20),-0.734352 # DEPENDENCYPART_ARC
(12,22),-1.84882 # DEPENDENCYPART_ARC
(12,24),-2.14684 # DEPENDENCYPART_ARC
(12,25),-1.27563 # DEPENDENCYPART_ARC
(12,26),-2.22359 # DEPENDENCYPART_ARC
(12,27),-2.15179 # DEPENDENCYPART_ARC
(12,28),-2.47635 # DEPENDENCYPART_ARC
(12,31),-1.97803 # DEPENDENCYPART_ARC
(12,32),-1.54235 # DEPENDENCYPART_ARC
(13,14),-0.491652 # DEPENDENCYPART_ARC
(13,15),1.01515 # DEPENDENCYPART_ARC
(13,16),-1.06399 # DEPENDENCYPART_ARC
(13,17),-1.16147 # DEPENDENCYPART_ARC
(13,18),-2.0533 # DEPENDENCYPART_ARC
(13,22),-0.863201 # DEPENDENCYPART_ARC
(13,23),-1.21318 # DEPENDENCYPART_ARC
(13,27),-3.02165 # DEPENDENCYPART_ARC
(13,31),-2.22745 # DEPENDENCYPART_ARC
(15,6),-2.3191 # DEPENDENCYPART_ARC
(15,9),-1.96982 # DEPENDENCYPART_ARC
(15,10),-1.64113 # DEPENDENCYPART_ARC
(15,13),-1.21895 # DEPENDENCYPART_ARC
(15,14),1.22192 # DEPENDENCYPART_ARC
(15,16),-1.13066 # DEPENDENCYPART_ARC
(15,17),-0.965449 # DEPENDENCYPART_ARC
(15,18),-1.8302 # DEPENDENCYPART_ARC
(15,19),-1.96754 # DEPENDENCYPART_ARC
(15,22),-2.19078 # DEPENDENCYPART_ARC
(15,23),-1.74672 # DEPENDENCYPART_ARC
(15,25),-1.42596 # DEPENDENCYPART_ARC
(15,30),-3.37026 # DEPENDENCYPART_ARC
(17,18),-0.723807 # DEPENDENCYPART_ARC
(17,19),-1.09951 # DEPENDENCYPART_ARC
(17,20),-1.34428 # DEPENDENCYPART_ARC
(17,21),-1.81057 # DEPENDENCYPART_ARC
(17,22),-2.23259 # DEPENDENCYPART_ARC
(17,23),-0.0862514 # DEPENDENCYPART_ARC
(17,24),-1.76956 # DEPENDENCYPART_ARC
(17,26),-2.79101 # DEPENDENCYPART_ARC
(17,27),-0.678302 # DEPENDENCYPART_ARC
(18,19),0.670295 # DEPENDENCYPART_ARC
(18,20),0.235703 # DEPENDENCYPART_ARC
(18,21),-0.707698 # DEPENDENCYPART_ARC
(18,22),-1.35112 # DEPENDENCYPART_ARC
(18,23),-0.777203 # DEPENDENCYPART_ARC
(18,24),-1.54717 # DEPENDENCYPART_ARC
(18,25),-1.5501 # DEPENDENCYPART_ARC
(18,26),-2.0604 # DEPENDENCYPART_ARC
(18,27),-1.25175 # DEPENDENCYPART_ARC
(18,28),-2.04372 # DEPENDENCYPART_ARC
(18,29),-1.81074 # DEPENDENCYPART_ARC
(18,30),-2.61585 # DEPENDENCYPART_ARC
(18,31),-1.57091 # DEPENDENCYPART_ARC
(18,32),-1.01606 # DEPENDENCYPART_ARC
(19,18),-0.858119 # DEPENDENCYPART_ARC
(19,20),-0.378707 # DEPENDENCYPART_ARC
(19,21),-1.06927 # DEPENDENCYPART_ARC
(19,22),-1.68734 # DEPENDENCYPART_ARC
(19,23),-1.29237 # DEPENDENCYPART_ARC
(19,27),-1.78 # DEPENDENCYPART_ARC
(20,18),-1.16444 # DEPENDENCYPART_ARC
(20,19),-0.664372 # DEPENDENCYPART_ARC
(20,21),-0.371132 # DEPENDENCYPART_ARC
(20,22),0.236103 # DEPENDENCYPART_ARC
(20,23),0.859502 # DEPENDENCYPART_ARC
(20,24),-1.05306 # DEPENDENCYPART_ARC
(20,26),-2.1172 # DEPENDENCYPART_ARC
(20,27),-0.671144 # DEPENDENCYPART_ARC
(20,28),-2.2109 # DEPENDENCYPART_ARC
(20,30),-2.06511 # DEPENDENCYPART_ARC
(20,32),-1.31032 # DEPENDENCYPART_ARC
(21,19),-1.26844 # DEPENDENCYPART_ARC
(22,14),-1.65406 # DEPENDENCYPART_ARC
(22,19),-1.28159 # DEPENDENCYPART_ARC
(22,20),-1.52584 # DEPENDENCYPART_ARC
(22,21),1.11819 # DEPENDENCYPART_ARC
(22,24),-1.43674 # DEPENDENCYPART_ARC
(23,1),-1.22207 # DEPENDENCYPART_ARC
(23,2),-1.87864 # DEPENDENCYPART_ARC
(23,3),-1.18465 # DEPENDENCYPART_ARC
(23,4),-2.97573 # DEPENDENCYPART_ARC
(23,5),-2.0501 # DEPENDENCYPART_ARC
(23,6),-1.98795 # DEPENDENCYPART_ARC
(23,7),-0.473782 # DEPENDENCYPART_ARC
(23,8),-2.40294 # DEPENDENCYPART_ARC
(23,9),-2.72128 # DEPENDENCYPART_ARC
(23,10),-2.21342 # DEPENDENCYPART_ARC
(23,11),-2.00168 # DEPENDENCYPART_ARC
(23,12),-1.85809 # DEPENDENCYPART_ARC
(23,13),-1.67333 # DEPENDENCYPART_ARC
(23,14),-1.93758 # DEPENDENCYPART_ARC
(23,15),-1.82884 # DEPENDENCYPART_ARC
(23,16),-2.24472 # DEPENDENCYPART_ARC
(23,17),-1.57908 # DEPENDENCYPART_ARC
(23,18),-1.77042 # DEPENDENCYPART_ARC
(23,19),-1.40374 # DEPENDENCYPART_ARC
(23,20),-1.23618 # DEPENDENCYPART_ARC
(23,21),-1.14862 # DEPENDENCYPART_ARC
(23,22),1.35332 # DEPENDENCYPART_ARC
(23,24),1.66918 # DEPENDENCYPART_ARC
(23,25),-1.17416 # DEPENDENCYPART_ARC
(23,26),-1.69349 # DEPENDENCYPART_ARC
(23,27),-1.01736 # DEPENDENCYPART_ARC
(23,28),-1.55685 # DEPENDENCYPART_ARC
(23,29),-1.8556 # DEPENDENCYPART_ARC
(23,30),-2.04585 # DEPENDENCYPART_ARC
(23,31),-1.22605 # DEPENDENCYPART_ARC
(23,32),-1.39049 # DEPENDENCYPART_ARC
(24,15),-2.04458 # DEPENDENCYPART_ARC
(24,21),-1.33706 # DEPENDENCYPART_ARC
(24,22),-1.3542 # DEPENDENCYPART_ARC
(24,25),-0.844319 # DEPENDENCYPART_ARC
(24,26),-1.16514 # DEPENDENCYPART_ARC
(24,27),-1.19954 # DEPENDENCYPART_ARC
(24,28),-1.41642 # DEPENDENCYPART_ARC
(24,29),-1.75185 # DEPENDENCYPART_ARC
(24,30),-1.75606 # DEPENDENCYPART_ARC
(24,31),-2.03905 # DEPENDENCYPART_ARC
(24,32),-1.52626 # DEPENDENCYPART_ARC
(26,24),-2.02681 # DEPENDENCYPART_ARC
(26,25),-1.21153 # DEPENDENCYPART_ARC
(26,28),-2.46887 # DEPENDENCYPART_ARC
(27,1),-1.08151 # DEPENDENCYPART_ARC
(27,4),-3.06211 # DEPENDENCYPART_ARC
(27,5),-1.61924 # DEPENDENCYPART_ARC
(27,6),-2.14647 # DEPENDENCYPART_ARC
(27,7),-2.44959 # DEPENDENCYPART_ARC
(27,8),-2.0707 # DEPENDENCYPART_ARC
(27,9),-1.44724 # DEPENDENCYPART_ARC
(27,10),-1.35856 # DEPENDENCYPART_ARC
(27,11),-1.63992 # DEPENDENCYPART_ARC
(27,12),-1.95201 # DEPENDENCYPART_ARC
(27,13),-1.70994 # DEPENDENCYPART_ARC
(27,14),-2.02243 # DEPENDENCYPART_ARC
(27,15),-1.28717 # DEPENDENCYPART_ARC
(27,16),-2.90964 # DEPENDENCYPART_ARC
(27,17),-1.53503 # DEPENDENCYPART_ARC
(27,18),-1.82407 # DEPENDENCYPART_ARC
(27,19),-1.9407 # DEPENDENCYPART_ARC
(27,20),-1.29839 # DEPENDENCYPART_ARC
(27,21),-1.73699 # DEPENDENCYPART_ARC
(27,22),-2.18279 # DEPENDENCYPART_ARC
(27,23),-1.27985 # DEPENDENCYPART_ARC
(27,24),-1.5939 # DEPENDENCYPART_ARC
(27,25),-0.35405 # DEPENDENCYPART_ARC
(27,26),1.421 # DEPENDENCYPART_ARC
(27,28),0.940243 # DEPENDENCYPART_ARC
(27,29),-0.134372 # DEPENDENCYPART_ARC
(27,30),-0.0299127 # DEPENDENCYPART_ARC
(27,31),-0.559534 # DEPENDENCYPART_ARC
(27,32),-0.849891 # DEPENDENCYPART_ARC
(28,26),-1.8901 # DEPENDENCYPART_ARC
(28,29),-1.18846 # DEPENDENCYPART_ARC
(28,30),-1.7384 # DEPENDENCYPART_ARC
(29,26),-1.84372 # DEPENDENCYPART_ARC
(29,28),-0.377792 # DEPENDENCYPART_ARC
(29,30),-1.07518 # DEPENDENCYPART_ARC
(30,21),-1.50896 # DEPENDENCYPART_ARC
(30,24),-1.68312 # DEPENDENCYPART_ARC
(30,25),-1.48966 # DEPENDENCYPART_ARC
(30,26),-1.11603 # DEPENDENCYPART_ARC
(30,28),-0.201464 # DEPENDENCYPART_ARC
(30,29),1.00599 # DEPENDENCYPART_ARC
(30,32),-1.5658 # DEPENDENCYPART_ARC
(31,30),-2.52133 # DEPENDENCYPART_ARC
(31,32),-2.15581 # DEPENDENCYPART_ARC
(32,30),-2.59983 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.775156 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.146659 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.805719 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.12845 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.408211 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.758139 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.642471 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.72373 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.622043 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.998056 # DEPENDENCYPART_SIBL
(0,5),(0,27),-1.51159 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.740671 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.339927 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.354194 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.647235 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.641033 # DEPENDENCYPART_SIBL
(0,11),(0,23),-1.02698 # DEPENDENCYPART_SIBL
(0,11),(0,27),-1.5443 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.35207 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.644824 # DEPENDENCYPART_SIBL
(0,23),(0,27),-1.46994 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0237546 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0485845 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0201164 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0252752 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0450862 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0508849 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0910784 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.122775 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0732461 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.217982 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.110147 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0676906 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0391379 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0355408 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0788425 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0845937 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0188808 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0632781 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00317506 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0496132 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0252286 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0884761 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0267929 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0183156 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0629459 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0134823 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0212187 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0479039 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0668623 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.162952 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0255264 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0256262 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0947305 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0284102 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0583055 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0894174 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.18678 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0969621 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0540224 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.298808 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00321849 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0792622 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0458765 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0430186 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0468035 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.126626 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0274448 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0374455 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0843881 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0760623 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.00633184 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0215619 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0662345 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0052894 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.21945 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0283637 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.082289 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.384534 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0382843 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.017418 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0691016 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00685933 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.251408 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0657556 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.23276 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0796454 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0771805 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0760574 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0236202 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0305032 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0428798 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.00912772 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0370521 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0518044 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0438674 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0610861 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.106326 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0681933 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0858858 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.196626 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0638934 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0600806 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.256212 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0840596 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0410983 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0751453 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.984764 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0546444 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0339768 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00908 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0674161 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0675592 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0160723 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0262693 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00618387 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.180728 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.106094 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0154443 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0669458 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00609336 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00684265 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0794792 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.115621 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0672227 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00335352 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0403993 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0121538 # DEPENDENCYPART_SIBL
(5,1),(5,31),0.0988966 # DEPENDENCYPART_SIBL
(5,1),(5,32),0.2515 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.203226 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.279022 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0501137 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.000957598 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0103781 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.127451 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.129205 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0463118 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0609751 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.146957 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.125726 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0583844 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.114468 # DEPENDENCYPART_SIBL
(5,2),(5,31),0.044903 # DEPENDENCYPART_SIBL
(5,2),(5,32),0.0710357 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.523278 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0743354 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.004984 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00888919 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.105173 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0591273 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.060539 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0763584 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0291035 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.051921 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.120865 # DEPENDENCYPART_SIBL
