# _root_ The setback , in which Treasury bond prices plummeted , reflected a rebound in the stock market and profit-taking .
#goldHeads=2,11,2,9,4,8,8,9,2,2,0,13,11,13,17,17,14,13,18,11,
#predictedHeads=2,11,2,11,4,8,8,9,2,9,0,13,11,13,17,17,14,17,18,11,
(11,3),-1.48184 # DEPENDENCYPART_ARC
(11,4),-0.505416 # DEPENDENCYPART_ARC
(11,5),-1.28704 # DEPENDENCYPART_ARC
(11,6),-1.63713 # DEPENDENCYPART_ARC
(11,7),-1.2317 # DEPENDENCYPART_ARC
(11,8),-0.589625 # DEPENDENCYPART_ARC
(11,9),-1.44438 # DEPENDENCYPART_ARC
(11,10),-0.7213 # DEPENDENCYPART_ARC
(11,12),-0.607275 # DEPENDENCYPART_ARC
(11,13),0.668378 # DEPENDENCYPART_ARC
(11,14),0.128212 # DEPENDENCYPART_ARC
(11,16),-0.799194 # DEPENDENCYPART_ARC
(11,17),-0.611941 # DEPENDENCYPART_ARC
(11,18),-0.431254 # DEPENDENCYPART_ARC
(11,19),-1.08515 # DEPENDENCYPART_ARC
(11,20),1.16967 # DEPENDENCYPART_ARC
(12,14),-1.5985 # DEPENDENCYPART_ARC
(13,3),-3.16857 # DEPENDENCYPART_ARC
(13,4),-2.22882 # DEPENDENCYPART_ARC
(13,8),-2.03835 # DEPENDENCYPART_ARC
(13,9),-2.13934 # DEPENDENCYPART_ARC
(13,10),-1.8724 # DEPENDENCYPART_ARC
(13,11),-1.47102 # DEPENDENCYPART_ARC
(13,12),1.56011 # DEPENDENCYPART_ARC
(13,14),0.351145 # DEPENDENCYPART_ARC
(13,16),-1.13034 # DEPENDENCYPART_ARC
(13,17),-1.09108 # DEPENDENCYPART_ARC
(13,18),-0.621376 # DEPENDENCYPART_ARC
(13,19),-1.97058 # DEPENDENCYPART_ARC
(13,20),-2.0294 # DEPENDENCYPART_ARC
(14,2),-3.02251 # DEPENDENCYPART_ARC
(14,4),-2.11821 # DEPENDENCYPART_ARC
(14,10),-2.29701 # DEPENDENCYPART_ARC
(14,13),-1.79797 # DEPENDENCYPART_ARC
(14,15),-1.28166 # DEPENDENCYPART_ARC
(14,16),0.278717 # DEPENDENCYPART_ARC
(14,17),0.564937 # DEPENDENCYPART_ARC
(14,18),-1.27887 # DEPENDENCYPART_ARC
(14,19),-0.477225 # DEPENDENCYPART_ARC
(14,20),-2.15901 # DEPENDENCYPART_ARC
(16,15),-0.420769 # DEPENDENCYPART_ARC
(16,18),-1.14082 # DEPENDENCYPART_ARC
(17,8),-1.67859 # DEPENDENCYPART_ARC
(17,9),-2.13146 # DEPENDENCYPART_ARC
(17,10),-2.6395 # DEPENDENCYPART_ARC
(17,12),-1.29359 # DEPENDENCYPART_ARC
(17,13),-1.19881 # DEPENDENCYPART_ARC
(17,14),-1.09025 # DEPENDENCYPART_ARC
(17,15),1.50353 # DEPENDENCYPART_ARC
(17,16),2.18543 # DEPENDENCYPART_ARC
(17,18),0.95528 # DEPENDENCYPART_ARC
(17,19),-1.43468 # DEPENDENCYPART_ARC
(17,20),-1.78346 # DEPENDENCYPART_ARC
(18,19),1.184 # DEPENDENCYPART_ARC
(18,20),-1.50635 # DEPENDENCYPART_ARC
(19,15),-2.16807 # DEPENDENCYPART_ARC
(19,16),-1.41328 # DEPENDENCYPART_ARC
(19,17),-1.52708 # DEPENDENCYPART_ARC
(0,2),(0,8),-0.288127 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.734599 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.744086 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.768117 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.772643 # DEPENDENCYPART_SIBL
(0,9),(0,11),-1.65636 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.139484 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0359212 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00813718 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0444536 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0337735 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.020702 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.092746 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.241575 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0359212 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.268952 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0209264 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00813718 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0589422 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0651041 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.117109 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.147305 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.000969183 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.627754 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.759881 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.596997 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.482485 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.109526 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.481473 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.724292 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.147305 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.699948 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.532037 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.00917842 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0310339 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0798925 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.164709 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0951169 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00929994 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0656877 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0478849 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.1461 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0547251 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.188898 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.256081 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0145988 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0502398 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0505746 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0806088 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0604882 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0609372 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0510119 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0696525 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0452301 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0599954 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0473168 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.128554 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0560147 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0813265 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0456689 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0540188 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0331821 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0743028 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0233739 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0688349 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0511015 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0304443 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.165127 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0522717 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.01044 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0479194 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0764037 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.027331 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.102583 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0372109 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.014884 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.123687 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0890861 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.113424 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.075115 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0633117 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0727858 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0404058 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0201852 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.26205 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.233375 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00935766 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0362504 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00206626 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.100885 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0554686 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.481473 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.724292 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.147305 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.699948 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.532037 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.00917842 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.01219 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0235792 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.000766032 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0957238 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.054857 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.013341 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.102701 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.033851 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0208327 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.188898 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.256081 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0145988 # DEPENDENCYPART_SIBL
(2,17),(2,18),5.30972e-05 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.0233837 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.0447902 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0318732 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00884198 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0868594 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0810797 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0507333 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.114018 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0133625 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.036576 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0263547 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0575297 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0289737 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0466533 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0920449 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00726337 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0493235 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00990654 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00359973 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.84431 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00479838 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0186909 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.205438 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0148219 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.643332 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.935554 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.798294 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.563052 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.324009 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.562321 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.209844 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.280161 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.21204 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.967892 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.821865 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.586723 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.115076 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.583004 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.130329 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0697993 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0411254 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.942847 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.482636 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0726171 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.48452 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0160928 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0340729 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0879966 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.50807 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00762127 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.506552 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.159406 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0338821 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0331508 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.097827 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.599034 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.125402 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.178078 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.414276 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.354194 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.530274 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.480329 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.395117 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.117145 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.177198 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.416072 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.071556 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0184423 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0687683 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0400789 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0258991 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0195261 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.000678224 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0311667 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0385045 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0098907 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00936903 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00562429 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.112618 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0929109 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0899225 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.114394 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.113608 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.308592 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0895619 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0967009 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0155035 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00651814 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0110687 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0517712 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0190645 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0332215 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0787937 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.135888 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.089498 # DEPENDENCYPART_SIBL
(6,3),(6,10),-7.88368e-05 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0861021 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0325238 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00752505 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0228971 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0457346 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0229265 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00547122 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0587784 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.153265 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0653234 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0602399 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.211547 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0619479 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.432869 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.265314 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.438912 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.32766 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.258716 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0385552 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0103558 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0786756 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.053173 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.251774 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0667371 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.279151 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.034125 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0083047 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0353367 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.199745 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0532761 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.08235 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0310061 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0054242 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0175194 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0381972 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.032378 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00265045 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0525506 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00662025 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.119777 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0684987 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00972662 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0161129 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0142212 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00149543 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0181072 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0264478 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0155244 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0703753 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.116065 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.132331 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.026393 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0674599 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.023055 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0660501 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00146429 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0898353 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0423224 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.231263 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0277864 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.131193 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.139754 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.136301 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0378001 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0135541 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.137705 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0174624 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0719386 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.128562 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0713817 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0217319 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0780879 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0127028 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.113042 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.148017 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.102779 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0811561 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0915992 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.044694 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.190199 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.233665 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0263323 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0536333 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0749411 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.4436 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.642976 # DEPENDENCYPART_SIBL
