# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=31,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,27,31,31,0,34,34,31,31,
(26,31),-1.56307 # DEPENDENCYPART_ARC
(26,34),-2.79894 # DEPENDENCYPART_ARC
(27,26),-1.55965 # DEPENDENCYPART_ARC
(27,28),-0.0579597 # DEPENDENCYPART_ARC
(27,29),-1.67846 # DEPENDENCYPART_ARC
(27,30),-1.26743 # DEPENDENCYPART_ARC
(27,31),-1.18427 # DEPENDENCYPART_ARC
(27,34),-2.44547 # DEPENDENCYPART_ARC
(28,24),-2.21395 # DEPENDENCYPART_ARC
(28,26),-1.9686 # DEPENDENCYPART_ARC
(28,27),-1.34813 # DEPENDENCYPART_ARC
(28,29),-1.63003 # DEPENDENCYPART_ARC
(28,31),-1.69019 # DEPENDENCYPART_ARC
(28,34),-3.20896 # DEPENDENCYPART_ARC
(31,1),-1.92621 # DEPENDENCYPART_ARC
(31,2),-3.30327 # DEPENDENCYPART_ARC
(31,4),-2.77452 # DEPENDENCYPART_ARC
(31,12),-2.64031 # DEPENDENCYPART_ARC
(31,13),-0.702598 # DEPENDENCYPART_ARC
(31,14),-0.73173 # DEPENDENCYPART_ARC
(31,15),-1.83739 # DEPENDENCYPART_ARC
(31,16),-2.06017 # DEPENDENCYPART_ARC
(31,17),-2.0469 # DEPENDENCYPART_ARC
(31,20),-2.03518 # DEPENDENCYPART_ARC
(31,21),-2.11315 # DEPENDENCYPART_ARC
(31,22),-1.9047 # DEPENDENCYPART_ARC
(31,24),-1.49973 # DEPENDENCYPART_ARC
(31,25),-0.7095 # DEPENDENCYPART_ARC
(31,26),-1.52493 # DEPENDENCYPART_ARC
(31,27),-1.40066 # DEPENDENCYPART_ARC
(31,28),-1.23441 # DEPENDENCYPART_ARC
(31,29),0.150635 # DEPENDENCYPART_ARC
(31,30),0.574378 # DEPENDENCYPART_ARC
(31,32),-0.790619 # DEPENDENCYPART_ARC
(31,33),-0.947139 # DEPENDENCYPART_ARC
(31,34),-0.432623 # DEPENDENCYPART_ARC
(31,35),0.401601 # DEPENDENCYPART_ARC
(32,33),-1.66956 # DEPENDENCYPART_ARC
(33,32),-0.872444 # DEPENDENCYPART_ARC
(34,27),-2.31971 # DEPENDENCYPART_ARC
(34,28),-2.32493 # DEPENDENCYPART_ARC
(34,29),-1.83053 # DEPENDENCYPART_ARC
(34,30),-1.72413 # DEPENDENCYPART_ARC
(34,31),-1.26126 # DEPENDENCYPART_ARC
(34,32),1.18847 # DEPENDENCYPART_ARC
(34,33),1.29141 # DEPENDENCYPART_ARC
(0,1),(0,14),-0.220558 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.745002 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.941041 # DEPENDENCYPART_SIBL
(0,14),(0,25),-1.14428 # DEPENDENCYPART_SIBL
(0,14),(0,31),-1.34722 # DEPENDENCYPART_SIBL
(0,25),(0,31),-1.9231 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0373742 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0634303 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0712366 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.281653 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0357456 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0419484 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.120311 # DEPENDENCYPART_SIBL
(1,2),(1,35),-0.0135689 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.105306 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.156449 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0432058 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0692271 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0666581 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00958154 # DEPENDENCYPART_SIBL
(1,3),(1,35),0.0491916 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0229078 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.177997 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.11676 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00852515 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00620741 # DEPENDENCYPART_SIBL
(1,4),(1,35),-0.0920397 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0785754 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.110759 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0333688 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00802945 # DEPENDENCYPART_SIBL
(1,6),(1,35),0.0575626 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0589054 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.144381 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.121472 # DEPENDENCYPART_SIBL
(1,7),(1,35),-0.157102 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0543328 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0254661 # DEPENDENCYPART_SIBL
(1,9),(1,35),0.0452997 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.467884 # DEPENDENCYPART_SIBL
(1,10),(1,35),0.0422168 # DEPENDENCYPART_SIBL
(1,16),(1,35),0.118223 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.133777 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0209888 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0910366 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0101915 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0652593 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.976467 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0515697 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.242016 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0536396 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0229289 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.123739 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0882999 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0218154 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0442605 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0429819 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00157853 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0162089 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.162467 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0619074 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0283815 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00441895 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0808785 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0709813 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.147205 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.165397 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.14779 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.110745 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.011929 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0590166 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0439388 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0358802 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.139719 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0242358 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0313854 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.142909 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0772938 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.103691 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.385363 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0235046 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0808926 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0267093 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0317624 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0414384 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0509885 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0670454 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.092746 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.017822 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0526262 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.050539 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0224519 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0725229 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.531254 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0762377 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.412591 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0421693 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.399774 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0502266 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.731604 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.10558 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.635606 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.25931 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0691617 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.22473 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0169585 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.705932 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0919346 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.108016 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00888487 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.140451 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.373558 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0301881 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.037651 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0682588 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00539633 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00539211 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00927402 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0392969 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0371712 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0203745 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0378981 # DEPENDENCYPART_SIBL
(6,1),(6,35),0.0590434 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.17497 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.191384 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.126199 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00404774 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00383447 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.144728 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0632108 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0866363 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0590422 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.027661 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.00142825 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.00475425 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.00793279 # DEPENDENCYPART_SIBL
(6,2),(6,35),0.00994655 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0513774 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.526003 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00105635 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0292241 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0655782 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0220049 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0276097 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0211342 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0332808 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.02283 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.00378097 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0704746 # DEPENDENCYPART_SIBL
(6,3),(6,35),-0.037019 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0790113 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0456154 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0338517 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.112005 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0312866 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0629967 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0376055 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0485142 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0338597 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0173574 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0194851 # DEPENDENCYPART_SIBL
(6,4),(6,35),0.0651769 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.131613 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.134192 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.171303 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.15321 # DEPENDENCYPART_SIBL
