# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(10,20),-1.1481 # DEPENDENCYPART_ARC
(10,22),-1.53578 # DEPENDENCYPART_ARC
(11,10),-0.112335 # DEPENDENCYPART_ARC
(11,12),0.784629 # DEPENDENCYPART_ARC
(11,13),-0.796508 # DEPENDENCYPART_ARC
(11,15),-1.1551 # DEPENDENCYPART_ARC
(11,17),-1.55741 # DEPENDENCYPART_ARC
(11,19),-1.33836 # DEPENDENCYPART_ARC
(12,8),-2.10093 # DEPENDENCYPART_ARC
(12,9),-1.97751 # DEPENDENCYPART_ARC
(12,13),0.0909185 # DEPENDENCYPART_ARC
(12,14),-1.20067 # DEPENDENCYPART_ARC
(12,15),-1.00363 # DEPENDENCYPART_ARC
(12,21),-1.79136 # DEPENDENCYPART_ARC
(12,22),-2.40689 # DEPENDENCYPART_ARC
(13,10),-1.3797 # DEPENDENCYPART_ARC
(13,11),-1.07541 # DEPENDENCYPART_ARC
(13,14),-0.229581 # DEPENDENCYPART_ARC
(13,15),-1.14521 # DEPENDENCYPART_ARC
(13,17),-1.67846 # DEPENDENCYPART_ARC
(13,18),-1.90314 # DEPENDENCYPART_ARC
(15,1),-0.923723 # DEPENDENCYPART_ARC
(15,3),-1.35422 # DEPENDENCYPART_ARC
(15,4),-1.47498 # DEPENDENCYPART_ARC
(15,6),-1.4484 # DEPENDENCYPART_ARC
(15,7),-1.52147 # DEPENDENCYPART_ARC
(15,8),-1.40462 # DEPENDENCYPART_ARC
(15,9),-0.970268 # DEPENDENCYPART_ARC
(15,10),-1.05276 # DEPENDENCYPART_ARC
(15,11),-0.683173 # DEPENDENCYPART_ARC
(15,12),-0.751553 # DEPENDENCYPART_ARC
(15,13),-0.00462649 # DEPENDENCYPART_ARC
(15,14),0.899764 # DEPENDENCYPART_ARC
(15,16),0.27538 # DEPENDENCYPART_ARC
(15,17),-0.48253 # DEPENDENCYPART_ARC
(15,18),-0.415099 # DEPENDENCYPART_ARC
(15,19),-1.00599 # DEPENDENCYPART_ARC
(15,20),-1.22699 # DEPENDENCYPART_ARC
(15,21),-1.18909 # DEPENDENCYPART_ARC
(15,22),-1.96175 # DEPENDENCYPART_ARC
(15,25),-1.94082 # DEPENDENCYPART_ARC
(15,27),-1.91322 # DEPENDENCYPART_ARC
(15,33),-0.817918 # DEPENDENCYPART_ARC
(15,38),-1.35645 # DEPENDENCYPART_ARC
(16,18),-0.773698 # DEPENDENCYPART_ARC
(17,18),-0.344642 # DEPENDENCYPART_ARC
(17,19),-1.43272 # DEPENDENCYPART_ARC
(17,21),-1.90752 # DEPENDENCYPART_ARC
(17,24),-2.88041 # DEPENDENCYPART_ARC
(17,27),-2.8554 # DEPENDENCYPART_ARC
(18,7),-1.76636 # DEPENDENCYPART_ARC
(18,10),-1.57584 # DEPENDENCYPART_ARC
(18,11),-1.12514 # DEPENDENCYPART_ARC
(18,12),-1.24918 # DEPENDENCYPART_ARC
(18,13),-1.00435 # DEPENDENCYPART_ARC
(18,14),-1.48828 # DEPENDENCYPART_ARC
(18,15),-1.37641 # DEPENDENCYPART_ARC
(18,16),-0.469906 # DEPENDENCYPART_ARC
(18,17),1.0521 # DEPENDENCYPART_ARC
(18,19),0.600888 # DEPENDENCYPART_ARC
(18,20),-0.751579 # DEPENDENCYPART_ARC
(18,21),-1.21822 # DEPENDENCYPART_ARC
(18,22),-1.73852 # DEPENDENCYPART_ARC
(18,24),-1.85009 # DEPENDENCYPART_ARC
(18,25),-1.93634 # DEPENDENCYPART_ARC
(18,27),-1.45511 # DEPENDENCYPART_ARC
(18,28),-1.77752 # DEPENDENCYPART_ARC
(18,33),-0.934124 # DEPENDENCYPART_ARC
(18,37),-1.85045 # DEPENDENCYPART_ARC
(18,38),-2.10732 # DEPENDENCYPART_ARC
(19,17),-1.14096 # DEPENDENCYPART_ARC
(19,18),-0.133878 # DEPENDENCYPART_ARC
(19,20),-0.0364632 # DEPENDENCYPART_ARC
(19,21),-1.24297 # DEPENDENCYPART_ARC
(19,22),-1.40378 # DEPENDENCYPART_ARC
(19,24),-1.84398 # DEPENDENCYPART_ARC
(19,28),-1.61749 # DEPENDENCYPART_ARC
(20,19),0.167053 # DEPENDENCYPART_ARC
(22,1),-0.379999 # DEPENDENCYPART_ARC
(22,3),-1.32806 # DEPENDENCYPART_ARC
(22,4),-1.02211 # DEPENDENCYPART_ARC
(22,7),-1.02957 # DEPENDENCYPART_ARC
(22,10),-1.85198 # DEPENDENCYPART_ARC
(22,11),-1.92226 # DEPENDENCYPART_ARC
(22,12),-2.31179 # DEPENDENCYPART_ARC
(22,13),-1.75919 # DEPENDENCYPART_ARC
(22,14),-1.84421 # DEPENDENCYPART_ARC
(22,15),-1.00093 # DEPENDENCYPART_ARC
(22,16),-1.84071 # DEPENDENCYPART_ARC
(22,17),-1.23 # DEPENDENCYPART_ARC
(22,18),-0.907504 # DEPENDENCYPART_ARC
(22,19),-1.3486 # DEPENDENCYPART_ARC
(22,20),-0.063793 # DEPENDENCYPART_ARC
(22,21),0.69768 # DEPENDENCYPART_ARC
(22,23),0.569385 # DEPENDENCYPART_ARC
(22,24),0.298509 # DEPENDENCYPART_ARC
(22,25),-0.569746 # DEPENDENCYPART_ARC
(22,27),-1.2689 # DEPENDENCYPART_ARC
(22,28),-1.80404 # DEPENDENCYPART_ARC
(22,33),-0.922415 # DEPENDENCYPART_ARC
(22,38),0.0257418 # DEPENDENCYPART_ARC
(23,24),-0.857568 # DEPENDENCYPART_ARC
(23,27),-2.27653 # DEPENDENCYPART_ARC
(23,28),-2.26528 # DEPENDENCYPART_ARC
(23,32),-2.70482 # DEPENDENCYPART_ARC
(24,20),-1.85994 # DEPENDENCYPART_ARC
(24,21),-1.46424 # DEPENDENCYPART_ARC
(24,23),1.82279 # DEPENDENCYPART_ARC
(24,25),0.37669 # DEPENDENCYPART_ARC
(24,27),-1.62121 # DEPENDENCYPART_ARC
(24,28),-2.13219 # DEPENDENCYPART_ARC
(24,30),-1.92079 # DEPENDENCYPART_ARC
(24,31),-1.90771 # DEPENDENCYPART_ARC
(24,32),-2.17689 # DEPENDENCYPART_ARC
(24,33),-1.14815 # DEPENDENCYPART_ARC
(24,37),-2.13609 # DEPENDENCYPART_ARC
(24,38),-2.0321 # DEPENDENCYPART_ARC
(26,25),-0.0287921 # DEPENDENCYPART_ARC
(26,28),-1.26703 # DEPENDENCYPART_ARC
(27,23),-1.64961 # DEPENDENCYPART_ARC
(27,24),-2.07601 # DEPENDENCYPART_ARC
(27,25),-1.2679 # DEPENDENCYPART_ARC
(27,26),1.00171 # DEPENDENCYPART_ARC
(27,28),0.626181 # DEPENDENCYPART_ARC
(27,29),-1.10357 # DEPENDENCYPART_ARC
(27,30),-0.994849 # DEPENDENCYPART_ARC
(27,31),-1.20122 # DEPENDENCYPART_ARC
(27,32),-1.43172 # DEPENDENCYPART_ARC
(27,33),-0.450756 # DEPENDENCYPART_ARC
(27,35),-1.15034 # DEPENDENCYPART_ARC
(27,36),-1.05904 # DEPENDENCYPART_ARC
(27,37),-1.42933 # DEPENDENCYPART_ARC
(27,38),-1.05313 # DEPENDENCYPART_ARC
(28,26),-1.34476 # DEPENDENCYPART_ARC
(28,29),-0.0386556 # DEPENDENCYPART_ARC
(28,30),-0.268348 # DEPENDENCYPART_ARC
(28,31),-0.959641 # DEPENDENCYPART_ARC
(28,32),-0.867537 # DEPENDENCYPART_ARC
(28,33),-1.10797 # DEPENDENCYPART_ARC
(28,37),-1.71466 # DEPENDENCYPART_ARC
(29,28),-0.590788 # DEPENDENCYPART_ARC
(30,29),-0.692172 # DEPENDENCYPART_ARC
(30,31),-0.476586 # DEPENDENCYPART_ARC
(30,32),-1.51271 # DEPENDENCYPART_ARC
(30,37),-1.89468 # DEPENDENCYPART_ARC
(31,29),-1.23059 # DEPENDENCYPART_ARC
(31,30),-0.299923 # DEPENDENCYPART_ARC
(31,32),-0.781683 # DEPENDENCYPART_ARC
(31,34),-1.57574 # DEPENDENCYPART_ARC
(31,37),-2.03947 # DEPENDENCYPART_ARC
(32,23),-1.96497 # DEPENDENCYPART_ARC
(32,24),-2.68386 # DEPENDENCYPART_ARC
(32,26),-1.79943 # DEPENDENCYPART_ARC
(32,27),-1.35146 # DEPENDENCYPART_ARC
(32,29),-0.415698 # DEPENDENCYPART_ARC
(32,30),0.413561 # DEPENDENCYPART_ARC
(32,31),1.38727 # DEPENDENCYPART_ARC
(32,33),-0.624403 # DEPENDENCYPART_ARC
(32,34),-1.43106 # DEPENDENCYPART_ARC
(32,37),-1.83581 # DEPENDENCYPART_ARC
(33,1),-0.358261 # DEPENDENCYPART_ARC
(33,3),-1.23404 # DEPENDENCYPART_ARC
(33,4),-3.07557 # DEPENDENCYPART_ARC
(33,6),-1.69163 # DEPENDENCYPART_ARC
(33,7),-2.22657 # DEPENDENCYPART_ARC
(33,10),-1.63061 # DEPENDENCYPART_ARC
(33,11),-0.986858 # DEPENDENCYPART_ARC
(33,12),-2.02975 # DEPENDENCYPART_ARC
(33,13),-1.20245 # DEPENDENCYPART_ARC
(33,14),-1.78919 # DEPENDENCYPART_ARC
(33,15),-2.18037 # DEPENDENCYPART_ARC
(33,16),-1.7198 # DEPENDENCYPART_ARC
(33,17),-1.58888 # DEPENDENCYPART_ARC
(33,18),-1.53033 # DEPENDENCYPART_ARC
(33,19),-0.864247 # DEPENDENCYPART_ARC
(33,20),-1.74453 # DEPENDENCYPART_ARC
(33,22),-1.58259 # DEPENDENCYPART_ARC
(33,23),-1.45303 # DEPENDENCYPART_ARC
(33,24),-1.32097 # DEPENDENCYPART_ARC
(33,25),-0.858891 # DEPENDENCYPART_ARC
(33,26),-1.70852 # DEPENDENCYPART_ARC
(33,27),-1.10444 # DEPENDENCYPART_ARC
(33,28),-0.961516 # DEPENDENCYPART_ARC
(33,29),-1.01479 # DEPENDENCYPART_ARC
(33,30),-0.678182 # DEPENDENCYPART_ARC
(33,31),-0.53854 # DEPENDENCYPART_ARC
(33,32),0.855224 # DEPENDENCYPART_ARC
(33,34),0.319898 # DEPENDENCYPART_ARC
(33,35),-0.610337 # DEPENDENCYPART_ARC
(33,36),-0.902423 # DEPENDENCYPART_ARC
(33,37),-0.428358 # DEPENDENCYPART_ARC
(33,38),-1.00301 # DEPENDENCYPART_ARC
(34,35),-0.0229023 # DEPENDENCYPART_ARC
(35,34),-0.141605 # DEPENDENCYPART_ARC
(35,36),-0.373254 # DEPENDENCYPART_ARC
(36,27),-1.4156 # DEPENDENCYPART_ARC
(36,32),-1.34272 # DEPENDENCYPART_ARC
(36,34),-1.27762 # DEPENDENCYPART_ARC
(36,35),-0.151456 # DEPENDENCYPART_ARC
(36,37),-0.443399 # DEPENDENCYPART_ARC
(37,26),-2.46506 # DEPENDENCYPART_ARC
(37,27),-2.03128 # DEPENDENCYPART_ARC
(37,28),-1.15627 # DEPENDENCYPART_ARC
(37,29),-1.71059 # DEPENDENCYPART_ARC
(37,30),-1.17214 # DEPENDENCYPART_ARC
(37,31),-1.19052 # DEPENDENCYPART_ARC
(37,32),-1.23982 # DEPENDENCYPART_ARC
(37,33),-0.946953 # DEPENDENCYPART_ARC
(37,34),-0.80742 # DEPENDENCYPART_ARC
(37,35),0.353449 # DEPENDENCYPART_ARC
(37,36),1.51344 # DEPENDENCYPART_ARC
(37,38),-0.378636 # DEPENDENCYPART_ARC
(38,37),-0.258541 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0934567 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.104261 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.1919 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.004911 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0972489 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0033434 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0287565 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0114881 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0405889 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0151688 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.129502 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.572993 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.00988685 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.129502 # DEPENDENCYPART_SIBL
(3,1),(3,38),0.0311607 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0425729 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0410161 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0376128 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0151307 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0246195 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0118524 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0523825 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00163142 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0118524 # DEPENDENCYPART_SIBL
(3,2),(3,38),0.019628 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0628184 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0721374 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0625995 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0640678 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0226833 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.000597357 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0851798 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0226833 # DEPENDENCYPART_SIBL
(3,4),(3,38),0.0193238 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0626292 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0506083 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0521217 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0227713 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0081405 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0732257 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0227713 # DEPENDENCYPART_SIBL
(3,7),(3,38),0.0484868 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0145188 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0171915 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0632132 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0154151 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.00415516 # DEPENDENCYPART_SIBL
(3,10),(3,25),-0.0632132 # DEPENDENCYPART_SIBL
(3,10),(3,38),-0.00305019 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0353707 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0233346 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.034452 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0565005 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.0233346 # DEPENDENCYPART_SIBL
(3,15),(3,38),0.0655344 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0198442 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0111837 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0726255 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0198442 # DEPENDENCYPART_SIBL
(3,18),(3,38),0.0395231 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0262518 # DEPENDENCYPART_SIBL
(3,20),(3,22),-0.0105885 # DEPENDENCYPART_SIBL
(3,20),(3,25),0.0323527 # DEPENDENCYPART_SIBL
(3,20),(3,38),-0.0398879 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0358682 # DEPENDENCYPART_SIBL
(3,21),(3,25),-0.0471153 # DEPENDENCYPART_SIBL
(3,21),(3,38),-0.0795319 # DEPENDENCYPART_SIBL
(3,22),(3,25),-0.0165429 # DEPENDENCYPART_SIBL
(3,22),(3,38),0.0410042 # DEPENDENCYPART_SIBL
(3,25),(3,38),-0.0398879 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.124946 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0550778 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.028537 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0488796 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0909703 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0319184 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0396326 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0221606 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0853164 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0447563 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00290373 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0916199 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0488796 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0818641 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0151268 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.137869 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.530124 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0462471 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.137869 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.0578585 # DEPENDENCYPART_SIBL
(4,1),(4,38),0.0618435 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0282327 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0181518 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.057233 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0858588 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0158582 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0320467 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0731408 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0448057 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0283424 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0427006 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0421169 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.057233 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0735778 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0566506 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0379199 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00401751 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0376079 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0379199 # DEPENDENCYPART_SIBL
(4,2),(4,33),0.0297208 # DEPENDENCYPART_SIBL
(4,2),(4,38),0.0870077 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.067161 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.080562 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.098689 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0580117 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0555945 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0426351 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0778408 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0515887 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.121057 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.127151 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.080562 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.101254 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.055081 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.132952 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0547914 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.112698 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.132952 # DEPENDENCYPART_SIBL
(4,3),(4,33),-0.0540017 # DEPENDENCYPART_SIBL
(4,3),(4,38),-0.00252736 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0278783 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00496362 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.046038 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0826662 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0385418 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0322651 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0782596 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.102017 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0100036 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0278783 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00655227 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0508159 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0369386 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0927879 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00763916 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.0369386 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.0421385 # DEPENDENCYPART_SIBL
(4,5),(4,38),-0.0299705 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0127998 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0295467 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0311648 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0247535 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00835229 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0275219 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0453303 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.02057 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0964706 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00163182 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0207847 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0127398 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0478506 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.000546823 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0127398 # DEPENDENCYPART_SIBL
(4,6),(4,33),-0.0383359 # DEPENDENCYPART_SIBL
(4,6),(4,38),0.000351638 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0412529 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.047021 # DEPENDENCYPART_SIBL
