# _root_ Since the recent deterioration of the junk-bond market , at least two other junk issuers have said they plan to scale back planned high-yield offerings , and several issues have been postponed .
#goldHeads=16,4,4,1,4,8,8,5,16,15,10,10,15,15,16,0,16,19,27,21,19,21,25,25,21,27,17,29,30,27,30,31,16,
#predictedHeads=16,4,4,1,4,8,8,5,4,15,10,10,15,15,16,27,16,19,17,21,19,21,25,25,21,27,0,29,30,27,30,31,27,
(6,7),-0.37429 # DEPENDENCYPART_ARC
(7,6),-0.0808038 # DEPENDENCYPART_ARC
(7,11),-2.07998 # DEPENDENCYPART_ARC
(8,2),-1.42707 # DEPENDENCYPART_ARC
(8,3),-0.976152 # DEPENDENCYPART_ARC
(8,4),-1.06752 # DEPENDENCYPART_ARC
(8,5),-0.842962 # DEPENDENCYPART_ARC
(8,6),0.537711 # DEPENDENCYPART_ARC
(8,7),1.71235 # DEPENDENCYPART_ARC
(8,9),-0.100683 # DEPENDENCYPART_ARC
(8,10),-1.97255 # DEPENDENCYPART_ARC
(8,11),-1.86717 # DEPENDENCYPART_ARC
(8,12),-2.25067 # DEPENDENCYPART_ARC
(8,13),-2.0583 # DEPENDENCYPART_ARC
(8,14),-2.08234 # DEPENDENCYPART_ARC
(8,15),-2.28607 # DEPENDENCYPART_ARC
(8,16),-2.23699 # DEPENDENCYPART_ARC
(8,26),-1.77891 # DEPENDENCYPART_ARC
(8,33),-2.65664 # DEPENDENCYPART_ARC
(10,5),-1.7615 # DEPENDENCYPART_ARC
(10,8),-1.71065 # DEPENDENCYPART_ARC
(10,9),0.00778883 # DEPENDENCYPART_ARC
(10,11),0.549144 # DEPENDENCYPART_ARC
(10,12),-0.270973 # DEPENDENCYPART_ARC
(10,13),-0.843922 # DEPENDENCYPART_ARC
(10,14),-1.1465 # DEPENDENCYPART_ARC
(10,15),-1.25767 # DEPENDENCYPART_ARC
(10,16),-1.08267 # DEPENDENCYPART_ARC
(10,19),-1.23884 # DEPENDENCYPART_ARC
(10,20),-1.48327 # DEPENDENCYPART_ARC
(12,10),-0.792943 # DEPENDENCYPART_ARC
(12,11),0.224285 # DEPENDENCYPART_ARC
(12,13),0.118608 # DEPENDENCYPART_ARC
(12,14),-0.724061 # DEPENDENCYPART_ARC
(12,17),-1.22809 # DEPENDENCYPART_ARC
(13,4),-1.7054 # DEPENDENCYPART_ARC
(13,8),-1.59041 # DEPENDENCYPART_ARC
(13,12),-0.248233 # DEPENDENCYPART_ARC
(13,14),-0.504506 # DEPENDENCYPART_ARC
(14,10),-1.674 # DEPENDENCYPART_ARC
(14,11),-1.50209 # DEPENDENCYPART_ARC
(14,12),-1.04978 # DEPENDENCYPART_ARC
(14,13),0.214042 # DEPENDENCYPART_ARC
(14,16),-0.743063 # DEPENDENCYPART_ARC
(14,17),-1.35248 # DEPENDENCYPART_ARC
(15,1),-1.79699 # DEPENDENCYPART_ARC
(15,5),-1.53715 # DEPENDENCYPART_ARC
(15,6),-1.53467 # DEPENDENCYPART_ARC
(15,7),-1.77221 # DEPENDENCYPART_ARC
(15,8),-2.32183 # DEPENDENCYPART_ARC
(15,10),-0.842131 # DEPENDENCYPART_ARC
(15,12),-0.716477 # DEPENDENCYPART_ARC
(15,13),0.329584 # DEPENDENCYPART_ARC
(15,14),1.73449 # DEPENDENCYPART_ARC
(15,16),-0.40638 # DEPENDENCYPART_ARC
(15,17),-1.41795 # DEPENDENCYPART_ARC
(15,19),-1.64427 # DEPENDENCYPART_ARC
(16,1),-0.418705 # DEPENDENCYPART_ARC
(16,3),-1.56926 # DEPENDENCYPART_ARC
(16,4),-1.39977 # DEPENDENCYPART_ARC
(16,5),-1.21664 # DEPENDENCYPART_ARC
(16,6),-1.80112 # DEPENDENCYPART_ARC
(16,7),-1.67147 # DEPENDENCYPART_ARC
(16,8),-1.71626 # DEPENDENCYPART_ARC
(16,9),-1.24718 # DEPENDENCYPART_ARC
(16,10),-0.293276 # DEPENDENCYPART_ARC
(16,11),-1.04853 # DEPENDENCYPART_ARC
(16,12),-1.11636 # DEPENDENCYPART_ARC
(16,13),-0.923526 # DEPENDENCYPART_ARC
(16,14),-0.37203 # DEPENDENCYPART_ARC
(16,15),0.88047 # DEPENDENCYPART_ARC
(16,17),1.68569 # DEPENDENCYPART_ARC
(16,18),-0.664375 # DEPENDENCYPART_ARC
(16,19),-0.54629 # DEPENDENCYPART_ARC
(16,20),-0.971733 # DEPENDENCYPART_ARC
(16,21),-0.742262 # DEPENDENCYPART_ARC
(16,23),-1.24881 # DEPENDENCYPART_ARC
(16,25),-0.91692 # DEPENDENCYPART_ARC
(16,26),-1.16823 # DEPENDENCYPART_ARC
(16,27),-0.81958 # DEPENDENCYPART_ARC
(16,30),-2.05175 # DEPENDENCYPART_ARC
(16,33),-1.17135 # DEPENDENCYPART_ARC
(17,1),-1.92945 # DEPENDENCYPART_ARC
(17,4),-2.86715 # DEPENDENCYPART_ARC
(17,9),-2.00952 # DEPENDENCYPART_ARC
(17,10),-1.25803 # DEPENDENCYPART_ARC
(17,13),-1.67549 # DEPENDENCYPART_ARC
(17,14),-1.34815 # DEPENDENCYPART_ARC
(17,15),-1.20832 # DEPENDENCYPART_ARC
(17,16),-0.945383 # DEPENDENCYPART_ARC
(17,18),0.088124 # DEPENDENCYPART_ARC
(17,19),0.121546 # DEPENDENCYPART_ARC
(17,20),-0.962044 # DEPENDENCYPART_ARC
(17,21),-0.79851 # DEPENDENCYPART_ARC
(17,23),-1.37325 # DEPENDENCYPART_ARC
(17,25),-1.35621 # DEPENDENCYPART_ARC
(17,26),-1.27114 # DEPENDENCYPART_ARC
(17,27),-0.941004 # DEPENDENCYPART_ARC
(17,30),-1.60865 # DEPENDENCYPART_ARC
(17,31),-1.7024 # DEPENDENCYPART_ARC
(17,32),-1.79703 # DEPENDENCYPART_ARC
(17,33),-1.06053 # DEPENDENCYPART_ARC
(18,19),-0.223672 # DEPENDENCYPART_ARC
(18,21),-1.32353 # DEPENDENCYPART_ARC
(19,1),-1.45458 # DEPENDENCYPART_ARC
(19,4),-2.48772 # DEPENDENCYPART_ARC
(19,9),-1.4277 # DEPENDENCYPART_ARC
(19,10),-0.944993 # DEPENDENCYPART_ARC
(19,11),-1.128 # DEPENDENCYPART_ARC
(19,12),-1.30741 # DEPENDENCYPART_ARC
(19,13),-1.16827 # DEPENDENCYPART_ARC
(19,14),-1.29417 # DEPENDENCYPART_ARC
(19,15),-1.19978 # DEPENDENCYPART_ARC
(19,16),-1.50537 # DEPENDENCYPART_ARC
(19,17),-1.14093 # DEPENDENCYPART_ARC
(19,18),0.919429 # DEPENDENCYPART_ARC
(19,20),0.227283 # DEPENDENCYPART_ARC
(19,21),0.12307 # DEPENDENCYPART_ARC
(19,22),-0.874472 # DEPENDENCYPART_ARC
(19,23),-1.29419 # DEPENDENCYPART_ARC
(19,24),-1.43009 # DEPENDENCYPART_ARC
(19,25),-1.20008 # DEPENDENCYPART_ARC
(19,26),-1.38409 # DEPENDENCYPART_ARC
(19,27),-1.0783 # DEPENDENCYPART_ARC
(19,28),-2.02938 # DEPENDENCYPART_ARC
(19,29),-2.2806 # DEPENDENCYPART_ARC
(19,30),-1.93997 # DEPENDENCYPART_ARC
(19,31),-1.90189 # DEPENDENCYPART_ARC
(19,32),-1.82052 # DEPENDENCYPART_ARC
(19,33),-1.6742 # DEPENDENCYPART_ARC
(20,21),-0.285625 # DEPENDENCYPART_ARC
(20,25),-1.75941 # DEPENDENCYPART_ARC
(20,27),-1.80107 # DEPENDENCYPART_ARC
(20,29),-2.64187 # DEPENDENCYPART_ARC
(21,4),-2.6305 # DEPENDENCYPART_ARC
(21,9),-2.2063 # DEPENDENCYPART_ARC
(21,10),-1.38179 # DEPENDENCYPART_ARC
(21,12),-1.53047 # DEPENDENCYPART_ARC
(21,15),-1.48611 # DEPENDENCYPART_ARC
(21,18),-1.33699 # DEPENDENCYPART_ARC
(21,19),-1.13469 # DEPENDENCYPART_ARC
(21,20),1.11614 # DEPENDENCYPART_ARC
(21,22),0.620802 # DEPENDENCYPART_ARC
(21,23),-0.527076 # DEPENDENCYPART_ARC
(21,24),-0.903228 # DEPENDENCYPART_ARC
(21,25),-0.170734 # DEPENDENCYPART_ARC
(21,26),-1.14173 # DEPENDENCYPART_ARC
(21,27),-0.968024 # DEPENDENCYPART_ARC
(21,28),-1.6687 # DEPENDENCYPART_ARC
(21,29),-1.55749 # DEPENDENCYPART_ARC
(21,30),-1.87329 # DEPENDENCYPART_ARC
(21,31),-2.14166 # DEPENDENCYPART_ARC
(21,33),-2.02375 # DEPENDENCYPART_ARC
(22,25),-1.14234 # DEPENDENCYPART_ARC
(23,18),-1.76712 # DEPENDENCYPART_ARC
(23,20),-1.505 # DEPENDENCYPART_ARC
(23,24),-0.201399 # DEPENDENCYPART_ARC
(23,25),-1.07838 # DEPENDENCYPART_ARC
(23,27),-1.29934 # DEPENDENCYPART_ARC
(23,28),-1.55224 # DEPENDENCYPART_ARC
(23,29),-1.94854 # DEPENDENCYPART_ARC
(23,30),-1.70124 # DEPENDENCYPART_ARC
(24,20),-1.45031 # DEPENDENCYPART_ARC
(24,23),-0.0317923 # DEPENDENCYPART_ARC
(24,28),-1.68966 # DEPENDENCYPART_ARC
(25,17),-1.31565 # DEPENDENCYPART_ARC
(25,20),-1.55815 # DEPENDENCYPART_ARC
(25,21),-0.973321 # DEPENDENCYPART_ARC
(25,23),0.369723 # DEPENDENCYPART_ARC
(25,24),1.56486 # DEPENDENCYPART_ARC
(25,26),0.0293186 # DEPENDENCYPART_ARC
(25,27),-1.65274 # DEPENDENCYPART_ARC
(25,28),-1.72626 # DEPENDENCYPART_ARC
(25,29),-1.77179 # DEPENDENCYPART_ARC
(25,30),-1.92242 # DEPENDENCYPART_ARC
(25,31),-2.21054 # DEPENDENCYPART_ARC
(25,32),-2.3397 # DEPENDENCYPART_ARC
(27,1),-0.908811 # DEPENDENCYPART_ARC
(27,3),-2.27543 # DEPENDENCYPART_ARC
(27,4),-1.52379 # DEPENDENCYPART_ARC
(27,5),-1.02522 # DEPENDENCYPART_ARC
(27,6),-2.88518 # DEPENDENCYPART_ARC
(27,7),-1.49963 # DEPENDENCYPART_ARC
(27,8),-1.49925 # DEPENDENCYPART_ARC
(27,9),-1.6824 # DEPENDENCYPART_ARC
(27,10),-1.11622 # DEPENDENCYPART_ARC
(27,12),-1.41671 # DEPENDENCYPART_ARC
(27,13),-2.00776 # DEPENDENCYPART_ARC
(27,14),-1.685 # DEPENDENCYPART_ARC
(27,15),-1.5854 # DEPENDENCYPART_ARC
(27,16),-2.06028 # DEPENDENCYPART_ARC
(27,17),-1.76258 # DEPENDENCYPART_ARC
(27,18),-1.30936 # DEPENDENCYPART_ARC
(27,19),-1.48798 # DEPENDENCYPART_ARC
(27,20),-1.30615 # DEPENDENCYPART_ARC
(27,21),-1.05558 # DEPENDENCYPART_ARC
(27,23),-1.05674 # DEPENDENCYPART_ARC
(27,24),-0.883428 # DEPENDENCYPART_ARC
(27,25),-0.597402 # DEPENDENCYPART_ARC
(27,26),1.41268 # DEPENDENCYPART_ARC
(27,28),0.538111 # DEPENDENCYPART_ARC
(27,29),-0.0603753 # DEPENDENCYPART_ARC
(27,30),-0.522153 # DEPENDENCYPART_ARC
(27,31),-1.21824 # DEPENDENCYPART_ARC
(27,32),-1.30644 # DEPENDENCYPART_ARC
(27,33),-0.0639313 # DEPENDENCYPART_ARC
(28,29),-0.568639 # DEPENDENCYPART_ARC
(28,30),-1.01625 # DEPENDENCYPART_ARC
(28,31),-1.36236 # DEPENDENCYPART_ARC
(28,32),-1.40192 # DEPENDENCYPART_ARC
(29,23),-1.72785 # DEPENDENCYPART_ARC
(29,24),-1.32884 # DEPENDENCYPART_ARC
(29,25),-1.98953 # DEPENDENCYPART_ARC
(29,26),-1.45454 # DEPENDENCYPART_ARC
(29,27),-0.317408 # DEPENDENCYPART_ARC
(29,28),1.12959 # DEPENDENCYPART_ARC
(29,30),-0.299201 # DEPENDENCYPART_ARC
(29,31),-1.15871 # DEPENDENCYPART_ARC
(29,32),-1.42531 # DEPENDENCYPART_ARC
(30,1),-0.82576 # DEPENDENCYPART_ARC
(30,4),-1.1476 # DEPENDENCYPART_ARC
(30,7),-1.61163 # DEPENDENCYPART_ARC
(30,8),-1.67796 # DEPENDENCYPART_ARC
(30,9),-3.24429 # DEPENDENCYPART_ARC
(30,11),-1.88356 # DEPENDENCYPART_ARC
(30,12),-1.95242 # DEPENDENCYPART_ARC
(30,15),-2.41985 # DEPENDENCYPART_ARC
(30,16),-2.25899 # DEPENDENCYPART_ARC
(30,17),-1.91782 # DEPENDENCYPART_ARC
(30,19),-1.86598 # DEPENDENCYPART_ARC
(30,20),-2.26871 # DEPENDENCYPART_ARC
(30,21),-1.74299 # DEPENDENCYPART_ARC
(30,23),-1.80103 # DEPENDENCYPART_ARC
(30,24),-1.84975 # DEPENDENCYPART_ARC
(30,25),-1.77616 # DEPENDENCYPART_ARC
(30,26),-1.25117 # DEPENDENCYPART_ARC
(30,27),-0.659467 # DEPENDENCYPART_ARC
(30,28),-0.855382 # DEPENDENCYPART_ARC
(30,29),0.663285 # DEPENDENCYPART_ARC
(30,31),1.40149 # DEPENDENCYPART_ARC
(30,32),0.0676275 # DEPENDENCYPART_ARC
(30,33),-0.562854 # DEPENDENCYPART_ARC
(31,28),-1.56964 # DEPENDENCYPART_ARC
(31,29),-1.10814 # DEPENDENCYPART_ARC
(31,32),1.15663 # DEPENDENCYPART_ARC
(31,33),-0.705527 # DEPENDENCYPART_ARC
(32,23),-1.70828 # DEPENDENCYPART_ARC
(32,28),-1.1186 # DEPENDENCYPART_ARC
(32,29),-0.871415 # DEPENDENCYPART_ARC
(32,33),0.411421 # DEPENDENCYPART_ARC
(33,31),-1.03605 # DEPENDENCYPART_ARC
(33,32),0.0537352 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0283031 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.10157 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.11734 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0970791 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.099595 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0430992 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.10157 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.0946483 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.0995215 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.109718 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.118404 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.101735 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.101479 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0912498 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.109718 # DEPENDENCYPART_SIBL
(0,4),(0,31),-0.0953649 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.101479 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.193487 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.168229 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.16737 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.1373 # DEPENDENCYPART_SIBL
(0,16),(0,30),-0.163608 # DEPENDENCYPART_SIBL
(0,16),(0,31),-0.168306 # DEPENDENCYPART_SIBL
(0,16),(0,32),-0.16737 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.171687 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.170829 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.14477 # DEPENDENCYPART_SIBL
(0,17),(0,30),-0.165452 # DEPENDENCYPART_SIBL
(0,17),(0,31),-0.17043 # DEPENDENCYPART_SIBL
(0,17),(0,32),-0.170829 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.170538 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.132479 # DEPENDENCYPART_SIBL
(0,19),(0,30),-0.164797 # DEPENDENCYPART_SIBL
(0,19),(0,31),-0.170136 # DEPENDENCYPART_SIBL
(0,19),(0,32),-0.170538 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.131702 # DEPENDENCYPART_SIBL
(0,21),(0,30),-0.158535 # DEPENDENCYPART_SIBL
(0,21),(0,31),-0.163874 # DEPENDENCYPART_SIBL
(0,21),(0,32),-0.164276 # DEPENDENCYPART_SIBL
(0,27),(0,30),-0.143537 # DEPENDENCYPART_SIBL
(0,27),(0,31),-0.132524 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.132251 # DEPENDENCYPART_SIBL
(0,30),(0,31),-0.168306 # DEPENDENCYPART_SIBL
(0,30),(0,32),-0.16737 # DEPENDENCYPART_SIBL
(0,31),(0,32),-0.172341 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0225998 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0411667 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0194463 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0411667 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0411984 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0381888 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0635186 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0381888 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0396109 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0260054 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0758098 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.064554 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0729307 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0748192 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0644098 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00103238 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.01158 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00169496 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0286293 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0110687 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00443061 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.431684 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0907488 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0994855 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0172905 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0313209 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0224026 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0415671 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00205094 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00776261 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0171133 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0375459 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0371822 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00225447 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00249154 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0251152 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.018021 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.00749973 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0211273 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0171133 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.0132796 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0403407 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.264984 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.139901 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00844169 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0321642 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.009894 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0228956 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0788712 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00883396 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00976308 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.124626 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.108976 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.114912 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.133596 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.009894 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.115292 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0266061 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0515965 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0076739 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00524882 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0228503 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.128084 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0637499 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00728776 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00723317 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.05261 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0437068 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0135552 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0369139 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0228503 # DEPENDENCYPART_SIBL
(4,3),(4,33),-0.0184322 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0844219 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0141885 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0109172 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0256203 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0199954 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.008714 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0169466 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.01381 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0385021 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0290191 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0361483 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0333798 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0256203 # DEPENDENCYPART_SIBL
(4,5),(4,33),-0.00809213 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00833788 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0124359 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0229826 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0343946 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0204533 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00833929 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00871663 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.02272 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0154881 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0307804 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0261893 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0229826 # DEPENDENCYPART_SIBL
(4,6),(4,33),0.0136581 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00105517 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0155455 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0241129 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.00573074 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00837367 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00844792 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0112871 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0143471 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0177506 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0129388 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0155455 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.0201975 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.015533 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0282471 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00422122 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.013667 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0137413 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0108284 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.014541 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0170248 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0122129 # DEPENDENCYPART_SIBL
