# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(11,16),-2.0118 # DEPENDENCYPART_ARC
(11,17),-2.10336 # DEPENDENCYPART_ARC
(13,14),0.651593 # DEPENDENCYPART_ARC
(13,15),1.39998 # DEPENDENCYPART_ARC
(13,16),-1.68684 # DEPENDENCYPART_ARC
(14,8),-2.64036 # DEPENDENCYPART_ARC
(14,10),-1.43335 # DEPENDENCYPART_ARC
(14,11),-2.10317 # DEPENDENCYPART_ARC
(14,12),-2.32678 # DEPENDENCYPART_ARC
(14,13),-1.49126 # DEPENDENCYPART_ARC
(14,15),-0.804735 # DEPENDENCYPART_ARC
(14,16),-1.81611 # DEPENDENCYPART_ARC
(15,1),-1.36714 # DEPENDENCYPART_ARC
(15,2),-1.79933 # DEPENDENCYPART_ARC
(15,4),-1.6746 # DEPENDENCYPART_ARC
(15,5),-1.97677 # DEPENDENCYPART_ARC
(15,6),-1.71464 # DEPENDENCYPART_ARC
(15,7),-1.56143 # DEPENDENCYPART_ARC
(15,8),-1.76715 # DEPENDENCYPART_ARC
(15,9),-1.17372 # DEPENDENCYPART_ARC
(15,10),-1.76126 # DEPENDENCYPART_ARC
(15,11),-1.14895 # DEPENDENCYPART_ARC
(15,12),-1.05841 # DEPENDENCYPART_ARC
(15,13),-1.31189 # DEPENDENCYPART_ARC
(15,14),1.37617 # DEPENDENCYPART_ARC
(15,16),0.895385 # DEPENDENCYPART_ARC
(15,17),-0.0719747 # DEPENDENCYPART_ARC
(16,5),-2.58571 # DEPENDENCYPART_ARC
(16,7),-2.66971 # DEPENDENCYPART_ARC
(16,11),-2.15311 # DEPENDENCYPART_ARC
(16,12),-2.1708 # DEPENDENCYPART_ARC
(16,14),-1.5313 # DEPENDENCYPART_ARC
(16,15),-1.00224 # DEPENDENCYPART_ARC
(16,17),-1.29318 # DEPENDENCYPART_ARC
(17,16),-2.69672 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0844908 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.684893 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0648345 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.726663 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.77039 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0915053 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.750366 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.622043 # DEPENDENCYPART_SIBL
(0,5),(0,15),-1.72373 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.735494 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.217813 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.353865 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.184982 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.245527 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.373789 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.115853 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.532298 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.22885 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.133974 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0721792 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0614984 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.035616 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0165327 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0742587 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0882979 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00470799 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00977207 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00805191 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0567968 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.139166 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.298017 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.148252 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0994598 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0253757 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0823595 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.079783 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.118965 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.164709 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0495173 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0897288 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0360349 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.128976 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.151094 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.230395 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0600304 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.00554114 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00829166 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.120335 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00765915 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0201832 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.272869 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.11345 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00286642 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00466402 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0195566 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.028979 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00151493 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.266524 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.017339 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0417253 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0141887 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0385361 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.129656 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0157641 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.130404 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.197437 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.178545 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.136452 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.26959 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0388687 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.025041 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0376647 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0371773 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0392731 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.378454 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.138378 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0876171 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00512898 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0212637 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.062618 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.112491 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0561971 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0210285 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.215009 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0130525 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0887843 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0455948 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0578579 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.130278 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0666579 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.037227 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.141354 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0100055 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0535559 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0142132 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.113154 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0191314 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0588788 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0289464 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.157217 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0818434 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00818846 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0336511 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0325455 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0317307 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0346105 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0663317 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.112889 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0394823 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0398038 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0161896 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0723295 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0204604 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0634279 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.177274 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0731832 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0981012 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00143871 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0842994 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0881993 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.191523 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.16281 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.160456 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.120288 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0481715 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.135178 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.185768 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0626458 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.018842 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0288829 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00987838 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0301737 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0568418 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0608092 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0262892 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0194354 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0525168 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0192609 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0409307 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.215407 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.33846 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.124709 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.216716 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0685894 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0111851 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.160338 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.222881 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0269917 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.206728 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.00672894 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.186875 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0714334 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.055504 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.277509 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0880587 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0479866 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.276531 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.113878 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.065492 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.127147 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.423847 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.399745 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.61369 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0638023 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.078313 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.493147 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.268539 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.404757 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0265223 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0308733 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0919391 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0277376 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.118641 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.189346 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0390533 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.035879 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00236307 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.186465 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0436954 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0292825 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.30939 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.100677 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.244746 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0254849 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.08986 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0426054 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.400077 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0378081 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0595215 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0691504 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.647844 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00937917 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.3405 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.191122 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0282557 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.109019 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0893941 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.140257 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.00866382 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.014626 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.0744342 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.1372 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.228268 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.00163197 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0514988 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.108854 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.104835 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.115869 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.128977 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.194229 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.110603 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0963421 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.169593 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.105491 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.090973 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.111644 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.204438 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0358632 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00635587 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0120215 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0432391 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0275162 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0200792 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0870936 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0836898 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0481278 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0268054 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0596964 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0171659 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0190386 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0215376 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.03575 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.011637 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.117245 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0481184 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00639433 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0357588 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0292726 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.135926 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.207164 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.201016 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0479379 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0559805 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0657319 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0453343 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.199504 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.107541 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0604788 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0372937 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.143267 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.149401 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.128826 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.01564 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.037536 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.152703 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.136946 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.10444 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0264344 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.247286 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0103573 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.137195 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0415875 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0103109 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0663031 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0618182 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.00946825 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.00214618 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0789155 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0347676 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0538235 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0810901 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0221604 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0639699 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.548492 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.400284 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.329747 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.247822 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0383329 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.111117 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.00724767 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0529331 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.241917 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0759649 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0126586 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0187483 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0209759 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.035763 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0116375 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0481315 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00636757 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.13618 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0794251 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.108419 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0206631 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0744088 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0809506 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0637454 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0381265 # DEPENDENCYPART_SIBL
