# _root_ The average plunged some 600 points , or 1.7 % , in the first 20 minutes of trading .
#goldHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
#predictedHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
(16,9),-2.33868 # DEPENDENCYPART_ARC
(16,10),-2.5818 # DEPENDENCYPART_ARC
(16,11),-1.94883 # DEPENDENCYPART_ARC
(16,13),0.645108 # DEPENDENCYPART_ARC
(16,14),1.0919 # DEPENDENCYPART_ARC
(16,15),1.50064 # DEPENDENCYPART_ARC
(16,17),0.736773 # DEPENDENCYPART_ARC
(16,18),-0.878397 # DEPENDENCYPART_ARC
(16,19),-1.3524 # DEPENDENCYPART_ARC
(17,14),-2.34451 # DEPENDENCYPART_ARC
(17,15),-2.3964 # DEPENDENCYPART_ARC
(17,16),-1.352 # DEPENDENCYPART_ARC
(17,18),1.81244 # DEPENDENCYPART_ARC
(17,19),-2.20074 # DEPENDENCYPART_ARC
(18,13),-1.60828 # DEPENDENCYPART_ARC
(18,14),-1.32038 # DEPENDENCYPART_ARC
(18,15),-2.0739 # DEPENDENCYPART_ARC
(18,16),-1.15348 # DEPENDENCYPART_ARC
(18,17),-0.667108 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.748087 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.277075 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.604549 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.279339 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0146966 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.108771 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.101482 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0103198 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0369658 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0495047 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0103198 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00204529 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.120649 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0159755 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0117181 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0208601 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.286993 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0694794 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0116749 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.286993 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00428317 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0826317 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0207058 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0230733 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0422398 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0233068 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0569218 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0422398 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.105882 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0895958 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0973885 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.10106 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00668423 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0425135 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.10106 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0379983 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00182431 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0759653 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0138436 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.067058 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0759653 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0523381 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0312768 # DEPENDENCYPART_SIBL
(2,7),(2,8),1.10445 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.556014 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.10916 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.104118 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.00876308 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.140252 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.136054 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0798096 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.209306 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00318969 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00641704 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0602429 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.104118 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.00876308 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.100125 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0904697 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.110214 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.181893 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0689966 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0968199 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.130922 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.190422 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.196644 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0968199 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0861485 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.113663 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.096881 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0919418 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.197944 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.195758 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0476304 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0575013 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0501442 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0310426 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0795626 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0574052 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0142966 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0310426 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0484669 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0193117 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00364991 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0137976 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0746606 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.10936 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.089132 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.1311 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0613518 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.111136 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.089132 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.192879 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0613518 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0188301 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0614065 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.111622 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0268588 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.186305 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0576117 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.316438 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0202298 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.109234 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.134136 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.190541 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0202298 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.056463 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.144268 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.300469 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0947056 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.202846 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0348884 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0430903 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.032493 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0130151 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0702296 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0430903 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.272022 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0760611 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.250311 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0874998 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.133888 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0683426 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.569979 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0138761 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0322155 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.19578 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0586618 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.151201 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0293645 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.14179 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0285422 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0834169 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.217991 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.169978 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0320277 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00479959 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.140571 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0177892 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0144661 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.127806 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.19496 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.202676 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0114785 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0432928 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.141796 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.30047 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0892276 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.214155 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0348819 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0299976 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0568161 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0783361 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.390928 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0933711 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.147083 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0118542 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0586618 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.151201 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0293645 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.14179 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0285422 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0834169 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0175154 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0120961 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.154566 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0481686 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0416832 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.278651 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.159705 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.208042 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.022369 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0298008 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.141888 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.1264 # DEPENDENCYPART_SIBL
(3,17),(3,18),-0.210113 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0612066 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0804214 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0570238 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0344054 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0672844 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.186166 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00527644 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0344054 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0268201 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.198824 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0605005 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.014758 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0404618 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0189572 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.108063 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0769812 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0638339 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0189572 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.108379 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0767798 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.188553 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.000451059 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0388846 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.787693 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.428004 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.365594 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.320006 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.253448 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.414955 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.497196 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.34924 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.27819 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.141097 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0985728 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.236313 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.198834 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.140615 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.271587 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.425502 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0292048 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0174102 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0256556 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0136484 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.203773 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0605005 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00927859 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0404725 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0458058 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0387169 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0327818 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.170965 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0426854 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0300658 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.253448 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.414955 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.497196 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.34924 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.27819 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.184115 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.121087 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.144046 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0667921 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0613782 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0225551 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0499042 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.010583 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0845064 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.0263222 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0410834 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.155481 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0143108 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0412237 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.101711 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0659096 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0412237 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0546545 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00187164 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0100418 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0174332 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.120612 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0909564 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0174332 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.000651605 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0206826 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.140744 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0396057 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0380104 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.140744 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.123844 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00926809 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0284729 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0364045 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00926809 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.206386 # DEPENDENCYPART_SIBL
(5,7),(5,8),1.00993 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.46831 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.271004 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.205071 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0755004 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.323977 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.20549 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0721063 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.182231 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.205071 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.127451 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0537263 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.49259 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.135711 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0639338 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.156539 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0239588 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0954927 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0639338 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.131637 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.018946 # DEPENDENCYPART_SIBL
