# _root_ `` And you did n't want me to buy earthquake insurance , '' says Mrs. Hammack , reaching across the table and gently tapping his hand .
#goldHeads=4,4,4,14,4,4,9,9,6,11,9,4,4,0,16,14,14,22,18,21,19,14,24,22,26,24,14,
#predictedHeads=14,14,4,2,4,4,9,9,6,11,9,14,14,0,16,14,16,22,18,21,19,16,24,22,26,24,14,
(4,8),-0.804971 # DEPENDENCYPART_ARC
(4,9),-0.489613 # DEPENDENCYPART_ARC
(4,11),-0.924233 # DEPENDENCYPART_ARC
(4,12),-1.22039 # DEPENDENCYPART_ARC
(4,13),-0.544831 # DEPENDENCYPART_ARC
(4,14),-1.63484 # DEPENDENCYPART_ARC
(4,16),-1.9225 # DEPENDENCYPART_ARC
(4,17),-1.56635 # DEPENDENCYPART_ARC
(4,18),-0.98365 # DEPENDENCYPART_ARC
(4,19),-1.37293 # DEPENDENCYPART_ARC
(4,22),-0.745251 # DEPENDENCYPART_ARC
(4,23),-1.7463 # DEPENDENCYPART_ARC
(4,24),-1.3382 # DEPENDENCYPART_ARC
(4,27),-1.6583 # DEPENDENCYPART_ARC
(5,2),-1.39958 # DEPENDENCYPART_ARC
(5,3),-1.47909 # DEPENDENCYPART_ARC
(5,6),-0.592433 # DEPENDENCYPART_ARC
(5,7),-1.41185 # DEPENDENCYPART_ARC
(5,8),-1.43433 # DEPENDENCYPART_ARC
(5,11),-1.96441 # DEPENDENCYPART_ARC
(6,1),-1.11073 # DEPENDENCYPART_ARC
(6,2),-1.01614 # DEPENDENCYPART_ARC
(6,3),-1.41122 # DEPENDENCYPART_ARC
(6,5),0.415114 # DEPENDENCYPART_ARC
(6,7),0.66865 # DEPENDENCYPART_ARC
(6,8),-0.0784248 # DEPENDENCYPART_ARC
(6,9),-0.127253 # DEPENDENCYPART_ARC
(6,10),-0.886274 # DEPENDENCYPART_ARC
(6,11),-0.706629 # DEPENDENCYPART_ARC
(6,12),-0.849801 # DEPENDENCYPART_ARC
(6,13),-0.825266 # DEPENDENCYPART_ARC
(6,14),-1.57969 # DEPENDENCYPART_ARC
(6,16),-1.94075 # DEPENDENCYPART_ARC
(6,17),-1.38653 # DEPENDENCYPART_ARC
(6,18),-0.894947 # DEPENDENCYPART_ARC
(6,19),-1.25168 # DEPENDENCYPART_ARC
(6,22),-0.441061 # DEPENDENCYPART_ARC
(6,23),-1.56556 # DEPENDENCYPART_ARC
(6,24),-1.1713 # DEPENDENCYPART_ARC
(6,27),-1.2715 # DEPENDENCYPART_ARC
(7,9),-0.777037 # DEPENDENCYPART_ARC
(7,12),-1.16684 # DEPENDENCYPART_ARC
(8,9),-0.431314 # DEPENDENCYPART_ARC
(8,10),-1.48731 # DEPENDENCYPART_ARC
(8,11),-1.95617 # DEPENDENCYPART_ARC
(8,12),-1.57182 # DEPENDENCYPART_ARC
(8,13),-2.01765 # DEPENDENCYPART_ARC
(9,1),-1.02612 # DEPENDENCYPART_ARC
(9,2),-0.999879 # DEPENDENCYPART_ARC
(9,3),-1.72263 # DEPENDENCYPART_ARC
(9,5),-1.593 # DEPENDENCYPART_ARC
(9,6),-1.40907 # DEPENDENCYPART_ARC
(9,7),-0.513368 # DEPENDENCYPART_ARC
(9,8),1.05826 # DEPENDENCYPART_ARC
(9,10),0.560691 # DEPENDENCYPART_ARC
(9,11),0.0816637 # DEPENDENCYPART_ARC
(9,12),-1.09766 # DEPENDENCYPART_ARC
(9,13),-1.3072 # DEPENDENCYPART_ARC
(9,14),-1.81994 # DEPENDENCYPART_ARC
(9,16),-1.95669 # DEPENDENCYPART_ARC
(9,17),-1.94939 # DEPENDENCYPART_ARC
(9,18),-1.48273 # DEPENDENCYPART_ARC
(9,19),-1.53946 # DEPENDENCYPART_ARC
(9,21),-2.00057 # DEPENDENCYPART_ARC
(9,22),-0.90878 # DEPENDENCYPART_ARC
(9,23),-1.81841 # DEPENDENCYPART_ARC
(9,24),-1.78304 # DEPENDENCYPART_ARC
(9,26),-2.06265 # DEPENDENCYPART_ARC
(9,27),-2.19178 # DEPENDENCYPART_ARC
(10,1),-2.39983 # DEPENDENCYPART_ARC
(10,2),-2.2403 # DEPENDENCYPART_ARC
(10,4),-2.15475 # DEPENDENCYPART_ARC
(10,7),-1.97392 # DEPENDENCYPART_ARC
(10,8),-1.56935 # DEPENDENCYPART_ARC
(10,9),-0.139809 # DEPENDENCYPART_ARC
(10,11),-0.653413 # DEPENDENCYPART_ARC
(10,13),-1.69731 # DEPENDENCYPART_ARC
(10,14),-1.96302 # DEPENDENCYPART_ARC
(10,16),-2.43642 # DEPENDENCYPART_ARC
(11,1),-1.22124 # DEPENDENCYPART_ARC
(11,4),-1.09984 # DEPENDENCYPART_ARC
(11,5),-1.24078 # DEPENDENCYPART_ARC
(11,7),-0.937103 # DEPENDENCYPART_ARC
(11,8),-1.19053 # DEPENDENCYPART_ARC
(11,9),-0.119136 # DEPENDENCYPART_ARC
(11,10),2.3005 # DEPENDENCYPART_ARC
(11,12),0.140412 # DEPENDENCYPART_ARC
(11,13),-1.49994 # DEPENDENCYPART_ARC
(11,14),-1.96537 # DEPENDENCYPART_ARC
(11,15),-1.73534 # DEPENDENCYPART_ARC
(11,16),-1.86704 # DEPENDENCYPART_ARC
(11,17),-1.08603 # DEPENDENCYPART_ARC
(11,18),-2.2153 # DEPENDENCYPART_ARC
(11,21),-2.11854 # DEPENDENCYPART_ARC
(11,22),-1.21224 # DEPENDENCYPART_ARC
(11,26),-1.86142 # DEPENDENCYPART_ARC
(11,27),-2.19408 # DEPENDENCYPART_ARC
(14,1),-0.540098 # DEPENDENCYPART_ARC
(14,2),-1.44081 # DEPENDENCYPART_ARC
(14,3),-2.25052 # DEPENDENCYPART_ARC
(14,4),-0.91271 # DEPENDENCYPART_ARC
(14,5),-2.0106 # DEPENDENCYPART_ARC
(14,6),-1.16067 # DEPENDENCYPART_ARC
(14,7),-1.94181 # DEPENDENCYPART_ARC
(14,8),-1.77739 # DEPENDENCYPART_ARC
(14,9),-1.1818 # DEPENDENCYPART_ARC
(14,11),-1.84192 # DEPENDENCYPART_ARC
(14,12),-0.228278 # DEPENDENCYPART_ARC
(14,13),0.615712 # DEPENDENCYPART_ARC
(14,15),0.414467 # DEPENDENCYPART_ARC
(14,16),0.125442 # DEPENDENCYPART_ARC
(14,17),-0.493956 # DEPENDENCYPART_ARC
(14,18),-1.24638 # DEPENDENCYPART_ARC
(14,19),-1.90701 # DEPENDENCYPART_ARC
(14,22),-1.00446 # DEPENDENCYPART_ARC
(14,23),-1.9241 # DEPENDENCYPART_ARC
(14,24),-1.94454 # DEPENDENCYPART_ARC
(14,27),-0.859403 # DEPENDENCYPART_ARC
(15,16),-0.759717 # DEPENDENCYPART_ARC
(16,10),-1.71698 # DEPENDENCYPART_ARC
(16,11),-2.14364 # DEPENDENCYPART_ARC
(16,12),-1.83712 # DEPENDENCYPART_ARC
(16,13),-1.45855 # DEPENDENCYPART_ARC
(16,15),1.7431 # DEPENDENCYPART_ARC
(16,17),0.16295 # DEPENDENCYPART_ARC
(16,18),-1.73363 # DEPENDENCYPART_ARC
(16,19),-2.06471 # DEPENDENCYPART_ARC
(16,21),-2.03433 # DEPENDENCYPART_ARC
(16,22),-1.47202 # DEPENDENCYPART_ARC
(16,26),-1.8698 # DEPENDENCYPART_ARC
(17,18),-0.397314 # DEPENDENCYPART_ARC
(18,4),-2.14729 # DEPENDENCYPART_ARC
(18,16),-1.98393 # DEPENDENCYPART_ARC
(18,17),-0.214138 # DEPENDENCYPART_ARC
(18,19),0.758217 # DEPENDENCYPART_ARC
(18,20),-0.857238 # DEPENDENCYPART_ARC
(18,21),-0.867417 # DEPENDENCYPART_ARC
(18,22),-0.726896 # DEPENDENCYPART_ARC
(18,23),-1.15734 # DEPENDENCYPART_ARC
(18,24),-1.18478 # DEPENDENCYPART_ARC
(18,26),-1.77608 # DEPENDENCYPART_ARC
(18,27),-0.936531 # DEPENDENCYPART_ARC
(19,17),-1.36881 # DEPENDENCYPART_ARC
(19,20),-0.0624421 # DEPENDENCYPART_ARC
(19,21),-0.136181 # DEPENDENCYPART_ARC
(19,22),-0.85589 # DEPENDENCYPART_ARC
(19,23),-1.25037 # DEPENDENCYPART_ARC
(19,24),-1.32986 # DEPENDENCYPART_ARC
(19,26),-1.82728 # DEPENDENCYPART_ARC
(20,21),-0.358946 # DEPENDENCYPART_ARC
(21,19),-0.84975 # DEPENDENCYPART_ARC
(21,20),1.12093 # DEPENDENCYPART_ARC
(21,22),-0.426586 # DEPENDENCYPART_ARC
(21,23),-1.11593 # DEPENDENCYPART_ARC
(21,24),-1.27021 # DEPENDENCYPART_ARC
(21,26),-1.72808 # DEPENDENCYPART_ARC
(22,1),-0.471285 # DEPENDENCYPART_ARC
(22,2),-1.24343 # DEPENDENCYPART_ARC
(22,3),-2.09511 # DEPENDENCYPART_ARC
(22,4),-1.5198 # DEPENDENCYPART_ARC
(22,5),-1.15376 # DEPENDENCYPART_ARC
(22,6),-2.56527 # DEPENDENCYPART_ARC
(22,7),-1.6451 # DEPENDENCYPART_ARC
(22,8),-1.48549 # DEPENDENCYPART_ARC
(22,9),-1.86335 # DEPENDENCYPART_ARC
(22,10),-1.46225 # DEPENDENCYPART_ARC
(22,11),-1.27565 # DEPENDENCYPART_ARC
(22,12),-1.50569 # DEPENDENCYPART_ARC
(22,13),-1.85238 # DEPENDENCYPART_ARC
(22,14),-1.62956 # DEPENDENCYPART_ARC
(22,15),-1.61695 # DEPENDENCYPART_ARC
(22,16),-1.4741 # DEPENDENCYPART_ARC
(22,17),-0.964603 # DEPENDENCYPART_ARC
(22,18),-0.655179 # DEPENDENCYPART_ARC
(22,19),-0.55486 # DEPENDENCYPART_ARC
(22,20),-0.248749 # DEPENDENCYPART_ARC
(22,21),0.424324 # DEPENDENCYPART_ARC
(22,23),0.801569 # DEPENDENCYPART_ARC
(22,24),0.417013 # DEPENDENCYPART_ARC
(22,26),-0.503562 # DEPENDENCYPART_ARC
(22,27),-0.508012 # DEPENDENCYPART_ARC
(23,21),-1.87102 # DEPENDENCYPART_ARC
(23,24),-0.0780694 # DEPENDENCYPART_ARC
(23,26),-1.14665 # DEPENDENCYPART_ARC
(24,19),-1.69736 # DEPENDENCYPART_ARC
(24,21),-1.48118 # DEPENDENCYPART_ARC
(24,23),-0.153731 # DEPENDENCYPART_ARC
(24,26),-0.0788665 # DEPENDENCYPART_ARC
(24,27),-0.391125 # DEPENDENCYPART_ARC
(26,20),-2.00079 # DEPENDENCYPART_ARC
(26,21),-1.68144 # DEPENDENCYPART_ARC
(26,23),-1.2764 # DEPENDENCYPART_ARC
(26,24),-0.773572 # DEPENDENCYPART_ARC
(26,25),0.702485 # DEPENDENCYPART_ARC
(26,27),-0.338676 # DEPENDENCYPART_ARC
(27,26),-0.315403 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.125181 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.133402 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.128276 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.160579 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.132645 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.113963 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.160128 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.163861 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.187208 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.161815 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.124933 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.161627 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.184961 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.159581 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.131721 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.191431 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.165225 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.133515 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.152633 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.122294 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.131704 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0407628 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0228644 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0232853 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0859075 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00581883 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0178604 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00885698 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0727389 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.453171 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0239969 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0117362 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0727389 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0086974 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.00267976 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.00550045 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.029516 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00737695 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00240022 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0520716 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0303056 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0206994 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00945412 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0574442 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0304661 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0171509 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00945412 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0218752 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0326543 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0449914 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00357651 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0144044 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0404929 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0429957 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00986981 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00214258 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00698741 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0405133 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00610118 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00214258 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0317738 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0150622 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.0134545 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0559448 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.000671367 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0178577 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0100487 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0359632 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0524591 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00333271 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.00811812 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0359632 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0264289 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0288107 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0559683 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0340962 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0342664 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00644685 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0314883 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0228461 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0317841 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.00267822 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0314883 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0230445 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0201286 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.0395141 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0499351 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0260301 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0367648 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0651989 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0431736 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0222546 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0367648 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0404959 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0368335 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.0480562 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0160818 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.00289769 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00939941 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0504206 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0123131 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00289769 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0408554 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00802653 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.0118053 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00547879 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00746147 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0118164 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0094562 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00547879 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.00404974 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.00848812 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.0444224 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0225556 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0117791 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0132984 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.074718 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0157532 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0171359 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.00925661 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.015791 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0124635 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.000382924 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0019986 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.000188909 # DEPENDENCYPART_SIBL
(2,13),(2,27),-0.0867438 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0121501 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0237164 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0146771 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.036956 # DEPENDENCYPART_SIBL
(2,14),(2,27),0.0686534 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00708237 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00413034 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00862231 # DEPENDENCYPART_SIBL
(2,16),(2,27),-0.0433824 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0157532 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0171359 # DEPENDENCYPART_SIBL
(2,17),(2,27),-0.00925661 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0108666 # DEPENDENCYPART_SIBL
(2,18),(2,27),-0.000745384 # DEPENDENCYPART_SIBL
(2,19),(2,27),-0.00318878 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0036621 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0606994 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0163657 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0702129 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0774451 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0391725 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0387622 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0404879 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0565096 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.149115 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.542811 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.027882 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0586195 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.149115 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0710759 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0220622 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0263561 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.000356369 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0605263 # DEPENDENCYPART_SIBL
(4,1),(4,27),0.10175 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0157887 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0413908 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0200192 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00627699 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0528791 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0281555 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0219442 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0223767 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0388438 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0278016 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0197676 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0223767 # DEPENDENCYPART_SIBL
(4,2),(4,18),6.7232e-05 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00457858 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0359885 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0389154 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.00795218 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.0525892 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0822904 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0159979 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0345174 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0724511 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00779823 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0333411 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0465222 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.024105 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0303502 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0312759 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0465222 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00888074 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.000590284 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0231576 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0257058 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0063131 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0193647 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.105961 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0161122 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00735912 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0901319 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0284916 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0645958 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0256489 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0592759 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0414901 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0645958 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.10295 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0702653 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0181939 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.00510747 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0946305 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.00236913 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0245327 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0516376 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0249192 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0359711 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0298685 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0471171 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0325376 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0376678 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0298685 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00344742 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0370123 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0534569 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0483886 # DEPENDENCYPART_SIBL
