# _root_ `` As long as I am borrowing at 9.9 % and each { bond } yields over that , it enhances the yield , '' he maintains .
#goldHeads=27,21,2,11,6,11,6,7,10,8,2,14,14,16,14,11,16,17,21,21,27,23,21,27,27,27,0,27,
#predictedHeads=27,11,2,6,6,11,6,7,10,8,21,14,14,11,14,21,16,17,21,21,27,23,21,27,27,27,0,27,
(6,4),-0.0649799 # DEPENDENCYPART_ARC
(6,5),0.886239 # DEPENDENCYPART_ARC
(6,7),1.29724 # DEPENDENCYPART_ARC
(6,8),-0.587522 # DEPENDENCYPART_ARC
(6,9),-1.29049 # DEPENDENCYPART_ARC
(6,10),-1.20734 # DEPENDENCYPART_ARC
(6,11),-0.787161 # DEPENDENCYPART_ARC
(6,14),-1.77502 # DEPENDENCYPART_ARC
(6,15),-1.19777 # DEPENDENCYPART_ARC
(6,16),-1.16826 # DEPENDENCYPART_ARC
(6,17),-1.62092 # DEPENDENCYPART_ARC
(6,19),-1.44753 # DEPENDENCYPART_ARC
(6,21),-2.02222 # DEPENDENCYPART_ARC
(6,24),-1.98274 # DEPENDENCYPART_ARC
(6,25),-0.42384 # DEPENDENCYPART_ARC
(6,28),-1.90645 # DEPENDENCYPART_ARC
(7,4),-1.09784 # DEPENDENCYPART_ARC
(7,5),-1.55429 # DEPENDENCYPART_ARC
(7,6),-0.970575 # DEPENDENCYPART_ARC
(7,8),0.850974 # DEPENDENCYPART_ARC
(7,9),-0.77915 # DEPENDENCYPART_ARC
(7,10),-0.805099 # DEPENDENCYPART_ARC
(7,11),-0.677904 # DEPENDENCYPART_ARC
(7,14),-1.38453 # DEPENDENCYPART_ARC
(7,16),-0.910752 # DEPENDENCYPART_ARC
(7,17),-1.19613 # DEPENDENCYPART_ARC
(7,19),-1.4085 # DEPENDENCYPART_ARC
(7,21),-2.09957 # DEPENDENCYPART_ARC
(7,24),-1.77943 # DEPENDENCYPART_ARC
(7,25),-0.656442 # DEPENDENCYPART_ARC
(7,27),-1.79628 # DEPENDENCYPART_ARC
(7,28),-2.08753 # DEPENDENCYPART_ARC
(8,4),-1.05401 # DEPENDENCYPART_ARC
(8,7),-0.14803 # DEPENDENCYPART_ARC
(8,9),0.0485443 # DEPENDENCYPART_ARC
(8,10),-0.332754 # DEPENDENCYPART_ARC
(8,11),-0.811576 # DEPENDENCYPART_ARC
(8,14),-1.77565 # DEPENDENCYPART_ARC
(8,15),-1.35434 # DEPENDENCYPART_ARC
(8,16),-1.61181 # DEPENDENCYPART_ARC
(8,17),-1.39851 # DEPENDENCYPART_ARC
(8,25),-1.28035 # DEPENDENCYPART_ARC
(8,28),-1.58991 # DEPENDENCYPART_ARC
(9,7),-1.46742 # DEPENDENCYPART_ARC
(9,8),-0.468905 # DEPENDENCYPART_ARC
(9,10),-0.321508 # DEPENDENCYPART_ARC
(9,14),-1.68505 # DEPENDENCYPART_ARC
(9,15),-1.37398 # DEPENDENCYPART_ARC
(10,1),-1.39122 # DEPENDENCYPART_ARC
(10,4),-1.1819 # DEPENDENCYPART_ARC
(10,5),-1.24776 # DEPENDENCYPART_ARC
(10,6),-1.09745 # DEPENDENCYPART_ARC
(10,7),-0.833157 # DEPENDENCYPART_ARC
(10,8),-0.285649 # DEPENDENCYPART_ARC
(10,9),0.933257 # DEPENDENCYPART_ARC
(10,12),-1.29674 # DEPENDENCYPART_ARC
(10,14),-1.34104 # DEPENDENCYPART_ARC
(10,15),-1.32745 # DEPENDENCYPART_ARC
(10,16),-1.42244 # DEPENDENCYPART_ARC
(10,18),-1.61544 # DEPENDENCYPART_ARC
(10,23),-1.62447 # DEPENDENCYPART_ARC
(10,27),-2.43686 # DEPENDENCYPART_ARC
(11,1),-0.619882 # DEPENDENCYPART_ARC
(11,2),-0.872334 # DEPENDENCYPART_ARC
(11,3),-1.06293 # DEPENDENCYPART_ARC
(11,4),-0.627197 # DEPENDENCYPART_ARC
(11,5),-1.3573 # DEPENDENCYPART_ARC
(11,6),-1.07339 # DEPENDENCYPART_ARC
(11,7),-0.937791 # DEPENDENCYPART_ARC
(11,8),-0.817878 # DEPENDENCYPART_ARC
(11,9),-0.571177 # DEPENDENCYPART_ARC
(11,10),0.544788 # DEPENDENCYPART_ARC
(11,12),0.385367 # DEPENDENCYPART_ARC
(11,14),-0.356915 # DEPENDENCYPART_ARC
(11,15),-0.677867 # DEPENDENCYPART_ARC
(11,16),-0.872126 # DEPENDENCYPART_ARC
(11,17),-1.22792 # DEPENDENCYPART_ARC
(11,19),-1.15587 # DEPENDENCYPART_ARC
(11,21),-2.30776 # DEPENDENCYPART_ARC
(11,23),-2.34191 # DEPENDENCYPART_ARC
(11,24),-1.47315 # DEPENDENCYPART_ARC
(11,25),-0.62681 # DEPENDENCYPART_ARC
(11,27),-2.20582 # DEPENDENCYPART_ARC
(11,28),-0.373468 # DEPENDENCYPART_ARC
(12,17),-1.36743 # DEPENDENCYPART_ARC
(14,8),-1.37007 # DEPENDENCYPART_ARC
(14,9),-1.35263 # DEPENDENCYPART_ARC
(14,10),-1.375 # DEPENDENCYPART_ARC
(14,11),-0.99282 # DEPENDENCYPART_ARC
(14,12),-0.127376 # DEPENDENCYPART_ARC
(14,13),0.634619 # DEPENDENCYPART_ARC
(14,15),0.222343 # DEPENDENCYPART_ARC
(14,16),-0.588044 # DEPENDENCYPART_ARC
(14,17),-0.898484 # DEPENDENCYPART_ARC
(14,18),-1.38134 # DEPENDENCYPART_ARC
(14,19),-1.47898 # DEPENDENCYPART_ARC
(14,21),-2.04547 # DEPENDENCYPART_ARC
(14,23),-1.49962 # DEPENDENCYPART_ARC
(14,24),-1.55644 # DEPENDENCYPART_ARC
(14,25),-1.23912 # DEPENDENCYPART_ARC
(14,27),-1.98564 # DEPENDENCYPART_ARC
(14,28),-2.06116 # DEPENDENCYPART_ARC
(15,13),-0.591302 # DEPENDENCYPART_ARC
(16,1),-0.599122 # DEPENDENCYPART_ARC
(16,2),-1.19937 # DEPENDENCYPART_ARC
(16,3),-1.13949 # DEPENDENCYPART_ARC
(16,4),-0.893289 # DEPENDENCYPART_ARC
(16,5),-1.55269 # DEPENDENCYPART_ARC
(16,6),-1.40696 # DEPENDENCYPART_ARC
(16,7),-1.29147 # DEPENDENCYPART_ARC
(16,8),-0.603269 # DEPENDENCYPART_ARC
(16,9),-1.1739 # DEPENDENCYPART_ARC
(16,10),-0.604064 # DEPENDENCYPART_ARC
(16,11),-0.669877 # DEPENDENCYPART_ARC
(16,12),-0.828679 # DEPENDENCYPART_ARC
(16,13),-0.592088 # DEPENDENCYPART_ARC
(16,14),-0.31237 # DEPENDENCYPART_ARC
(16,15),0.621355 # DEPENDENCYPART_ARC
(16,17),0.819155 # DEPENDENCYPART_ARC
(16,18),-0.792343 # DEPENDENCYPART_ARC
(16,19),-0.893165 # DEPENDENCYPART_ARC
(16,21),-1.63334 # DEPENDENCYPART_ARC
(16,23),-2.379 # DEPENDENCYPART_ARC
(16,24),-1.71527 # DEPENDENCYPART_ARC
(16,25),-0.894626 # DEPENDENCYPART_ARC
(16,27),-1.6757 # DEPENDENCYPART_ARC
(16,28),-1.60648 # DEPENDENCYPART_ARC
(17,14),-1.43568 # DEPENDENCYPART_ARC
(17,18),0.384504 # DEPENDENCYPART_ARC
(17,19),-0.633146 # DEPENDENCYPART_ARC
(17,21),-1.67138 # DEPENDENCYPART_ARC
(17,23),-2.14187 # DEPENDENCYPART_ARC
(17,24),-1.57377 # DEPENDENCYPART_ARC
(17,25),-1.173 # DEPENDENCYPART_ARC
(17,27),-1.94412 # DEPENDENCYPART_ARC
(17,28),-1.27712 # DEPENDENCYPART_ARC
(18,17),0.0139926 # DEPENDENCYPART_ARC
(18,21),-1.68483 # DEPENDENCYPART_ARC
(20,19),0.0917865 # DEPENDENCYPART_ARC
(21,1),-1.3831 # DEPENDENCYPART_ARC
(21,2),-2.28326 # DEPENDENCYPART_ARC
(21,3),-1.99019 # DEPENDENCYPART_ARC
(21,4),-2.14598 # DEPENDENCYPART_ARC
(21,6),-1.58333 # DEPENDENCYPART_ARC
(21,7),-1.60664 # DEPENDENCYPART_ARC
(21,8),-1.84622 # DEPENDENCYPART_ARC
(21,10),-2.35705 # DEPENDENCYPART_ARC
(21,11),-1.44995 # DEPENDENCYPART_ARC
(21,12),-2.04778 # DEPENDENCYPART_ARC
(21,13),-1.77228 # DEPENDENCYPART_ARC
(21,14),-2.23554 # DEPENDENCYPART_ARC
(21,16),-1.27424 # DEPENDENCYPART_ARC
(21,17),-1.30563 # DEPENDENCYPART_ARC
(21,18),-1.31883 # DEPENDENCYPART_ARC
(21,19),-0.367597 # DEPENDENCYPART_ARC
(21,20),0.72695 # DEPENDENCYPART_ARC
(21,22),0.230955 # DEPENDENCYPART_ARC
(21,23),0.126464 # DEPENDENCYPART_ARC
(21,24),-0.845647 # DEPENDENCYPART_ARC
(21,25),-1.17327 # DEPENDENCYPART_ARC
(21,27),-1.5334 # DEPENDENCYPART_ARC
(21,28),-1.48755 # DEPENDENCYPART_ARC
(22,24),-1.13761 # DEPENDENCYPART_ARC
(23,18),-2.17117 # DEPENDENCYPART_ARC
(23,20),-1.29759 # DEPENDENCYPART_ARC
(23,21),-0.594628 # DEPENDENCYPART_ARC
(23,22),1.14889 # DEPENDENCYPART_ARC
(23,24),-0.148188 # DEPENDENCYPART_ARC
(23,25),-1.43545 # DEPENDENCYPART_ARC
(23,27),-1.87013 # DEPENDENCYPART_ARC
(27,1),-0.572276 # DEPENDENCYPART_ARC
(27,2),-1.84494 # DEPENDENCYPART_ARC
(27,3),-1.5184 # DEPENDENCYPART_ARC
(27,4),-1.91838 # DEPENDENCYPART_ARC
(27,6),-1.39863 # DEPENDENCYPART_ARC
(27,7),-1.19261 # DEPENDENCYPART_ARC
(27,8),-1.41809 # DEPENDENCYPART_ARC
(27,10),-1.39206 # DEPENDENCYPART_ARC
(27,11),-0.697745 # DEPENDENCYPART_ARC
(27,13),-1.22747 # DEPENDENCYPART_ARC
(27,14),-1.30353 # DEPENDENCYPART_ARC
(27,16),-1.04762 # DEPENDENCYPART_ARC
(27,17),-0.935545 # DEPENDENCYPART_ARC
(27,18),-1.0412 # DEPENDENCYPART_ARC
(27,19),-1.88958 # DEPENDENCYPART_ARC
(27,20),-1.84037 # DEPENDENCYPART_ARC
(27,21),-1.13854 # DEPENDENCYPART_ARC
(27,22),-1.52834 # DEPENDENCYPART_ARC
(27,23),-1.89802 # DEPENDENCYPART_ARC
(27,24),-0.652596 # DEPENDENCYPART_ARC
(27,25),-0.33375 # DEPENDENCYPART_ARC
(27,26),1.04963 # DEPENDENCYPART_ARC
(27,28),0.618626 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0353135 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0995502 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.098697 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0504879 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0998406 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0998398 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0998398 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.078739 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0779786 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0534415 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0791222 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0791213 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0791213 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.164334 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.131718 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.164365 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.164318 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.164318 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.131702 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.164358 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.164311 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.164311 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.129791 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.132251 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.132252 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.162276 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.162276 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.164275 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0648136 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.163442 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0389073 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0371216 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0312458 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0847534 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0238405 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.129857 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.140561 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.124079 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.104538 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00454204 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0514556 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.123696 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.00882359 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0226943 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0433904 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0222755 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0365121 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0277991 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0214101 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0732555 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0150936 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0232137 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0154481 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0124397 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0362238 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00547776 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.023461 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0439925 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0175692 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0228301 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0223387 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00814043 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0148293 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.017735 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0832002 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.146004 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0244029 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0843176 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0224696 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0980882 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.324822 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.028312 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.16469 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.163167 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.116327 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00243032 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00157177 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0237423 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0022943 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0144015 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0207365 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0112018 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.000210982 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00577435 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.000535142 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.1202 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0304988 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0812536 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0823294 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.435284 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0344719 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0970508 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0718937 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0076417 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0174903 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.018566 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.302256 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0566235 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0657871 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0559065 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0194168 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0192111 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00942729 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0534598 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00569532 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0108288 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0136604 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0146713 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0617446 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00943069 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.0635809 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0146715 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0617444 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0100069 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.0526677 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0711078 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00172664 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.00442953 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0110716 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.00741913 # DEPENDENCYPART_SIBL
(4,15),(4,28),-0.00109297 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.000895178 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0020129 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0514921 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0146331 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0215188 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0245625 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0320675 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.018396 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0254099 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0363604 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00062001 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.011096 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0307306 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0330158 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0211345 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0330158 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.435084 # DEPENDENCYPART_SIBL
(6,1),(6,28),-0.0108434 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00474342 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0141001 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0228207 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00493402 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00314578 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0812432 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00582091 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0184787 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0328692 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0507171 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0294619 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0297162 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.141237 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00533038 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.141237 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0146243 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.0310495 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0182859 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0485536 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0387942 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0216393 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0286213 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0126795 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00120865 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0423918 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0308446 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0142664 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00271044 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0869025 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0383979 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0869025 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.00219751 # DEPENDENCYPART_SIBL
(6,3),(6,28),-0.00359194 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.000323329 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00934045 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00888666 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0225979 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0374348 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0357834 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0438696 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00968107 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00468713 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0188726 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.165753 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.00859544 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.165753 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.046023 # DEPENDENCYPART_SIBL
(6,4),(6,28),-0.0916084 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0161585 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.069024 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00686349 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.059963 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.000171883 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0664439 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0272152 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0231706 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0269334 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0451333 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0178674 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0451333 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.054724 # DEPENDENCYPART_SIBL
(6,5),(6,28),0.0667978 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0213668 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0399494 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0361674 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0578048 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0258017 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00351408 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0214821 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0324705 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.00113933 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0227504 # DEPENDENCYPART_SIBL
(6,7),(6,24),0.00113933 # DEPENDENCYPART_SIBL
(6,7),(6,25),0.0114219 # DEPENDENCYPART_SIBL
(6,7),(6,28),0.00663043 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0132102 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0234317 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0249222 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0120589 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0732956 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0319341 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.00362891 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.101617 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0306223 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.101617 # DEPENDENCYPART_SIBL
