# _root_ Birkaç tane rapor ve kamuoyunda da bu olayın kaza _ olmadığı , suikast _ olduğu gibi yaygın bir kanaat _ vardı , o kadar .
#goldHeads=2,3,4,5,20,5,8,10,10,11,12,14,14,15,16,19,19,19,20,21,22,24,24,25,0,
#predictedHeads=2,3,4,5,10,5,8,11,11,11,21,0,15,15,16,21,19,19,20,21,22,0,24,25,0,
(14,10),-1.38634 # DEPENDENCYPART_ARC
(14,11),0.101361 # DEPENDENCYPART_ARC
(14,12),0.355179 # DEPENDENCYPART_ARC
(14,13),2.40101 # DEPENDENCYPART_ARC
(14,15),-0.267728 # DEPENDENCYPART_ARC
(14,16),-0.257333 # DEPENDENCYPART_ARC
(14,17),-0.912765 # DEPENDENCYPART_ARC
(14,19),-1.06678 # DEPENDENCYPART_ARC
(14,21),-0.844398 # DEPENDENCYPART_ARC
(14,22),-1.0034 # DEPENDENCYPART_ARC
(14,24),-1.55786 # DEPENDENCYPART_ARC
(14,25),-1.39366 # DEPENDENCYPART_ARC
(15,2),0.0596026 # DEPENDENCYPART_ARC
(15,3),-0.0241511 # DEPENDENCYPART_ARC
(15,4),0.741433 # DEPENDENCYPART_ARC
(15,5),-1.3418 # DEPENDENCYPART_ARC
(15,6),-0.109543 # DEPENDENCYPART_ARC
(15,8),0.832213 # DEPENDENCYPART_ARC
(15,9),0.75341 # DEPENDENCYPART_ARC
(15,11),-0.233058 # DEPENDENCYPART_ARC
(15,12),0.532608 # DEPENDENCYPART_ARC
(15,13),2.60404 # DEPENDENCYPART_ARC
(15,14),2.73714 # DEPENDENCYPART_ARC
(16,9),-0.288132 # DEPENDENCYPART_ARC
(16,12),-0.306576 # DEPENDENCYPART_ARC
(16,13),0.802372 # DEPENDENCYPART_ARC
(16,14),0.114396 # DEPENDENCYPART_ARC
(16,15),3.39795 # DEPENDENCYPART_ARC
(16,19),-0.355449 # DEPENDENCYPART_ARC
(17,10),-1.85042 # DEPENDENCYPART_ARC
(17,13),0.265967 # DEPENDENCYPART_ARC
(17,14),0.00216326 # DEPENDENCYPART_ARC
(17,15),0.668253 # DEPENDENCYPART_ARC
(17,16),0.585405 # DEPENDENCYPART_ARC
(17,19),-0.246062 # DEPENDENCYPART_ARC
(17,24),-0.895609 # DEPENDENCYPART_ARC
(18,17),0.175093 # DEPENDENCYPART_ARC
(19,1),-1.14552 # DEPENDENCYPART_ARC
(19,4),-0.00498639 # DEPENDENCYPART_ARC
(19,7),-0.599087 # DEPENDENCYPART_ARC
(19,9),-0.532181 # DEPENDENCYPART_ARC
(19,11),-0.701754 # DEPENDENCYPART_ARC
(19,12),0.28844 # DEPENDENCYPART_ARC
(19,13),0.80102 # DEPENDENCYPART_ARC
(19,14),-0.161268 # DEPENDENCYPART_ARC
(19,15),0.542701 # DEPENDENCYPART_ARC
(19,16),1.09167 # DEPENDENCYPART_ARC
(19,17),1.97277 # DEPENDENCYPART_ARC
(19,18),2.05086 # DEPENDENCYPART_ARC
(19,20),-0.00673705 # DEPENDENCYPART_ARC
(19,21),-0.620101 # DEPENDENCYPART_ARC
(19,22),-0.418072 # DEPENDENCYPART_ARC
(19,23),-0.468305 # DEPENDENCYPART_ARC
(19,24),-0.557994 # DEPENDENCYPART_ARC
(20,12),0.342037 # DEPENDENCYPART_ARC
(20,13),0.697648 # DEPENDENCYPART_ARC
(20,14),-0.842509 # DEPENDENCYPART_ARC
(20,16),0.188032 # DEPENDENCYPART_ARC
(20,17),0.297242 # DEPENDENCYPART_ARC
(20,18),0.548009 # DEPENDENCYPART_ARC
(20,19),1.9558 # DEPENDENCYPART_ARC
(20,24),0.0772175 # DEPENDENCYPART_ARC
(21,2),-0.106717 # DEPENDENCYPART_ARC
(21,3),0.636751 # DEPENDENCYPART_ARC
(21,5),-0.21348 # DEPENDENCYPART_ARC
(21,7),-0.865041 # DEPENDENCYPART_ARC
(21,8),-1.27195 # DEPENDENCYPART_ARC
(21,9),-0.391633 # DEPENDENCYPART_ARC
(21,10),-5.85503 # DEPENDENCYPART_ARC
(21,11),0.72971 # DEPENDENCYPART_ARC
(21,12),-0.119923 # DEPENDENCYPART_ARC
(21,13),0.731837 # DEPENDENCYPART_ARC
(21,14),-2.70499 # DEPENDENCYPART_ARC
(21,15),0.467735 # DEPENDENCYPART_ARC
(21,16),1.18522 # DEPENDENCYPART_ARC
(21,17),-0.296566 # DEPENDENCYPART_ARC
(21,18),-0.229571 # DEPENDENCYPART_ARC
(21,19),1.94447 # DEPENDENCYPART_ARC
(21,20),1.73127 # DEPENDENCYPART_ARC
(21,24),-0.334799 # DEPENDENCYPART_ARC
(22,1),-2.1019 # DEPENDENCYPART_ARC
(22,10),-4.11076 # DEPENDENCYPART_ARC
(22,13),0.0761402 # DEPENDENCYPART_ARC
(22,14),-2.71828 # DEPENDENCYPART_ARC
(22,16),-0.206671 # DEPENDENCYPART_ARC
(22,17),-0.641937 # DEPENDENCYPART_ARC
(22,18),-0.585595 # DEPENDENCYPART_ARC
(22,19),0.411855 # DEPENDENCYPART_ARC
(22,20),-0.758208 # DEPENDENCYPART_ARC
(22,21),1.43012 # DEPENDENCYPART_ARC
(22,24),-0.731968 # DEPENDENCYPART_ARC
(22,25),-0.876978 # DEPENDENCYPART_ARC
(23,22),-0.18232 # DEPENDENCYPART_ARC
(24,4),-0.371529 # DEPENDENCYPART_ARC
(24,7),-0.716719 # DEPENDENCYPART_ARC
(24,11),-0.498656 # DEPENDENCYPART_ARC
(24,12),0.160171 # DEPENDENCYPART_ARC
(24,15),-0.725093 # DEPENDENCYPART_ARC
(24,16),0.454029 # DEPENDENCYPART_ARC
(24,17),0.114981 # DEPENDENCYPART_ARC
(24,18),0.090474 # DEPENDENCYPART_ARC
(24,19),-0.395675 # DEPENDENCYPART_ARC
(24,20),-0.4962 # DEPENDENCYPART_ARC
(24,21),-0.0621447 # DEPENDENCYPART_ARC
(24,22),0.512504 # DEPENDENCYPART_ARC
(24,23),2.50616 # DEPENDENCYPART_ARC
(24,25),-0.682128 # DEPENDENCYPART_ARC
(25,1),-1.04741 # DEPENDENCYPART_ARC
(25,5),-0.137456 # DEPENDENCYPART_ARC
(25,6),-2.77768 # DEPENDENCYPART_ARC
(25,8),0.038449 # DEPENDENCYPART_ARC
(25,10),-4.41987 # DEPENDENCYPART_ARC
(25,14),-2.87892 # DEPENDENCYPART_ARC
(25,16),-0.176293 # DEPENDENCYPART_ARC
(25,17),-1.1728 # DEPENDENCYPART_ARC
(25,18),-0.485175 # DEPENDENCYPART_ARC
(25,19),0.0196054 # DEPENDENCYPART_ARC
(25,20),-2.11432 # DEPENDENCYPART_ARC
(25,21),1.02386 # DEPENDENCYPART_ARC
(25,22),-0.302066 # DEPENDENCYPART_ARC
(25,23),-0.0317977 # DEPENDENCYPART_ARC
(25,24),0.446535 # DEPENDENCYPART_ARC
