# _root_ ATO Başkanı Sinan_Aygün , Maliye Bakanı Kemal_Yazıcıoğlu ziyaretinden sonra da Bakan'ın " Vergi_Barışı_Projesi " konusunda , ocak ayının ilk haftasında _ mükelleflere müjde _ _ verebileceklerini _ söylediğini _ bildirdi .
#goldHeads=2,3,30,0,6,7,8,9,27,9,13,0,15,0,24,0,18,20,20,24,22,24,24,25,26,27,28,30,30,31,0,
#predictedHeads=2,3,24,0,6,7,8,9,30,9,13,0,15,0,16,0,18,20,20,21,22,24,25,25,26,27,28,30,30,31,0,
(9,6),0.116062 # DEPENDENCYPART_ARC
(9,7),0.678756 # DEPENDENCYPART_ARC
(9,8),3.32458 # DEPENDENCYPART_ARC
(9,10),2.21255 # DEPENDENCYPART_ARC
(9,13),0.103559 # DEPENDENCYPART_ARC
(10,6),-2.49233 # DEPENDENCYPART_ARC
(10,7),-2.19227 # DEPENDENCYPART_ARC
(10,8),-1.37067 # DEPENDENCYPART_ARC
(10,9),-0.4596 # DEPENDENCYPART_ARC
(10,11),-0.389173 # DEPENDENCYPART_ARC
(11,5),-0.0887192 # DEPENDENCYPART_ARC
(11,6),-0.372196 # DEPENDENCYPART_ARC
(11,8),-0.586128 # DEPENDENCYPART_ARC
(11,10),0.258944 # DEPENDENCYPART_ARC
(11,13),0.0227848 # DEPENDENCYPART_ARC
(12,10),-1.11025 # DEPENDENCYPART_ARC
(12,11),-0.103843 # DEPENDENCYPART_ARC
(12,14),-0.857775 # DEPENDENCYPART_ARC
(12,25),-1.9299 # DEPENDENCYPART_ARC
(12,29),-1.96472 # DEPENDENCYPART_ARC
(12,30),-1.65159 # DEPENDENCYPART_ARC
(13,1),0.548542 # DEPENDENCYPART_ARC
(13,2),0.286393 # DEPENDENCYPART_ARC
(13,3),0.106224 # DEPENDENCYPART_ARC
(13,4),0.616099 # DEPENDENCYPART_ARC
(13,7),0.450254 # DEPENDENCYPART_ARC
(13,8),-0.532366 # DEPENDENCYPART_ARC
(13,9),0.127522 # DEPENDENCYPART_ARC
(13,10),-0.0106594 # DEPENDENCYPART_ARC
(13,11),1.48649 # DEPENDENCYPART_ARC
(13,12),2.06034 # DEPENDENCYPART_ARC
(13,14),0.369497 # DEPENDENCYPART_ARC
(13,15),-0.582686 # DEPENDENCYPART_ARC
(13,30),-2.26821 # DEPENDENCYPART_ARC
(14,12),-0.755506 # DEPENDENCYPART_ARC
(14,13),0.368612 # DEPENDENCYPART_ARC
(14,25),-1.65852 # DEPENDENCYPART_ARC
(14,30),-1.49531 # DEPENDENCYPART_ARC
(15,4),0.371806 # DEPENDENCYPART_ARC
(15,6),0.369978 # DEPENDENCYPART_ARC
(15,7),0.546545 # DEPENDENCYPART_ARC
(15,8),-0.795489 # DEPENDENCYPART_ARC
(15,9),-0.014809 # DEPENDENCYPART_ARC
(15,10),-0.371236 # DEPENDENCYPART_ARC
(15,11),1.10765 # DEPENDENCYPART_ARC
(15,12),0.676523 # DEPENDENCYPART_ARC
(15,13),1.07396 # DEPENDENCYPART_ARC
(15,14),2.07979 # DEPENDENCYPART_ARC
(15,19),-1.2762 # DEPENDENCYPART_ARC
(15,30),-2.0764 # DEPENDENCYPART_ARC
(16,14),-0.390217 # DEPENDENCYPART_ARC
(16,15),1.17361 # DEPENDENCYPART_ARC
(16,25),-1.38713 # DEPENDENCYPART_ARC
(16,29),-1.91634 # DEPENDENCYPART_ARC
(16,30),-1.31701 # DEPENDENCYPART_ARC
(17,15),-1.43094 # DEPENDENCYPART_ARC
(17,16),0.148386 # DEPENDENCYPART_ARC
(17,19),-0.474087 # DEPENDENCYPART_ARC
(17,21),-0.890703 # DEPENDENCYPART_ARC
(18,12),-0.542843 # DEPENDENCYPART_ARC
(18,14),-0.332015 # DEPENDENCYPART_ARC
(18,15),-1.18225 # DEPENDENCYPART_ARC
(18,16),0.471268 # DEPENDENCYPART_ARC
(18,17),2.86986 # DEPENDENCYPART_ARC
(18,19),-0.252359 # DEPENDENCYPART_ARC
(18,21),-0.968958 # DEPENDENCYPART_ARC
(19,16),-0.438145 # DEPENDENCYPART_ARC
(19,17),0.000818633 # DEPENDENCYPART_ARC
(19,18),0.928134 # DEPENDENCYPART_ARC
(19,23),-0.553939 # DEPENDENCYPART_ARC
(20,11),0.565343 # DEPENDENCYPART_ARC
(20,12),-0.650902 # DEPENDENCYPART_ARC
(20,14),-0.430177 # DEPENDENCYPART_ARC
(20,16),0.160772 # DEPENDENCYPART_ARC
(20,17),1.63575 # DEPENDENCYPART_ARC
(20,18),2.57116 # DEPENDENCYPART_ARC
(20,19),2.20281 # DEPENDENCYPART_ARC
(20,21),-0.359002 # DEPENDENCYPART_ARC
(20,22),-0.599727 # DEPENDENCYPART_ARC
(20,24),-0.974522 # DEPENDENCYPART_ARC
(21,19),0.181118 # DEPENDENCYPART_ARC
(21,20),1.25509 # DEPENDENCYPART_ARC
(21,23),0.00853687 # DEPENDENCYPART_ARC
(22,9),-0.984248 # DEPENDENCYPART_ARC
(22,11),-1.27801 # DEPENDENCYPART_ARC
(22,12),-1.06397 # DEPENDENCYPART_ARC
(22,13),-1.50027 # DEPENDENCYPART_ARC
(22,14),-0.902248 # DEPENDENCYPART_ARC
(22,15),-2.31183 # DEPENDENCYPART_ARC
(22,16),-0.307474 # DEPENDENCYPART_ARC
(22,17),0.121568 # DEPENDENCYPART_ARC
(22,18),-0.128663 # DEPENDENCYPART_ARC
(22,19),0.68437 # DEPENDENCYPART_ARC
(22,20),-0.428122 # DEPENDENCYPART_ARC
(22,21),1.88295 # DEPENDENCYPART_ARC
(22,23),-0.936908 # DEPENDENCYPART_ARC
(22,24),-1.259 # DEPENDENCYPART_ARC
(23,12),-0.921963 # DEPENDENCYPART_ARC
(23,16),-0.250127 # DEPENDENCYPART_ARC
(23,17),-0.117297 # DEPENDENCYPART_ARC
(23,18),-0.821088 # DEPENDENCYPART_ARC
(23,19),0.173186 # DEPENDENCYPART_ARC
(23,20),-0.750995 # DEPENDENCYPART_ARC
(23,21),0.156041 # DEPENDENCYPART_ARC
(23,22),1.09591 # DEPENDENCYPART_ARC
(23,24),-0.740596 # DEPENDENCYPART_ARC
(23,25),-0.99104 # DEPENDENCYPART_ARC
(24,3),0.721171 # DEPENDENCYPART_ARC
(24,9),-0.646594 # DEPENDENCYPART_ARC
(24,11),0.121554 # DEPENDENCYPART_ARC
(24,18),1.18184 # DEPENDENCYPART_ARC
(24,20),1.14112 # DEPENDENCYPART_ARC
(24,21),-1.74266 # DEPENDENCYPART_ARC
(24,22),1.76792 # DEPENDENCYPART_ARC
(24,23),1.62534 # DEPENDENCYPART_ARC
(24,26),-0.00604546 # DEPENDENCYPART_ARC
(24,28),-0.514986 # DEPENDENCYPART_ARC
(24,29),-1.05749 # DEPENDENCYPART_ARC
(25,1),-0.409966 # DEPENDENCYPART_ARC
(25,2),-0.688319 # DEPENDENCYPART_ARC
(25,3),0.589836 # DEPENDENCYPART_ARC
(25,5),-0.144876 # DEPENDENCYPART_ARC
(25,6),-0.740978 # DEPENDENCYPART_ARC
(25,7),-0.096241 # DEPENDENCYPART_ARC
(25,8),-0.0850895 # DEPENDENCYPART_ARC
(25,9),-0.863211 # DEPENDENCYPART_ARC
(25,11),-0.339727 # DEPENDENCYPART_ARC
(25,13),-0.385725 # DEPENDENCYPART_ARC
(25,15),-0.295526 # DEPENDENCYPART_ARC
(25,17),0.65427 # DEPENDENCYPART_ARC
(25,18),1.16185 # DEPENDENCYPART_ARC
(25,19),-0.860985 # DEPENDENCYPART_ARC
(25,20),1.06315 # DEPENDENCYPART_ARC
(25,21),-2.5141 # DEPENDENCYPART_ARC
(25,22),1.49828 # DEPENDENCYPART_ARC
(25,23),1.65002 # DEPENDENCYPART_ARC
(25,24),2.95388 # DEPENDENCYPART_ARC
(25,26),-0.220289 # DEPENDENCYPART_ARC
(25,27),-0.983492 # DEPENDENCYPART_ARC
(25,28),-0.592404 # DEPENDENCYPART_ARC
(25,29),-1.08455 # DEPENDENCYPART_ARC
(26,8),-0.874094 # DEPENDENCYPART_ARC
(26,13),-0.034295 # DEPENDENCYPART_ARC
(26,15),-0.0783942 # DEPENDENCYPART_ARC
(26,16),-0.233457 # DEPENDENCYPART_ARC
(26,17),0.853076 # DEPENDENCYPART_ARC
(26,18),1.96538 # DEPENDENCYPART_ARC
(26,20),0.468566 # DEPENDENCYPART_ARC
(26,22),0.821284 # DEPENDENCYPART_ARC
(26,23),1.51862 # DEPENDENCYPART_ARC
(26,25),2.44402 # DEPENDENCYPART_ARC
(27,1),-0.661012 # DEPENDENCYPART_ARC
(27,2),-1.26193 # DEPENDENCYPART_ARC
(27,3),0.257634 # DEPENDENCYPART_ARC
(27,5),-0.644197 # DEPENDENCYPART_ARC
(27,6),-1.34531 # DEPENDENCYPART_ARC
(27,7),-0.61516 # DEPENDENCYPART_ARC
(27,8),-0.872999 # DEPENDENCYPART_ARC
(27,9),-0.806028 # DEPENDENCYPART_ARC
(27,11),-0.230327 # DEPENDENCYPART_ARC
(27,13),-0.750767 # DEPENDENCYPART_ARC
(27,15),-0.593805 # DEPENDENCYPART_ARC
(27,17),0.122751 # DEPENDENCYPART_ARC
(27,18),0.828909 # DEPENDENCYPART_ARC
(27,20),0.69667 # DEPENDENCYPART_ARC
(27,21),-5.05074 # DEPENDENCYPART_ARC
(27,22),0.90016 # DEPENDENCYPART_ARC
(27,23),0.578162 # DEPENDENCYPART_ARC
(27,24),-1.59565 # DEPENDENCYPART_ARC
(27,25),-0.116761 # DEPENDENCYPART_ARC
(27,26),2.35081 # DEPENDENCYPART_ARC
(27,28),-0.219625 # DEPENDENCYPART_ARC
(27,29),-0.910979 # DEPENDENCYPART_ARC
(28,5),-1.06908 # DEPENDENCYPART_ARC
(28,6),-0.886103 # DEPENDENCYPART_ARC
(28,8),-1.41034 # DEPENDENCYPART_ARC
(28,12),-0.745246 # DEPENDENCYPART_ARC
(28,13),-0.619241 # DEPENDENCYPART_ARC
(28,14),-0.626264 # DEPENDENCYPART_ARC
(28,15),-0.451081 # DEPENDENCYPART_ARC
(28,16),-0.483939 # DEPENDENCYPART_ARC
(28,17),0.424224 # DEPENDENCYPART_ARC
(28,18),1.42192 # DEPENDENCYPART_ARC
(28,20),-0.0021219 # DEPENDENCYPART_ARC
(28,22),0.165764 # DEPENDENCYPART_ARC
(28,23),0.769305 # DEPENDENCYPART_ARC
(28,27),2.29383 # DEPENDENCYPART_ARC
(28,29),-0.369245 # DEPENDENCYPART_ARC
(29,9),-1.10163 # DEPENDENCYPART_ARC
(29,20),0.0288124 # DEPENDENCYPART_ARC
(29,22),-0.177497 # DEPENDENCYPART_ARC
(29,23),-0.293329 # DEPENDENCYPART_ARC
(29,24),-4.08125 # DEPENDENCYPART_ARC
(29,25),-3.07331 # DEPENDENCYPART_ARC
(29,26),-0.112343 # DEPENDENCYPART_ARC
(29,27),-0.468925 # DEPENDENCYPART_ARC
(29,28),0.854433 # DEPENDENCYPART_ARC
(29,30),0.150122 # DEPENDENCYPART_ARC
(30,1),-0.815417 # DEPENDENCYPART_ARC
(30,2),-0.856314 # DEPENDENCYPART_ARC
(30,3),0.557548 # DEPENDENCYPART_ARC
(30,4),-1.66503 # DEPENDENCYPART_ARC
(30,5),-0.927519 # DEPENDENCYPART_ARC
(30,6),-1.08049 # DEPENDENCYPART_ARC
(30,7),-0.77821 # DEPENDENCYPART_ARC
(30,8),-1.39445 # DEPENDENCYPART_ARC
(30,9),0.918772 # DEPENDENCYPART_ARC
(30,10),-2.06396 # DEPENDENCYPART_ARC
(30,11),-2.11881 # DEPENDENCYPART_ARC
(30,12),-2.29545 # DEPENDENCYPART_ARC
(30,13),-0.387808 # DEPENDENCYPART_ARC
(30,14),-2.00355 # DEPENDENCYPART_ARC
(30,15),-1.21666 # DEPENDENCYPART_ARC
(30,16),-0.65315 # DEPENDENCYPART_ARC
(30,17),0.2566 # DEPENDENCYPART_ARC
(30,18),-0.890071 # DEPENDENCYPART_ARC
(30,19),-1.6749 # DEPENDENCYPART_ARC
(30,20),0.917143 # DEPENDENCYPART_ARC
(30,21),-6.39252 # DEPENDENCYPART_ARC
(30,22),0.853928 # DEPENDENCYPART_ARC
(30,23),0.656513 # DEPENDENCYPART_ARC
(30,24),-3.60076 # DEPENDENCYPART_ARC
(30,25),-2.72674 # DEPENDENCYPART_ARC
(30,26),1.53678 # DEPENDENCYPART_ARC
(30,27),-1.15985 # DEPENDENCYPART_ARC
(30,28),2.11018 # DEPENDENCYPART_ARC
(30,29),2.23567 # DEPENDENCYPART_ARC
(31,1),-0.677934 # DEPENDENCYPART_ARC
(31,2),-0.787784 # DEPENDENCYPART_ARC
(31,3),-0.82754 # DEPENDENCYPART_ARC
(31,9),-0.0653726 # DEPENDENCYPART_ARC
(31,10),-3.46649 # DEPENDENCYPART_ARC
(31,19),-0.844714 # DEPENDENCYPART_ARC
(31,21),-4.00045 # DEPENDENCYPART_ARC
(31,22),0.232832 # DEPENDENCYPART_ARC
(31,24),-2.82257 # DEPENDENCYPART_ARC
(31,25),-2.41924 # DEPENDENCYPART_ARC
(31,27),-1.87342 # DEPENDENCYPART_ARC
(31,29),-0.870829 # DEPENDENCYPART_ARC
(31,30),1.57908 # DEPENDENCYPART_ARC
