# _root_ Hem birileri iş yapacak , hem zarar_edeceksiniz , hem de faiz ödeyeceksiniz " dedi .
#goldHeads=4,4,4,5,7,7,8,12,12,9,12,14,14,15,0,
#predictedHeads=5,4,4,5,7,7,9,12,12,9,12,13,14,15,0,
(7,5),1.97832 # DEPENDENCYPART_ARC
(7,6),1.07049 # DEPENDENCYPART_ARC
(7,8),-0.648956 # DEPENDENCYPART_ARC
(7,9),-0.889273 # DEPENDENCYPART_ARC
(7,10),-1.25433 # DEPENDENCYPART_ARC
(7,11),-1.68787 # DEPENDENCYPART_ARC
(7,12),-2.19937 # DEPENDENCYPART_ARC
(7,13),-1.46276 # DEPENDENCYPART_ARC
(7,14),-2.57345 # DEPENDENCYPART_ARC
(7,15),-1.95802 # DEPENDENCYPART_ARC
(8,1),-0.215241 # DEPENDENCYPART_ARC
(8,3),-0.402308 # DEPENDENCYPART_ARC
(8,4),-1.02431 # DEPENDENCYPART_ARC
(8,5),0.178601 # DEPENDENCYPART_ARC
(8,6),-0.0023671 # DEPENDENCYPART_ARC
(8,7),0.939894 # DEPENDENCYPART_ARC
(8,9),-0.72708 # DEPENDENCYPART_ARC
(8,11),-1.01934 # DEPENDENCYPART_ARC
(8,12),-0.771909 # DEPENDENCYPART_ARC
(8,13),-1.34602 # DEPENDENCYPART_ARC
(8,14),-0.992098 # DEPENDENCYPART_ARC
(8,15),-1.47502 # DEPENDENCYPART_ARC
(9,3),0.0296505 # DEPENDENCYPART_ARC
(9,4),0.395635 # DEPENDENCYPART_ARC
(9,6),-0.249174 # DEPENDENCYPART_ARC
(9,7),1.03925 # DEPENDENCYPART_ARC
(9,8),0.418235 # DEPENDENCYPART_ARC
(9,10),1.93619 # DEPENDENCYPART_ARC
(9,11),0.200371 # DEPENDENCYPART_ARC
(10,4),-0.896587 # DEPENDENCYPART_ARC
(10,7),-0.546684 # DEPENDENCYPART_ARC
(10,9),-0.15428 # DEPENDENCYPART_ARC
(10,11),-0.662798 # DEPENDENCYPART_ARC
(11,3),-0.229346 # DEPENDENCYPART_ARC
(11,7),-0.285285 # DEPENDENCYPART_ARC
(11,8),0.30209 # DEPENDENCYPART_ARC
(11,9),0.205064 # DEPENDENCYPART_ARC
(11,10),-0.057119 # DEPENDENCYPART_ARC
(11,12),-0.174915 # DEPENDENCYPART_ARC
(11,13),0.198033 # DEPENDENCYPART_ARC
(11,14),-1.78365 # DEPENDENCYPART_ARC
(12,1),-0.232874 # DEPENDENCYPART_ARC
(12,2),0.333141 # DEPENDENCYPART_ARC
(12,3),-1.14257 # DEPENDENCYPART_ARC
(12,4),-0.290297 # DEPENDENCYPART_ARC
(12,5),0.858909 # DEPENDENCYPART_ARC
(12,6),-0.276414 # DEPENDENCYPART_ARC
(12,7),0.147496 # DEPENDENCYPART_ARC
(12,8),1.48042 # DEPENDENCYPART_ARC
(12,9),0.52119 # DEPENDENCYPART_ARC
(12,10),0.436333 # DEPENDENCYPART_ARC
(12,11),2.17668 # DEPENDENCYPART_ARC
(12,13),0.0637561 # DEPENDENCYPART_ARC
(12,14),-1.65348 # DEPENDENCYPART_ARC
(12,15),-1.16268 # DEPENDENCYPART_ARC
(13,1),0.211767 # DEPENDENCYPART_ARC
(13,4),-1.23442 # DEPENDENCYPART_ARC
(13,5),-0.647826 # DEPENDENCYPART_ARC
(13,6),-0.591668 # DEPENDENCYPART_ARC
(13,7),-1.09911 # DEPENDENCYPART_ARC
(13,8),-0.499301 # DEPENDENCYPART_ARC
(13,9),-0.201702 # DEPENDENCYPART_ARC
(13,10),-0.13401 # DEPENDENCYPART_ARC
(13,11),-0.849909 # DEPENDENCYPART_ARC
(13,12),1.23564 # DEPENDENCYPART_ARC
(13,14),0.145394 # DEPENDENCYPART_ARC
(13,15),-0.408587 # DEPENDENCYPART_ARC
(14,1),-0.317208 # DEPENDENCYPART_ARC
(14,2),0.0310782 # DEPENDENCYPART_ARC
(14,3),-0.300311 # DEPENDENCYPART_ARC
(14,4),-0.765175 # DEPENDENCYPART_ARC
(14,5),0.541129 # DEPENDENCYPART_ARC
(14,6),-0.220814 # DEPENDENCYPART_ARC
(14,7),-0.0799244 # DEPENDENCYPART_ARC
(14,8),0.918169 # DEPENDENCYPART_ARC
(14,9),0.165007 # DEPENDENCYPART_ARC
(14,10),-0.201629 # DEPENDENCYPART_ARC
(14,11),0.821519 # DEPENDENCYPART_ARC
(14,12),0.593716 # DEPENDENCYPART_ARC
(14,13),3.55174 # DEPENDENCYPART_ARC
(14,15),-0.381663 # DEPENDENCYPART_ARC
(15,1),-0.450862 # DEPENDENCYPART_ARC
(15,4),-0.631835 # DEPENDENCYPART_ARC
(15,6),-0.845934 # DEPENDENCYPART_ARC
(15,7),-0.777759 # DEPENDENCYPART_ARC
(15,8),-0.868483 # DEPENDENCYPART_ARC
(15,9),-0.84193 # DEPENDENCYPART_ARC
(15,10),-1.0316 # DEPENDENCYPART_ARC
(15,11),-0.704559 # DEPENDENCYPART_ARC
(15,12),-0.362149 # DEPENDENCYPART_ARC
(15,13),-0.152898 # DEPENDENCYPART_ARC
(15,14),1.99744 # DEPENDENCYPART_ARC
