# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,8,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(18,21),-0.106032 # DEPENDENCYPART_ARC
(18,22),-0.590525 # DEPENDENCYPART_ARC
(18,23),-0.0558813 # DEPENDENCYPART_ARC
(18,24),-0.135598 # DEPENDENCYPART_ARC
(18,25),-0.934231 # DEPENDENCYPART_ARC
(19,18),-0.476133 # DEPENDENCYPART_ARC
(20,7),-1.40384 # DEPENDENCYPART_ARC
(20,12),-0.26209 # DEPENDENCYPART_ARC
(20,14),-0.903887 # DEPENDENCYPART_ARC
(20,15),-2.16863 # DEPENDENCYPART_ARC
(20,16),-0.837806 # DEPENDENCYPART_ARC
(20,17),-0.838963 # DEPENDENCYPART_ARC
(20,18),0.319459 # DEPENDENCYPART_ARC
(20,19),0.869627 # DEPENDENCYPART_ARC
(20,21),-0.380215 # DEPENDENCYPART_ARC
(20,22),0.360205 # DEPENDENCYPART_ARC
(20,23),-1.33537 # DEPENDENCYPART_ARC
(20,24),-1.69422 # DEPENDENCYPART_ARC
(21,1),0.508638 # DEPENDENCYPART_ARC
(21,5),-8.52518 # DEPENDENCYPART_ARC
(21,6),-8.06977 # DEPENDENCYPART_ARC
(21,8),-0.688078 # DEPENDENCYPART_ARC
(21,9),0.15771 # DEPENDENCYPART_ARC
(21,10),-5.31487 # DEPENDENCYPART_ARC
(21,11),0.336533 # DEPENDENCYPART_ARC
(21,12),0.971331 # DEPENDENCYPART_ARC
(21,13),-2.73825 # DEPENDENCYPART_ARC
(21,14),-0.0421401 # DEPENDENCYPART_ARC
(21,15),-1.42052 # DEPENDENCYPART_ARC
(21,16),0.935113 # DEPENDENCYPART_ARC
(21,17),-0.626479 # DEPENDENCYPART_ARC
(21,18),1.89868 # DEPENDENCYPART_ARC
(21,19),2.39815 # DEPENDENCYPART_ARC
(21,20),3.53174 # DEPENDENCYPART_ARC
(21,22),-0.730779 # DEPENDENCYPART_ARC
(21,23),-0.340379 # DEPENDENCYPART_ARC
(21,24),-0.685625 # DEPENDENCYPART_ARC
(21,25),-1.67576 # DEPENDENCYPART_ARC
(22,16),-0.215189 # DEPENDENCYPART_ARC
(22,17),-0.807209 # DEPENDENCYPART_ARC
(22,18),0.0957432 # DEPENDENCYPART_ARC
(22,19),-0.36107 # DEPENDENCYPART_ARC
(22,20),0.230104 # DEPENDENCYPART_ARC
(22,21),1.179 # DEPENDENCYPART_ARC
(22,23),0.00571068 # DEPENDENCYPART_ARC
(22,24),-0.566592 # DEPENDENCYPART_ARC
(22,25),-1.03947 # DEPENDENCYPART_ARC
(23,7),-1.31159 # DEPENDENCYPART_ARC
(23,14),-0.332556 # DEPENDENCYPART_ARC
(23,16),0.185862 # DEPENDENCYPART_ARC
(23,17),-0.556069 # DEPENDENCYPART_ARC
(23,18),-0.770074 # DEPENDENCYPART_ARC
(23,19),-0.647312 # DEPENDENCYPART_ARC
(23,20),0.00792542 # DEPENDENCYPART_ARC
(23,21),-0.20291 # DEPENDENCYPART_ARC
(23,22),0.525648 # DEPENDENCYPART_ARC
(23,25),0.00572744 # DEPENDENCYPART_ARC
(24,5),-10.8386 # DEPENDENCYPART_ARC
(24,6),-10.3293 # DEPENDENCYPART_ARC
(24,8),-1.9875 # DEPENDENCYPART_ARC
(24,9),-0.516745 # DEPENDENCYPART_ARC
(24,11),-0.216288 # DEPENDENCYPART_ARC
(24,12),0.253664 # DEPENDENCYPART_ARC
(24,13),-4.81114 # DEPENDENCYPART_ARC
(24,14),-0.82352 # DEPENDENCYPART_ARC
(24,15),-3.49907 # DEPENDENCYPART_ARC
(24,16),0.295998 # DEPENDENCYPART_ARC
(24,17),-1.19583 # DEPENDENCYPART_ARC
(24,18),0.670283 # DEPENDENCYPART_ARC
(24,19),0.348516 # DEPENDENCYPART_ARC
(24,20),0.514754 # DEPENDENCYPART_ARC
(24,21),-0.661646 # DEPENDENCYPART_ARC
(24,22),1.50346 # DEPENDENCYPART_ARC
(24,23),2.92783 # DEPENDENCYPART_ARC
(24,25),-0.98593 # DEPENDENCYPART_ARC
(25,2),-0.656077 # DEPENDENCYPART_ARC
(25,5),-6.95045 # DEPENDENCYPART_ARC
(25,6),-6.49824 # DEPENDENCYPART_ARC
(25,10),-5.399 # DEPENDENCYPART_ARC
(25,12),-0.552825 # DEPENDENCYPART_ARC
(25,13),-3.62579 # DEPENDENCYPART_ARC
(25,14),-0.976381 # DEPENDENCYPART_ARC
(25,16),-0.555771 # DEPENDENCYPART_ARC
(25,17),-0.510652 # DEPENDENCYPART_ARC
(25,18),-0.290963 # DEPENDENCYPART_ARC
(25,19),-0.630965 # DEPENDENCYPART_ARC
(25,20),-0.440265 # DEPENDENCYPART_ARC
(25,21),0.0133424 # DEPENDENCYPART_ARC
(25,22),0.266566 # DEPENDENCYPART_ARC
(25,23),-0.0337102 # DEPENDENCYPART_ARC
(25,24),1.28909 # DEPENDENCYPART_ARC
