# _root_ Gazete ve dergilerde _ _ yayımlanan güncel , siyasal , toplumsal sorunları _ ele_alan _ yazılardır .
#goldHeads=2,3,5,5,6,12,8,9,10,11,12,13,14,15,16,17,0,
#predictedHeads=2,3,5,5,6,12,8,0,10,0,12,13,14,15,16,17,0,
(14,8),-0.147116 # DEPENDENCYPART_ARC
(14,9),-0.688586 # DEPENDENCYPART_ARC
(14,10),0.157397 # DEPENDENCYPART_ARC
(14,11),0.0219643 # DEPENDENCYPART_ARC
(14,12),1.24488 # DEPENDENCYPART_ARC
(14,13),1.93563 # DEPENDENCYPART_ARC
(15,2),0.0910082 # DEPENDENCYPART_ARC
(15,3),-1.83744 # DEPENDENCYPART_ARC
(15,6),0.0851751 # DEPENDENCYPART_ARC
(15,7),-0.283476 # DEPENDENCYPART_ARC
(15,8),0.0155563 # DEPENDENCYPART_ARC
(15,9),-0.628935 # DEPENDENCYPART_ARC
(15,10),0.221495 # DEPENDENCYPART_ARC
(15,11),0.208095 # DEPENDENCYPART_ARC
(15,12),-0.376719 # DEPENDENCYPART_ARC
(15,13),0.253404 # DEPENDENCYPART_ARC
(15,14),1.77877 # DEPENDENCYPART_ARC
(16,1),0.0796793 # DEPENDENCYPART_ARC
(16,2),0.0867809 # DEPENDENCYPART_ARC
(16,3),-0.0297346 # DEPENDENCYPART_ARC
(16,4),-5.65225 # DEPENDENCYPART_ARC
(16,5),-5.14632 # DEPENDENCYPART_ARC
(16,6),-0.630514 # DEPENDENCYPART_ARC
(16,8),-0.233947 # DEPENDENCYPART_ARC
(16,10),0.410888 # DEPENDENCYPART_ARC
(16,11),0.0892573 # DEPENDENCYPART_ARC
(16,12),1.42651 # DEPENDENCYPART_ARC
(16,13),-0.625737 # DEPENDENCYPART_ARC
(16,14),0.88728 # DEPENDENCYPART_ARC
(16,15),2.80183 # DEPENDENCYPART_ARC
(17,4),-4.11291 # DEPENDENCYPART_ARC
(17,5),-3.60258 # DEPENDENCYPART_ARC
(17,6),-0.746299 # DEPENDENCYPART_ARC
(17,7),-0.825687 # DEPENDENCYPART_ARC
(17,8),-0.60716 # DEPENDENCYPART_ARC
(17,9),-0.998164 # DEPENDENCYPART_ARC
(17,10),-0.245444 # DEPENDENCYPART_ARC
(17,11),-0.456543 # DEPENDENCYPART_ARC
(17,12),-0.0274316 # DEPENDENCYPART_ARC
(17,13),-1.55265 # DEPENDENCYPART_ARC
(17,14),0.0393223 # DEPENDENCYPART_ARC
(17,15),-0.819662 # DEPENDENCYPART_ARC
(17,16),1.47803 # DEPENDENCYPART_ARC
