# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,0,19,18,19,20,21,24,0,24,25,0,
(14,12),0.377407 # DEPENDENCYPART_ARC
(14,13),2.16855 # DEPENDENCYPART_ARC
(14,18),-1.47858 # DEPENDENCYPART_ARC
(14,19),-0.955801 # DEPENDENCYPART_ARC
(14,20),-1.88922 # DEPENDENCYPART_ARC
(14,21),-0.938125 # DEPENDENCYPART_ARC
(14,22),-1.10292 # DEPENDENCYPART_ARC
(14,23),-1.8021 # DEPENDENCYPART_ARC
(14,24),-1.47104 # DEPENDENCYPART_ARC
(14,25),-1.62322 # DEPENDENCYPART_ARC
(15,1),0.680826 # DEPENDENCYPART_ARC
(15,2),-0.114522 # DEPENDENCYPART_ARC
(15,4),-0.859804 # DEPENDENCYPART_ARC
(15,6),-0.16893 # DEPENDENCYPART_ARC
(15,7),-0.308198 # DEPENDENCYPART_ARC
(15,8),-0.684843 # DEPENDENCYPART_ARC
(15,9),-0.11041 # DEPENDENCYPART_ARC
(15,10),-0.834155 # DEPENDENCYPART_ARC
(15,11),0.106044 # DEPENDENCYPART_ARC
(15,12),-0.405703 # DEPENDENCYPART_ARC
(15,13),-0.89518 # DEPENDENCYPART_ARC
(15,14),1.22167 # DEPENDENCYPART_ARC
(15,18),-0.241854 # DEPENDENCYPART_ARC
(15,19),-0.267639 # DEPENDENCYPART_ARC
(15,20),-0.534154 # DEPENDENCYPART_ARC
(15,21),-0.51041 # DEPENDENCYPART_ARC
(15,22),-0.830293 # DEPENDENCYPART_ARC
(15,23),-0.692972 # DEPENDENCYPART_ARC
(15,24),-0.569538 # DEPENDENCYPART_ARC
(16,15),-0.293456 # DEPENDENCYPART_ARC
(17,15),-0.419972 # DEPENDENCYPART_ARC
(17,16),0.0463506 # DEPENDENCYPART_ARC
(18,8),-1.62027 # DEPENDENCYPART_ARC
(18,11),-1.40708 # DEPENDENCYPART_ARC
(18,13),-1.7262 # DEPENDENCYPART_ARC
(18,14),-2.35934 # DEPENDENCYPART_ARC
(18,15),-0.97764 # DEPENDENCYPART_ARC
(18,16),0.19723 # DEPENDENCYPART_ARC
(18,17),1.16775 # DEPENDENCYPART_ARC
(18,19),-0.11067 # DEPENDENCYPART_ARC
(18,20),-0.421775 # DEPENDENCYPART_ARC
(18,21),-1.07909 # DEPENDENCYPART_ARC
(18,23),-1.56241 # DEPENDENCYPART_ARC
(19,8),-0.678433 # DEPENDENCYPART_ARC
(19,11),-0.46398 # DEPENDENCYPART_ARC
(19,12),-0.75087 # DEPENDENCYPART_ARC
(19,13),-1.33708 # DEPENDENCYPART_ARC
(19,14),-1.3646 # DEPENDENCYPART_ARC
(19,15),0.0135205 # DEPENDENCYPART_ARC
(19,16),0.711557 # DEPENDENCYPART_ARC
(19,17),0.984348 # DEPENDENCYPART_ARC
(19,18),3.25747 # DEPENDENCYPART_ARC
(19,20),-0.124792 # DEPENDENCYPART_ARC
(19,21),-0.539536 # DEPENDENCYPART_ARC
(19,22),-0.225335 # DEPENDENCYPART_ARC
(19,23),-1.04998 # DEPENDENCYPART_ARC
(20,14),-2.17396 # DEPENDENCYPART_ARC
(20,15),-0.792125 # DEPENDENCYPART_ARC
(20,16),-0.422626 # DEPENDENCYPART_ARC
(20,17),-0.210076 # DEPENDENCYPART_ARC
(20,18),0.515521 # DEPENDENCYPART_ARC
(20,19),1.55337 # DEPENDENCYPART_ARC
(20,21),-0.962622 # DEPENDENCYPART_ARC
(20,22),-0.231089 # DEPENDENCYPART_ARC
(20,23),-1.61227 # DEPENDENCYPART_ARC
(20,24),-2.47875 # DEPENDENCYPART_ARC
(21,12),-0.818166 # DEPENDENCYPART_ARC
(21,14),-0.680795 # DEPENDENCYPART_ARC
(21,15),-0.233172 # DEPENDENCYPART_ARC
(21,16),-0.236184 # DEPENDENCYPART_ARC
(21,17),0.138703 # DEPENDENCYPART_ARC
(21,18),0.219506 # DEPENDENCYPART_ARC
(21,19),0.841941 # DEPENDENCYPART_ARC
(21,20),1.84363 # DEPENDENCYPART_ARC
(21,22),-0.098315 # DEPENDENCYPART_ARC
(21,23),-1.29307 # DEPENDENCYPART_ARC
(21,24),-2.05777 # DEPENDENCYPART_ARC
(22,1),-0.188858 # DEPENDENCYPART_ARC
(22,11),-0.892445 # DEPENDENCYPART_ARC
(22,12),-1.05587 # DEPENDENCYPART_ARC
(22,13),-3.34743 # DEPENDENCYPART_ARC
(22,14),0.0265664 # DEPENDENCYPART_ARC
(22,15),-0.677379 # DEPENDENCYPART_ARC
(22,16),-0.880238 # DEPENDENCYPART_ARC
(22,18),-0.11115 # DEPENDENCYPART_ARC
(22,19),-0.00212952 # DEPENDENCYPART_ARC
(22,20),0.00208766 # DEPENDENCYPART_ARC
(22,21),0.681871 # DEPENDENCYPART_ARC
(22,23),0.125147 # DEPENDENCYPART_ARC
(22,24),-0.597798 # DEPENDENCYPART_ARC
(22,25),-1.12463 # DEPENDENCYPART_ARC
(23,17),-0.458067 # DEPENDENCYPART_ARC
(23,18),-1.03872 # DEPENDENCYPART_ARC
(23,19),-0.791354 # DEPENDENCYPART_ARC
(23,20),-0.616887 # DEPENDENCYPART_ARC
(23,21),-1.57737 # DEPENDENCYPART_ARC
(23,22),0.745527 # DEPENDENCYPART_ARC
(23,25),0.0102828 # DEPENDENCYPART_ARC
(24,1),-0.963326 # DEPENDENCYPART_ARC
(24,2),-1.10735 # DEPENDENCYPART_ARC
(24,3),-0.153317 # DEPENDENCYPART_ARC
(24,4),-1.0184 # DEPENDENCYPART_ARC
(24,5),-0.314508 # DEPENDENCYPART_ARC
(24,6),-0.105131 # DEPENDENCYPART_ARC
(24,7),0.768467 # DEPENDENCYPART_ARC
(24,9),-0.0130824 # DEPENDENCYPART_ARC
(24,10),-1.9111 # DEPENDENCYPART_ARC
(24,12),-0.767147 # DEPENDENCYPART_ARC
(24,13),-4.93915 # DEPENDENCYPART_ARC
(24,14),0.12908 # DEPENDENCYPART_ARC
(24,15),0.436467 # DEPENDENCYPART_ARC
(24,16),-0.467748 # DEPENDENCYPART_ARC
(24,17),-1.04862 # DEPENDENCYPART_ARC
(24,18),0.570237 # DEPENDENCYPART_ARC
(24,19),1.02015 # DEPENDENCYPART_ARC
(24,20),0.892303 # DEPENDENCYPART_ARC
(24,21),1.40564 # DEPENDENCYPART_ARC
(24,22),0.167279 # DEPENDENCYPART_ARC
(24,23),3.20356 # DEPENDENCYPART_ARC
(24,25),-0.783047 # DEPENDENCYPART_ARC
(25,1),1.83897 # DEPENDENCYPART_ARC
(25,2),-1.19524 # DEPENDENCYPART_ARC
(25,5),-0.42814 # DEPENDENCYPART_ARC
(25,7),-0.48392 # DEPENDENCYPART_ARC
(25,9),-0.466694 # DEPENDENCYPART_ARC
(25,10),-1.48085 # DEPENDENCYPART_ARC
(25,11),-0.46738 # DEPENDENCYPART_ARC
(25,12),-0.0546625 # DEPENDENCYPART_ARC
(25,13),-4.81865 # DEPENDENCYPART_ARC
(25,14),-0.375179 # DEPENDENCYPART_ARC
(25,15),-0.41155 # DEPENDENCYPART_ARC
(25,18),-0.4236 # DEPENDENCYPART_ARC
(25,19),-0.329092 # DEPENDENCYPART_ARC
(25,20),-0.298143 # DEPENDENCYPART_ARC
(25,21),-0.205674 # DEPENDENCYPART_ARC
(25,22),-0.131382 # DEPENDENCYPART_ARC
(25,23),-0.029777 # DEPENDENCYPART_ARC
(25,24),1.29303 # DEPENDENCYPART_ARC
