# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,17,0,0,14,8,12,10,13,12,13,6,0,0,17,18,24,21,21,22,24,24,25,0,
(11,1),-0.880021 # DEPENDENCYPART_ARC
(11,3),0.283532 # DEPENDENCYPART_ARC
(11,5),0.211932 # DEPENDENCYPART_ARC
(11,6),-0.201292 # DEPENDENCYPART_ARC
(11,7),0.664754 # DEPENDENCYPART_ARC
(11,8),1.27241 # DEPENDENCYPART_ARC
(11,9),0.599961 # DEPENDENCYPART_ARC
(11,10),0.682943 # DEPENDENCYPART_ARC
(11,14),-0.513116 # DEPENDENCYPART_ARC
(11,15),-0.680347 # DEPENDENCYPART_ARC
(11,16),-0.807482 # DEPENDENCYPART_ARC
(11,21),-0.519543 # DEPENDENCYPART_ARC
(12,1),-0.787744 # DEPENDENCYPART_ARC
(12,2),-0.550968 # DEPENDENCYPART_ARC
(12,3),0.330152 # DEPENDENCYPART_ARC
(12,4),-0.711522 # DEPENDENCYPART_ARC
(12,5),0.444769 # DEPENDENCYPART_ARC
(12,6),-0.348119 # DEPENDENCYPART_ARC
(12,7),0.697022 # DEPENDENCYPART_ARC
(12,8),1.8309 # DEPENDENCYPART_ARC
(12,9),1.12522 # DEPENDENCYPART_ARC
(12,10),0.768875 # DEPENDENCYPART_ARC
(12,11),2.60519 # DEPENDENCYPART_ARC
(12,13),1.24449 # DEPENDENCYPART_ARC
(12,14),-0.554952 # DEPENDENCYPART_ARC
(12,21),-0.333972 # DEPENDENCYPART_ARC
(13,3),-0.0257394 # DEPENDENCYPART_ARC
(13,7),1.21254 # DEPENDENCYPART_ARC
(13,8),1.06232 # DEPENDENCYPART_ARC
(13,9),0.510118 # DEPENDENCYPART_ARC
(13,10),0.77657 # DEPENDENCYPART_ARC
(13,12),2.89533 # DEPENDENCYPART_ARC
(14,2),-0.8464 # DEPENDENCYPART_ARC
(14,6),0.754891 # DEPENDENCYPART_ARC
(14,8),0.500806 # DEPENDENCYPART_ARC
(14,10),-0.938435 # DEPENDENCYPART_ARC
(14,11),-0.605098 # DEPENDENCYPART_ARC
(14,12),-0.0816177 # DEPENDENCYPART_ARC
(14,13),0.0313485 # DEPENDENCYPART_ARC
(14,15),-0.427945 # DEPENDENCYPART_ARC
(14,16),-0.67721 # DEPENDENCYPART_ARC
(14,22),-0.53662 # DEPENDENCYPART_ARC
(14,23),-0.916783 # DEPENDENCYPART_ARC
(14,24),-0.525666 # DEPENDENCYPART_ARC
(15,6),-0.901779 # DEPENDENCYPART_ARC
(15,11),-1.8485 # DEPENDENCYPART_ARC
(15,12),-1.26282 # DEPENDENCYPART_ARC
(15,14),-0.811833 # DEPENDENCYPART_ARC
(15,16),-0.537941 # DEPENDENCYPART_ARC
(15,17),-0.542649 # DEPENDENCYPART_ARC
(15,18),-0.93424 # DEPENDENCYPART_ARC
(15,23),-0.998161 # DEPENDENCYPART_ARC
(15,24),-0.632883 # DEPENDENCYPART_ARC
(16,11),-1.25074 # DEPENDENCYPART_ARC
(16,12),-0.481176 # DEPENDENCYPART_ARC
(16,13),-0.116481 # DEPENDENCYPART_ARC
(16,14),-0.51853 # DEPENDENCYPART_ARC
(16,15),1.32996 # DEPENDENCYPART_ARC
(16,19),-1.16857 # DEPENDENCYPART_ARC
(16,20),-0.822725 # DEPENDENCYPART_ARC
(16,21),-0.690448 # DEPENDENCYPART_ARC
(16,22),-0.635708 # DEPENDENCYPART_ARC
(16,23),-1.50755 # DEPENDENCYPART_ARC
(16,24),-1.05563 # DEPENDENCYPART_ARC
(16,25),-1.4954 # DEPENDENCYPART_ARC
(17,1),-1.08877 # DEPENDENCYPART_ARC
(17,3),0.461024 # DEPENDENCYPART_ARC
(17,4),-1.10406 # DEPENDENCYPART_ARC
(17,5),-0.667451 # DEPENDENCYPART_ARC
(17,6),-0.0251408 # DEPENDENCYPART_ARC
(17,7),-0.503072 # DEPENDENCYPART_ARC
(17,8),0.379423 # DEPENDENCYPART_ARC
(17,9),-0.661671 # DEPENDENCYPART_ARC
(17,10),-0.598042 # DEPENDENCYPART_ARC
(17,11),-1.69231 # DEPENDENCYPART_ARC
(17,12),-1.46457 # DEPENDENCYPART_ARC
(17,13),0.883975 # DEPENDENCYPART_ARC
(17,14),-0.216439 # DEPENDENCYPART_ARC
(17,15),1.1476 # DEPENDENCYPART_ARC
(17,16),2.3428 # DEPENDENCYPART_ARC
(17,18),-0.799662 # DEPENDENCYPART_ARC
(17,19),0.0426501 # DEPENDENCYPART_ARC
(17,20),-0.795875 # DEPENDENCYPART_ARC
(17,21),-0.493419 # DEPENDENCYPART_ARC
(17,22),0.495641 # DEPENDENCYPART_ARC
(17,24),-0.239355 # DEPENDENCYPART_ARC
(17,25),-2.1476 # DEPENDENCYPART_ARC
(18,11),-1.93714 # DEPENDENCYPART_ARC
(18,12),-1.96265 # DEPENDENCYPART_ARC
(18,15),0.101515 # DEPENDENCYPART_ARC
(18,16),-0.734602 # DEPENDENCYPART_ARC
(18,17),1.63183 # DEPENDENCYPART_ARC
(18,19),-0.134968 # DEPENDENCYPART_ARC
(18,20),-0.377582 # DEPENDENCYPART_ARC
(18,21),-0.178791 # DEPENDENCYPART_ARC
(18,25),-1.37671 # DEPENDENCYPART_ARC
(19,2),-1.02995 # DEPENDENCYPART_ARC
(19,17),-0.381978 # DEPENDENCYPART_ARC
(19,18),0.180587 # DEPENDENCYPART_ARC
(19,20),-0.0525056 # DEPENDENCYPART_ARC
(19,21),-0.746914 # DEPENDENCYPART_ARC
(19,22),-1.70067 # DEPENDENCYPART_ARC
(19,23),-1.22203 # DEPENDENCYPART_ARC
(20,13),-0.937437 # DEPENDENCYPART_ARC
(20,18),-0.303401 # DEPENDENCYPART_ARC
(20,19),0.584541 # DEPENDENCYPART_ARC
(21,13),-0.443251 # DEPENDENCYPART_ARC
(21,14),0.0446073 # DEPENDENCYPART_ARC
(21,15),-0.371669 # DEPENDENCYPART_ARC
(21,17),-0.630223 # DEPENDENCYPART_ARC
(21,18),0.363482 # DEPENDENCYPART_ARC
(21,19),1.48262 # DEPENDENCYPART_ARC
(21,20),1.90037 # DEPENDENCYPART_ARC
(22,1),-1.61701 # DEPENDENCYPART_ARC
(22,3),0.0738596 # DEPENDENCYPART_ARC
(22,4),-0.876659 # DEPENDENCYPART_ARC
(22,5),-1.03216 # DEPENDENCYPART_ARC
(22,8),-0.378804 # DEPENDENCYPART_ARC
(22,13),0.0169254 # DEPENDENCYPART_ARC
(22,14),-0.164551 # DEPENDENCYPART_ARC
(22,15),-0.0228394 # DEPENDENCYPART_ARC
(22,16),-2.66532 # DEPENDENCYPART_ARC
(22,17),-0.572862 # DEPENDENCYPART_ARC
(22,18),1.26618 # DEPENDENCYPART_ARC
(22,19),1.44657 # DEPENDENCYPART_ARC
(22,20),0.573946 # DEPENDENCYPART_ARC
(22,21),2.24739 # DEPENDENCYPART_ARC
(22,23),-0.0846613 # DEPENDENCYPART_ARC
(22,24),0.0195802 # DEPENDENCYPART_ARC
(22,25),-0.614876 # DEPENDENCYPART_ARC
(23,18),0.4307 # DEPENDENCYPART_ARC
(23,19),0.244731 # DEPENDENCYPART_ARC
(23,20),-0.521321 # DEPENDENCYPART_ARC
(23,21),0.117391 # DEPENDENCYPART_ARC
(23,22),1.63687 # DEPENDENCYPART_ARC
(23,24),0.201967 # DEPENDENCYPART_ARC
(23,25),-0.545175 # DEPENDENCYPART_ARC
(24,1),-1.66744 # DEPENDENCYPART_ARC
(24,3),0.191483 # DEPENDENCYPART_ARC
(24,4),-1.29622 # DEPENDENCYPART_ARC
(24,5),-1.20435 # DEPENDENCYPART_ARC
(24,6),-0.19701 # DEPENDENCYPART_ARC
(24,7),-0.703304 # DEPENDENCYPART_ARC
(24,8),0.1355 # DEPENDENCYPART_ARC
(24,9),-1.23422 # DEPENDENCYPART_ARC
(24,10),-1.03286 # DEPENDENCYPART_ARC
(24,11),-5.23512 # DEPENDENCYPART_ARC
(24,12),-4.96371 # DEPENDENCYPART_ARC
(24,13),0.473406 # DEPENDENCYPART_ARC
(24,14),-0.561856 # DEPENDENCYPART_ARC
(24,15),-0.209483 # DEPENDENCYPART_ARC
(24,16),-3.03039 # DEPENDENCYPART_ARC
(24,17),-1.32837 # DEPENDENCYPART_ARC
(24,18),1.3342 # DEPENDENCYPART_ARC
(24,19),1.16813 # DEPENDENCYPART_ARC
(24,20),0.376203 # DEPENDENCYPART_ARC
(24,21),0.954637 # DEPENDENCYPART_ARC
(24,22),2.70334 # DEPENDENCYPART_ARC
(24,23),2.26962 # DEPENDENCYPART_ARC
(24,25),-1.02847 # DEPENDENCYPART_ARC
(25,2),-0.346007 # DEPENDENCYPART_ARC
(25,6),-0.355382 # DEPENDENCYPART_ARC
(25,9),-1.89865 # DEPENDENCYPART_ARC
(25,10),-2.1957 # DEPENDENCYPART_ARC
(25,11),-3.27277 # DEPENDENCYPART_ARC
(25,12),-3.19845 # DEPENDENCYPART_ARC
(25,13),-1.13435 # DEPENDENCYPART_ARC
(25,16),-2.40623 # DEPENDENCYPART_ARC
(25,17),-0.172808 # DEPENDENCYPART_ARC
(25,18),0.0480169 # DEPENDENCYPART_ARC
(25,19),0.402367 # DEPENDENCYPART_ARC
(25,20),-0.626998 # DEPENDENCYPART_ARC
(25,21),-0.423078 # DEPENDENCYPART_ARC
(25,22),0.648472 # DEPENDENCYPART_ARC
(25,23),-0.670729 # DEPENDENCYPART_ARC
(25,24),1.56851 # DEPENDENCYPART_ARC
