# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,12,13,15,15,16,0,18,21,21,21,22,25,24,25,26,0,
(9,13),-1.74911 # DEPENDENCYPART_ARC
(9,23),-1.2051 # DEPENDENCYPART_ARC
(9,25),-1.72966 # DEPENDENCYPART_ARC
(10,6),-1.17707 # DEPENDENCYPART_ARC
(10,7),-0.0905938 # DEPENDENCYPART_ARC
(10,8),-0.990375 # DEPENDENCYPART_ARC
(10,9),0.793376 # DEPENDENCYPART_ARC
(10,12),-0.31739 # DEPENDENCYPART_ARC
(10,21),-1.14781 # DEPENDENCYPART_ARC
(10,25),-0.713266 # DEPENDENCYPART_ARC
(11,7),-0.795631 # DEPENDENCYPART_ARC
(11,9),0.0411245 # DEPENDENCYPART_ARC
(11,10),-0.0844374 # DEPENDENCYPART_ARC
(11,15),0.263426 # DEPENDENCYPART_ARC
(12,1),-2.57808 # DEPENDENCYPART_ARC
(12,2),-0.12676 # DEPENDENCYPART_ARC
(12,3),0.473503 # DEPENDENCYPART_ARC
(12,4),-0.0237772 # DEPENDENCYPART_ARC
(12,5),0.345599 # DEPENDENCYPART_ARC
(12,6),-2.89914 # DEPENDENCYPART_ARC
(12,7),-0.591618 # DEPENDENCYPART_ARC
(12,8),-0.486477 # DEPENDENCYPART_ARC
(12,9),0.321521 # DEPENDENCYPART_ARC
(12,10),0.116953 # DEPENDENCYPART_ARC
(12,11),2.03977 # DEPENDENCYPART_ARC
(12,14),-0.779834 # DEPENDENCYPART_ARC
(12,18),-2.00422 # DEPENDENCYPART_ARC
(12,19),-2.14426 # DEPENDENCYPART_ARC
(12,20),-0.895884 # DEPENDENCYPART_ARC
(12,21),-1.89809 # DEPENDENCYPART_ARC
(12,22),-2.02323 # DEPENDENCYPART_ARC
(12,25),-1.60619 # DEPENDENCYPART_ARC
(13,5),-0.0596323 # DEPENDENCYPART_ARC
(13,8),-0.281154 # DEPENDENCYPART_ARC
(13,9),-0.439752 # DEPENDENCYPART_ARC
(13,10),-0.184576 # DEPENDENCYPART_ARC
(13,12),2.24416 # DEPENDENCYPART_ARC
(14,8),-1.03862 # DEPENDENCYPART_ARC
(14,11),0.0394694 # DEPENDENCYPART_ARC
(14,12),0.576171 # DEPENDENCYPART_ARC
(14,13),0.435926 # DEPENDENCYPART_ARC
(15,4),0.436677 # DEPENDENCYPART_ARC
(15,5),-1.56219 # DEPENDENCYPART_ARC
(15,7),-0.39454 # DEPENDENCYPART_ARC
(15,8),-2.13388 # DEPENDENCYPART_ARC
(15,9),-0.651112 # DEPENDENCYPART_ARC
(15,10),0.48577 # DEPENDENCYPART_ARC
(15,11),0.490222 # DEPENDENCYPART_ARC
(15,12),-0.937609 # DEPENDENCYPART_ARC
(15,13),0.922757 # DEPENDENCYPART_ARC
(15,14),2.20977 # DEPENDENCYPART_ARC
(15,16),-0.691356 # DEPENDENCYPART_ARC
(15,17),-1.12974 # DEPENDENCYPART_ARC
(15,19),-1.56925 # DEPENDENCYPART_ARC
(15,21),-2.00329 # DEPENDENCYPART_ARC
(15,23),-1.24795 # DEPENDENCYPART_ARC
(15,25),-1.20721 # DEPENDENCYPART_ARC
(16,6),-2.834 # DEPENDENCYPART_ARC
(16,7),-1.09642 # DEPENDENCYPART_ARC
(16,10),0.215906 # DEPENDENCYPART_ARC
(16,12),-0.849148 # DEPENDENCYPART_ARC
(16,14),-0.813043 # DEPENDENCYPART_ARC
(16,15),1.08145 # DEPENDENCYPART_ARC
(16,18),-0.759695 # DEPENDENCYPART_ARC
(16,19),-0.691773 # DEPENDENCYPART_ARC
(16,21),-1.1447 # DEPENDENCYPART_ARC
(16,25),-0.805799 # DEPENDENCYPART_ARC
(17,11),-0.710474 # DEPENDENCYPART_ARC
(17,12),-0.950956 # DEPENDENCYPART_ARC
(17,14),-0.805599 # DEPENDENCYPART_ARC
(17,15),-0.392485 # DEPENDENCYPART_ARC
(17,16),0.450135 # DEPENDENCYPART_ARC
(17,18),-0.0450675 # DEPENDENCYPART_ARC
(17,24),-0.897758 # DEPENDENCYPART_ARC
(18,7),-0.203151 # DEPENDENCYPART_ARC
(18,9),-0.627871 # DEPENDENCYPART_ARC
(18,10),-0.381494 # DEPENDENCYPART_ARC
(18,11),-0.803271 # DEPENDENCYPART_ARC
(18,12),-2.99113 # DEPENDENCYPART_ARC
(18,13),0.255321 # DEPENDENCYPART_ARC
(18,14),-1.38738 # DEPENDENCYPART_ARC
(18,15),-1.61592 # DEPENDENCYPART_ARC
(18,16),0.332253 # DEPENDENCYPART_ARC
(18,17),2.07287 # DEPENDENCYPART_ARC
(18,19),0.0346911 # DEPENDENCYPART_ARC
(18,20),0.560261 # DEPENDENCYPART_ARC
(18,21),-0.52233 # DEPENDENCYPART_ARC
(18,22),-0.849165 # DEPENDENCYPART_ARC
(18,23),-0.373531 # DEPENDENCYPART_ARC
(18,24),-0.25299 # DEPENDENCYPART_ARC
(19,7),-0.507099 # DEPENDENCYPART_ARC
(19,14),-2.35557 # DEPENDENCYPART_ARC
(19,15),-2.3287 # DEPENDENCYPART_ARC
(19,16),0.42559 # DEPENDENCYPART_ARC
(19,17),0.739463 # DEPENDENCYPART_ARC
(19,18),0.70475 # DEPENDENCYPART_ARC
(20,17),-0.819579 # DEPENDENCYPART_ARC
(20,18),-0.223813 # DEPENDENCYPART_ARC
(20,19),0.530209 # DEPENDENCYPART_ARC
(21,1),-2.82457 # DEPENDENCYPART_ARC
(21,2),-0.0564357 # DEPENDENCYPART_ARC
(21,3),0.20406 # DEPENDENCYPART_ARC
(21,4),-0.196657 # DEPENDENCYPART_ARC
(21,5),0.32404 # DEPENDENCYPART_ARC
(21,8),-7.22105 # DEPENDENCYPART_ARC
(21,9),-0.116945 # DEPENDENCYPART_ARC
(21,11),1.26499 # DEPENDENCYPART_ARC
(21,12),-5.39779 # DEPENDENCYPART_ARC
(21,13),-1.02077 # DEPENDENCYPART_ARC
(21,15),-0.104156 # DEPENDENCYPART_ARC
(21,16),-0.0912855 # DEPENDENCYPART_ARC
(21,17),-0.135469 # DEPENDENCYPART_ARC
(21,18),1.36174 # DEPENDENCYPART_ARC
(21,19),1.99239 # DEPENDENCYPART_ARC
(21,20),1.32306 # DEPENDENCYPART_ARC
(21,22),0.387123 # DEPENDENCYPART_ARC
(21,24),-0.667876 # DEPENDENCYPART_ARC
(21,25),-1.04526 # DEPENDENCYPART_ARC
(22,3),-1.90977 # DEPENDENCYPART_ARC
(22,4),-0.847086 # DEPENDENCYPART_ARC
(22,5),-1.93765 # DEPENDENCYPART_ARC
(22,8),-6.04976 # DEPENDENCYPART_ARC
(22,9),-0.483374 # DEPENDENCYPART_ARC
(22,10),-0.0309992 # DEPENDENCYPART_ARC
(22,14),-3.7746 # DEPENDENCYPART_ARC
(22,15),-1.89046 # DEPENDENCYPART_ARC
(22,16),0.224003 # DEPENDENCYPART_ARC
(22,17),0.0905873 # DEPENDENCYPART_ARC
(22,18),-0.738804 # DEPENDENCYPART_ARC
(22,19),-0.406736 # DEPENDENCYPART_ARC
(22,20),0.367621 # DEPENDENCYPART_ARC
(22,21),2.1202 # DEPENDENCYPART_ARC
(24,7),-0.975461 # DEPENDENCYPART_ARC
(24,9),-0.317986 # DEPENDENCYPART_ARC
(24,10),-0.27381 # DEPENDENCYPART_ARC
(24,11),-0.633554 # DEPENDENCYPART_ARC
(24,13),-1.29904 # DEPENDENCYPART_ARC
(24,14),-4.63742 # DEPENDENCYPART_ARC
(24,15),-1.4569 # DEPENDENCYPART_ARC
(24,16),0.0438645 # DEPENDENCYPART_ARC
(24,17),-0.438429 # DEPENDENCYPART_ARC
(24,18),-0.602476 # DEPENDENCYPART_ARC
(24,19),-0.0862526 # DEPENDENCYPART_ARC
(24,20),-0.206897 # DEPENDENCYPART_ARC
(24,21),0.191756 # DEPENDENCYPART_ARC
(24,22),0.204448 # DEPENDENCYPART_ARC
(24,23),2.34138 # DEPENDENCYPART_ARC
(25,2),0.21718 # DEPENDENCYPART_ARC
(25,3),0.118014 # DEPENDENCYPART_ARC
(25,4),-0.155866 # DEPENDENCYPART_ARC
(25,5),-0.74591 # DEPENDENCYPART_ARC
(25,6),-9.63437 # DEPENDENCYPART_ARC
(25,8),-7.5072 # DEPENDENCYPART_ARC
(25,9),-0.289827 # DEPENDENCYPART_ARC
(25,10),-0.748914 # DEPENDENCYPART_ARC
(25,11),-1.02399 # DEPENDENCYPART_ARC
(25,12),-6.61467 # DEPENDENCYPART_ARC
(25,14),-5.84901 # DEPENDENCYPART_ARC
(25,15),0.662374 # DEPENDENCYPART_ARC
(25,16),-0.296937 # DEPENDENCYPART_ARC
(25,17),-0.573219 # DEPENDENCYPART_ARC
(25,18),1.20048 # DEPENDENCYPART_ARC
(25,19),1.08704 # DEPENDENCYPART_ARC
(25,20),0.0752511 # DEPENDENCYPART_ARC
(25,21),-1.08714 # DEPENDENCYPART_ARC
(25,22),1.56797 # DEPENDENCYPART_ARC
(25,23),0.414361 # DEPENDENCYPART_ARC
(25,24),2.98755 # DEPENDENCYPART_ARC
(26,6),-6.8251 # DEPENDENCYPART_ARC
(26,12),-5.322 # DEPENDENCYPART_ARC
(26,14),-4.52443 # DEPENDENCYPART_ARC
(26,15),0.0444494 # DEPENDENCYPART_ARC
(26,16),-0.376247 # DEPENDENCYPART_ARC
(26,17),-0.397141 # DEPENDENCYPART_ARC
(26,18),0.240443 # DEPENDENCYPART_ARC
(26,19),0.313796 # DEPENDENCYPART_ARC
(26,20),-0.523095 # DEPENDENCYPART_ARC
(26,21),-2.11997 # DEPENDENCYPART_ARC
(26,22),0.128009 # DEPENDENCYPART_ARC
(26,23),-0.0121863 # DEPENDENCYPART_ARC
(26,24),0.300169 # DEPENDENCYPART_ARC
(26,25),1.48816 # DEPENDENCYPART_ARC
