# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=2,0,5,5,6,9,8,10,11,11,12,13,0,15,16,17,18,19,0,
(12,14),-0.368806 # DEPENDENCYPART_ARC
(12,15),-0.952752 # DEPENDENCYPART_ARC
(12,18),-2.2173 # DEPENDENCYPART_ARC
(13,5),-3.33204 # DEPENDENCYPART_ARC
(13,6),-0.800196 # DEPENDENCYPART_ARC
(13,7),-0.0216367 # DEPENDENCYPART_ARC
(13,8),-0.0780192 # DEPENDENCYPART_ARC
(13,9),-0.567669 # DEPENDENCYPART_ARC
(13,10),-1.17986 # DEPENDENCYPART_ARC
(13,11),-0.0237402 # DEPENDENCYPART_ARC
(13,12),0.564587 # DEPENDENCYPART_ARC
(13,14),-0.204072 # DEPENDENCYPART_ARC
(13,15),-0.425556 # DEPENDENCYPART_ARC
(13,16),-0.880573 # DEPENDENCYPART_ARC
(13,18),-0.792543 # DEPENDENCYPART_ARC
(13,19),-1.37866 # DEPENDENCYPART_ARC
(14,9),-0.972942 # DEPENDENCYPART_ARC
(14,10),-1.281 # DEPENDENCYPART_ARC
(14,11),-1.09737 # DEPENDENCYPART_ARC
(14,12),-1.21386 # DEPENDENCYPART_ARC
(14,13),0.231268 # DEPENDENCYPART_ARC
(14,15),-0.386085 # DEPENDENCYPART_ARC
(14,16),-1.0259 # DEPENDENCYPART_ARC
(15,9),-0.939737 # DEPENDENCYPART_ARC
(15,10),-1.44743 # DEPENDENCYPART_ARC
(15,11),-0.431068 # DEPENDENCYPART_ARC
(15,12),-2.33296 # DEPENDENCYPART_ARC
(15,13),0.223358 # DEPENDENCYPART_ARC
(15,14),2.82252 # DEPENDENCYPART_ARC
(15,16),-0.450499 # DEPENDENCYPART_ARC
(15,17),-0.167559 # DEPENDENCYPART_ARC
(16,1),-0.775275 # DEPENDENCYPART_ARC
(16,6),0.0761902 # DEPENDENCYPART_ARC
(16,7),-0.310597 # DEPENDENCYPART_ARC
(16,8),-0.142504 # DEPENDENCYPART_ARC
(16,10),-4.18996 # DEPENDENCYPART_ARC
(16,11),-0.482702 # DEPENDENCYPART_ARC
(16,12),0.183121 # DEPENDENCYPART_ARC
(16,13),-0.439602 # DEPENDENCYPART_ARC
(16,14),1.07538 # DEPENDENCYPART_ARC
(16,15),2.50096 # DEPENDENCYPART_ARC
(16,17),0.723437 # DEPENDENCYPART_ARC
(16,18),-1.18295 # DEPENDENCYPART_ARC
(17,1),-0.8487 # DEPENDENCYPART_ARC
(17,3),-0.728524 # DEPENDENCYPART_ARC
(17,4),-0.454945 # DEPENDENCYPART_ARC
(17,7),-0.305379 # DEPENDENCYPART_ARC
(17,8),-0.259664 # DEPENDENCYPART_ARC
(17,11),-0.260709 # DEPENDENCYPART_ARC
(17,12),-0.166312 # DEPENDENCYPART_ARC
(17,13),-0.0597999 # DEPENDENCYPART_ARC
(17,14),0.713296 # DEPENDENCYPART_ARC
(17,15),1.1651 # DEPENDENCYPART_ARC
(17,16),2.77105 # DEPENDENCYPART_ARC
(18,1),0.267582 # DEPENDENCYPART_ARC
(18,2),-0.305106 # DEPENDENCYPART_ARC
(18,3),-1.84387 # DEPENDENCYPART_ARC
(18,4),-0.310048 # DEPENDENCYPART_ARC
(18,5),-7.60785 # DEPENDENCYPART_ARC
(18,6),-0.0648074 # DEPENDENCYPART_ARC
(18,7),0.318252 # DEPENDENCYPART_ARC
(18,8),0.0561209 # DEPENDENCYPART_ARC
(18,9),-0.542627 # DEPENDENCYPART_ARC
(18,10),-4.19682 # DEPENDENCYPART_ARC
(18,11),0.70351 # DEPENDENCYPART_ARC
(18,12),0.556119 # DEPENDENCYPART_ARC
(18,13),0.363633 # DEPENDENCYPART_ARC
(18,14),1.44226 # DEPENDENCYPART_ARC
(18,15),1.47983 # DEPENDENCYPART_ARC
(18,16),0.374836 # DEPENDENCYPART_ARC
(18,17),2.81008 # DEPENDENCYPART_ARC
(18,19),-0.607144 # DEPENDENCYPART_ARC
(19,5),-5.89134 # DEPENDENCYPART_ARC
(19,6),-0.448643 # DEPENDENCYPART_ARC
(19,9),-0.99291 # DEPENDENCYPART_ARC
(19,10),-3.81881 # DEPENDENCYPART_ARC
(19,11),-0.368327 # DEPENDENCYPART_ARC
(19,12),-0.105732 # DEPENDENCYPART_ARC
(19,13),-0.377305 # DEPENDENCYPART_ARC
(19,14),0.168251 # DEPENDENCYPART_ARC
(19,15),0.0533033 # DEPENDENCYPART_ARC
(19,16),-1.396 # DEPENDENCYPART_ARC
(19,17),-0.318125 # DEPENDENCYPART_ARC
(19,18),1.78741 # DEPENDENCYPART_ARC
