# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,6,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(17,13),-0.745387 # DEPENDENCYPART_ARC
(17,14),0.369408 # DEPENDENCYPART_ARC
(17,15),1.78793 # DEPENDENCYPART_ARC
(17,16),2.18318 # DEPENDENCYPART_ARC
(18,11),-0.314168 # DEPENDENCYPART_ARC
(18,13),0.08854 # DEPENDENCYPART_ARC
(18,14),0.661323 # DEPENDENCYPART_ARC
(18,15),0.351837 # DEPENDENCYPART_ARC
(18,16),-0.339202 # DEPENDENCYPART_ARC
(18,17),2.3823 # DEPENDENCYPART_ARC
(18,19),-0.537956 # DEPENDENCYPART_ARC
(18,20),-0.506557 # DEPENDENCYPART_ARC
(18,21),-1.65626 # DEPENDENCYPART_ARC
(18,22),-1.44511 # DEPENDENCYPART_ARC
(18,23),-1.87667 # DEPENDENCYPART_ARC
(18,24),-2.35789 # DEPENDENCYPART_ARC
(19,9),-0.831936 # DEPENDENCYPART_ARC
(19,12),-1.06329 # DEPENDENCYPART_ARC
(19,13),-0.295503 # DEPENDENCYPART_ARC
(19,14),-0.485408 # DEPENDENCYPART_ARC
(19,15),0.405454 # DEPENDENCYPART_ARC
(19,16),-0.419847 # DEPENDENCYPART_ARC
(19,18),3.34352 # DEPENDENCYPART_ARC
(19,21),-0.654232 # DEPENDENCYPART_ARC
(20,6),-0.383913 # DEPENDENCYPART_ARC
(20,9),-0.441583 # DEPENDENCYPART_ARC
(20,10),-3.34008 # DEPENDENCYPART_ARC
(20,11),-1.584 # DEPENDENCYPART_ARC
(20,15),-0.138104 # DEPENDENCYPART_ARC
(20,16),-1.37189 # DEPENDENCYPART_ARC
(20,18),-0.115217 # DEPENDENCYPART_ARC
(20,19),-0.528009 # DEPENDENCYPART_ARC
(20,21),-0.270936 # DEPENDENCYPART_ARC
(20,23),-0.669047 # DEPENDENCYPART_ARC
(20,24),-0.62274 # DEPENDENCYPART_ARC
(20,25),-1.21861 # DEPENDENCYPART_ARC
(21,17),-1.94751 # DEPENDENCYPART_ARC
(21,18),-2.15445 # DEPENDENCYPART_ARC
(21,19),-0.231921 # DEPENDENCYPART_ARC
(21,20),-0.00711322 # DEPENDENCYPART_ARC
(21,22),-0.0216261 # DEPENDENCYPART_ARC
(22,8),-5.27623 # DEPENDENCYPART_ARC
(22,15),-0.778188 # DEPENDENCYPART_ARC
(22,16),-1.31735 # DEPENDENCYPART_ARC
(22,18),-0.460094 # DEPENDENCYPART_ARC
(22,19),-0.70621 # DEPENDENCYPART_ARC
(22,20),-0.186146 # DEPENDENCYPART_ARC
(22,21),3.34514 # DEPENDENCYPART_ARC
(23,7),-0.921533 # DEPENDENCYPART_ARC
(23,8),-6.81108 # DEPENDENCYPART_ARC
(23,11),-0.331009 # DEPENDENCYPART_ARC
(23,12),-0.927927 # DEPENDENCYPART_ARC
(23,13),-0.416866 # DEPENDENCYPART_ARC
(23,14),-0.442547 # DEPENDENCYPART_ARC
(23,15),-1.30459 # DEPENDENCYPART_ARC
(23,16),-2.54257 # DEPENDENCYPART_ARC
(23,18),-1.56662 # DEPENDENCYPART_ARC
(23,19),0.196998 # DEPENDENCYPART_ARC
(23,20),-0.119568 # DEPENDENCYPART_ARC
(23,21),0.571377 # DEPENDENCYPART_ARC
(23,22),2.41872 # DEPENDENCYPART_ARC
(24,1),0.582465 # DEPENDENCYPART_ARC
(24,2),0.0570624 # DEPENDENCYPART_ARC
(24,3),-0.929267 # DEPENDENCYPART_ARC
(24,4),-11.3095 # DEPENDENCYPART_ARC
(24,5),0.0400457 # DEPENDENCYPART_ARC
(24,6),-0.075092 # DEPENDENCYPART_ARC
(24,7),0.108666 # DEPENDENCYPART_ARC
(24,8),-8.1544 # DEPENDENCYPART_ARC
(24,9),0.177189 # DEPENDENCYPART_ARC
(24,10),-7.14442 # DEPENDENCYPART_ARC
(24,12),1.70632 # DEPENDENCYPART_ARC
(24,13),-0.611407 # DEPENDENCYPART_ARC
(24,14),0.825034 # DEPENDENCYPART_ARC
(24,15),-0.771837 # DEPENDENCYPART_ARC
(24,16),-3.55792 # DEPENDENCYPART_ARC
(24,17),-0.571588 # DEPENDENCYPART_ARC
(24,18),0.971659 # DEPENDENCYPART_ARC
(24,19),1.56958 # DEPENDENCYPART_ARC
(24,20),0.344344 # DEPENDENCYPART_ARC
(24,21),0.699822 # DEPENDENCYPART_ARC
(24,22),0.307578 # DEPENDENCYPART_ARC
(24,23),3.41535 # DEPENDENCYPART_ARC
(25,4),-7.74161 # DEPENDENCYPART_ARC
(25,5),-1.04141 # DEPENDENCYPART_ARC
(25,6),-0.751632 # DEPENDENCYPART_ARC
(25,9),-0.396634 # DEPENDENCYPART_ARC
(25,10),-5.42458 # DEPENDENCYPART_ARC
(25,11),-0.917706 # DEPENDENCYPART_ARC
(25,12),-0.457458 # DEPENDENCYPART_ARC
(25,16),-3.51967 # DEPENDENCYPART_ARC
(25,18),-0.357131 # DEPENDENCYPART_ARC
(25,19),-0.827836 # DEPENDENCYPART_ARC
(25,20),-0.374049 # DEPENDENCYPART_ARC
(25,21),-1.51754 # DEPENDENCYPART_ARC
(25,22),-1.2632 # DEPENDENCYPART_ARC
(25,23),-0.108666 # DEPENDENCYPART_ARC
(25,24),1.24513 # DEPENDENCYPART_ARC
