# _root_ _ DYP_Genel_Başkanlığı için Türkiye turuna _ çıkan Elazığ_Milletvekili_Mehmet Ağar , hakkında _ _ _ çıkarılan şaibe söylentilerinin arkasında başka hesaplar _ olduğunu _ savunarak , " _ Benim için şu anda hukuki problem _ yok .
#goldHeads=2,3,7,5,7,7,8,9,24,0,15,13,14,15,17,17,18,22,20,22,22,24,24,35,0,0,28,35,35,31,35,33,35,35,36,0,
#predictedHeads=2,3,6,5,6,7,8,9,11,0,14,13,14,15,16,17,18,21,20,21,22,23,24,27,0,0,28,29,31,31,35,33,35,35,36,0,
(14,12),0.653173 # DEPENDENCYPART_ARC
(14,13),2.78467 # DEPENDENCYPART_ARC
(15,3),0.272585 # DEPENDENCYPART_ARC
(15,4),0.258716 # DEPENDENCYPART_ARC
(15,5),0.275525 # DEPENDENCYPART_ARC
(15,8),0.0364728 # DEPENDENCYPART_ARC
(15,9),-0.256484 # DEPENDENCYPART_ARC
(15,10),-0.10572 # DEPENDENCYPART_ARC
(15,11),1.07316 # DEPENDENCYPART_ARC
(15,13),0.623819 # DEPENDENCYPART_ARC
(15,14),2.26012 # DEPENDENCYPART_ARC
(16,7),-0.449467 # DEPENDENCYPART_ARC
(16,10),-0.327958 # DEPENDENCYPART_ARC
(16,11),-0.738809 # DEPENDENCYPART_ARC
(16,12),-1.59657 # DEPENDENCYPART_ARC
(16,13),-1.07834 # DEPENDENCYPART_ARC
(16,14),-0.614998 # DEPENDENCYPART_ARC
(16,15),1.95493 # DEPENDENCYPART_ARC
(16,17),-0.234387 # DEPENDENCYPART_ARC
(16,19),-0.815628 # DEPENDENCYPART_ARC
(16,30),-0.433649 # DEPENDENCYPART_ARC
(17,7),-0.18833 # DEPENDENCYPART_ARC
(17,10),0.244145 # DEPENDENCYPART_ARC
(17,12),-1.89326 # DEPENDENCYPART_ARC
(17,13),-1.27452 # DEPENDENCYPART_ARC
(17,14),-0.535384 # DEPENDENCYPART_ARC
(17,15),1.64695 # DEPENDENCYPART_ARC
(17,16),2.88796 # DEPENDENCYPART_ARC
(17,18),-0.558272 # DEPENDENCYPART_ARC
(17,19),-0.539637 # DEPENDENCYPART_ARC
(17,30),-0.462093 # DEPENDENCYPART_ARC
(18,7),-0.320924 # DEPENDENCYPART_ARC
(18,12),-2.26131 # DEPENDENCYPART_ARC
(18,13),-1.80124 # DEPENDENCYPART_ARC
(18,14),-1.31202 # DEPENDENCYPART_ARC
(18,15),1.08401 # DEPENDENCYPART_ARC
(18,16),1.5823 # DEPENDENCYPART_ARC
(18,17),3.18537 # DEPENDENCYPART_ARC
(18,19),-0.39163 # DEPENDENCYPART_ARC
(18,20),-1.21018 # DEPENDENCYPART_ARC
(18,30),-0.663924 # DEPENDENCYPART_ARC
(19,13),-2.13119 # DEPENDENCYPART_ARC
(19,14),-1.46474 # DEPENDENCYPART_ARC
(19,16),-0.260757 # DEPENDENCYPART_ARC
(19,17),0.311954 # DEPENDENCYPART_ARC
(19,18),0.981902 # DEPENDENCYPART_ARC
(19,27),-0.422734 # DEPENDENCYPART_ARC
(19,33),-1.18875 # DEPENDENCYPART_ARC
(20,7),-0.611729 # DEPENDENCYPART_ARC
(20,10),-0.320294 # DEPENDENCYPART_ARC
(20,14),-3.1033 # DEPENDENCYPART_ARC
(20,15),0.481331 # DEPENDENCYPART_ARC
(20,16),0.476637 # DEPENDENCYPART_ARC
(20,17),-0.53852 # DEPENDENCYPART_ARC
(20,18),-0.263689 # DEPENDENCYPART_ARC
(20,19),2.24865 # DEPENDENCYPART_ARC
(20,21),-0.451849 # DEPENDENCYPART_ARC
(20,22),-0.660207 # DEPENDENCYPART_ARC
(20,30),-0.367455 # DEPENDENCYPART_ARC
(21,3),-0.264519 # DEPENDENCYPART_ARC
(21,4),-0.169196 # DEPENDENCYPART_ARC
(21,8),-0.287615 # DEPENDENCYPART_ARC
(21,9),-0.160786 # DEPENDENCYPART_ARC
(21,11),0.562334 # DEPENDENCYPART_ARC
(21,12),-6.60379 # DEPENDENCYPART_ARC
(21,13),-5.47455 # DEPENDENCYPART_ARC
(21,14),-4.84019 # DEPENDENCYPART_ARC
(21,15),-0.199151 # DEPENDENCYPART_ARC
(21,16),0.903686 # DEPENDENCYPART_ARC
(21,17),1.52796 # DEPENDENCYPART_ARC
(21,18),1.54897 # DEPENDENCYPART_ARC
(21,19),0.284785 # DEPENDENCYPART_ARC
(21,20),2.4493 # DEPENDENCYPART_ARC
(21,22),0.0144527 # DEPENDENCYPART_ARC
(21,23),-0.983971 # DEPENDENCYPART_ARC
(21,29),-0.513061 # DEPENDENCYPART_ARC
(21,31),-1.26603 # DEPENDENCYPART_ARC
(22,5),-0.580298 # DEPENDENCYPART_ARC
(22,8),-0.531617 # DEPENDENCYPART_ARC
(22,9),-0.61871 # DEPENDENCYPART_ARC
(22,10),0.038268 # DEPENDENCYPART_ARC
(22,11),0.414681 # DEPENDENCYPART_ARC
(22,16),0.703428 # DEPENDENCYPART_ARC
(22,17),1.75707 # DEPENDENCYPART_ARC
(22,18),0.771843 # DEPENDENCYPART_ARC
(22,20),1.5306 # DEPENDENCYPART_ARC
(22,21),2.27475 # DEPENDENCYPART_ARC
(22,23),-0.746502 # DEPENDENCYPART_ARC
(23,4),-0.917275 # DEPENDENCYPART_ARC
(23,8),-0.89349 # DEPENDENCYPART_ARC
(23,9),-0.400413 # DEPENDENCYPART_ARC
(23,11),0.0983553 # DEPENDENCYPART_ARC
(23,15),-0.530472 # DEPENDENCYPART_ARC
(23,16),0.243263 # DEPENDENCYPART_ARC
(23,17),0.965228 # DEPENDENCYPART_ARC
(23,18),0.766244 # DEPENDENCYPART_ARC
(23,19),-0.684026 # DEPENDENCYPART_ARC
(23,20),0.830407 # DEPENDENCYPART_ARC
(23,21),-0.59682 # DEPENDENCYPART_ARC
(23,22),2.52564 # DEPENDENCYPART_ARC
(23,24),0.567103 # DEPENDENCYPART_ARC
(23,25),-0.850356 # DEPENDENCYPART_ARC
(23,27),-1.3209 # DEPENDENCYPART_ARC
(23,28),-1.72385 # DEPENDENCYPART_ARC
(23,29),-0.751563 # DEPENDENCYPART_ARC
(23,31),-1.88042 # DEPENDENCYPART_ARC
(23,33),-2.0603 # DEPENDENCYPART_ARC
(24,9),-0.531491 # DEPENDENCYPART_ARC
(24,11),0.876359 # DEPENDENCYPART_ARC
(24,16),1.01166 # DEPENDENCYPART_ARC
(24,17),0.755238 # DEPENDENCYPART_ARC
(24,18),0.949489 # DEPENDENCYPART_ARC
(24,20),1.16816 # DEPENDENCYPART_ARC
(24,22),1.94043 # DEPENDENCYPART_ARC
(24,23),2.79885 # DEPENDENCYPART_ARC
(24,27),-1.27219 # DEPENDENCYPART_ARC
(25,6),-5.61269 # DEPENDENCYPART_ARC
(25,12),-3.47919 # DEPENDENCYPART_ARC
(25,13),-3.37314 # DEPENDENCYPART_ARC
(25,14),-3.36524 # DEPENDENCYPART_ARC
(25,15),-1.00327 # DEPENDENCYPART_ARC
(25,18),0.334488 # DEPENDENCYPART_ARC
(25,19),-0.54515 # DEPENDENCYPART_ARC
(25,20),0.136068 # DEPENDENCYPART_ARC
(25,21),-1.11379 # DEPENDENCYPART_ARC
(25,23),-0.258862 # DEPENDENCYPART_ARC
(25,24),0.0234391 # DEPENDENCYPART_ARC
(25,26),-0.427728 # DEPENDENCYPART_ARC
(25,28),-0.324361 # DEPENDENCYPART_ARC
(25,29),-0.348205 # DEPENDENCYPART_ARC
(25,35),-0.75467 # DEPENDENCYPART_ARC
(26,6),-6.2181 # DEPENDENCYPART_ARC
(26,21),-2.36208 # DEPENDENCYPART_ARC
(26,23),-1.45167 # DEPENDENCYPART_ARC
(26,24),-1.26338 # DEPENDENCYPART_ARC
(26,25),-0.735791 # DEPENDENCYPART_ARC
(26,28),-0.698689 # DEPENDENCYPART_ARC
(26,29),-0.346831 # DEPENDENCYPART_ARC
(26,31),-0.884057 # DEPENDENCYPART_ARC
(26,33),-0.859351 # DEPENDENCYPART_ARC
(26,35),-0.88304 # DEPENDENCYPART_ARC
(27,24),0.111997 # DEPENDENCYPART_ARC
(27,25),0.293624 # DEPENDENCYPART_ARC
(27,26),1.27173 # DEPENDENCYPART_ARC
(28,1),-15.2491 # DEPENDENCYPART_ARC
(28,2),-1.77276 # DEPENDENCYPART_ARC
(28,5),-1.47011 # DEPENDENCYPART_ARC
(28,12),-8.88841 # DEPENDENCYPART_ARC
(28,14),-7.79445 # DEPENDENCYPART_ARC
(28,15),-1.33065 # DEPENDENCYPART_ARC
(28,16),-0.568296 # DEPENDENCYPART_ARC
(28,17),-1.17764 # DEPENDENCYPART_ARC
(28,18),-0.930239 # DEPENDENCYPART_ARC
(28,20),-0.566582 # DEPENDENCYPART_ARC
(28,21),-2.98238 # DEPENDENCYPART_ARC
(28,22),-0.605051 # DEPENDENCYPART_ARC
(28,23),-1.26646 # DEPENDENCYPART_ARC
(28,24),-0.594912 # DEPENDENCYPART_ARC
(28,25),-0.624288 # DEPENDENCYPART_ARC
(28,26),0.499231 # DEPENDENCYPART_ARC
(28,27),2.1891 # DEPENDENCYPART_ARC
(28,31),-0.958289 # DEPENDENCYPART_ARC
(28,33),-0.80171 # DEPENDENCYPART_ARC
(29,24),-0.915481 # DEPENDENCYPART_ARC
(29,25),-0.437893 # DEPENDENCYPART_ARC
(29,26),-0.555591 # DEPENDENCYPART_ARC
(29,27),0.54252 # DEPENDENCYPART_ARC
(29,28),1.46579 # DEPENDENCYPART_ARC
(29,31),-0.00606496 # DEPENDENCYPART_ARC
(29,33),-0.287612 # DEPENDENCYPART_ARC
(31,15),-1.01815 # DEPENDENCYPART_ARC
(31,19),-0.730803 # DEPENDENCYPART_ARC
(31,22),-2.01093 # DEPENDENCYPART_ARC
(31,24),-0.735485 # DEPENDENCYPART_ARC
(31,25),-0.643315 # DEPENDENCYPART_ARC
(31,26),-0.561482 # DEPENDENCYPART_ARC
(31,27),-0.77292 # DEPENDENCYPART_ARC
(31,28),-0.600129 # DEPENDENCYPART_ARC
(31,29),0.415898 # DEPENDENCYPART_ARC
(31,30),1.9501 # DEPENDENCYPART_ARC
(31,32),-0.381639 # DEPENDENCYPART_ARC
(31,33),-0.923431 # DEPENDENCYPART_ARC
(31,34),-1.10007 # DEPENDENCYPART_ARC
(32,23),-1.79437 # DEPENDENCYPART_ARC
(32,27),-1.0739 # DEPENDENCYPART_ARC
(32,28),-0.881254 # DEPENDENCYPART_ARC
(32,29),-0.180385 # DEPENDENCYPART_ARC
(32,30),-0.370075 # DEPENDENCYPART_ARC
(32,31),0.758117 # DEPENDENCYPART_ARC
(32,33),0.335027 # DEPENDENCYPART_ARC
(33,19),-0.968606 # DEPENDENCYPART_ARC
(33,20),-1.39213 # DEPENDENCYPART_ARC
(33,22),-1.5544 # DEPENDENCYPART_ARC
(33,24),-0.7776 # DEPENDENCYPART_ARC
(33,25),-0.91525 # DEPENDENCYPART_ARC
(33,26),-0.736812 # DEPENDENCYPART_ARC
(33,27),-1.93065 # DEPENDENCYPART_ARC
(33,28),-1.38279 # DEPENDENCYPART_ARC
(33,29),0.0548965 # DEPENDENCYPART_ARC
(33,30),0.365979 # DEPENDENCYPART_ARC
(33,31),0.000790529 # DEPENDENCYPART_ARC
(33,32),1.74086 # DEPENDENCYPART_ARC
(33,34),-0.0495596 # DEPENDENCYPART_ARC
(34,20),0.253128 # DEPENDENCYPART_ARC
(34,25),-0.035951 # DEPENDENCYPART_ARC
(34,26),0.374126 # DEPENDENCYPART_ARC
(34,27),-1.09044 # DEPENDENCYPART_ARC
(34,28),0.263788 # DEPENDENCYPART_ARC
(34,29),0.315231 # DEPENDENCYPART_ARC
(34,30),0.0868803 # DEPENDENCYPART_ARC
(34,31),0.874893 # DEPENDENCYPART_ARC
(34,32),0.752364 # DEPENDENCYPART_ARC
(34,33),1.73262 # DEPENDENCYPART_ARC
(35,1),-18.182 # DEPENDENCYPART_ARC
(35,2),-1.52041 # DEPENDENCYPART_ARC
(35,5),-0.566959 # DEPENDENCYPART_ARC
(35,11),-0.680594 # DEPENDENCYPART_ARC
(35,15),-0.891466 # DEPENDENCYPART_ARC
(35,16),0.263787 # DEPENDENCYPART_ARC
(35,17),-0.494099 # DEPENDENCYPART_ARC
(35,18),0.283506 # DEPENDENCYPART_ARC
(35,20),0.501787 # DEPENDENCYPART_ARC
(35,21),-6.04655 # DEPENDENCYPART_ARC
(35,23),-4.44856 # DEPENDENCYPART_ARC
(35,24),-0.536815 # DEPENDENCYPART_ARC
(35,25),-0.621093 # DEPENDENCYPART_ARC
(35,26),0.188668 # DEPENDENCYPART_ARC
(35,27),-2.92856 # DEPENDENCYPART_ARC
(35,28),-0.278052 # DEPENDENCYPART_ARC
(35,29),0.216768 # DEPENDENCYPART_ARC
(35,30),-0.44395 # DEPENDENCYPART_ARC
(35,31),1.93438 # DEPENDENCYPART_ARC
(35,32),0.425995 # DEPENDENCYPART_ARC
(35,33),2.81222 # DEPENDENCYPART_ARC
(35,34),1.95949 # DEPENDENCYPART_ARC
(36,3),-0.352106 # DEPENDENCYPART_ARC
(36,4),-0.54031 # DEPENDENCYPART_ARC
(36,12),-7.85251 # DEPENDENCYPART_ARC
(36,13),-7.53696 # DEPENDENCYPART_ARC
(36,14),-7.25198 # DEPENDENCYPART_ARC
(36,19),-1.1386 # DEPENDENCYPART_ARC
(36,21),-4.68789 # DEPENDENCYPART_ARC
(36,23),-3.76063 # DEPENDENCYPART_ARC
(36,24),-1.04691 # DEPENDENCYPART_ARC
(36,26),-0.0755899 # DEPENDENCYPART_ARC
(36,28),0.00255071 # DEPENDENCYPART_ARC
(36,29),-0.146341 # DEPENDENCYPART_ARC
(36,30),-0.530977 # DEPENDENCYPART_ARC
(36,31),-0.00218505 # DEPENDENCYPART_ARC
(36,32),0.0041365 # DEPENDENCYPART_ARC
(36,33),0.166992 # DEPENDENCYPART_ARC
(36,34),-0.944326 # DEPENDENCYPART_ARC
(36,35),1.60654 # DEPENDENCYPART_ARC
