# _root_ Bir konuda bilgi _ verirken veya bir gerçeği _ savunurken , _ türlü kanıtlardan _ _ faydalanan , bunları bilimsel biçimde _ inceleyen gazete ve dergi yazılarına makale _ denir .
#goldHeads=2,4,4,5,6,10,8,9,10,16,0,13,14,16,16,17,18,23,22,21,22,23,24,25,26,27,30,30,30,31,0,
#predictedHeads=2,4,4,5,6,10,8,9,10,30,0,13,14,16,16,17,18,30,22,21,22,23,24,25,26,27,30,30,30,31,0,
(21,18),0.0328915 # DEPENDENCYPART_ARC
(21,19),0.771383 # DEPENDENCYPART_ARC
(21,20),1.74452 # DEPENDENCYPART_ARC
(21,22),-0.128983 # DEPENDENCYPART_ARC
(21,25),-0.690437 # DEPENDENCYPART_ARC
(21,26),-1.1831 # DEPENDENCYPART_ARC
(21,27),-0.83963 # DEPENDENCYPART_ARC
(22,2),-0.9316 # DEPENDENCYPART_ARC
(22,3),-0.956094 # DEPENDENCYPART_ARC
(22,5),-0.249971 # DEPENDENCYPART_ARC
(22,8),0.112762 # DEPENDENCYPART_ARC
(22,10),-0.44605 # DEPENDENCYPART_ARC
(22,12),-6.18109 # DEPENDENCYPART_ARC
(22,14),-0.269575 # DEPENDENCYPART_ARC
(22,15),-3.52528 # DEPENDENCYPART_ARC
(22,16),-2.97221 # DEPENDENCYPART_ARC
(22,17),-1.12945 # DEPENDENCYPART_ARC
(22,18),-0.297443 # DEPENDENCYPART_ARC
(22,19),1.54576 # DEPENDENCYPART_ARC
(22,20),-0.0482791 # DEPENDENCYPART_ARC
(22,21),2.22949 # DEPENDENCYPART_ARC
(22,24),-0.516792 # DEPENDENCYPART_ARC
(22,25),-0.674793 # DEPENDENCYPART_ARC
(22,26),-1.45332 # DEPENDENCYPART_ARC
(22,27),-1.4402 # DEPENDENCYPART_ARC
(22,28),-2.09462 # DEPENDENCYPART_ARC
(22,29),-1.97241 # DEPENDENCYPART_ARC
(23,11),-0.475278 # DEPENDENCYPART_ARC
(23,12),-1.88283 # DEPENDENCYPART_ARC
(23,14),0.110037 # DEPENDENCYPART_ARC
(23,15),-0.573742 # DEPENDENCYPART_ARC
(23,18),0.393153 # DEPENDENCYPART_ARC
(23,20),0.18049 # DEPENDENCYPART_ARC
(23,21),1.59456 # DEPENDENCYPART_ARC
(23,22),2.19232 # DEPENDENCYPART_ARC
(24,7),-0.691882 # DEPENDENCYPART_ARC
(24,10),-0.438755 # DEPENDENCYPART_ARC
(24,12),-5.85459 # DEPENDENCYPART_ARC
(24,13),-0.323632 # DEPENDENCYPART_ARC
(24,14),-1.57461 # DEPENDENCYPART_ARC
(24,15),-4.14959 # DEPENDENCYPART_ARC
(24,17),-0.339073 # DEPENDENCYPART_ARC
(24,18),-0.111228 # DEPENDENCYPART_ARC
(24,19),0.388066 # DEPENDENCYPART_ARC
(24,20),0.344448 # DEPENDENCYPART_ARC
(24,21),-0.308444 # DEPENDENCYPART_ARC
(24,22),0.213433 # DEPENDENCYPART_ARC
(24,23),2.24448 # DEPENDENCYPART_ARC
(24,25),0.00553607 # DEPENDENCYPART_ARC
(24,26),-1.37848 # DEPENDENCYPART_ARC
(24,27),-1.82673 # DEPENDENCYPART_ARC
(24,28),-1.922 # DEPENDENCYPART_ARC
(24,29),-1.94968 # DEPENDENCYPART_ARC
(25,21),0.352848 # DEPENDENCYPART_ARC
(25,22),0.0828245 # DEPENDENCYPART_ARC
(25,24),3.14251 # DEPENDENCYPART_ARC
(25,26),-0.568146 # DEPENDENCYPART_ARC
(25,27),-0.659886 # DEPENDENCYPART_ARC
(26,17),-1.37551 # DEPENDENCYPART_ARC
(26,19),-0.644616 # DEPENDENCYPART_ARC
(26,20),-0.653126 # DEPENDENCYPART_ARC
(26,21),-1.06323 # DEPENDENCYPART_ARC
(26,22),-1.02408 # DEPENDENCYPART_ARC
(26,23),0.469201 # DEPENDENCYPART_ARC
(26,24),0.118943 # DEPENDENCYPART_ARC
(26,25),1.17676 # DEPENDENCYPART_ARC
(26,27),-0.515356 # DEPENDENCYPART_ARC
(26,28),-0.862397 # DEPENDENCYPART_ARC
(26,29),-1.02657 # DEPENDENCYPART_ARC
(27,17),-1.11607 # DEPENDENCYPART_ARC
(27,18),-0.193492 # DEPENDENCYPART_ARC
(27,19),-0.868318 # DEPENDENCYPART_ARC
(27,20),-0.581752 # DEPENDENCYPART_ARC
(27,21),-0.848599 # DEPENDENCYPART_ARC
(27,22),-2.04417 # DEPENDENCYPART_ARC
(27,23),0.561953 # DEPENDENCYPART_ARC
(27,24),0.214137 # DEPENDENCYPART_ARC
(27,25),0.813105 # DEPENDENCYPART_ARC
(27,26),2.65676 # DEPENDENCYPART_ARC
(27,28),-0.562592 # DEPENDENCYPART_ARC
(27,29),-0.572868 # DEPENDENCYPART_ARC
(28,17),-1.18958 # DEPENDENCYPART_ARC
(28,19),-0.203222 # DEPENDENCYPART_ARC
(28,20),-0.904677 # DEPENDENCYPART_ARC
(28,21),-1.3197 # DEPENDENCYPART_ARC
(28,22),-2.2219 # DEPENDENCYPART_ARC
(28,23),0.150978 # DEPENDENCYPART_ARC
(28,24),-0.489017 # DEPENDENCYPART_ARC
(28,25),0.440077 # DEPENDENCYPART_ARC
(28,26),0.781682 # DEPENDENCYPART_ARC
(28,27),1.12836 # DEPENDENCYPART_ARC
(28,29),0.103731 # DEPENDENCYPART_ARC
(29,5),-0.761645 # DEPENDENCYPART_ARC
(29,10),-0.619245 # DEPENDENCYPART_ARC
(29,14),-0.523181 # DEPENDENCYPART_ARC
(29,19),0.151922 # DEPENDENCYPART_ARC
(29,20),-0.269778 # DEPENDENCYPART_ARC
(29,21),0.479962 # DEPENDENCYPART_ARC
(29,22),-4.23231 # DEPENDENCYPART_ARC
(29,23),-0.326556 # DEPENDENCYPART_ARC
(29,24),0.587584 # DEPENDENCYPART_ARC
(29,25),-0.169792 # DEPENDENCYPART_ARC
(29,26),0.802896 # DEPENDENCYPART_ARC
(29,27),1.3212 # DEPENDENCYPART_ARC
(29,28),1.71562 # DEPENDENCYPART_ARC
(29,30),0.311456 # DEPENDENCYPART_ARC
(30,2),-1.56349 # DEPENDENCYPART_ARC
(30,3),-1.16679 # DEPENDENCYPART_ARC
(30,4),-13.3852 # DEPENDENCYPART_ARC
(30,5),0.333089 # DEPENDENCYPART_ARC
(30,6),0.276261 # DEPENDENCYPART_ARC
(30,8),-0.754844 # DEPENDENCYPART_ARC
(30,9),-11.3051 # DEPENDENCYPART_ARC
(30,10),0.847249 # DEPENDENCYPART_ARC
(30,11),-0.0486272 # DEPENDENCYPART_ARC
(30,12),-9.98295 # DEPENDENCYPART_ARC
(30,13),-0.338106 # DEPENDENCYPART_ARC
(30,14),-0.411362 # DEPENDENCYPART_ARC
(30,15),-8.07126 # DEPENDENCYPART_ARC
(30,16),-7.88299 # DEPENDENCYPART_ARC
(30,18),0.822557 # DEPENDENCYPART_ARC
(30,19),0.355912 # DEPENDENCYPART_ARC
(30,20),-0.131422 # DEPENDENCYPART_ARC
(30,21),0.914297 # DEPENDENCYPART_ARC
(30,22),-4.4349 # DEPENDENCYPART_ARC
(30,23),0.026847 # DEPENDENCYPART_ARC
(30,24),1.13247 # DEPENDENCYPART_ARC
(30,25),0.00116706 # DEPENDENCYPART_ARC
(30,26),1.26546 # DEPENDENCYPART_ARC
(30,27),1.60539 # DEPENDENCYPART_ARC
(30,28),2.01312 # DEPENDENCYPART_ARC
(30,29),2.41857 # DEPENDENCYPART_ARC
(31,4),-9.11781 # DEPENDENCYPART_ARC
(31,5),-1.37646 # DEPENDENCYPART_ARC
(31,6),-1.12629 # DEPENDENCYPART_ARC
(31,9),-7.76022 # DEPENDENCYPART_ARC
(31,10),-0.992341 # DEPENDENCYPART_ARC
(31,13),-0.813639 # DEPENDENCYPART_ARC
(31,16),-5.25695 # DEPENDENCYPART_ARC
(31,17),-1.05481 # DEPENDENCYPART_ARC
(31,18),-0.0504051 # DEPENDENCYPART_ARC
(31,20),-0.104896 # DEPENDENCYPART_ARC
(31,22),-3.76474 # DEPENDENCYPART_ARC
(31,23),-0.347206 # DEPENDENCYPART_ARC
(31,24),-0.137735 # DEPENDENCYPART_ARC
(31,25),-0.203212 # DEPENDENCYPART_ARC
(31,26),0.10095 # DEPENDENCYPART_ARC
(31,27),0.21072 # DEPENDENCYPART_ARC
(31,28),0.177249 # DEPENDENCYPART_ARC
(31,29),-0.87954 # DEPENDENCYPART_ARC
(31,30),1.55764 # DEPENDENCYPART_ARC
