# _root_ Bütün delilleri , dosyayı _ inceleme hakkına _ sahibiz hukuki _ olarak , fakat bu haktan _ mahrum_edildik .
#goldHeads=2,3,4,5,6,7,9,9,14,11,12,9,0,18,16,18,18,19,0,
#predictedHeads=2,3,0,5,6,7,9,9,12,11,12,18,0,19,16,18,18,19,0,
(13,11),-0.202515 # DEPENDENCYPART_ARC
(13,12),0.327951 # DEPENDENCYPART_ARC
(13,14),-0.594684 # DEPENDENCYPART_ARC
(13,16),-1.10124 # DEPENDENCYPART_ARC
(13,17),-1.06114 # DEPENDENCYPART_ARC
(13,18),-0.981659 # DEPENDENCYPART_ARC
(13,19),-1.43097 # DEPENDENCYPART_ARC
(14,11),-0.215861 # DEPENDENCYPART_ARC
(14,12),-0.561839 # DEPENDENCYPART_ARC
(14,13),0.0871461 # DEPENDENCYPART_ARC
(14,16),-0.222284 # DEPENDENCYPART_ARC
(15,14),-0.036295 # DEPENDENCYPART_ARC
(16,1),-1.26956 # DEPENDENCYPART_ARC
(16,10),-0.824861 # DEPENDENCYPART_ARC
(16,11),-0.292256 # DEPENDENCYPART_ARC
(16,12),-0.938576 # DEPENDENCYPART_ARC
(16,13),-0.363782 # DEPENDENCYPART_ARC
(16,14),-0.348985 # DEPENDENCYPART_ARC
(16,15),2.01896 # DEPENDENCYPART_ARC
(16,17),-0.354464 # DEPENDENCYPART_ARC
(17,2),-0.890025 # DEPENDENCYPART_ARC
(17,6),-1.03126 # DEPENDENCYPART_ARC
(17,7),-0.695321 # DEPENDENCYPART_ARC
(17,8),-4.60574 # DEPENDENCYPART_ARC
(17,9),-1.20576 # DEPENDENCYPART_ARC
(17,10),-1.29422 # DEPENDENCYPART_ARC
(17,11),-2.36682 # DEPENDENCYPART_ARC
(17,12),-0.822835 # DEPENDENCYPART_ARC
(17,13),-0.642802 # DEPENDENCYPART_ARC
(17,14),-0.151967 # DEPENDENCYPART_ARC
(17,15),-0.20185 # DEPENDENCYPART_ARC
(17,16),1.12604 # DEPENDENCYPART_ARC
(17,18),0.39891 # DEPENDENCYPART_ARC
(18,1),-1.10353 # DEPENDENCYPART_ARC
(18,2),-1.14863 # DEPENDENCYPART_ARC
(18,3),-1.41619 # DEPENDENCYPART_ARC
(18,4),-1.22142 # DEPENDENCYPART_ARC
(18,5),-6.94679 # DEPENDENCYPART_ARC
(18,6),-0.786065 # DEPENDENCYPART_ARC
(18,7),0.022433 # DEPENDENCYPART_ARC
(18,8),-4.33049 # DEPENDENCYPART_ARC
(18,9),-0.194721 # DEPENDENCYPART_ARC
(18,10),-0.255496 # DEPENDENCYPART_ARC
(18,11),-2.70685 # DEPENDENCYPART_ARC
(18,12),0.563407 # DEPENDENCYPART_ARC
(18,13),0.304548 # DEPENDENCYPART_ARC
(18,14),0.11515 # DEPENDENCYPART_ARC
(18,15),0.32084 # DEPENDENCYPART_ARC
(18,16),1.95934 # DEPENDENCYPART_ARC
(18,17),2.11575 # DEPENDENCYPART_ARC
(18,19),-0.890761 # DEPENDENCYPART_ARC
(19,1),-1.01805 # DEPENDENCYPART_ARC
(19,5),-5.01147 # DEPENDENCYPART_ARC
(19,9),-0.525272 # DEPENDENCYPART_ARC
(19,10),-1.27491 # DEPENDENCYPART_ARC
(19,11),-2.73505 # DEPENDENCYPART_ARC
(19,12),-0.541439 # DEPENDENCYPART_ARC
(19,13),-0.275041 # DEPENDENCYPART_ARC
(19,14),0.898342 # DEPENDENCYPART_ARC
(19,15),-0.0762351 # DEPENDENCYPART_ARC
(19,16),0.306886 # DEPENDENCYPART_ARC
(19,17),-0.868673 # DEPENDENCYPART_ARC
(19,18),1.56851 # DEPENDENCYPART_ARC
