# _root_ Çam fidanı , _ süslü eşyalarla dolu _ olan bu salonda doğadan , topraktan _ iyice _ uzaklaşmıştı .
#goldHeads=2,18,0,5,6,7,8,9,11,11,18,13,14,18,16,18,18,19,0,
#predictedHeads=2,18,0,5,6,8,8,9,11,11,12,13,0,18,16,18,18,19,0,
(7,12),-0.419461 # DEPENDENCYPART_ARC
(7,14),-0.763588 # DEPENDENCYPART_ARC
(8,1),-0.231486 # DEPENDENCYPART_ARC
(8,2),-0.475145 # DEPENDENCYPART_ARC
(8,3),-0.368523 # DEPENDENCYPART_ARC
(8,4),-0.858641 # DEPENDENCYPART_ARC
(8,5),0.0356645 # DEPENDENCYPART_ARC
(8,6),2.21766 # DEPENDENCYPART_ARC
(8,7),1.66785 # DEPENDENCYPART_ARC
(8,11),-0.868994 # DEPENDENCYPART_ARC
(8,12),-0.558315 # DEPENDENCYPART_ARC
(8,13),-0.843578 # DEPENDENCYPART_ARC
(8,14),-2.17953 # DEPENDENCYPART_ARC
(8,16),-1.16225 # DEPENDENCYPART_ARC
(8,18),-1.65619 # DEPENDENCYPART_ARC
(8,19),-1.5945 # DEPENDENCYPART_ARC
(9,1),0.0144039 # DEPENDENCYPART_ARC
(9,2),-0.247806 # DEPENDENCYPART_ARC
(9,3),-0.174583 # DEPENDENCYPART_ARC
(9,4),0.050161 # DEPENDENCYPART_ARC
(9,5),0.0499097 # DEPENDENCYPART_ARC
(9,6),0.655336 # DEPENDENCYPART_ARC
(9,7),0.433919 # DEPENDENCYPART_ARC
(9,8),1.95667 # DEPENDENCYPART_ARC
(11,3),-0.407329 # DEPENDENCYPART_ARC
(11,4),-2.81334 # DEPENDENCYPART_ARC
(11,5),-0.178411 # DEPENDENCYPART_ARC
(11,6),-0.871198 # DEPENDENCYPART_ARC
(11,7),0.115659 # DEPENDENCYPART_ARC
(11,8),-0.505603 # DEPENDENCYPART_ARC
(11,9),1.3516 # DEPENDENCYPART_ARC
(11,10),1.66569 # DEPENDENCYPART_ARC
(11,12),-0.94456 # DEPENDENCYPART_ARC
(11,13),-0.456651 # DEPENDENCYPART_ARC
(11,14),-1.80546 # DEPENDENCYPART_ARC
(11,15),-1.34416 # DEPENDENCYPART_ARC
(11,18),-1.53476 # DEPENDENCYPART_ARC
(12,1),-0.980073 # DEPENDENCYPART_ARC
(12,3),0.507388 # DEPENDENCYPART_ARC
(12,4),-3.75869 # DEPENDENCYPART_ARC
(12,5),0.511404 # DEPENDENCYPART_ARC
(12,6),-1.34717 # DEPENDENCYPART_ARC
(12,7),-0.212925 # DEPENDENCYPART_ARC
(12,8),-1.20735 # DEPENDENCYPART_ARC
(12,9),1.05958 # DEPENDENCYPART_ARC
(12,10),0.759579 # DEPENDENCYPART_ARC
(12,11),0.963279 # DEPENDENCYPART_ARC
(12,13),-0.0413534 # DEPENDENCYPART_ARC
(12,14),-1.55524 # DEPENDENCYPART_ARC
(12,15),-1.17126 # DEPENDENCYPART_ARC
(12,18),-1.92239 # DEPENDENCYPART_ARC
(13,5),-0.64182 # DEPENDENCYPART_ARC
(13,6),0.202565 # DEPENDENCYPART_ARC
(13,7),-0.712819 # DEPENDENCYPART_ARC
(13,8),-1.46527 # DEPENDENCYPART_ARC
(13,9),-0.53332 # DEPENDENCYPART_ARC
(13,10),-0.37651 # DEPENDENCYPART_ARC
(13,11),0.172979 # DEPENDENCYPART_ARC
(13,12),0.866802 # DEPENDENCYPART_ARC
(13,14),-0.0900848 # DEPENDENCYPART_ARC
(13,16),-0.496196 # DEPENDENCYPART_ARC
(13,18),-0.815285 # DEPENDENCYPART_ARC
(13,19),-0.929877 # DEPENDENCYPART_ARC
(14,7),-1.17087 # DEPENDENCYPART_ARC
(14,8),-2.19062 # DEPENDENCYPART_ARC
(14,9),-0.259672 # DEPENDENCYPART_ARC
(14,10),-0.60237 # DEPENDENCYPART_ARC
(14,11),-1.45259 # DEPENDENCYPART_ARC
(14,12),-1.054 # DEPENDENCYPART_ARC
(14,13),0.615801 # DEPENDENCYPART_ARC
(14,15),-0.459863 # DEPENDENCYPART_ARC
(14,16),-0.549375 # DEPENDENCYPART_ARC
(14,17),-1.07777 # DEPENDENCYPART_ARC
(15,8),-2.31145 # DEPENDENCYPART_ARC
(15,11),-0.863409 # DEPENDENCYPART_ARC
(15,12),-1.00524 # DEPENDENCYPART_ARC
(15,13),-0.117935 # DEPENDENCYPART_ARC
(15,14),1.04418 # DEPENDENCYPART_ARC
(15,16),0.55382 # DEPENDENCYPART_ARC
(16,1),-0.737169 # DEPENDENCYPART_ARC
(16,2),-0.741861 # DEPENDENCYPART_ARC
(16,6),-0.489388 # DEPENDENCYPART_ARC
(16,11),-0.606645 # DEPENDENCYPART_ARC
(16,12),-0.975709 # DEPENDENCYPART_ARC
(16,13),0.462447 # DEPENDENCYPART_ARC
(16,14),0.289763 # DEPENDENCYPART_ARC
(16,15),1.37863 # DEPENDENCYPART_ARC
(17,4),-4.15728 # DEPENDENCYPART_ARC
(17,8),-2.69599 # DEPENDENCYPART_ARC
(17,10),-0.551115 # DEPENDENCYPART_ARC
(17,11),0.198342 # DEPENDENCYPART_ARC
(17,12),-0.206203 # DEPENDENCYPART_ARC
(17,13),0.196393 # DEPENDENCYPART_ARC
(17,14),0.72296 # DEPENDENCYPART_ARC
(17,15),1.03621 # DEPENDENCYPART_ARC
(17,16),1.38062 # DEPENDENCYPART_ARC
(18,1),0.468374 # DEPENDENCYPART_ARC
(18,2),0.789732 # DEPENDENCYPART_ARC
(18,3),-0.771404 # DEPENDENCYPART_ARC
(18,4),-6.00427 # DEPENDENCYPART_ARC
(18,5),-0.199312 # DEPENDENCYPART_ARC
(18,6),1.25266 # DEPENDENCYPART_ARC
(18,7),-0.519299 # DEPENDENCYPART_ARC
(18,8),-5.08862 # DEPENDENCYPART_ARC
(18,9),-0.230809 # DEPENDENCYPART_ARC
(18,10),-1.08952 # DEPENDENCYPART_ARC
(18,11),-0.105682 # DEPENDENCYPART_ARC
(18,12),0.0672543 # DEPENDENCYPART_ARC
(18,13),-0.0328842 # DEPENDENCYPART_ARC
(18,14),1.13388 # DEPENDENCYPART_ARC
(18,15),-0.622043 # DEPENDENCYPART_ARC
(18,16),1.93864 # DEPENDENCYPART_ARC
(18,17),1.92724 # DEPENDENCYPART_ARC
(18,19),-1.25402 # DEPENDENCYPART_ARC
(19,1),-0.146508 # DEPENDENCYPART_ARC
(19,2),-0.252367 # DEPENDENCYPART_ARC
(19,5),-0.459865 # DEPENDENCYPART_ARC
(19,6),-0.0232599 # DEPENDENCYPART_ARC
(19,7),-0.909096 # DEPENDENCYPART_ARC
(19,8),-4.03102 # DEPENDENCYPART_ARC
(19,9),-1.00355 # DEPENDENCYPART_ARC
(19,11),-0.156435 # DEPENDENCYPART_ARC
(19,12),-0.166838 # DEPENDENCYPART_ARC
(19,13),-0.258035 # DEPENDENCYPART_ARC
(19,14),0.133941 # DEPENDENCYPART_ARC
(19,15),-1.02925 # DEPENDENCYPART_ARC
(19,16),0.0620181 # DEPENDENCYPART_ARC
(19,17),-1.08696 # DEPENDENCYPART_ARC
(19,18),1.37093 # DEPENDENCYPART_ARC
