# _root_ İki gözü iki çeşme , _ öksürüp _ aksırarak , derdini _ anlatamadan bir köşeye _ çekilirmiş kara _ yazgılı hayvan .
#goldHeads=2,4,4,17,0,7,8,9,17,0,12,13,17,15,17,17,22,19,20,21,17,0,
#predictedHeads=2,3,4,5,0,7,8,9,17,0,12,13,17,15,17,17,22,21,20,21,17,0,
(20,12),-1.39068 # DEPENDENCYPART_ARC
(20,13),0.172663 # DEPENDENCYPART_ARC
(20,14),-0.0475033 # DEPENDENCYPART_ARC
(20,15),0.788802 # DEPENDENCYPART_ARC
(20,16),-0.538943 # DEPENDENCYPART_ARC
(20,17),0.351617 # DEPENDENCYPART_ARC
(20,18),0.630347 # DEPENDENCYPART_ARC
(20,19),3.16452 # DEPENDENCYPART_ARC
(21,5),0.325554 # DEPENDENCYPART_ARC
(21,9),-0.375831 # DEPENDENCYPART_ARC
(21,10),-0.0828216 # DEPENDENCYPART_ARC
(21,11),-0.595241 # DEPENDENCYPART_ARC
(21,13),0.0394184 # DEPENDENCYPART_ARC
(21,14),0.163813 # DEPENDENCYPART_ARC
(21,15),-0.332565 # DEPENDENCYPART_ARC
(21,16),-2.03063 # DEPENDENCYPART_ARC
(21,17),-1.36531 # DEPENDENCYPART_ARC
(21,18),1.20188 # DEPENDENCYPART_ARC
(21,19),0.65967 # DEPENDENCYPART_ARC
(21,20),2.4768 # DEPENDENCYPART_ARC
(21,22),-0.461814 # DEPENDENCYPART_ARC
(22,6),-5.05365 # DEPENDENCYPART_ARC
(22,7),-1.00523 # DEPENDENCYPART_ARC
(22,8),-4.62936 # DEPENDENCYPART_ARC
(22,9),-0.904544 # DEPENDENCYPART_ARC
(22,10),-0.505304 # DEPENDENCYPART_ARC
(22,12),-3.5457 # DEPENDENCYPART_ARC
(22,13),-0.547075 # DEPENDENCYPART_ARC
(22,14),-0.299968 # DEPENDENCYPART_ARC
(22,15),-0.000896276 # DEPENDENCYPART_ARC
(22,16),-2.32469 # DEPENDENCYPART_ARC
(22,17),1.33541 # DEPENDENCYPART_ARC
(22,18),0.450924 # DEPENDENCYPART_ARC
(22,19),-1.32936 # DEPENDENCYPART_ARC
(22,20),0.528276 # DEPENDENCYPART_ARC
(22,21),0.412274 # DEPENDENCYPART_ARC
