# _root_ Sen donunu taşı , dedi Recep oğlana , kayığın üstünde _ unuttuğu donu _ gösterip .
#goldHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
#predictedHeads=3,3,4,5,16,5,5,0,10,11,12,13,14,15,5,0,
(10,8),0.215779 # DEPENDENCYPART_ARC
(10,9),3.26313 # DEPENDENCYPART_ARC
(10,11),-0.147688 # DEPENDENCYPART_ARC
(10,12),-0.441763 # DEPENDENCYPART_ARC
(11,1),-0.437269 # DEPENDENCYPART_ARC
(11,2),-0.207841 # DEPENDENCYPART_ARC
(11,3),-0.61024 # DEPENDENCYPART_ARC
(11,4),-0.785148 # DEPENDENCYPART_ARC
(11,5),-1.42667 # DEPENDENCYPART_ARC
(11,6),-0.205652 # DEPENDENCYPART_ARC
(11,7),-0.074874 # DEPENDENCYPART_ARC
(11,8),-0.53575 # DEPENDENCYPART_ARC
(11,9),1.5948 # DEPENDENCYPART_ARC
(11,10),2.52198 # DEPENDENCYPART_ARC
(11,13),-0.455956 # DEPENDENCYPART_ARC
(11,14),-1.49198 # DEPENDENCYPART_ARC
(11,15),-0.698225 # DEPENDENCYPART_ARC
(11,16),-1.51496 # DEPENDENCYPART_ARC
(12,4),-0.90741 # DEPENDENCYPART_ARC
(12,6),-0.430707 # DEPENDENCYPART_ARC
(12,7),-0.283586 # DEPENDENCYPART_ARC
(12,8),-0.624226 # DEPENDENCYPART_ARC
(12,9),1.13884 # DEPENDENCYPART_ARC
(12,10),1.34934 # DEPENDENCYPART_ARC
(12,11),2.30434 # DEPENDENCYPART_ARC
(13,1),-1.01939 # DEPENDENCYPART_ARC
(13,2),-1.20722 # DEPENDENCYPART_ARC
(13,8),-0.369429 # DEPENDENCYPART_ARC
(13,9),0.267183 # DEPENDENCYPART_ARC
(13,10),0.148926 # DEPENDENCYPART_ARC
(13,11),-0.401568 # DEPENDENCYPART_ARC
(13,12),2.12629 # DEPENDENCYPART_ARC
(13,14),-0.522409 # DEPENDENCYPART_ARC
(13,15),-0.292241 # DEPENDENCYPART_ARC
(13,16),-0.76626 # DEPENDENCYPART_ARC
(14,1),0.0877959 # DEPENDENCYPART_ARC
(14,2),-0.0425919 # DEPENDENCYPART_ARC
(14,3),-0.243645 # DEPENDENCYPART_ARC
(14,4),-0.223359 # DEPENDENCYPART_ARC
(14,6),-0.12819 # DEPENDENCYPART_ARC
(14,7),0.113517 # DEPENDENCYPART_ARC
(14,8),-0.311632 # DEPENDENCYPART_ARC
(14,9),1.17238 # DEPENDENCYPART_ARC
(14,10),1.10253 # DEPENDENCYPART_ARC
(14,11),-1.04391 # DEPENDENCYPART_ARC
(14,12),0.0225247 # DEPENDENCYPART_ARC
(14,13),2.66387 # DEPENDENCYPART_ARC
(14,15),0.29183 # DEPENDENCYPART_ARC
(14,16),-1.06538 # DEPENDENCYPART_ARC
(15,2),-0.151311 # DEPENDENCYPART_ARC
(15,6),-0.296286 # DEPENDENCYPART_ARC
(15,7),-0.246561 # DEPENDENCYPART_ARC
(15,9),0.602867 # DEPENDENCYPART_ARC
(15,10),0.73546 # DEPENDENCYPART_ARC
(15,13),1.33901 # DEPENDENCYPART_ARC
(15,14),2.42132 # DEPENDENCYPART_ARC
(16,2),-0.487779 # DEPENDENCYPART_ARC
(16,3),0.35929 # DEPENDENCYPART_ARC
(16,4),-1.05131 # DEPENDENCYPART_ARC
(16,5),0.724904 # DEPENDENCYPART_ARC
(16,8),-0.382227 # DEPENDENCYPART_ARC
(16,9),0.0206785 # DEPENDENCYPART_ARC
(16,10),0.0112554 # DEPENDENCYPART_ARC
(16,11),-1.77358 # DEPENDENCYPART_ARC
(16,13),0.028034 # DEPENDENCYPART_ARC
(16,14),-0.158478 # DEPENDENCYPART_ARC
(16,15),-0.0889847 # DEPENDENCYPART_ARC
