# _root_ Prens Rapunzel'e _ evlenme teklif_etmiş , Rapunzel de kabul_etmiş , yüzü _ hafifçe _ kızararak .
#goldHeads=5,5,4,5,6,9,9,7,16,0,14,13,14,15,9,0,
#predictedHeads=5,3,4,5,6,9,9,7,10,0,14,13,14,15,9,0,
(7,6),-0.0131164 # DEPENDENCYPART_ARC
(7,8),2.57661 # DEPENDENCYPART_ARC
(8,3),-1.91146 # DEPENDENCYPART_ARC
(8,5),-1.15462 # DEPENDENCYPART_ARC
(8,7),0.393634 # DEPENDENCYPART_ARC
(9,1),0.782128 # DEPENDENCYPART_ARC
(9,2),0.250547 # DEPENDENCYPART_ARC
(9,3),-2.70845 # DEPENDENCYPART_ARC
(9,4),0.550582 # DEPENDENCYPART_ARC
(9,5),-0.0740141 # DEPENDENCYPART_ARC
(9,6),1.92068 # DEPENDENCYPART_ARC
(9,7),2.15104 # DEPENDENCYPART_ARC
(9,8),0.47863 # DEPENDENCYPART_ARC
(9,10),-0.228205 # DEPENDENCYPART_ARC
(9,11),0.219604 # DEPENDENCYPART_ARC
(9,12),-0.846194 # DEPENDENCYPART_ARC
(9,13),0.0574967 # DEPENDENCYPART_ARC
(9,14),-1.20414 # DEPENDENCYPART_ARC
(9,15),0.862765 # DEPENDENCYPART_ARC
(9,16),-1.30124 # DEPENDENCYPART_ARC
(10,3),-3.09592 # DEPENDENCYPART_ARC
(10,4),-0.323094 # DEPENDENCYPART_ARC
(10,5),-0.893541 # DEPENDENCYPART_ARC
(10,6),0.125069 # DEPENDENCYPART_ARC
(10,7),0.43321 # DEPENDENCYPART_ARC
(10,8),-0.68583 # DEPENDENCYPART_ARC
(10,9),1.44895 # DEPENDENCYPART_ARC
(10,11),-0.158379 # DEPENDENCYPART_ARC
(10,13),-0.331678 # DEPENDENCYPART_ARC
(10,14),-0.742995 # DEPENDENCYPART_ARC
(10,16),-0.883338 # DEPENDENCYPART_ARC
(11,4),-0.0559259 # DEPENDENCYPART_ARC
(11,5),-0.106247 # DEPENDENCYPART_ARC
(11,6),-0.896068 # DEPENDENCYPART_ARC
(11,8),-0.541611 # DEPENDENCYPART_ARC
(11,9),0.173205 # DEPENDENCYPART_ARC
(11,10),0.41656 # DEPENDENCYPART_ARC
(11,12),-0.224436 # DEPENDENCYPART_ARC
(11,13),-0.339978 # DEPENDENCYPART_ARC
(11,14),-1.13732 # DEPENDENCYPART_ARC
(12,6),-1.3885 # DEPENDENCYPART_ARC
(12,8),-1.67634 # DEPENDENCYPART_ARC
(12,9),-1.14082 # DEPENDENCYPART_ARC
(12,10),-0.323928 # DEPENDENCYPART_ARC
(12,11),0.679451 # DEPENDENCYPART_ARC
(12,13),0.597305 # DEPENDENCYPART_ARC
(13,1),-1.02473 # DEPENDENCYPART_ARC
(13,2),-0.80665 # DEPENDENCYPART_ARC
(13,4),-0.595566 # DEPENDENCYPART_ARC
(13,7),-0.605081 # DEPENDENCYPART_ARC
(13,10),0.539536 # DEPENDENCYPART_ARC
(13,11),0.519973 # DEPENDENCYPART_ARC
(13,12),1.84899 # DEPENDENCYPART_ARC
(14,1),-0.330159 # DEPENDENCYPART_ARC
(14,2),0.0309306 # DEPENDENCYPART_ARC
(14,4),-0.263277 # DEPENDENCYPART_ARC
(14,5),-0.561134 # DEPENDENCYPART_ARC
(14,6),0.124682 # DEPENDENCYPART_ARC
(14,7),0.0917987 # DEPENDENCYPART_ARC
(14,8),-0.843593 # DEPENDENCYPART_ARC
(14,9),-0.512865 # DEPENDENCYPART_ARC
(14,10),0.840058 # DEPENDENCYPART_ARC
(14,11),1.3494 # DEPENDENCYPART_ARC
(14,12),0.669989 # DEPENDENCYPART_ARC
(14,13),1.82381 # DEPENDENCYPART_ARC
(14,15),0.65117 # DEPENDENCYPART_ARC
(14,16),-1.1145 # DEPENDENCYPART_ARC
(15,1),-0.30008 # DEPENDENCYPART_ARC
(15,2),-0.198594 # DEPENDENCYPART_ARC
(15,4),0.100228 # DEPENDENCYPART_ARC
(15,7),0.105357 # DEPENDENCYPART_ARC
(15,10),0.066064 # DEPENDENCYPART_ARC
(15,11),0.865029 # DEPENDENCYPART_ARC
(15,12),0.46622 # DEPENDENCYPART_ARC
(15,13),0.575508 # DEPENDENCYPART_ARC
(15,14),2.80561 # DEPENDENCYPART_ARC
(16,1),-0.268145 # DEPENDENCYPART_ARC
(16,2),-0.244856 # DEPENDENCYPART_ARC
(16,3),-3.73648 # DEPENDENCYPART_ARC
(16,5),0.243061 # DEPENDENCYPART_ARC
(16,6),-0.884556 # DEPENDENCYPART_ARC
(16,7),-0.144392 # DEPENDENCYPART_ARC
(16,8),-1.15891 # DEPENDENCYPART_ARC
(16,9),0.279275 # DEPENDENCYPART_ARC
(16,10),-0.385861 # DEPENDENCYPART_ARC
(16,11),0.216138 # DEPENDENCYPART_ARC
(16,12),-0.66365 # DEPENDENCYPART_ARC
(16,13),-0.354847 # DEPENDENCYPART_ARC
(16,14),-0.0359141 # DEPENDENCYPART_ARC
(16,15),-0.0390962 # DEPENDENCYPART_ARC
