# _root_ Sanırım _ gezmediği ülke , danışmanı _ olmadığı kimse , _ bilmediği ilke kalmadı .
#goldHeads=15,3,4,5,10,7,8,9,10,13,12,13,14,15,0,
#predictedHeads=2,3,4,14,0,7,8,9,14,0,12,13,14,15,0,
(13,5),-0.340654 # DEPENDENCYPART_ARC
(13,6),-0.614784 # DEPENDENCYPART_ARC
(13,8),-0.575759 # DEPENDENCYPART_ARC
(13,9),-0.607903 # DEPENDENCYPART_ARC
(13,10),0.196 # DEPENDENCYPART_ARC
(13,11),-0.153474 # DEPENDENCYPART_ARC
(13,12),1.63397 # DEPENDENCYPART_ARC
(13,15),-0.111001 # DEPENDENCYPART_ARC
(14,1),0.0541343 # DEPENDENCYPART_ARC
(14,2),-6.69753 # DEPENDENCYPART_ARC
(14,4),1.19475 # DEPENDENCYPART_ARC
(14,5),-0.678113 # DEPENDENCYPART_ARC
(14,6),0.432696 # DEPENDENCYPART_ARC
(14,7),-3.96157 # DEPENDENCYPART_ARC
(14,8),-0.0942121 # DEPENDENCYPART_ARC
(14,9),1.67775 # DEPENDENCYPART_ARC
(14,10),0.249151 # DEPENDENCYPART_ARC
(14,11),-0.795898 # DEPENDENCYPART_ARC
(14,12),0.881771 # DEPENDENCYPART_ARC
(14,13),3.32185 # DEPENDENCYPART_ARC
(14,15),-0.84656 # DEPENDENCYPART_ARC
(15,1),0.857668 # DEPENDENCYPART_ARC
(15,2),-4.52563 # DEPENDENCYPART_ARC
(15,7),-3.3466 # DEPENDENCYPART_ARC
(15,9),-0.238467 # DEPENDENCYPART_ARC
(15,10),-0.444608 # DEPENDENCYPART_ARC
(15,11),-1.46243 # DEPENDENCYPART_ARC
(15,13),-0.102418 # DEPENDENCYPART_ARC
(15,14),1.25138 # DEPENDENCYPART_ARC
