# _root_ İnsan toplumları , _ soyutlama yetisine , meta ekonomisinin _ ortaya_çıkmasıyla ulaşmıştır .
#goldHeads=2,12,0,5,6,12,0,9,10,11,12,13,0,
#predictedHeads=2,12,0,5,6,12,0,9,11,11,12,13,0,
(10,5),-0.267217 # DEPENDENCYPART_ARC
(10,6),0.164464 # DEPENDENCYPART_ARC
(10,7),-0.0474087 # DEPENDENCYPART_ARC
(10,8),1.25901 # DEPENDENCYPART_ARC
(10,9),2.81997 # DEPENDENCYPART_ARC
(10,11),-0.312771 # DEPENDENCYPART_ARC
(10,12),-1.00578 # DEPENDENCYPART_ARC
(11,1),0.124376 # DEPENDENCYPART_ARC
(11,2),0.273873 # DEPENDENCYPART_ARC
(11,3),-0.280933 # DEPENDENCYPART_ARC
(11,5),0.186817 # DEPENDENCYPART_ARC
(11,6),-0.248451 # DEPENDENCYPART_ARC
(11,7),0.223399 # DEPENDENCYPART_ARC
(11,8),1.93368 # DEPENDENCYPART_ARC
(11,9),2.96977 # DEPENDENCYPART_ARC
(11,10),2.65239 # DEPENDENCYPART_ARC
(12,1),0.559035 # DEPENDENCYPART_ARC
(12,2),1.08659 # DEPENDENCYPART_ARC
(12,3),-0.303432 # DEPENDENCYPART_ARC
(12,4),-5.24265 # DEPENDENCYPART_ARC
(12,5),0.581269 # DEPENDENCYPART_ARC
(12,6),0.991607 # DEPENDENCYPART_ARC
(12,7),0.124366 # DEPENDENCYPART_ARC
(12,8),1.6672 # DEPENDENCYPART_ARC
(12,9),-0.139188 # DEPENDENCYPART_ARC
(12,10),-0.060404 # DEPENDENCYPART_ARC
(12,11),3.5693 # DEPENDENCYPART_ARC
(12,13),-0.98451 # DEPENDENCYPART_ARC
(13,1),-0.357356 # DEPENDENCYPART_ARC
(13,2),-0.49161 # DEPENDENCYPART_ARC
(13,4),-3.87239 # DEPENDENCYPART_ARC
(13,5),-0.660442 # DEPENDENCYPART_ARC
(13,6),-0.397847 # DEPENDENCYPART_ARC
(13,7),-0.510195 # DEPENDENCYPART_ARC
(13,8),-0.123863 # DEPENDENCYPART_ARC
(13,9),-0.238811 # DEPENDENCYPART_ARC
(13,10),-1.71987 # DEPENDENCYPART_ARC
(13,11),-0.330573 # DEPENDENCYPART_ARC
(13,12),1.20794 # DEPENDENCYPART_ARC
