# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,19,4,6,6,7,9,9,16,0,12,13,16,15,16,17,22,19,20,22,22,23,0,
(10,5),-1.76531 # DEPENDENCYPART_ARC
(10,6),-1.14608 # DEPENDENCYPART_ARC
(10,7),-0.319233 # DEPENDENCYPART_ARC
(10,8),-1.13216 # DEPENDENCYPART_ARC
(10,9),0.286273 # DEPENDENCYPART_ARC
(10,12),-0.783067 # DEPENDENCYPART_ARC
(10,13),-0.424749 # DEPENDENCYPART_ARC
(10,15),-1.23333 # DEPENDENCYPART_ARC
(10,16),-0.894998 # DEPENDENCYPART_ARC
(10,17),-1.25612 # DEPENDENCYPART_ARC
(10,19),-0.671632 # DEPENDENCYPART_ARC
(10,22),-1.10158 # DEPENDENCYPART_ARC
(11,10),-0.162184 # DEPENDENCYPART_ARC
(12,6),-2.07903 # DEPENDENCYPART_ARC
(12,7),-0.387664 # DEPENDENCYPART_ARC
(12,8),-1.099 # DEPENDENCYPART_ARC
(12,9),-1.25202 # DEPENDENCYPART_ARC
(12,10),0.0675695 # DEPENDENCYPART_ARC
(12,11),1.77116 # DEPENDENCYPART_ARC
(12,13),-0.857367 # DEPENDENCYPART_ARC
(12,14),-1.36564 # DEPENDENCYPART_ARC
(12,18),-1.29946 # DEPENDENCYPART_ARC
(12,22),-2.53752 # DEPENDENCYPART_ARC
(13,9),-0.0619765 # DEPENDENCYPART_ARC
(13,10),0.0983947 # DEPENDENCYPART_ARC
(13,12),3.5489 # DEPENDENCYPART_ARC
(13,14),0.334115 # DEPENDENCYPART_ARC
(14,7),-1.69163 # DEPENDENCYPART_ARC
(14,9),-1.67519 # DEPENDENCYPART_ARC
(14,10),-0.335489 # DEPENDENCYPART_ARC
(14,11),-0.371692 # DEPENDENCYPART_ARC
(14,12),0.321026 # DEPENDENCYPART_ARC
(14,13),0.427356 # DEPENDENCYPART_ARC
(14,15),-0.117614 # DEPENDENCYPART_ARC
(14,17),0.532123 # DEPENDENCYPART_ARC
(14,18),0.107813 # DEPENDENCYPART_ARC
(14,22),-1.56822 # DEPENDENCYPART_ARC
(15,2),-0.0329423 # DEPENDENCYPART_ARC
(15,3),0.272626 # DEPENDENCYPART_ARC
(15,4),0.126173 # DEPENDENCYPART_ARC
(15,5),-5.64035 # DEPENDENCYPART_ARC
(15,6),-4.47067 # DEPENDENCYPART_ARC
(15,7),-0.892155 # DEPENDENCYPART_ARC
(15,8),-3.66588 # DEPENDENCYPART_ARC
(15,9),0.530648 # DEPENDENCYPART_ARC
(15,10),-0.34018 # DEPENDENCYPART_ARC
(15,11),-0.609045 # DEPENDENCYPART_ARC
(15,12),1.46444 # DEPENDENCYPART_ARC
(15,13),1.08107 # DEPENDENCYPART_ARC
(15,14),2.51499 # DEPENDENCYPART_ARC
(15,17),-0.718408 # DEPENDENCYPART_ARC
(15,18),-0.851861 # DEPENDENCYPART_ARC
(15,19),-1.38938 # DEPENDENCYPART_ARC
(15,21),-1.52454 # DEPENDENCYPART_ARC
(15,22),-1.51768 # DEPENDENCYPART_ARC
(15,23),-1.97841 # DEPENDENCYPART_ARC
(16,2),1.3123 # DEPENDENCYPART_ARC
(16,3),0.12806 # DEPENDENCYPART_ARC
(16,4),0.530972 # DEPENDENCYPART_ARC
(16,5),-4.65701 # DEPENDENCYPART_ARC
(16,6),-4.19064 # DEPENDENCYPART_ARC
(16,7),-0.325133 # DEPENDENCYPART_ARC
(16,8),-3.19933 # DEPENDENCYPART_ARC
(16,9),0.801223 # DEPENDENCYPART_ARC
(16,10),0.313638 # DEPENDENCYPART_ARC
(16,11),0.257951 # DEPENDENCYPART_ARC
(16,12),1.31595 # DEPENDENCYPART_ARC
(16,13),1.5112 # DEPENDENCYPART_ARC
(16,14),1.19671 # DEPENDENCYPART_ARC
(16,15),2.05082 # DEPENDENCYPART_ARC
(16,17),-0.778564 # DEPENDENCYPART_ARC
(16,18),-1.31832 # DEPENDENCYPART_ARC
(16,19),-1.35372 # DEPENDENCYPART_ARC
(16,20),-1.24069 # DEPENDENCYPART_ARC
(16,21),-1.73959 # DEPENDENCYPART_ARC
(16,22),-1.6036 # DEPENDENCYPART_ARC
(16,23),-2.15031 # DEPENDENCYPART_ARC
(17,9),-0.126958 # DEPENDENCYPART_ARC
(17,10),-0.394276 # DEPENDENCYPART_ARC
(17,11),-0.728053 # DEPENDENCYPART_ARC
(17,12),0.120006 # DEPENDENCYPART_ARC
(17,13),-0.412162 # DEPENDENCYPART_ARC
(17,14),-0.274434 # DEPENDENCYPART_ARC
(17,15),-1.04762 # DEPENDENCYPART_ARC
(17,16),1.67537 # DEPENDENCYPART_ARC
(17,18),0.00260115 # DEPENDENCYPART_ARC
(17,19),-0.636233 # DEPENDENCYPART_ARC
(17,21),-0.41937 # DEPENDENCYPART_ARC
(17,22),-0.612046 # DEPENDENCYPART_ARC
(17,23),-1.17784 # DEPENDENCYPART_ARC
(18,7),-0.898824 # DEPENDENCYPART_ARC
(18,11),-0.710836 # DEPENDENCYPART_ARC
(18,14),-2.3713 # DEPENDENCYPART_ARC
(18,15),-0.387702 # DEPENDENCYPART_ARC
(18,16),-0.974074 # DEPENDENCYPART_ARC
(18,17),0.265874 # DEPENDENCYPART_ARC
(18,19),-0.208689 # DEPENDENCYPART_ARC
(18,20),-0.0875413 # DEPENDENCYPART_ARC
(18,21),-1.41153 # DEPENDENCYPART_ARC
(18,22),-1.29284 # DEPENDENCYPART_ARC
(19,2),1.51709 # DEPENDENCYPART_ARC
(19,3),0.072591 # DEPENDENCYPART_ARC
(19,4),0.436113 # DEPENDENCYPART_ARC
(19,5),-6.53435 # DEPENDENCYPART_ARC
(19,6),-5.88172 # DEPENDENCYPART_ARC
(19,8),-5.03922 # DEPENDENCYPART_ARC
(19,9),0.0771211 # DEPENDENCYPART_ARC
(19,10),-0.396885 # DEPENDENCYPART_ARC
(19,11),-0.524812 # DEPENDENCYPART_ARC
(19,12),0.150168 # DEPENDENCYPART_ARC
(19,13),0.833141 # DEPENDENCYPART_ARC
(19,14),-1.77255 # DEPENDENCYPART_ARC
(19,15),-1.88709 # DEPENDENCYPART_ARC
(19,16),-0.174001 # DEPENDENCYPART_ARC
(19,17),1.72595 # DEPENDENCYPART_ARC
(19,18),3.10404 # DEPENDENCYPART_ARC
(19,20),0.445697 # DEPENDENCYPART_ARC
(19,21),-1.20802 # DEPENDENCYPART_ARC
(19,22),-1.80046 # DEPENDENCYPART_ARC
(20,12),-0.574662 # DEPENDENCYPART_ARC
(20,14),-0.729327 # DEPENDENCYPART_ARC
(20,15),-0.487379 # DEPENDENCYPART_ARC
(20,16),0.273063 # DEPENDENCYPART_ARC
(20,18),1.41073 # DEPENDENCYPART_ARC
(20,19),2.29393 # DEPENDENCYPART_ARC
(20,21),-0.195148 # DEPENDENCYPART_ARC
(21,7),-1.29446 # DEPENDENCYPART_ARC
(21,11),-1.05375 # DEPENDENCYPART_ARC
(21,15),-1.53632 # DEPENDENCYPART_ARC
(21,16),-1.36477 # DEPENDENCYPART_ARC
(21,17),-0.657932 # DEPENDENCYPART_ARC
(21,18),-0.538582 # DEPENDENCYPART_ARC
(21,19),-1.0023 # DEPENDENCYPART_ARC
(21,20),0.147364 # DEPENDENCYPART_ARC
(22,2),1.48015 # DEPENDENCYPART_ARC
(22,3),-0.415667 # DEPENDENCYPART_ARC
(22,4),-0.259311 # DEPENDENCYPART_ARC
(22,5),-7.93917 # DEPENDENCYPART_ARC
(22,6),-7.06991 # DEPENDENCYPART_ARC
(22,8),-6.19026 # DEPENDENCYPART_ARC
(22,9),0.63177 # DEPENDENCYPART_ARC
(22,10),-0.423837 # DEPENDENCYPART_ARC
(22,11),-0.235376 # DEPENDENCYPART_ARC
(22,12),-0.16349 # DEPENDENCYPART_ARC
(22,13),0.916156 # DEPENDENCYPART_ARC
(22,14),-3.90393 # DEPENDENCYPART_ARC
(22,15),-3.18772 # DEPENDENCYPART_ARC
(22,16),0.282195 # DEPENDENCYPART_ARC
(22,17),1.88422 # DEPENDENCYPART_ARC
(22,18),1.35793 # DEPENDENCYPART_ARC
(22,19),1.22729 # DEPENDENCYPART_ARC
(22,20),2.01766 # DEPENDENCYPART_ARC
(22,21),3.17925 # DEPENDENCYPART_ARC
(22,23),-0.755657 # DEPENDENCYPART_ARC
(23,6),-5.1418 # DEPENDENCYPART_ARC
(23,7),-1.32002 # DEPENDENCYPART_ARC
(23,9),-0.234939 # DEPENDENCYPART_ARC
(23,14),-2.40598 # DEPENDENCYPART_ARC
(23,15),-3.13502 # DEPENDENCYPART_ARC
(23,16),-0.24618 # DEPENDENCYPART_ARC
(23,17),0.131226 # DEPENDENCYPART_ARC
(23,18),-0.178013 # DEPENDENCYPART_ARC
(23,19),0.0926286 # DEPENDENCYPART_ARC
(23,20),0.144028 # DEPENDENCYPART_ARC
(23,21),0.0509804 # DEPENDENCYPART_ARC
(23,22),1.35499 # DEPENDENCYPART_ARC
