# _root_ Ertesi gün hava _ kararırken , alçak bir sesle " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=2,4,4,5,24,0,9,9,24,0,12,13,16,0,16,23,19,19,20,16,0,0,24,25,0,
#predictedHeads=2,4,4,5,16,0,9,9,16,0,12,13,14,0,16,21,19,19,20,24,0,0,24,25,0,
(18,17),1.18566 # DEPENDENCYPART_ARC
(18,20),0.0920419 # DEPENDENCYPART_ARC
(19,3),0.300329 # DEPENDENCYPART_ARC
(19,6),-0.793008 # DEPENDENCYPART_ARC
(19,8),0.391391 # DEPENDENCYPART_ARC
(19,9),-0.570611 # DEPENDENCYPART_ARC
(19,10),-0.418495 # DEPENDENCYPART_ARC
(19,11),0.470691 # DEPENDENCYPART_ARC
(19,12),-0.180439 # DEPENDENCYPART_ARC
(19,13),0.266848 # DEPENDENCYPART_ARC
(19,14),0.392104 # DEPENDENCYPART_ARC
(19,15),-1.34113 # DEPENDENCYPART_ARC
(19,16),1.26081 # DEPENDENCYPART_ARC
(19,17),2.38172 # DEPENDENCYPART_ARC
(19,18),2.37579 # DEPENDENCYPART_ARC
(19,20),-0.587004 # DEPENDENCYPART_ARC
(20,1),-0.744402 # DEPENDENCYPART_ARC
(20,6),-0.437533 # DEPENDENCYPART_ARC
(20,7),-0.186299 # DEPENDENCYPART_ARC
(20,8),0.205123 # DEPENDENCYPART_ARC
(20,9),-0.50383 # DEPENDENCYPART_ARC
(20,10),0.38843 # DEPENDENCYPART_ARC
(20,11),0.0757431 # DEPENDENCYPART_ARC
(20,12),0.573708 # DEPENDENCYPART_ARC
(20,13),-0.186919 # DEPENDENCYPART_ARC
(20,14),1.19183 # DEPENDENCYPART_ARC
(20,15),-1.67335 # DEPENDENCYPART_ARC
(20,16),1.28387 # DEPENDENCYPART_ARC
(20,17),1.32981 # DEPENDENCYPART_ARC
(20,18),0.890994 # DEPENDENCYPART_ARC
(20,19),2.9684 # DEPENDENCYPART_ARC
(20,21),-0.448329 # DEPENDENCYPART_ARC
(20,22),-0.81014 # DEPENDENCYPART_ARC
(20,23),-1.10754 # DEPENDENCYPART_ARC
(20,24),-1.58134 # DEPENDENCYPART_ARC
(21,1),0.6023 # DEPENDENCYPART_ARC
(21,4),-4.31897 # DEPENDENCYPART_ARC
(21,5),0.0775359 # DEPENDENCYPART_ARC
(21,14),0.603409 # DEPENDENCYPART_ARC
(21,15),-1.48323 # DEPENDENCYPART_ARC
(21,16),1.48392 # DEPENDENCYPART_ARC
(21,17),0.398011 # DEPENDENCYPART_ARC
(21,18),-0.566916 # DEPENDENCYPART_ARC
(21,19),0.66716 # DEPENDENCYPART_ARC
(21,20),0.760022 # DEPENDENCYPART_ARC
(21,22),-0.254023 # DEPENDENCYPART_ARC
(21,23),-0.380226 # DEPENDENCYPART_ARC
(21,24),-0.454432 # DEPENDENCYPART_ARC
(21,25),-0.775886 # DEPENDENCYPART_ARC
(22,4),-4.81277 # DEPENDENCYPART_ARC
(22,5),-0.856435 # DEPENDENCYPART_ARC
(22,8),-0.782474 # DEPENDENCYPART_ARC
(22,15),-2.54993 # DEPENDENCYPART_ARC
(22,16),0.0287463 # DEPENDENCYPART_ARC
(22,17),-0.978313 # DEPENDENCYPART_ARC
(22,18),-1.92291 # DEPENDENCYPART_ARC
(22,19),-0.807686 # DEPENDENCYPART_ARC
(22,20),-0.820046 # DEPENDENCYPART_ARC
(22,21),0.604 # DEPENDENCYPART_ARC
(22,23),-0.896008 # DEPENDENCYPART_ARC
(22,24),-1.54997 # DEPENDENCYPART_ARC
(22,25),-1.60528 # DEPENDENCYPART_ARC
(23,17),0.19996 # DEPENDENCYPART_ARC
(23,19),0.638767 # DEPENDENCYPART_ARC
(23,20),0.412556 # DEPENDENCYPART_ARC
(23,21),1.44428 # DEPENDENCYPART_ARC
(23,22),1.74792 # DEPENDENCYPART_ARC
(24,2),0.494586 # DEPENDENCYPART_ARC
(24,3),-0.457933 # DEPENDENCYPART_ARC
(24,5),0.213409 # DEPENDENCYPART_ARC
(24,6),-1.30202 # DEPENDENCYPART_ARC
(24,9),0.148184 # DEPENDENCYPART_ARC
(24,10),-1.71666 # DEPENDENCYPART_ARC
(24,11),0.226955 # DEPENDENCYPART_ARC
(24,12),-1.22017 # DEPENDENCYPART_ARC
(24,13),0.195661 # DEPENDENCYPART_ARC
(24,14),-0.351568 # DEPENDENCYPART_ARC
(24,15),-3.8163 # DEPENDENCYPART_ARC
(24,16),-0.0536137 # DEPENDENCYPART_ARC
(24,17),0.254563 # DEPENDENCYPART_ARC
(24,18),-2.45237 # DEPENDENCYPART_ARC
(24,19),0.710117 # DEPENDENCYPART_ARC
(24,20),1.26036 # DEPENDENCYPART_ARC
(24,21),-0.895927 # DEPENDENCYPART_ARC
(24,22),0.428096 # DEPENDENCYPART_ARC
(24,23),2.29292 # DEPENDENCYPART_ARC
(24,25),-0.592861 # DEPENDENCYPART_ARC
(25,1),-1.06438 # DEPENDENCYPART_ARC
(25,2),-1.14491 # DEPENDENCYPART_ARC
(25,4),-5.88199 # DEPENDENCYPART_ARC
(25,5),-1.67989 # DEPENDENCYPART_ARC
(25,9),-0.782903 # DEPENDENCYPART_ARC
(25,10),-1.21267 # DEPENDENCYPART_ARC
(25,15),-3.34214 # DEPENDENCYPART_ARC
(25,16),0.118243 # DEPENDENCYPART_ARC
(25,17),-0.696889 # DEPENDENCYPART_ARC
(25,18),-2.65158 # DEPENDENCYPART_ARC
(25,19),-0.497136 # DEPENDENCYPART_ARC
(25,20),-0.444517 # DEPENDENCYPART_ARC
(25,21),-0.150435 # DEPENDENCYPART_ARC
(25,22),-0.00427778 # DEPENDENCYPART_ARC
(25,23),-0.601154 # DEPENDENCYPART_ARC
(25,24),1.34746 # DEPENDENCYPART_ARC
