# _root_ Bilim , _ Aydınlanma mücadelesinde , _ insanlığın _ elindeki en _ önemli kazanımlardan _ _ biridir .
#goldHeads=17,0,4,5,17,0,8,10,10,14,13,13,14,17,16,17,18,0,
#predictedHeads=17,0,4,5,17,0,8,9,10,14,13,13,14,17,16,17,18,0,
(12,14),-1.44059 # DEPENDENCYPART_ARC
(12,15),-0.76737 # DEPENDENCYPART_ARC
(12,16),-1.40908 # DEPENDENCYPART_ARC
(13,3),-2.4355 # DEPENDENCYPART_ARC
(13,4),-0.262223 # DEPENDENCYPART_ARC
(13,5),-1.43025 # DEPENDENCYPART_ARC
(13,6),0.167814 # DEPENDENCYPART_ARC
(13,7),0.016812 # DEPENDENCYPART_ARC
(13,8),0.490822 # DEPENDENCYPART_ARC
(13,9),0.153992 # DEPENDENCYPART_ARC
(13,10),0.260683 # DEPENDENCYPART_ARC
(13,11),1.84774 # DEPENDENCYPART_ARC
(13,12),3.23894 # DEPENDENCYPART_ARC
(13,14),-0.365313 # DEPENDENCYPART_ARC
(14,1),-0.904868 # DEPENDENCYPART_ARC
(14,2),-0.386404 # DEPENDENCYPART_ARC
(14,4),-0.961613 # DEPENDENCYPART_ARC
(14,5),-2.0608 # DEPENDENCYPART_ARC
(14,6),0.0358928 # DEPENDENCYPART_ARC
(14,7),-2.87957 # DEPENDENCYPART_ARC
(14,8),-0.366862 # DEPENDENCYPART_ARC
(14,9),-2.58054 # DEPENDENCYPART_ARC
(14,10),1.1035 # DEPENDENCYPART_ARC
(14,11),0.5543 # DEPENDENCYPART_ARC
(14,12),0.399562 # DEPENDENCYPART_ARC
(14,13),2.8362 # DEPENDENCYPART_ARC
(14,15),-0.437084 # DEPENDENCYPART_ARC
(14,16),-1.12075 # DEPENDENCYPART_ARC
(15,7),-3.06314 # DEPENDENCYPART_ARC
(15,8),-0.380029 # DEPENDENCYPART_ARC
(15,9),-1.37297 # DEPENDENCYPART_ARC
(15,11),-0.151567 # DEPENDENCYPART_ARC
(15,12),0.117629 # DEPENDENCYPART_ARC
(15,13),-0.0155156 # DEPENDENCYPART_ARC
(15,14),0.967529 # DEPENDENCYPART_ARC
(16,1),-0.00519685 # DEPENDENCYPART_ARC
(16,4),0.37732 # DEPENDENCYPART_ARC
(16,5),-0.795731 # DEPENDENCYPART_ARC
(16,6),0.267532 # DEPENDENCYPART_ARC
(16,7),-4.49392 # DEPENDENCYPART_ARC
(16,8),1.83482 # DEPENDENCYPART_ARC
(16,9),-3.96036 # DEPENDENCYPART_ARC
(16,10),0.764323 # DEPENDENCYPART_ARC
(16,11),0.223509 # DEPENDENCYPART_ARC
(16,12),-0.803852 # DEPENDENCYPART_ARC
(16,13),0.895598 # DEPENDENCYPART_ARC
(16,14),1.44072 # DEPENDENCYPART_ARC
(16,15),2.32565 # DEPENDENCYPART_ARC
(17,1),1.2644 # DEPENDENCYPART_ARC
(17,2),-0.530236 # DEPENDENCYPART_ARC
(17,3),-7.57031 # DEPENDENCYPART_ARC
(17,4),0.242806 # DEPENDENCYPART_ARC
(17,5),1.0359 # DEPENDENCYPART_ARC
(17,6),0.0851207 # DEPENDENCYPART_ARC
(17,7),-4.17754 # DEPENDENCYPART_ARC
(17,8),0.767812 # DEPENDENCYPART_ARC
(17,9),-2.16575 # DEPENDENCYPART_ARC
(17,11),-0.413 # DEPENDENCYPART_ARC
(17,12),-0.985068 # DEPENDENCYPART_ARC
(17,13),0.885172 # DEPENDENCYPART_ARC
(17,14),2.25511 # DEPENDENCYPART_ARC
(17,15),0.0766516 # DEPENDENCYPART_ARC
(17,16),3.37193 # DEPENDENCYPART_ARC
(18,1),-0.0571077 # DEPENDENCYPART_ARC
(18,2),-0.57914 # DEPENDENCYPART_ARC
(18,3),-5.73593 # DEPENDENCYPART_ARC
(18,5),-0.152207 # DEPENDENCYPART_ARC
(18,6),-0.2829 # DEPENDENCYPART_ARC
(18,8),0.105966 # DEPENDENCYPART_ARC
(18,9),-2.95238 # DEPENDENCYPART_ARC
(18,10),0.194247 # DEPENDENCYPART_ARC
(18,11),-0.399424 # DEPENDENCYPART_ARC
(18,12),-2.11086 # DEPENDENCYPART_ARC
(18,13),0.157436 # DEPENDENCYPART_ARC
(18,14),0.15911 # DEPENDENCYPART_ARC
(18,15),-1.09711 # DEPENDENCYPART_ARC
(18,16),-0.819662 # DEPENDENCYPART_ARC
(18,17),1.47803 # DEPENDENCYPART_ARC
