# _root_ Ben bir hizmet _ insanıyım , söylerim , _ söylediğimin arkasından giderim ve bana neye mal olursa_olsun ben bununla iftihar ederim .
#goldHeads=4,3,4,5,6,22,8,22,10,11,12,13,21,15,17,17,21,19,20,21,22,0,
#predictedHeads=5,3,4,5,6,7,8,21,10,11,12,13,21,17,17,17,21,21,20,21,22,0,
(9,20),-1.94225 # DEPENDENCYPART_ARC
(9,21),-1.46818 # DEPENDENCYPART_ARC
(10,1),-0.134214 # DEPENDENCYPART_ARC
(10,3),-0.33382 # DEPENDENCYPART_ARC
(10,4),-2.14348 # DEPENDENCYPART_ARC
(10,5),-1.05233 # DEPENDENCYPART_ARC
(10,6),-0.586319 # DEPENDENCYPART_ARC
(10,8),-0.0405251 # DEPENDENCYPART_ARC
(10,9),1.84781 # DEPENDENCYPART_ARC
(11,1),-0.833897 # DEPENDENCYPART_ARC
(11,2),-0.0111305 # DEPENDENCYPART_ARC
(11,3),0.170472 # DEPENDENCYPART_ARC
(11,4),-2.39919 # DEPENDENCYPART_ARC
(11,5),-1.45334 # DEPENDENCYPART_ARC
(11,6),-0.405334 # DEPENDENCYPART_ARC
(11,7),-0.665582 # DEPENDENCYPART_ARC
(11,8),0.133938 # DEPENDENCYPART_ARC
(11,9),0.205283 # DEPENDENCYPART_ARC
(11,10),3.10554 # DEPENDENCYPART_ARC
(11,13),-0.438486 # DEPENDENCYPART_ARC
(11,14),-2.13794 # DEPENDENCYPART_ARC
(11,17),-1.64926 # DEPENDENCYPART_ARC
(11,21),-1.29597 # DEPENDENCYPART_ARC
(12,1),1.21983 # DEPENDENCYPART_ARC
(12,2),-0.581347 # DEPENDENCYPART_ARC
(12,3),-0.0876793 # DEPENDENCYPART_ARC
(12,4),-3.82032 # DEPENDENCYPART_ARC
(12,5),-0.425361 # DEPENDENCYPART_ARC
(12,6),0.357984 # DEPENDENCYPART_ARC
(12,7),-0.124259 # DEPENDENCYPART_ARC
(12,8),1.15241 # DEPENDENCYPART_ARC
(12,9),-0.955501 # DEPENDENCYPART_ARC
(12,10),0.604875 # DEPENDENCYPART_ARC
(12,11),2.84035 # DEPENDENCYPART_ARC
(12,13),-0.144545 # DEPENDENCYPART_ARC
(12,14),0.0475727 # DEPENDENCYPART_ARC
(12,15),-0.324703 # DEPENDENCYPART_ARC
(12,16),-1.57265 # DEPENDENCYPART_ARC
(12,17),-2.00333 # DEPENDENCYPART_ARC
(12,20),-2.13142 # DEPENDENCYPART_ARC
(12,21),-2.02411 # DEPENDENCYPART_ARC
(13,7),0.0105893 # DEPENDENCYPART_ARC
(13,9),-0.278507 # DEPENDENCYPART_ARC
(13,11),1.35509 # DEPENDENCYPART_ARC
(13,12),2.53674 # DEPENDENCYPART_ARC
(14,11),-0.768556 # DEPENDENCYPART_ARC
(14,13),0.0604319 # DEPENDENCYPART_ARC
(15,14),-0.655816 # DEPENDENCYPART_ARC
(15,16),0.0723725 # DEPENDENCYPART_ARC
(16,2),-1.05332 # DEPENDENCYPART_ARC
(16,8),-0.340283 # DEPENDENCYPART_ARC
(16,9),-1.11163 # DEPENDENCYPART_ARC
(16,10),-1.24006 # DEPENDENCYPART_ARC
(16,11),-1.00782 # DEPENDENCYPART_ARC
(16,12),-0.737721 # DEPENDENCYPART_ARC
(16,13),-0.0968515 # DEPENDENCYPART_ARC
(16,14),-0.492282 # DEPENDENCYPART_ARC
(16,15),0.725968 # DEPENDENCYPART_ARC
(16,17),-0.489774 # DEPENDENCYPART_ARC
(16,18),0.546895 # DEPENDENCYPART_ARC
(16,20),-0.547184 # DEPENDENCYPART_ARC
(16,21),-1.07822 # DEPENDENCYPART_ARC
(17,1),0.214699 # DEPENDENCYPART_ARC
(17,3),-0.295998 # DEPENDENCYPART_ARC
(17,4),-5.66235 # DEPENDENCYPART_ARC
(17,5),-1.45994 # DEPENDENCYPART_ARC
(17,6),-0.0474078 # DEPENDENCYPART_ARC
(17,7),-1.43835 # DEPENDENCYPART_ARC
(17,8),0.905266 # DEPENDENCYPART_ARC
(17,9),-3.74287 # DEPENDENCYPART_ARC
(17,10),0.0101276 # DEPENDENCYPART_ARC
(17,11),1.23146 # DEPENDENCYPART_ARC
(17,12),-0.140034 # DEPENDENCYPART_ARC
(17,13),0.943855 # DEPENDENCYPART_ARC
(17,14),1.80774 # DEPENDENCYPART_ARC
(17,15),1.81675 # DEPENDENCYPART_ARC
(17,16),3.02164 # DEPENDENCYPART_ARC
(17,18),0.884267 # DEPENDENCYPART_ARC
(17,19),-0.267648 # DEPENDENCYPART_ARC
(17,20),-0.0042178 # DEPENDENCYPART_ARC
(17,21),-1.27841 # DEPENDENCYPART_ARC
(17,22),-1.25039 # DEPENDENCYPART_ARC
(18,16),-0.847291 # DEPENDENCYPART_ARC
(19,16),-1.34758 # DEPENDENCYPART_ARC
(19,18),-0.542316 # DEPENDENCYPART_ARC
(19,20),0.0718481 # DEPENDENCYPART_ARC
(20,10),-1.6957 # DEPENDENCYPART_ARC
(20,11),-1.48842 # DEPENDENCYPART_ARC
(20,13),-0.382059 # DEPENDENCYPART_ARC
(20,14),-1.43221 # DEPENDENCYPART_ARC
(20,16),-0.158878 # DEPENDENCYPART_ARC
(20,17),-0.424148 # DEPENDENCYPART_ARC
(20,18),0.147327 # DEPENDENCYPART_ARC
(20,19),0.871432 # DEPENDENCYPART_ARC
(21,1),0.842104 # DEPENDENCYPART_ARC
(21,3),-1.1204 # DEPENDENCYPART_ARC
(21,4),-8.49585 # DEPENDENCYPART_ARC
(21,5),-1.06326 # DEPENDENCYPART_ARC
(21,6),0.533678 # DEPENDENCYPART_ARC
(21,7),-0.718973 # DEPENDENCYPART_ARC
(21,8),1.29231 # DEPENDENCYPART_ARC
(21,9),-5.07107 # DEPENDENCYPART_ARC
(21,10),-0.970823 # DEPENDENCYPART_ARC
(21,11),-0.00453087 # DEPENDENCYPART_ARC
(21,12),0.319701 # DEPENDENCYPART_ARC
(21,13),2.00836 # DEPENDENCYPART_ARC
(21,14),1.71528 # DEPENDENCYPART_ARC
(21,15),0.387494 # DEPENDENCYPART_ARC
(21,16),0.637824 # DEPENDENCYPART_ARC
(21,17),0.0436904 # DEPENDENCYPART_ARC
(21,18),2.55405 # DEPENDENCYPART_ARC
(21,19),0.48768 # DEPENDENCYPART_ARC
(21,20),2.802 # DEPENDENCYPART_ARC
(21,22),-0.866192 # DEPENDENCYPART_ARC
(22,2),-0.707672 # DEPENDENCYPART_ARC
(22,5),-1.38968 # DEPENDENCYPART_ARC
(22,6),-0.478808 # DEPENDENCYPART_ARC
(22,7),-0.375353 # DEPENDENCYPART_ARC
(22,8),0.0550561 # DEPENDENCYPART_ARC
(22,9),-3.65509 # DEPENDENCYPART_ARC
(22,11),-0.0882148 # DEPENDENCYPART_ARC
(22,12),-0.578001 # DEPENDENCYPART_ARC
(22,13),-0.500426 # DEPENDENCYPART_ARC
(22,14),-0.0814224 # DEPENDENCYPART_ARC
(22,16),-0.359815 # DEPENDENCYPART_ARC
(22,17),-0.032503 # DEPENDENCYPART_ARC
(22,18),-0.543288 # DEPENDENCYPART_ARC
(22,20),-0.133381 # DEPENDENCYPART_ARC
(22,21),1.15475 # DEPENDENCYPART_ARC
