# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,11,0,11,9,12,13,14,15,19,17,18,15,0,
(11,9),2.24159 # DEPENDENCYPART_ARC
(11,10),0.405211 # DEPENDENCYPART_ARC
(11,12),-0.354546 # DEPENDENCYPART_ARC
(11,13),-0.147579 # DEPENDENCYPART_ARC
(11,14),-0.809939 # DEPENDENCYPART_ARC
(11,15),-0.480303 # DEPENDENCYPART_ARC
(11,16),-1.04143 # DEPENDENCYPART_ARC
(11,17),-1.41493 # DEPENDENCYPART_ARC
(11,18),0.203362 # DEPENDENCYPART_ARC
(11,19),-1.61455 # DEPENDENCYPART_ARC
(12,2),-1.03138 # DEPENDENCYPART_ARC
(12,6),-0.765948 # DEPENDENCYPART_ARC
(12,8),0.0121184 # DEPENDENCYPART_ARC
(12,9),0.660715 # DEPENDENCYPART_ARC
(12,11),1.36211 # DEPENDENCYPART_ARC
(12,13),-0.261677 # DEPENDENCYPART_ARC
(12,14),-0.944877 # DEPENDENCYPART_ARC
(12,15),-0.611793 # DEPENDENCYPART_ARC
(12,17),-0.954842 # DEPENDENCYPART_ARC
(13,7),-0.144422 # DEPENDENCYPART_ARC
(13,8),-0.372228 # DEPENDENCYPART_ARC
(13,9),-0.227082 # DEPENDENCYPART_ARC
(13,11),0.0171033 # DEPENDENCYPART_ARC
(13,12),2.36562 # DEPENDENCYPART_ARC
(13,16),0.00790488 # DEPENDENCYPART_ARC
(14,1),-0.327992 # DEPENDENCYPART_ARC
(14,3),-1.08951 # DEPENDENCYPART_ARC
(14,5),-0.23825 # DEPENDENCYPART_ARC
(14,7),-0.849237 # DEPENDENCYPART_ARC
(14,9),-0.376723 # DEPENDENCYPART_ARC
(14,10),-1.65605 # DEPENDENCYPART_ARC
(14,11),-0.782233 # DEPENDENCYPART_ARC
(14,12),0.601611 # DEPENDENCYPART_ARC
(14,13),1.0365 # DEPENDENCYPART_ARC
(14,15),0.518853 # DEPENDENCYPART_ARC
(14,16),0.776184 # DEPENDENCYPART_ARC
(14,17),-0.129558 # DEPENDENCYPART_ARC
(14,18),0.625687 # DEPENDENCYPART_ARC
(15,1),-0.587406 # DEPENDENCYPART_ARC
(15,2),-1.02942 # DEPENDENCYPART_ARC
(15,3),-1.33792 # DEPENDENCYPART_ARC
(15,4),-0.725692 # DEPENDENCYPART_ARC
(15,5),0.382843 # DEPENDENCYPART_ARC
(15,6),-0.916414 # DEPENDENCYPART_ARC
(15,7),-0.968888 # DEPENDENCYPART_ARC
(15,8),-0.551325 # DEPENDENCYPART_ARC
(15,9),-0.220741 # DEPENDENCYPART_ARC
(15,10),-1.83228 # DEPENDENCYPART_ARC
(15,11),-0.551126 # DEPENDENCYPART_ARC
(15,12),0.566409 # DEPENDENCYPART_ARC
(15,13),0.765787 # DEPENDENCYPART_ARC
(15,14),1.8051 # DEPENDENCYPART_ARC
(15,16),0.815801 # DEPENDENCYPART_ARC
(15,17),-1.38527 # DEPENDENCYPART_ARC
(15,18),1.49577 # DEPENDENCYPART_ARC
(16,6),-0.978881 # DEPENDENCYPART_ARC
(16,11),-1.19946 # DEPENDENCYPART_ARC
(16,12),-0.650119 # DEPENDENCYPART_ARC
(16,13),-0.242808 # DEPENDENCYPART_ARC
(16,14),-0.138339 # DEPENDENCYPART_ARC
(16,15),-0.119864 # DEPENDENCYPART_ARC
(16,17),-0.388109 # DEPENDENCYPART_ARC
(16,18),-0.0713478 # DEPENDENCYPART_ARC
(17,1),0.132245 # DEPENDENCYPART_ARC
(17,3),-0.688745 # DEPENDENCYPART_ARC
(17,5),0.762446 # DEPENDENCYPART_ARC
(17,7),-0.400419 # DEPENDENCYPART_ARC
(17,9),0.118597 # DEPENDENCYPART_ARC
(17,10),-1.49271 # DEPENDENCYPART_ARC
(17,11),-1.33007 # DEPENDENCYPART_ARC
(17,12),0.660984 # DEPENDENCYPART_ARC
(17,13),0.340732 # DEPENDENCYPART_ARC
(17,14),-1.44077 # DEPENDENCYPART_ARC
(17,15),0.39415 # DEPENDENCYPART_ARC
(17,16),3.00432 # DEPENDENCYPART_ARC
(17,18),0.553785 # DEPENDENCYPART_ARC
(17,19),-1.38593 # DEPENDENCYPART_ARC
(18,3),-0.17772 # DEPENDENCYPART_ARC
(18,5),-0.093369 # DEPENDENCYPART_ARC
(18,7),0.0867327 # DEPENDENCYPART_ARC
(18,9),0.193794 # DEPENDENCYPART_ARC
(18,12),0.173245 # DEPENDENCYPART_ARC
(18,13),0.480077 # DEPENDENCYPART_ARC
(18,16),1.65451 # DEPENDENCYPART_ARC
(18,17),2.78264 # DEPENDENCYPART_ARC
(19,1),-0.448524 # DEPENDENCYPART_ARC
(19,2),-0.710077 # DEPENDENCYPART_ARC
(19,6),-0.728582 # DEPENDENCYPART_ARC
(19,8),-0.191573 # DEPENDENCYPART_ARC
(19,11),0.383229 # DEPENDENCYPART_ARC
(19,12),-0.533297 # DEPENDENCYPART_ARC
(19,13),-0.529986 # DEPENDENCYPART_ARC
(19,14),-1.71785 # DEPENDENCYPART_ARC
(19,15),1.02469 # DEPENDENCYPART_ARC
(19,16),-0.0397825 # DEPENDENCYPART_ARC
(19,17),-0.127817 # DEPENDENCYPART_ARC
(19,18),-0.0390962 # DEPENDENCYPART_ARC
