# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,7,7,
(13,3),-1.61742 # DEPENDENCYPART_ARC
(13,4),-1.34574 # DEPENDENCYPART_ARC
(13,5),-1.69575 # DEPENDENCYPART_ARC
(13,6),-4.87214 # DEPENDENCYPART_ARC
(13,7),-3.53882 # DEPENDENCYPART_ARC
(13,8),-1.40866 # DEPENDENCYPART_ARC
(13,9),-0.0871808 # DEPENDENCYPART_ARC
(13,10),-0.681243 # DEPENDENCYPART_ARC
(13,11),0.116509 # DEPENDENCYPART_ARC
(13,12),2.8976 # DEPENDENCYPART_ARC
(13,16),-1.91909 # DEPENDENCYPART_ARC
(13,17),-1.41631 # DEPENDENCYPART_ARC
(13,18),-1.21704 # DEPENDENCYPART_ARC
(13,19),-1.28881 # DEPENDENCYPART_ARC
(13,20),-1.38541 # DEPENDENCYPART_ARC
(13,21),-1.44144 # DEPENDENCYPART_ARC
(14,9),-1.56352 # DEPENDENCYPART_ARC
(14,12),-1.13532 # DEPENDENCYPART_ARC
(14,13),-1.16026 # DEPENDENCYPART_ARC
(15,9),-1.64226 # DEPENDENCYPART_ARC
(15,10),-1.48383 # DEPENDENCYPART_ARC
(15,12),-1.08547 # DEPENDENCYPART_ARC
(15,13),-1.00004 # DEPENDENCYPART_ARC
(15,17),-1.06558 # DEPENDENCYPART_ARC
(15,18),-0.877176 # DEPENDENCYPART_ARC
(15,19),-0.945203 # DEPENDENCYPART_ARC
(15,20),-1.05322 # DEPENDENCYPART_ARC
(15,21),-1.37518 # DEPENDENCYPART_ARC
(16,1),-1.19928 # DEPENDENCYPART_ARC
(16,3),-2.35174 # DEPENDENCYPART_ARC
(16,4),-1.9333 # DEPENDENCYPART_ARC
(16,5),-1.37918 # DEPENDENCYPART_ARC
(16,6),-0.969129 # DEPENDENCYPART_ARC
(16,7),-0.438123 # DEPENDENCYPART_ARC
(16,8),-2.00879 # DEPENDENCYPART_ARC
(16,9),-1.20004 # DEPENDENCYPART_ARC
(16,10),-0.261783 # DEPENDENCYPART_ARC
(16,11),-1.76932 # DEPENDENCYPART_ARC
(16,12),-0.328456 # DEPENDENCYPART_ARC
(16,13),-0.395787 # DEPENDENCYPART_ARC
(16,14),0.0817169 # DEPENDENCYPART_ARC
(16,15),2.02337 # DEPENDENCYPART_ARC
(16,17),3.33602 # DEPENDENCYPART_ARC
(16,18),0.524489 # DEPENDENCYPART_ARC
(16,19),0.031056 # DEPENDENCYPART_ARC
(16,20),-0.0344496 # DEPENDENCYPART_ARC
(16,21),-0.475864 # DEPENDENCYPART_ARC
(17,1),-0.673749 # DEPENDENCYPART_ARC
(17,2),-1.69235 # DEPENDENCYPART_ARC
(17,3),-1.33715 # DEPENDENCYPART_ARC
(17,4),-1.83537 # DEPENDENCYPART_ARC
(17,5),-0.548932 # DEPENDENCYPART_ARC
(17,6),0.224632 # DEPENDENCYPART_ARC
(17,7),-1.94051 # DEPENDENCYPART_ARC
(17,8),-0.740024 # DEPENDENCYPART_ARC
(17,9),-1.33268 # DEPENDENCYPART_ARC
(17,10),-0.270157 # DEPENDENCYPART_ARC
(17,11),-1.40778 # DEPENDENCYPART_ARC
(17,12),-0.598957 # DEPENDENCYPART_ARC
(17,13),1.59979 # DEPENDENCYPART_ARC
(17,14),0.5393 # DEPENDENCYPART_ARC
(17,15),0.81539 # DEPENDENCYPART_ARC
(17,16),0.0494 # DEPENDENCYPART_ARC
(17,18),-0.0868645 # DEPENDENCYPART_ARC
(17,19),-0.50184 # DEPENDENCYPART_ARC
(17,20),-0.751604 # DEPENDENCYPART_ARC
(17,21),-0.926991 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0309582 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.035385 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.00944174 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0354632 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.111631 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0365927 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0369204 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0684234 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.113421 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.111631 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0391898 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00261243 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0415592 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0816669 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0415592 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0391266 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0397062 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0816669 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0816669 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0273583 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0327791 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.106983 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0328336 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0682072 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0666123 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0997959 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.106983 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00472023 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.106027 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.00558282 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.00939855 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.00309521 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.105825 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.106027 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0889815 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0638702 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0273991 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0397607 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0889982 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0889815 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.13306 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.110632 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.108008 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.247598 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.245466 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0359338 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0398115 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.088742 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0887252 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0663293 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.10096 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.108147 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.114014 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.112223 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.24888 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.062303 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0555802 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00857645 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0882105 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0077378 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0077378 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0627504 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.121853 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00120224 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0435861 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0271462 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0435875 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0435875 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.00139349 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0513266 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0235057 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.108072 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0241135 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0241135 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0228179 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.106389 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0810039 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.00716804 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00716804 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0616475 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.119136 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.059047 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.059047 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.32962 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.107072 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0107508 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0622882 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.121191 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0622882 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.12119 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.112084 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.00185367 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00232495 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0248572 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0344189 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0151868 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0144038 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0720192 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0461423 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0407161 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.0880045 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0570831 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0230404 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.0179903 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0257034 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.101382 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0898698 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.404682 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.159847 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0253412 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0651381 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0428728 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0446749 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0237475 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0300555 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0150771 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.125355 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0126555 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00255544 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00642078 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00685586 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0161356 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.082646 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0353204 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00834646 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.010993 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00521006 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00477496 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0279816 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0532798 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0333374 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.114938 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0747977 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0747616 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.116364 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.112665 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.126514 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.055206 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0553914 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0929186 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0796033 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0870051 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0474963 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.153674 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.123842 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.12618 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.167787 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.133264 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.135086 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0212123 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0246653 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0154939 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00729111 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0576837 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0148983 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.000119751 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0148955 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00662468 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0493968 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00662215 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.00662215 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00011981 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.000119751 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0493968 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0552399 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0365493 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0812729 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.000444389 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0118219 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00438971 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0118266 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00199632 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0436738 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00199632 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00199661 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00438985 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00438971 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0436738 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0223056 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0255796 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.066113 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0070228 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0107882 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00261189 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0198528 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0518747 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0191248 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0146635 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0157775 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0107882 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0518747 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0660345 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0443093 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.102864 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.055577 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00770819 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0809972 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0712609 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0797944 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0797943 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0555602 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.055577 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0712609 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0541394 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0585422 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0609489 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0208835 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0646929 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.122092 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0652993 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0652993 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.034955 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0370871 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.122092 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0904487 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0857757 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.101049 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0724599 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0665679 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0712571 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.071257 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0558133 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0558301 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0665679 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0517203 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.056123 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.060568 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.153809 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0996191 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0996191 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0992581 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0920706 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.153809 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0872708 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.105754 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.111548 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.125385 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.125385 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.304648 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.295496 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0138813 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0295543 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.00299689 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0491309 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.103192 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0998878 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0927003 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.1504 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0856931 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.104176 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.113594 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0998878 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0927003 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.1504 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.0856931 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.104176 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.113593 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0336806 # DEPENDENCYPART_SIBL
