# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,11,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(9,21),-2.0373 # DEPENDENCYPART_ARC
(9,22),-1.7067 # DEPENDENCYPART_ARC
(10,1),-1.39193 # DEPENDENCYPART_ARC
(10,2),-1.31115 # DEPENDENCYPART_ARC
(10,3),-2.31613 # DEPENDENCYPART_ARC
(10,4),-1.12475 # DEPENDENCYPART_ARC
(10,6),-1.72525 # DEPENDENCYPART_ARC
(10,7),-0.795353 # DEPENDENCYPART_ARC
(10,8),1.09133 # DEPENDENCYPART_ARC
(10,9),2.17838 # DEPENDENCYPART_ARC
(10,12),-1.06513 # DEPENDENCYPART_ARC
(10,15),-1.9273 # DEPENDENCYPART_ARC
(10,19),-2.18405 # DEPENDENCYPART_ARC
(10,21),-2.22813 # DEPENDENCYPART_ARC
(10,22),-1.93088 # DEPENDENCYPART_ARC
(11,1),0.467882 # DEPENDENCYPART_ARC
(11,2),-1.54131 # DEPENDENCYPART_ARC
(11,3),-0.599841 # DEPENDENCYPART_ARC
(11,4),0.070567 # DEPENDENCYPART_ARC
(11,6),-0.449915 # DEPENDENCYPART_ARC
(11,7),0.227718 # DEPENDENCYPART_ARC
(11,8),-0.645038 # DEPENDENCYPART_ARC
(11,9),-0.371212 # DEPENDENCYPART_ARC
(11,10),2.34897 # DEPENDENCYPART_ARC
(11,12),0.755355 # DEPENDENCYPART_ARC
(11,13),-1.088 # DEPENDENCYPART_ARC
(11,14),-1.80127 # DEPENDENCYPART_ARC
(11,15),0.0345687 # DEPENDENCYPART_ARC
(11,16),-0.553595 # DEPENDENCYPART_ARC
(11,17),-2.18918 # DEPENDENCYPART_ARC
(11,18),-1.59976 # DEPENDENCYPART_ARC
(11,19),-0.996902 # DEPENDENCYPART_ARC
(11,20),-0.562839 # DEPENDENCYPART_ARC
(11,21),-0.445349 # DEPENDENCYPART_ARC
(11,22),-0.902256 # DEPENDENCYPART_ARC
(13,15),-1.35202 # DEPENDENCYPART_ARC
(13,16),-0.890434 # DEPENDENCYPART_ARC
(13,18),-1.2362 # DEPENDENCYPART_ARC
(13,19),-1.28583 # DEPENDENCYPART_ARC
(14,19),-1.91742 # DEPENDENCYPART_ARC
(15,4),-2.43757 # DEPENDENCYPART_ARC
(15,8),-1.71293 # DEPENDENCYPART_ARC
(15,11),-2.80994 # DEPENDENCYPART_ARC
(15,12),-1.42001 # DEPENDENCYPART_ARC
(15,13),0.0102891 # DEPENDENCYPART_ARC
(15,14),1.80185 # DEPENDENCYPART_ARC
(15,19),-2.41195 # DEPENDENCYPART_ARC
(16,1),-2.04282 # DEPENDENCYPART_ARC
(16,3),-2.40353 # DEPENDENCYPART_ARC
(16,4),-2.16853 # DEPENDENCYPART_ARC
(16,6),-2.32244 # DEPENDENCYPART_ARC
(16,7),-1.47168 # DEPENDENCYPART_ARC
(16,10),-2.22551 # DEPENDENCYPART_ARC
(16,11),-0.578429 # DEPENDENCYPART_ARC
(16,12),-1.09532 # DEPENDENCYPART_ARC
(16,13),-1.33631 # DEPENDENCYPART_ARC
(16,14),-1.41915 # DEPENDENCYPART_ARC
(16,15),-0.621848 # DEPENDENCYPART_ARC
(16,17),-1.11125 # DEPENDENCYPART_ARC
(16,18),-1.09259 # DEPENDENCYPART_ARC
(16,19),-1.07691 # DEPENDENCYPART_ARC
(16,20),-1.18527 # DEPENDENCYPART_ARC
(16,21),-0.958743 # DEPENDENCYPART_ARC
(16,22),-1.30406 # DEPENDENCYPART_ARC
(17,16),-0.803714 # DEPENDENCYPART_ARC
(17,18),-0.598797 # DEPENDENCYPART_ARC
(18,13),-2.54034 # DEPENDENCYPART_ARC
(18,14),-2.04564 # DEPENDENCYPART_ARC
(18,15),-1.26271 # DEPENDENCYPART_ARC
(18,16),-1.0707 # DEPENDENCYPART_ARC
(18,17),-0.592968 # DEPENDENCYPART_ARC
(19,8),-1.52127 # DEPENDENCYPART_ARC
(19,9),-1.81499 # DEPENDENCYPART_ARC
(19,11),-2.16012 # DEPENDENCYPART_ARC
(19,12),-1.39046 # DEPENDENCYPART_ARC
(19,13),-1.67928 # DEPENDENCYPART_ARC
(19,14),-0.703011 # DEPENDENCYPART_ARC
(19,15),-2.54407 # DEPENDENCYPART_ARC
(19,16),-0.510759 # DEPENDENCYPART_ARC
(19,17),1.42597 # DEPENDENCYPART_ARC
(19,18),2.466 # DEPENDENCYPART_ARC
(19,20),-1.46844 # DEPENDENCYPART_ARC
(20,1),-1.58121 # DEPENDENCYPART_ARC
(20,3),-2.35822 # DEPENDENCYPART_ARC
(20,4),-1.97045 # DEPENDENCYPART_ARC
(20,7),-1.83844 # DEPENDENCYPART_ARC
(20,11),-1.18639 # DEPENDENCYPART_ARC
(20,12),-1.71449 # DEPENDENCYPART_ARC
(20,15),-1.80646 # DEPENDENCYPART_ARC
(20,16),-0.781712 # DEPENDENCYPART_ARC
(20,17),-1.59963 # DEPENDENCYPART_ARC
(20,18),-0.996779 # DEPENDENCYPART_ARC
(20,19),-0.83991 # DEPENDENCYPART_ARC
(20,21),-0.324352 # DEPENDENCYPART_ARC
(20,22),-1.59373 # DEPENDENCYPART_ARC
(21,1),-0.632236 # DEPENDENCYPART_ARC
(21,2),-1.6614 # DEPENDENCYPART_ARC
(21,3),-1.77746 # DEPENDENCYPART_ARC
(21,4),-1.00055 # DEPENDENCYPART_ARC
(21,6),-1.94937 # DEPENDENCYPART_ARC
(21,7),-0.664038 # DEPENDENCYPART_ARC
(21,9),-2.2446 # DEPENDENCYPART_ARC
(21,10),-0.778963 # DEPENDENCYPART_ARC
(21,11),-0.893192 # DEPENDENCYPART_ARC
(21,12),-0.674422 # DEPENDENCYPART_ARC
(21,13),0.785752 # DEPENDENCYPART_ARC
(21,14),-1.25646 # DEPENDENCYPART_ARC
(21,15),1.20155 # DEPENDENCYPART_ARC
(21,16),0.15142 # DEPENDENCYPART_ARC
(21,17),-1.02476 # DEPENDENCYPART_ARC
(21,18),-0.776313 # DEPENDENCYPART_ARC
(21,19),1.73231 # DEPENDENCYPART_ARC
(21,20),1.82857 # DEPENDENCYPART_ARC
(21,22),-0.138987 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0309296 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0765421 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0307715 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.114974 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.121562 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0983557 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.115061 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.066332 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0661204 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.10779 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.121069 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.104052 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.106885 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0352556 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.112243 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.131884 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.107088 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.112333 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.10754 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.120632 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.103376 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.106635 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.2208 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.239536 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.246359 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.201717 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.124427 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.13274 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0140435 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0539971 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0140467 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0350701 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0539971 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0140467 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0270801 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0140467 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0194757 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0337022 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.0372777 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0474333 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.00743716 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.031569 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0474333 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.00743716 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0231427 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.00743716 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0160147 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.030201 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.0328981 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00677715 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.224056 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0545764 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.00677715 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.015352 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00677715 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0564004 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.216341 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0620614 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0346883 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0565104 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0134176 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0275032 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0134176 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0198988 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0333203 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0367221 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0984286 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0395915 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0399035 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0395915 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.00477006 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0070387 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0731007 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.00677715 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.015352 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.00677715 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0564004 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.216341 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.0620614 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0281417 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.014056 # DEPENDENCYPART_SIBL
(1,15),(1,20),0.0205373 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.0339588 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.037999 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.00621974 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.066254 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.0139348 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.0429711 # DEPENDENCYPART_SIBL
(1,19),(1,20),0.0205373 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.0339588 # DEPENDENCYPART_SIBL
(1,19),(1,22),0.037999 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0127702 # DEPENDENCYPART_SIBL
(1,20),(1,22),-0.0327617 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.0623617 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.353474 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00751199 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00711509 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0576102 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0691951 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.138993 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00620132 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.018237 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0133761 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0126697 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0207545 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.100092 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0581784 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0590313 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0478814 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.424913 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.42045 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0787466 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.0500761 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.209679 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.200895 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.177412 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.172254 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00204702 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.17374 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0198003 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00204702 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0488649 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0299708 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.217094 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.190272 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0278405 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.192503 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0329705 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0278405 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0658631 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0294644 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0999175 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0204232 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0332156 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00625046 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0204232 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0135301 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00761975 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.00951998 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00379334 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.212041 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0281584 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0394483 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.204325 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.087121 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00313116 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0295003 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0178906 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00450045 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0133439 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0828717 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0307975 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0222431 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0553222 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0394483 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.204325 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.087121 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.00425974 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0666401 # DEPENDENCYPART_SIBL
(4,21),(4,22),0.0445826 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.349621 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0331905 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.164972 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0145588 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.00758845 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0615943 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00785137 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0576207 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00758845 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.00785137 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00785137 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.024099 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0692056 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.138994 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.000692706 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0936623 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0272117 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0165824 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0128581 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00571552 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0128741 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0165824 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00571552 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00571552 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0446204 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0121677 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0202729 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.276741 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0493529 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00550398 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0446747 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00255138 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00735491 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00550398 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00255138 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00255138 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0320978 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.00569496 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0399132 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0144427 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0113354 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0750963 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0134043 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.117627 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0113354 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0134043 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0134043 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00932663 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.134003 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.215983 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0105884 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00662075 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00492666 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0383146 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0105884 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00492666 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.00492666 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0328175 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0405851 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0130333 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.153297 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.342981 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.424985 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00482315 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.342981 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.342981 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.00563923 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.420522 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0787788 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0547465 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0558626 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0902077 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0547465 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0547465 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.00526981 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0543685 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.106008 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0582077 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.103086 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00471393 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.00471393 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.013255 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0590606 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0485651 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.168735 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0764022 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0764022 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.00405235 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0500995 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.209681 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.342981 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.342981 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.00563923 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.420522 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0787788 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.00471393 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.013255 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0590606 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.0485651 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.013255 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0590606 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0485651 # DEPENDENCYPART_SIBL
(6,20),(6,21),0.0204659 # DEPENDENCYPART_SIBL
(6,20),(6,22),0.0434864 # DEPENDENCYPART_SIBL
(6,21),(6,22),0.200897 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.195319 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.201623 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.194406 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.120917 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0316915 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0319016 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.0722105 # DEPENDENCYPART_SIBL
