# _root_ Szerinte a tudomány egyrészt az élet minden szférájába behatolt , másrészt viszont lekerült arról a piedesztálról , amelyre a felvilágosodás korában állították .
#goldHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
#predictedHeads=9,3,9,9,6,8,8,9,0,9,13,13,9,16,16,13,13,22,20,21,22,14,9,
(12,3),-2.60618 # DEPENDENCYPART_ARC
(12,6),-2.54268 # DEPENDENCYPART_ARC
(12,7),-2.47225 # DEPENDENCYPART_ARC
(12,8),-2.34375 # DEPENDENCYPART_ARC
(12,9),-0.199116 # DEPENDENCYPART_ARC
(12,10),-1.29435 # DEPENDENCYPART_ARC
(12,11),-0.367777 # DEPENDENCYPART_ARC
(12,13),0.2236 # DEPENDENCYPART_ARC
(12,14),-1.98566 # DEPENDENCYPART_ARC
(12,16),-1.42462 # DEPENDENCYPART_ARC
(12,17),-1.02804 # DEPENDENCYPART_ARC
(12,20),-1.76099 # DEPENDENCYPART_ARC
(12,22),-1.2662 # DEPENDENCYPART_ARC
(12,23),-1.23078 # DEPENDENCYPART_ARC
(13,1),-0.92261 # DEPENDENCYPART_ARC
(13,3),-0.736723 # DEPENDENCYPART_ARC
(13,4),-0.863542 # DEPENDENCYPART_ARC
(13,5),-2.15766 # DEPENDENCYPART_ARC
(13,6),-0.77604 # DEPENDENCYPART_ARC
(13,7),-1.60553 # DEPENDENCYPART_ARC
(13,8),-0.541738 # DEPENDENCYPART_ARC
(13,9),-0.816277 # DEPENDENCYPART_ARC
(13,10),-0.286518 # DEPENDENCYPART_ARC
(13,11),0.944491 # DEPENDENCYPART_ARC
(13,12),1.17842 # DEPENDENCYPART_ARC
(13,14),0.680951 # DEPENDENCYPART_ARC
(13,15),-1.00749 # DEPENDENCYPART_ARC
(13,16),1.07606 # DEPENDENCYPART_ARC
(13,17),0.543942 # DEPENDENCYPART_ARC
(13,18),-0.785335 # DEPENDENCYPART_ARC
(13,19),-1.67954 # DEPENDENCYPART_ARC
(13,20),-0.930091 # DEPENDENCYPART_ARC
(13,21),-0.136533 # DEPENDENCYPART_ARC
(13,22),0.138948 # DEPENDENCYPART_ARC
(13,23),-0.284729 # DEPENDENCYPART_ARC
(14,3),-2.06431 # DEPENDENCYPART_ARC
(14,7),-1.40082 # DEPENDENCYPART_ARC
(14,9),-0.65718 # DEPENDENCYPART_ARC
(14,10),-1.28746 # DEPENDENCYPART_ARC
(14,12),-1.22286 # DEPENDENCYPART_ARC
(14,13),0.374407 # DEPENDENCYPART_ARC
(14,16),-0.587223 # DEPENDENCYPART_ARC
(14,17),-0.480592 # DEPENDENCYPART_ARC
(14,18),-1.24513 # DEPENDENCYPART_ARC
(14,20),-0.502557 # DEPENDENCYPART_ARC
(14,21),-0.600653 # DEPENDENCYPART_ARC
(14,22),1.10969 # DEPENDENCYPART_ARC
(14,23),-1.04884 # DEPENDENCYPART_ARC
(15,20),-1.66093 # DEPENDENCYPART_ARC
(16,7),-1.7124 # DEPENDENCYPART_ARC
(16,9),-2.2062 # DEPENDENCYPART_ARC
(16,12),-1.34902 # DEPENDENCYPART_ARC
(16,14),0.708124 # DEPENDENCYPART_ARC
(16,15),2.0939 # DEPENDENCYPART_ARC
(16,17),-0.680911 # DEPENDENCYPART_ARC
(16,18),-1.94762 # DEPENDENCYPART_ARC
(16,20),-1.95902 # DEPENDENCYPART_ARC
(16,21),-2.47261 # DEPENDENCYPART_ARC
(16,22),-1.17876 # DEPENDENCYPART_ARC
(18,20),-0.83035 # DEPENDENCYPART_ARC
(18,21),-0.923644 # DEPENDENCYPART_ARC
(20,14),-1.86517 # DEPENDENCYPART_ARC
(20,15),-1.0333 # DEPENDENCYPART_ARC
(20,16),-3.07075 # DEPENDENCYPART_ARC
(20,17),-1.42317 # DEPENDENCYPART_ARC
(20,18),-0.718466 # DEPENDENCYPART_ARC
(20,19),1.70515 # DEPENDENCYPART_ARC
(21,3),-3.77572 # DEPENDENCYPART_ARC
(21,9),-3.46795 # DEPENDENCYPART_ARC
(21,12),-1.24289 # DEPENDENCYPART_ARC
(21,13),-3.09022 # DEPENDENCYPART_ARC
(21,14),-2.21904 # DEPENDENCYPART_ARC
(21,15),-2.12351 # DEPENDENCYPART_ARC
(21,16),-3.20475 # DEPENDENCYPART_ARC
(21,17),-1.17438 # DEPENDENCYPART_ARC
(21,18),-1.71905 # DEPENDENCYPART_ARC
(21,19),-0.108631 # DEPENDENCYPART_ARC
(21,20),2.46564 # DEPENDENCYPART_ARC
(22,3),-1.60858 # DEPENDENCYPART_ARC
(22,4),-0.990925 # DEPENDENCYPART_ARC
(22,6),-1.94019 # DEPENDENCYPART_ARC
(22,8),-1.48172 # DEPENDENCYPART_ARC
(22,9),-1.1393 # DEPENDENCYPART_ARC
(22,10),-0.980346 # DEPENDENCYPART_ARC
(22,11),-0.665377 # DEPENDENCYPART_ARC
(22,12),0.348813 # DEPENDENCYPART_ARC
(22,13),-0.592848 # DEPENDENCYPART_ARC
(22,14),-0.238626 # DEPENDENCYPART_ARC
(22,15),-1.43559 # DEPENDENCYPART_ARC
(22,16),-0.662934 # DEPENDENCYPART_ARC
(22,17),-0.266757 # DEPENDENCYPART_ARC
(22,18),0.958265 # DEPENDENCYPART_ARC
(22,19),-0.922139 # DEPENDENCYPART_ARC
(22,20),0.885018 # DEPENDENCYPART_ARC
(22,21),3.03637 # DEPENDENCYPART_ARC
(22,23),0.105601 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0246355 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0637839 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.11343 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0637393 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.120405 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.11343 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0246719 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.112787 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0599189 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.110268 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0576813 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.127084 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.110268 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0116222 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.111705 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.113517 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0637137 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.115084 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.113517 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0246147 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.112874 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.112974 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.227293 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.245466 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.10386 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.245832 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.117311 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.108704 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0246147 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.108061 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.131031 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0470529 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.131874 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.103863 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.245835 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.117343 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00079058 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00310669 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0266669 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0430606 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0266669 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00310669 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0430606 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.00310669 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.0251629 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0081101 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00379955 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.029578 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0532834 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.029578 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00379955 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0532834 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.00379955 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.028074 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0167137 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0302594 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0539691 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0302594 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.00605781 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0539691 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.00605781 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0287555 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0164067 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0931443 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00269633 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0189996 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0931443 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0189996 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.00228534 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0491558 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.228828 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.00471561 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0508251 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.00471326 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.22475 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0436892 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0189996 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0931443 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.0189996 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.00228533 # DEPENDENCYPART_SIBL
(1,13),(1,23),0.0491558 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0545242 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.00503608 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.0279247 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0142429 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.00471326 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.22475 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0436892 # DEPENDENCYPART_SIBL
(1,20),(1,22),0.0279247 # DEPENDENCYPART_SIBL
(1,20),(1,23),0.0142425 # DEPENDENCYPART_SIBL
(1,22),(1,23),0.0508162 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.418598 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0202051 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0509726 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00377064 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0226086 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0509726 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0459746 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00498023 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0069796 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0145829 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0171237 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0069796 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00578706 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0582214 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.101571 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.027955 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0582214 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0561015 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.169064 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0225706 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0510174 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.049909 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.123232 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.425479 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.420572 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0346468 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0332196 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.049909 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00995349 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0594739 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0277518 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0601595 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0274448 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.05524 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00667286 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0284769 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.566056 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00372554 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00845578 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00935993 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0157043 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00845578 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.00726324 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0287192 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.186347 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.268609 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.000187766 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0128361 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.000696789 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00422032 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0128361 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0129207 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0388484 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.348957 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0164651 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0525503 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0204544 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.022027 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0525503 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0475523 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.125755 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00640524 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0124289 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0170564 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00248738 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0124289 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0140377 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.020646 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0590457 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.102527 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0275702 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0590457 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0569259 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0507281 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.169077 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0225816 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0510457 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0499374 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.211166 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.123281 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.425556 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.420649 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0787278 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0346633 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0332361 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.114911 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0499374 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.211166 # DEPENDENCYPART_SIBL
(6,22),(6,23),0.212211 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00906421 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.567547 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0105333 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0576528 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00907787 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0155424 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.00861768 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.00331971 # DEPENDENCYPART_SIBL
(8,2),(8,22),0.00742514 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0285178 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.267851 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0103826 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0236889 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.000626844 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.00421049 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.012846 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.000808272 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0129306 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.0388977 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0014791 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0267817 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0165824 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00216368 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0121052 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0057156 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0137139 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0202729 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0476523 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00383085 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00553246 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0076296 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00192133 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.00771425 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.0413786 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0317183 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0255873 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0190938 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0233261 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0183174 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0114638 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.123332 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.425607 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.342981 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.4207 # DEPENDENCYPART_SIBL
(8,10),(8,23),0.0787788 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0346633 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0177416 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0332362 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.114911 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0764132 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.0499374 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.211166 # DEPENDENCYPART_SIBL
(8,16),(8,22),0.0560961 # DEPENDENCYPART_SIBL
(8,16),(8,23),0.0485651 # DEPENDENCYPART_SIBL
(8,22),(8,23),0.212211 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0672564 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0846793 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.000358522 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0117232 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0775267 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0706027 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0789819 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.011801 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0427635 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0310935 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0101455 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0656721 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0508575 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.011801 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.0385935 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.00129869 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.054443 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0140047 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0431163 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.106556 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0165411 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.150165 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0165684 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0377119 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00399974 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0591474 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0134258 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0027004 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0245112 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0377119 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0263143 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0169068 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0634118 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0294963 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.00300733 # DEPENDENCYPART_SIBL
