# _root_ Ha ezt a hitelező nem adja meg , és a bank beváltja a hitelekhez járó állami garanciát , az az érintett gazdáknak az állami agrártámogatásokból való kizárását jelenti .
#goldHeads=28,6,4,6,6,28,6,28,28,11,12,28,14,15,17,17,12,28,28,22,22,28,25,25,26,27,28,0,28,
#predictedHeads=28,6,4,6,6,9,6,9,0,11,12,9,14,15,17,17,12,12,28,22,22,28,25,25,26,27,28,12,9,
(17,9),-0.618796 # DEPENDENCYPART_ARC
(17,10),-0.730578 # DEPENDENCYPART_ARC
(17,11),-1.59307 # DEPENDENCYPART_ARC
(17,12),-1.49515 # DEPENDENCYPART_ARC
(17,13),0.496604 # DEPENDENCYPART_ARC
(17,14),-1.07261 # DEPENDENCYPART_ARC
(17,15),1.87482 # DEPENDENCYPART_ARC
(17,16),2.73068 # DEPENDENCYPART_ARC
(17,18),-0.661267 # DEPENDENCYPART_ARC
(17,22),-1.7949 # DEPENDENCYPART_ARC
(17,25),-2.35087 # DEPENDENCYPART_ARC
(17,27),-2.36688 # DEPENDENCYPART_ARC
(17,28),-2.14889 # DEPENDENCYPART_ARC
(17,29),-1.73367 # DEPENDENCYPART_ARC
(19,1),-0.275697 # DEPENDENCYPART_ARC
(19,6),0.105832 # DEPENDENCYPART_ARC
(19,8),-0.75197 # DEPENDENCYPART_ARC
(19,9),-0.619096 # DEPENDENCYPART_ARC
(19,11),-1.46631 # DEPENDENCYPART_ARC
(19,12),0.128232 # DEPENDENCYPART_ARC
(19,15),-1.50174 # DEPENDENCYPART_ARC
(19,16),-1.29737 # DEPENDENCYPART_ARC
(19,17),-1.26874 # DEPENDENCYPART_ARC
(19,18),-0.533641 # DEPENDENCYPART_ARC
(19,21),-0.887156 # DEPENDENCYPART_ARC
(19,22),-0.817294 # DEPENDENCYPART_ARC
(19,24),-0.975713 # DEPENDENCYPART_ARC
(19,25),-1.11841 # DEPENDENCYPART_ARC
(19,26),-0.800561 # DEPENDENCYPART_ARC
(19,27),-1.33626 # DEPENDENCYPART_ARC
(19,28),-0.0798828 # DEPENDENCYPART_ARC
(19,29),-1.03322 # DEPENDENCYPART_ARC
(20,21),-0.495685 # DEPENDENCYPART_ARC
(21,17),-1.45363 # DEPENDENCYPART_ARC
(21,19),-1.19649 # DEPENDENCYPART_ARC
(21,20),-0.396424 # DEPENDENCYPART_ARC
(22,10),-1.9971 # DEPENDENCYPART_ARC
(22,13),-0.936413 # DEPENDENCYPART_ARC
(22,14),-2.7784 # DEPENDENCYPART_ARC
(22,15),-0.845387 # DEPENDENCYPART_ARC
(22,16),-0.694507 # DEPENDENCYPART_ARC
(22,17),-2.53198 # DEPENDENCYPART_ARC
(22,18),-1.28971 # DEPENDENCYPART_ARC
(22,19),-0.232263 # DEPENDENCYPART_ARC
(22,20),1.51072 # DEPENDENCYPART_ARC
(22,21),2.49208 # DEPENDENCYPART_ARC
(22,23),-1.34892 # DEPENDENCYPART_ARC
(22,24),-1.3518 # DEPENDENCYPART_ARC
(22,25),-1.43355 # DEPENDENCYPART_ARC
(22,27),-1.9932 # DEPENDENCYPART_ARC
(23,24),-0.513598 # DEPENDENCYPART_ARC
(24,20),-2.00935 # DEPENDENCYPART_ARC
(24,22),-2.12613 # DEPENDENCYPART_ARC
(24,23),-0.786225 # DEPENDENCYPART_ARC
(25,13),-1.95889 # DEPENDENCYPART_ARC
(25,16),-1.33337 # DEPENDENCYPART_ARC
(25,19),-1.2904 # DEPENDENCYPART_ARC
(25,20),-0.32787 # DEPENDENCYPART_ARC
(25,21),0.043485 # DEPENDENCYPART_ARC
(25,22),-2.29324 # DEPENDENCYPART_ARC
(25,23),1.42358 # DEPENDENCYPART_ARC
(25,24),2.69319 # DEPENDENCYPART_ARC
(25,27),-2.26715 # DEPENDENCYPART_ARC
(26,14),-1.11453 # DEPENDENCYPART_ARC
(26,17),-1.21042 # DEPENDENCYPART_ARC
(26,18),-0.88498 # DEPENDENCYPART_ARC
(26,19),-1.41394 # DEPENDENCYPART_ARC
(26,20),-1.19988 # DEPENDENCYPART_ARC
(26,21),-1.21729 # DEPENDENCYPART_ARC
(26,22),-1.55198 # DEPENDENCYPART_ARC
(26,23),-0.873092 # DEPENDENCYPART_ARC
(26,24),-0.196409 # DEPENDENCYPART_ARC
(26,25),1.58954 # DEPENDENCYPART_ARC
(27,9),-0.741828 # DEPENDENCYPART_ARC
(27,13),-2.88515 # DEPENDENCYPART_ARC
(27,14),-2.9182 # DEPENDENCYPART_ARC
(27,15),-1.96119 # DEPENDENCYPART_ARC
(27,16),-1.9251 # DEPENDENCYPART_ARC
(27,17),-3.84735 # DEPENDENCYPART_ARC
(27,19),-1.17957 # DEPENDENCYPART_ARC
(27,20),-1.31079 # DEPENDENCYPART_ARC
(27,21),-0.780166 # DEPENDENCYPART_ARC
(27,22),-1.47895 # DEPENDENCYPART_ARC
(27,23),-0.47933 # DEPENDENCYPART_ARC
(27,24),0.375925 # DEPENDENCYPART_ARC
(27,25),-0.334255 # DEPENDENCYPART_ARC
(27,26),2.37516 # DEPENDENCYPART_ARC
(28,1),0.676197 # DEPENDENCYPART_ARC
(28,2),-1.33411 # DEPENDENCYPART_ARC
(28,4),-1.21844 # DEPENDENCYPART_ARC
(28,5),-0.929283 # DEPENDENCYPART_ARC
(28,6),-0.290939 # DEPENDENCYPART_ARC
(28,8),-0.164241 # DEPENDENCYPART_ARC
(28,9),-0.284906 # DEPENDENCYPART_ARC
(28,11),-0.53232 # DEPENDENCYPART_ARC
(28,12),-0.163427 # DEPENDENCYPART_ARC
(28,13),-1.51526 # DEPENDENCYPART_ARC
(28,14),-1.46588 # DEPENDENCYPART_ARC
(28,15),-1.58984 # DEPENDENCYPART_ARC
(28,16),-1.63917 # DEPENDENCYPART_ARC
(28,17),-0.453237 # DEPENDENCYPART_ARC
(28,18),-0.0514038 # DEPENDENCYPART_ARC
(28,19),1.25851 # DEPENDENCYPART_ARC
(28,20),-1.13751 # DEPENDENCYPART_ARC
(28,21),-1.07378 # DEPENDENCYPART_ARC
(28,22),0.887046 # DEPENDENCYPART_ARC
(28,23),-1.00923 # DEPENDENCYPART_ARC
(28,24),-0.666401 # DEPENDENCYPART_ARC
(28,25),0.758742 # DEPENDENCYPART_ARC
(28,26),0.224838 # DEPENDENCYPART_ARC
(28,27),3.18115 # DEPENDENCYPART_ARC
(28,29),-0.00451591 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0445118 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0785623 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0771117 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.108228 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0683815 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.168907 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.107475 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.110423 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0354125 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0264955 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.110813 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0364101 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.113807 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.110812 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.111429 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.066328 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.109706 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0640381 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.109311 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.111697 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0724194 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.131884 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.112223 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.113296 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.121268 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.222263 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.242623 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.246687 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.136711 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.113608 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.115229 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.12355 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.126498 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.24953 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0179873 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00992486 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.118181 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00703262 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0141675 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.118181 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.0164691 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0432895 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0265818 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.210558 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0175369 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0216131 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.210558 # DEPENDENCYPART_SIBL
(1,6),(1,28),-0.0262489 # DEPENDENCYPART_SIBL
(1,6),(1,29),0.0795629 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.105401 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.044351 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0256179 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.105401 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0277476 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0232909 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0424862 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.248737 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.100673 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.237056 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0830139 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0473217 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0291944 # DEPENDENCYPART_SIBL
(1,9),(1,28),-0.0507775 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.0374907 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.201916 # DEPENDENCYPART_SIBL
(1,12),(1,28),-0.0296295 # DEPENDENCYPART_SIBL
(1,12),(1,29),0.0757013 # DEPENDENCYPART_SIBL
(1,18),(1,28),0.237056 # DEPENDENCYPART_SIBL
(1,18),(1,29),0.0830139 # DEPENDENCYPART_SIBL
(1,28),(1,29),0.0786797 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0882892 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0075191 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0134264 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00356718 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0332657 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00649441 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0876897 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0143274 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0208145 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0208866 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0870819 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0332657 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00245507 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0208602 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0882892 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0208866 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.0882892 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0195502 # DEPENDENCYPART_SIBL
(2,1),(2,27),0.0882892 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0142659 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.111544 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0404338 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0221989 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0364911 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00378537 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0139272 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.03663 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0189831 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0751832 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0767445 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0380705 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00378537 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0169516 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0766085 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0380705 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0767445 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0380705 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0767164 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.0380705 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.0227995 # DEPENDENCYPART_SIBL
(2,4),(2,29),0.0510295 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0211361 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0512634 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0398681 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0534955 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.180416 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0216371 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0974225 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0980336 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.181696 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0398681 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.05613 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0980902 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.181696 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0980336 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.181696 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.110827 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.181696 # DEPENDENCYPART_SIBL
(2,5),(2,28),0.0185325 # DEPENDENCYPART_SIBL
(2,5),(2,29),0.0669528 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0276775 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0453036 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.069515 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0214532 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00378609 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0142309 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0127766 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0214045 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0453036 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0219727 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0124844 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0216479 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0127766 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0216479 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0189155 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.0216479 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.0115718 # DEPENDENCYPART_SIBL
(2,6),(2,29),-0.00778708 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00702295 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0276983 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.181469 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00330964 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0659512 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0665623 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.182739 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00702295 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0408861 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0666189 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.182739 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0665623 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.182739 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0793912 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.182739 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.00696187 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.0356491 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.148258 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0254622 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0620669 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0132369 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00230365 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0272684 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.034108 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.019864 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.000171456 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.027269 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00230365 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.027269 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.021012 # DEPENDENCYPART_SIBL
(2,8),(2,27),0.027269 # DEPENDENCYPART_SIBL
(2,8),(2,28),0.0485943 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.0309662 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0417428 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.101497 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00219441 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00130373 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0423836 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0209863 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0147065 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.00239739 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0424791 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.00130373 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0424791 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.00449358 # DEPENDENCYPART_SIBL
