# _root_ A kárpótlási jegyek árfolyama 9,12 százalékkal lett több múlt heti értékénél , így 622 forinton végzett .
#goldHeads=3,3,4,7,6,7,13,7,10,11,7,13,0,15,16,13,13,
#predictedHeads=3,3,4,7,6,7,13,11,11,11,7,13,0,15,16,13,13,
(7,12),0.431593 # DEPENDENCYPART_ARC
(7,13),0.172254 # DEPENDENCYPART_ARC
(7,14),-0.819384 # DEPENDENCYPART_ARC
(7,15),-0.165077 # DEPENDENCYPART_ARC
(7,16),0.301249 # DEPENDENCYPART_ARC
(7,17),-0.588133 # DEPENDENCYPART_ARC
(8,4),-1.995 # DEPENDENCYPART_ARC
(8,6),-1.71666 # DEPENDENCYPART_ARC
(8,7),-0.0657752 # DEPENDENCYPART_ARC
(8,9),-1.12761 # DEPENDENCYPART_ARC
(8,11),-1.59737 # DEPENDENCYPART_ARC
(8,12),-1.11236 # DEPENDENCYPART_ARC
(8,13),-1.38363 # DEPENDENCYPART_ARC
(8,14),-1.67748 # DEPENDENCYPART_ARC
(8,16),-1.25662 # DEPENDENCYPART_ARC
(8,17),-1.28569 # DEPENDENCYPART_ARC
(9,3),-2.32592 # DEPENDENCYPART_ARC
(9,4),-2.08298 # DEPENDENCYPART_ARC
(9,6),-0.841254 # DEPENDENCYPART_ARC
(9,7),-1.44597 # DEPENDENCYPART_ARC
(9,8),0.593243 # DEPENDENCYPART_ARC
(9,10),-1.30458 # DEPENDENCYPART_ARC
(9,11),-1.18403 # DEPENDENCYPART_ARC
(9,12),-0.941056 # DEPENDENCYPART_ARC
(9,13),-1.61288 # DEPENDENCYPART_ARC
(9,14),-1.42481 # DEPENDENCYPART_ARC
(9,16),-1.38093 # DEPENDENCYPART_ARC
(9,17),-1.51725 # DEPENDENCYPART_ARC
(10,3),-2.25142 # DEPENDENCYPART_ARC
(10,4),-2.03537 # DEPENDENCYPART_ARC
(10,6),-0.841631 # DEPENDENCYPART_ARC
(10,7),-1.3754 # DEPENDENCYPART_ARC
(10,8),-0.0508061 # DEPENDENCYPART_ARC
(10,9),0.785908 # DEPENDENCYPART_ARC
(10,16),-1.57572 # DEPENDENCYPART_ARC
(11,1),-1.2955 # DEPENDENCYPART_ARC
(11,2),-1.12333 # DEPENDENCYPART_ARC
(11,3),-0.427481 # DEPENDENCYPART_ARC
(11,4),-1.66811 # DEPENDENCYPART_ARC
(11,6),-2.48428 # DEPENDENCYPART_ARC
(11,7),-1.96169 # DEPENDENCYPART_ARC
(11,8),0.381235 # DEPENDENCYPART_ARC
(11,9),1.2859 # DEPENDENCYPART_ARC
(11,10),2.32236 # DEPENDENCYPART_ARC
(11,12),-0.8065 # DEPENDENCYPART_ARC
(11,13),-1.75437 # DEPENDENCYPART_ARC
(11,14),-1.80373 # DEPENDENCYPART_ARC
(11,15),-2.38375 # DEPENDENCYPART_ARC
(11,16),-1.58039 # DEPENDENCYPART_ARC
(11,17),-1.87928 # DEPENDENCYPART_ARC
(13,2),-2.17808 # DEPENDENCYPART_ARC
(13,3),-1.9231 # DEPENDENCYPART_ARC
(13,4),-1.97025 # DEPENDENCYPART_ARC
(13,6),-1.95895 # DEPENDENCYPART_ARC
(13,7),0.167293 # DEPENDENCYPART_ARC
(13,8),-1.03205 # DEPENDENCYPART_ARC
(13,9),-1.21382 # DEPENDENCYPART_ARC
(13,10),-1.12287 # DEPENDENCYPART_ARC
(13,11),-1.28612 # DEPENDENCYPART_ARC
(13,12),0.335667 # DEPENDENCYPART_ARC
(13,14),-0.651061 # DEPENDENCYPART_ARC
(13,15),-1.09026 # DEPENDENCYPART_ARC
(13,16),0.413375 # DEPENDENCYPART_ARC
(13,17),-0.0530855 # DEPENDENCYPART_ARC
(14,8),-1.43153 # DEPENDENCYPART_ARC
(14,11),-1.73637 # DEPENDENCYPART_ARC
(14,12),-1.23465 # DEPENDENCYPART_ARC
(14,13),-0.349437 # DEPENDENCYPART_ARC
(14,16),-0.944196 # DEPENDENCYPART_ARC
(14,17),-1.36891 # DEPENDENCYPART_ARC
(15,1),-2.01285 # DEPENDENCYPART_ARC
(15,2),-2.13265 # DEPENDENCYPART_ARC
(15,3),-3.47302 # DEPENDENCYPART_ARC
(15,6),-3.61909 # DEPENDENCYPART_ARC
(15,7),-1.94304 # DEPENDENCYPART_ARC
(15,8),-0.515039 # DEPENDENCYPART_ARC
(15,9),-0.951399 # DEPENDENCYPART_ARC
(15,10),-0.602648 # DEPENDENCYPART_ARC
(15,11),-2.76516 # DEPENDENCYPART_ARC
(15,12),-0.626221 # DEPENDENCYPART_ARC
(15,13),-0.0117087 # DEPENDENCYPART_ARC
(15,14),2.29394 # DEPENDENCYPART_ARC
(16,2),-2.02322 # DEPENDENCYPART_ARC
(16,3),-0.803609 # DEPENDENCYPART_ARC
(16,4),-0.169719 # DEPENDENCYPART_ARC
(16,6),-0.632017 # DEPENDENCYPART_ARC
(16,7),-0.907328 # DEPENDENCYPART_ARC
(16,8),-1.15419 # DEPENDENCYPART_ARC
(16,9),-1.29683 # DEPENDENCYPART_ARC
(16,10),-1.14898 # DEPENDENCYPART_ARC
(16,11),0.0018949 # DEPENDENCYPART_ARC
(16,12),-0.0505178 # DEPENDENCYPART_ARC
(16,13),0.398695 # DEPENDENCYPART_ARC
(16,14),0.174048 # DEPENDENCYPART_ARC
(16,15),3.08224 # DEPENDENCYPART_ARC
(16,17),-0.0734011 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.0394506 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.107493 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0475854 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0327601 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.125277 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.107723 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.079237 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0132628 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0383293 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0895096 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0806568 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.107213 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.133702 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.225661 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.240344 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.040047 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0940114 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0800861 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.087106 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0886986 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.134685 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0331244 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.000114383 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0632978 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.169401 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0176286 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00331961 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0104278 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000408162 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.025387 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.169401 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0129962 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0176286 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00757489 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00187139 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0134485 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00396092 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00907785 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0159836 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00454382 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0285178 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00308229 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0104278 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00249688 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0387149 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0119802 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00327504 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.000408162 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0217253 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.000566271 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0387303 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.000612594 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0566582 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00389394 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0151334 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0621731 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0432393 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00337853 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00283849 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.010874 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00788782 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.041682 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0248788 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0495163 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0344528 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0143586 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.025387 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0570569 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0051162 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0505689 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.120833 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0583961 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0233023 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0603324 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00796339 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.112139 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0241333 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0612978 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.048412 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0526845 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0349111 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0766157 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.188504 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0224924 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0535702 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.217169 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0133748 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0215243 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0581409 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00856595 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0516826 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.112878 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0542146 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0896375 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0227937 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0554845 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.10551 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.103086 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0233886 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0577975 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0485651 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.150461 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.425777 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0787788 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0302546 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0999762 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.212499 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0698106 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0765118 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0107744 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0355016 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0765118 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0107744 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0355016 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0118163 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.122616 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0198989 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.143907 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0177685 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0177685 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0389435 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00333586 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.010175 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00452402 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0285332 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0100092 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0100092 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.013488 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.000613135 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0232007 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0389376 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.000816782 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0233876 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00437767 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00337456 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00391133 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00788159 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0416789 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.00437767 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00337456 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00391133 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00788159 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0416789 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0150587 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0213039 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.00206496 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.020498 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.103083 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0577926 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0485631 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.42576 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.0787689 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.212498 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.014988 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0241867 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0241867 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0410659 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.033669 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0274225 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00337025 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00432671 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0299425 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0341366 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0355438 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0243834 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0299425 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0217077 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0606203 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00895861 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00895861 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0429794 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00223969 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00491216 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0318571 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0306921 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00120204 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0125531 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0191293 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0108455 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00120204 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0108601 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0116503 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00446554 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00169286 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00395535 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00936533 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0156078 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0175733 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00839075 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0221728 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.040309 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00484128 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.00839075 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00840982 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0124479 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00169286 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00395535 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00936533 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0156078 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0175733 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00839075 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0221728 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.040309 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00484128 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.00839075 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00840982 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0124479 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0222751 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0259771 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0212866 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0203346 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.00238731 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0220409 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0588579 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0232264 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00238731 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0284527 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00388375 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0197578 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0165753 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0185408 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0114845 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0103883 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0460316 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0107219 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0114845 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.00759879 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0220476 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0093052 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00935894 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0177345 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00400611 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0006057 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0208562 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0177345 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0226382 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0386271 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0274137 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00170365 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00837482 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0294719 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.00422414 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00170365 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.00587946 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.00854152 # DEPENDENCYPART_SIBL
(7,10),(7,11),-7.11304e-05 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.00966771 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0308314 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00359759 # DEPENDENCYPART_SIBL
(7,10),(7,15),-7.11304e-05 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00547954 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0076932 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0551115 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0380809 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0029921 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0045106 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.00500544 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00679796 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.27543 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.00752163 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0547086 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.168169 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.00605191 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.00941135 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0860773 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0144892 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.00606502 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.00151642 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.00891736 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0113318 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.00500544 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.00679796 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0107928 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0636726 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.094947 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.059577 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0175468 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0842398 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.00536138 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0207602 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0619026 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0244559 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0945102 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0591823 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0175758 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0771536 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.00174965 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0224915 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0604249 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.027711 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0390281 # DEPENDENCYPART_SIBL
