# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(3,20),-0.218096 # DEPENDENCYPART_ARC
(3,22),-1.3057 # DEPENDENCYPART_ARC
(5,1),-1.39878 # DEPENDENCYPART_ARC
(5,2),-1.47433 # DEPENDENCYPART_ARC
(5,3),-1.26266 # DEPENDENCYPART_ARC
(5,4),-0.861068 # DEPENDENCYPART_ARC
(5,6),-0.938289 # DEPENDENCYPART_ARC
(5,7),-0.948337 # DEPENDENCYPART_ARC
(5,10),-1.47677 # DEPENDENCYPART_ARC
(5,12),-1.709 # DEPENDENCYPART_ARC
(5,13),-1.09965 # DEPENDENCYPART_ARC
(5,14),-1.27209 # DEPENDENCYPART_ARC
(5,15),-1.06609 # DEPENDENCYPART_ARC
(5,20),-1.47157 # DEPENDENCYPART_ARC
(5,21),-2.24396 # DEPENDENCYPART_ARC
(5,22),-1.98259 # DEPENDENCYPART_ARC
(6,1),-1.1927 # DEPENDENCYPART_ARC
(6,2),-2.18945 # DEPENDENCYPART_ARC
(6,3),-1.15016 # DEPENDENCYPART_ARC
(6,4),-0.672172 # DEPENDENCYPART_ARC
(6,5),0.789755 # DEPENDENCYPART_ARC
(6,10),-1.62595 # DEPENDENCYPART_ARC
(6,20),-2.28753 # DEPENDENCYPART_ARC
(6,22),-1.26449 # DEPENDENCYPART_ARC
(7,1),-0.561179 # DEPENDENCYPART_ARC
(7,2),-0.363687 # DEPENDENCYPART_ARC
(7,3),-0.136357 # DEPENDENCYPART_ARC
(7,4),0.192528 # DEPENDENCYPART_ARC
(7,5),0.760981 # DEPENDENCYPART_ARC
(7,6),2.25667 # DEPENDENCYPART_ARC
(7,8),2.91938 # DEPENDENCYPART_ARC
(7,9),-1.25615 # DEPENDENCYPART_ARC
(7,10),-0.338509 # DEPENDENCYPART_ARC
(7,11),-0.0299943 # DEPENDENCYPART_ARC
(7,12),-0.734949 # DEPENDENCYPART_ARC
(7,13),-0.216157 # DEPENDENCYPART_ARC
(7,14),-0.18346 # DEPENDENCYPART_ARC
(7,15),-0.76985 # DEPENDENCYPART_ARC
(7,16),-1.09617 # DEPENDENCYPART_ARC
(7,18),-2.11364 # DEPENDENCYPART_ARC
(7,19),-1.37483 # DEPENDENCYPART_ARC
(7,20),-0.166935 # DEPENDENCYPART_ARC
(7,21),-1.43602 # DEPENDENCYPART_ARC
(7,22),-0.792758 # DEPENDENCYPART_ARC
(8,3),-0.897116 # DEPENDENCYPART_ARC
(8,4),-0.693172 # DEPENDENCYPART_ARC
(8,5),-0.195692 # DEPENDENCYPART_ARC
(8,6),0.993088 # DEPENDENCYPART_ARC
(8,7),0.5041 # DEPENDENCYPART_ARC
(8,10),-0.485816 # DEPENDENCYPART_ARC
(8,11),-0.622153 # DEPENDENCYPART_ARC
(8,12),-1.25342 # DEPENDENCYPART_ARC
(8,13),-0.565664 # DEPENDENCYPART_ARC
(8,14),-1.14427 # DEPENDENCYPART_ARC
(8,15),-1.51079 # DEPENDENCYPART_ARC
(8,18),-2.70096 # DEPENDENCYPART_ARC
(8,20),-1.20322 # DEPENDENCYPART_ARC
(8,22),-1.56164 # DEPENDENCYPART_ARC
(10,9),1.36261 # DEPENDENCYPART_ARC
(11,3),-1.06776 # DEPENDENCYPART_ARC
(11,4),-1.08677 # DEPENDENCYPART_ARC
(11,5),-1.67911 # DEPENDENCYPART_ARC
(11,6),-1.57613 # DEPENDENCYPART_ARC
(11,7),-0.191591 # DEPENDENCYPART_ARC
(11,8),-0.0764566 # DEPENDENCYPART_ARC
(11,9),-1.41551 # DEPENDENCYPART_ARC
(11,10),-0.801284 # DEPENDENCYPART_ARC
(11,12),-1.18759 # DEPENDENCYPART_ARC
(11,13),-1.3974 # DEPENDENCYPART_ARC
(11,14),-1.18344 # DEPENDENCYPART_ARC
(11,15),-1.56448 # DEPENDENCYPART_ARC
(11,16),-1.95381 # DEPENDENCYPART_ARC
(11,18),-1.9574 # DEPENDENCYPART_ARC
(11,19),-1.92162 # DEPENDENCYPART_ARC
(11,20),-1.55265 # DEPENDENCYPART_ARC
(11,21),-2.45358 # DEPENDENCYPART_ARC
(11,22),-1.65998 # DEPENDENCYPART_ARC
(12,5),-1.89254 # DEPENDENCYPART_ARC
(12,9),-0.440892 # DEPENDENCYPART_ARC
(12,10),-1.07238 # DEPENDENCYPART_ARC
(12,11),-0.130757 # DEPENDENCYPART_ARC
(12,14),-1.1117 # DEPENDENCYPART_ARC
(12,16),-1.7561 # DEPENDENCYPART_ARC
(12,18),-2.29268 # DEPENDENCYPART_ARC
(13,2),-1.35104 # DEPENDENCYPART_ARC
(13,4),-0.939694 # DEPENDENCYPART_ARC
(13,5),-1.19997 # DEPENDENCYPART_ARC
(13,6),-1.26965 # DEPENDENCYPART_ARC
(13,9),-0.893107 # DEPENDENCYPART_ARC
(13,10),0.460433 # DEPENDENCYPART_ARC
(13,11),0.87258 # DEPENDENCYPART_ARC
(13,12),2.55045 # DEPENDENCYPART_ARC
(13,14),-0.58587 # DEPENDENCYPART_ARC
(13,15),-1.1488 # DEPENDENCYPART_ARC
(13,16),-1.24388 # DEPENDENCYPART_ARC
(13,18),-1.6106 # DEPENDENCYPART_ARC
(13,19),-1.29375 # DEPENDENCYPART_ARC
(13,20),-1.2889 # DEPENDENCYPART_ARC
(13,21),-1.83949 # DEPENDENCYPART_ARC
(15,2),-2.7569 # DEPENDENCYPART_ARC
(15,3),-1.18861 # DEPENDENCYPART_ARC
(15,4),-1.89785 # DEPENDENCYPART_ARC
(15,5),-1.5758 # DEPENDENCYPART_ARC
(15,6),-1.81802 # DEPENDENCYPART_ARC
(15,7),-0.639124 # DEPENDENCYPART_ARC
(15,8),-0.636243 # DEPENDENCYPART_ARC
(15,10),-1.93209 # DEPENDENCYPART_ARC
(15,11),-0.701388 # DEPENDENCYPART_ARC
(15,12),-1.38395 # DEPENDENCYPART_ARC
(15,13),-1.03511 # DEPENDENCYPART_ARC
(15,14),0.223867 # DEPENDENCYPART_ARC
(15,16),-1.13339 # DEPENDENCYPART_ARC
(15,18),-1.47161 # DEPENDENCYPART_ARC
(15,19),-1.5494 # DEPENDENCYPART_ARC
(15,20),-0.225134 # DEPENDENCYPART_ARC
(15,21),-2.05791 # DEPENDENCYPART_ARC
(15,22),-0.0715196 # DEPENDENCYPART_ARC
(16,3),-1.68685 # DEPENDENCYPART_ARC
(16,7),-1.68829 # DEPENDENCYPART_ARC
(16,10),-1.6455 # DEPENDENCYPART_ARC
(16,11),-1.3269 # DEPENDENCYPART_ARC
(16,12),-1.41595 # DEPENDENCYPART_ARC
(16,13),-0.988744 # DEPENDENCYPART_ARC
(16,14),-1.28684 # DEPENDENCYPART_ARC
(16,15),-0.43462 # DEPENDENCYPART_ARC
(16,18),-1.03692 # DEPENDENCYPART_ARC
(16,19),-1.12117 # DEPENDENCYPART_ARC
(16,21),-1.473 # DEPENDENCYPART_ARC
(16,22),-1.6044 # DEPENDENCYPART_ARC
(17,21),-1.71524 # DEPENDENCYPART_ARC
(18,9),-1.68651 # DEPENDENCYPART_ARC
(18,16),-1.04602 # DEPENDENCYPART_ARC
(18,17),1.73954 # DEPENDENCYPART_ARC
(18,19),-1.28996 # DEPENDENCYPART_ARC
(18,21),-1.89653 # DEPENDENCYPART_ARC
(19,3),-1.74798 # DEPENDENCYPART_ARC
(19,11),-1.21065 # DEPENDENCYPART_ARC
(19,12),-1.89531 # DEPENDENCYPART_ARC
(19,13),-1.36981 # DEPENDENCYPART_ARC
(19,15),-1.25453 # DEPENDENCYPART_ARC
(19,16),-0.766633 # DEPENDENCYPART_ARC
(19,18),-0.468492 # DEPENDENCYPART_ARC
(19,21),-1.15279 # DEPENDENCYPART_ARC
(20,1),-1.43402 # DEPENDENCYPART_ARC
(20,2),-1.91145 # DEPENDENCYPART_ARC
(20,3),-1.16614 # DEPENDENCYPART_ARC
(20,4),-0.667976 # DEPENDENCYPART_ARC
(20,5),-1.66641 # DEPENDENCYPART_ARC
(20,6),-0.465317 # DEPENDENCYPART_ARC
(20,7),-1.02412 # DEPENDENCYPART_ARC
(20,9),-2.01476 # DEPENDENCYPART_ARC
(20,10),-1.34265 # DEPENDENCYPART_ARC
(20,11),-0.097473 # DEPENDENCYPART_ARC
(20,12),-1.36148 # DEPENDENCYPART_ARC
(20,13),-0.552993 # DEPENDENCYPART_ARC
(20,14),-0.176315 # DEPENDENCYPART_ARC
(20,15),-0.15099 # DEPENDENCYPART_ARC
(20,16),0.846351 # DEPENDENCYPART_ARC
(20,17),-1.39014 # DEPENDENCYPART_ARC
(20,18),1.14026 # DEPENDENCYPART_ARC
(20,19),2.22813 # DEPENDENCYPART_ARC
(20,21),2.01848 # DEPENDENCYPART_ARC
(20,22),-0.195714 # DEPENDENCYPART_ARC
(21,13),-1.94493 # DEPENDENCYPART_ARC
(21,16),-1.5703 # DEPENDENCYPART_ARC
(21,17),-0.717801 # DEPENDENCYPART_ARC
(21,18),-1.7805 # DEPENDENCYPART_ARC
(21,19),-0.8051 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.027026 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.115669 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0692593 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.028483 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.115669 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.110367 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.120473 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.130462 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.100154 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0601053 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0326239 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.109168 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.120009 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.143019 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.109382 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.11301 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.133025 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.245466 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.25076 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.2208 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.234541 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.253974 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0359768 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.115697 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.110395 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.121628 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.13316 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.100181 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0886079 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0905912 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0987385 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.101369 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0801453 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.25076 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.2208 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.234541 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.253974 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.225117 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.239911 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.251597 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.196744 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.11101 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.118766 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0398216 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0199455 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0132917 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00408424 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.211283 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.19898 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.0274285 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0207516 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0351775 # DEPENDENCYPART_SIBL
(1,20),(1,22),0.012041 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0558709 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.173464 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0694103 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00978284 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00889437 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0501931 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.02425 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.083589 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0237261 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0489428 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0486427 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0694103 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0803723 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0139331 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00291369 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0365274 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.105674 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00637658 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0286498 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00613654 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0156883 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0500305 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0207151 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0263338 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00797245 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0616649 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00637658 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0575713 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0646929 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0422554 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00973224 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.00695274 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.092313 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0604985 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.194562 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.118779 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.124212 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0709146 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0765139 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0105688 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0129099 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.223287 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0427554 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0907788 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.236652 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0489202 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.03504 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0363794 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0582683 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0356918 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0305449 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0143429 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00567057 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00744236 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0443608 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0480946 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0321639 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0294431 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.025041 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0297868 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0662534 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0428281 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0195125 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0236208 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0137756 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.000360313 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00668521 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0338346 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0181068 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0191387 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.010899 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0482328 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0273033 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0588126 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00449203 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0615671 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0599745 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.046873 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.01476 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00772165 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0166584 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0178063 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0334992 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0681728 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0737374 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0438993 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0110234 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0536849 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00882873 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0359164 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0441908 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.00999635 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0339442 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0110333 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0153701 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00728509 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0370387 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0314671 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0128302 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.00179782 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0284786 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.107612 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0441774 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00243477 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.00258661 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0228652 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0450151 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0860344 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.00340412 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.00310659 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0227751 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0138811 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.03026 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.00165853 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.00759685 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.00561833 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0255019 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0038824 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0265331 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.042862 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0129138 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0021887 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.223287 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0427554 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0907788 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.236652 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0489202 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.011162 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0102976 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0685803 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.0100046 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.031766 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0320596 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.0248451 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0655193 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0080588 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.0136542 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.233681 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.090185 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0603505 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0770083 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0111927 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.153248 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.151606 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.038767 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0178641 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0184734 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0150564 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.153248 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0778903 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0924582 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.240906 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.102904 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00417916 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0852874 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0909224 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0339245 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00301197 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00627731 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.00186005 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0852874 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0123857 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.446567 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0634471 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0445152 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0888147 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0888036 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00907367 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0243518 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0352149 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0393964 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0888149 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.121566 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0604898 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00269061 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0431885 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0498897 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0301635 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0683244 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0147338 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00824286 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0431885 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0215003 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00742477 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0126523 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0126519 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0467295 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00738955 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0140656 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0117782 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0126524 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0109875 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0160151 # DEPENDENCYPART_SIBL
