# _root_ A kávéházak és a passzázsokból kialakított bevásárlóudvarok zsúfolásig tömve vannak , mintha csak azt szeretnék bizonyítani , hogy itt Argentínához és Uruguayhoz hasonlóan igen is erős középosztály van .
#goldHeads=2,9,9,5,6,7,9,9,10,0,10,10,16,16,10,15,15,15,28,23,23,23,28,25,28,27,28,14,10,
#predictedHeads=2,10,10,5,6,7,10,10,10,0,10,10,16,16,10,15,15,15,28,28,28,23,28,25,26,27,28,14,10,
(10,24),-1.26344 # DEPENDENCYPART_ARC
(10,25),-1.27204 # DEPENDENCYPART_ARC
(10,26),-1.95278 # DEPENDENCYPART_ARC
(10,28),-1.2048 # DEPENDENCYPART_ARC
(10,29),-1.30362 # DEPENDENCYPART_ARC
(12,3),-0.996535 # DEPENDENCYPART_ARC
(12,5),-1.46695 # DEPENDENCYPART_ARC
(12,6),-0.953553 # DEPENDENCYPART_ARC
(12,7),-1.22618 # DEPENDENCYPART_ARC
(12,8),-0.975186 # DEPENDENCYPART_ARC
(12,10),-1.87988 # DEPENDENCYPART_ARC
(12,11),0.40481 # DEPENDENCYPART_ARC
(12,13),-1.02544 # DEPENDENCYPART_ARC
(12,15),-0.518735 # DEPENDENCYPART_ARC
(12,16),-1.13002 # DEPENDENCYPART_ARC
(12,17),-0.999578 # DEPENDENCYPART_ARC
(12,18),-0.978959 # DEPENDENCYPART_ARC
(12,28),-1.69777 # DEPENDENCYPART_ARC
(12,29),-0.657356 # DEPENDENCYPART_ARC
(13,10),-1.31058 # DEPENDENCYPART_ARC
(13,12),-0.662056 # DEPENDENCYPART_ARC
(14,9),-1.56722 # DEPENDENCYPART_ARC
(14,10),-0.5889 # DEPENDENCYPART_ARC
(14,11),-1.04965 # DEPENDENCYPART_ARC
(14,12),-1.02288 # DEPENDENCYPART_ARC
(14,13),-0.392682 # DEPENDENCYPART_ARC
(14,15),0.942714 # DEPENDENCYPART_ARC
(14,16),-0.132452 # DEPENDENCYPART_ARC
(14,17),0.406023 # DEPENDENCYPART_ARC
(14,18),0.225852 # DEPENDENCYPART_ARC
(14,19),-0.547861 # DEPENDENCYPART_ARC
(14,20),-0.719215 # DEPENDENCYPART_ARC
(14,21),0.345634 # DEPENDENCYPART_ARC
(14,22),-0.645011 # DEPENDENCYPART_ARC
(14,23),-0.472412 # DEPENDENCYPART_ARC
(14,26),-0.218009 # DEPENDENCYPART_ARC
(14,27),-0.176587 # DEPENDENCYPART_ARC
(14,28),0.711281 # DEPENDENCYPART_ARC
(14,29),-1.22457 # DEPENDENCYPART_ARC
(15,2),-1.19837 # DEPENDENCYPART_ARC
(15,3),-0.149072 # DEPENDENCYPART_ARC
(15,5),-0.736596 # DEPENDENCYPART_ARC
(15,6),-2.30682 # DEPENDENCYPART_ARC
(15,7),-0.93866 # DEPENDENCYPART_ARC
(15,8),-1.15218 # DEPENDENCYPART_ARC
(15,9),-0.543569 # DEPENDENCYPART_ARC
(15,10),-0.514833 # DEPENDENCYPART_ARC
(15,11),-0.26637 # DEPENDENCYPART_ARC
(15,12),0.197397 # DEPENDENCYPART_ARC
(15,13),1.10752 # DEPENDENCYPART_ARC
(15,14),1.78869 # DEPENDENCYPART_ARC
(15,16),2.45894 # DEPENDENCYPART_ARC
(15,17),0.825012 # DEPENDENCYPART_ARC
(15,18),1.61512 # DEPENDENCYPART_ARC
(15,19),-0.558869 # DEPENDENCYPART_ARC
(15,20),-1.20113 # DEPENDENCYPART_ARC
(15,21),-0.170329 # DEPENDENCYPART_ARC
(15,22),-2.01046 # DEPENDENCYPART_ARC
(15,23),-0.23409 # DEPENDENCYPART_ARC
(15,24),-0.737343 # DEPENDENCYPART_ARC
(15,25),-0.643824 # DEPENDENCYPART_ARC
(15,26),-1.27219 # DEPENDENCYPART_ARC
(15,27),-2.59291 # DEPENDENCYPART_ARC
(15,28),-0.746485 # DEPENDENCYPART_ARC
(15,29),-0.671939 # DEPENDENCYPART_ARC
(16,2),-1.6878 # DEPENDENCYPART_ARC
(16,3),-0.778527 # DEPENDENCYPART_ARC
(16,5),-0.602204 # DEPENDENCYPART_ARC
(16,6),-0.652233 # DEPENDENCYPART_ARC
(16,7),-1.3248 # DEPENDENCYPART_ARC
(16,8),0.202722 # DEPENDENCYPART_ARC
(16,9),-0.5369 # DEPENDENCYPART_ARC
(16,10),-1.67911 # DEPENDENCYPART_ARC
(16,11),-0.572055 # DEPENDENCYPART_ARC
(16,12),-0.487104 # DEPENDENCYPART_ARC
(16,13),0.795831 # DEPENDENCYPART_ARC
(16,14),1.79952 # DEPENDENCYPART_ARC
(16,15),0.309076 # DEPENDENCYPART_ARC
(16,17),-0.109061 # DEPENDENCYPART_ARC
(16,18),-0.243071 # DEPENDENCYPART_ARC
(16,19),-1.18502 # DEPENDENCYPART_ARC
(16,20),-1.3376 # DEPENDENCYPART_ARC
(16,21),-1.13986 # DEPENDENCYPART_ARC
(16,22),-2.18279 # DEPENDENCYPART_ARC
(16,23),-0.919758 # DEPENDENCYPART_ARC
(16,24),-1.51469 # DEPENDENCYPART_ARC
(16,25),-1.4363 # DEPENDENCYPART_ARC
(16,26),-1.04116 # DEPENDENCYPART_ARC
(16,27),-2.56611 # DEPENDENCYPART_ARC
(16,28),-1.19485 # DEPENDENCYPART_ARC
(16,29),-1.72131 # DEPENDENCYPART_ARC
(18,6),-1.60437 # DEPENDENCYPART_ARC
(18,7),-2.45958 # DEPENDENCYPART_ARC
(18,8),-2.05042 # DEPENDENCYPART_ARC
(18,10),-3.05296 # DEPENDENCYPART_ARC
(18,11),-1.6795 # DEPENDENCYPART_ARC
(18,12),-0.869777 # DEPENDENCYPART_ARC
(18,13),-0.880731 # DEPENDENCYPART_ARC
(18,14),-1.38987 # DEPENDENCYPART_ARC
(18,15),-2.31455 # DEPENDENCYPART_ARC
(18,16),-1.16369 # DEPENDENCYPART_ARC
(18,17),0.177395 # DEPENDENCYPART_ARC
(18,26),-1.85262 # DEPENDENCYPART_ARC
(18,28),-0.698146 # DEPENDENCYPART_ARC
(18,29),-0.532069 # DEPENDENCYPART_ARC
(19,18),-0.531964 # DEPENDENCYPART_ARC
(19,20),-0.834582 # DEPENDENCYPART_ARC
(19,22),-1.07998 # DEPENDENCYPART_ARC
(19,27),-1.60071 # DEPENDENCYPART_ARC
(20,22),-1.6591 # DEPENDENCYPART_ARC
(21,9),-2.22254 # DEPENDENCYPART_ARC
(21,10),-0.987207 # DEPENDENCYPART_ARC
(21,11),-1.52736 # DEPENDENCYPART_ARC
(21,12),-1.30104 # DEPENDENCYPART_ARC
(21,14),-2.56671 # DEPENDENCYPART_ARC
(21,15),-0.842244 # DEPENDENCYPART_ARC
(21,16),-1.6258 # DEPENDENCYPART_ARC
(21,17),-0.797775 # DEPENDENCYPART_ARC
(21,18),-0.642467 # DEPENDENCYPART_ARC
(21,19),-0.832646 # DEPENDENCYPART_ARC
(21,20),-0.519012 # DEPENDENCYPART_ARC
(21,22),-1.01745 # DEPENDENCYPART_ARC
(21,23),-1.4734 # DEPENDENCYPART_ARC
(21,24),-1.20227 # DEPENDENCYPART_ARC
(21,25),-1.31642 # DEPENDENCYPART_ARC
(21,26),-1.65834 # DEPENDENCYPART_ARC
(21,27),-1.51958 # DEPENDENCYPART_ARC
(21,28),-1.15401 # DEPENDENCYPART_ARC
(21,29),-1.66935 # DEPENDENCYPART_ARC
(22,20),-0.81768 # DEPENDENCYPART_ARC
(22,21),-0.0849708 # DEPENDENCYPART_ARC
(22,26),-1.34206 # DEPENDENCYPART_ARC
(22,27),-1.29141 # DEPENDENCYPART_ARC
(23,7),-3.38458 # DEPENDENCYPART_ARC
(23,8),-2.42387 # DEPENDENCYPART_ARC
(23,13),-1.49922 # DEPENDENCYPART_ARC
(23,14),-1.36036 # DEPENDENCYPART_ARC
(23,18),-0.785829 # DEPENDENCYPART_ARC
(23,19),-0.641137 # DEPENDENCYPART_ARC
(23,20),-0.288129 # DEPENDENCYPART_ARC
(23,21),-0.115182 # DEPENDENCYPART_ARC
(23,22),0.894612 # DEPENDENCYPART_ARC
(23,26),-1.42175 # DEPENDENCYPART_ARC
(23,27),-1.52175 # DEPENDENCYPART_ARC
(24,23),0.633955 # DEPENDENCYPART_ARC
(24,27),-1.05211 # DEPENDENCYPART_ARC
(24,28),-1.05239 # DEPENDENCYPART_ARC
(25,23),0.0869027 # DEPENDENCYPART_ARC
(25,24),0.974232 # DEPENDENCYPART_ARC
(25,27),-0.773164 # DEPENDENCYPART_ARC
(26,19),-1.00655 # DEPENDENCYPART_ARC
(26,20),-0.498332 # DEPENDENCYPART_ARC
(26,21),-0.614296 # DEPENDENCYPART_ARC
(26,22),-0.105157 # DEPENDENCYPART_ARC
(26,23),-0.173607 # DEPENDENCYPART_ARC
(26,25),0.69025 # DEPENDENCYPART_ARC
(27,6),-2.0935 # DEPENDENCYPART_ARC
(27,17),-0.736426 # DEPENDENCYPART_ARC
(27,19),-1.37541 # DEPENDENCYPART_ARC
(27,20),-1.55809 # DEPENDENCYPART_ARC
(27,21),-0.843476 # DEPENDENCYPART_ARC
(27,22),-0.852994 # DEPENDENCYPART_ARC
(27,23),-1.80087 # DEPENDENCYPART_ARC
(27,24),-0.451338 # DEPENDENCYPART_ARC
(27,25),-0.019101 # DEPENDENCYPART_ARC
(27,26),2.18616 # DEPENDENCYPART_ARC
(28,2),-1.55138 # DEPENDENCYPART_ARC
(28,3),-0.587558 # DEPENDENCYPART_ARC
(28,5),-1.66923 # DEPENDENCYPART_ARC
(28,7),-1.61279 # DEPENDENCYPART_ARC
(28,8),-1.16824 # DEPENDENCYPART_ARC
(28,9),-1.48156 # DEPENDENCYPART_ARC
(28,10),-1.18212 # DEPENDENCYPART_ARC
(28,11),-1.0655 # DEPENDENCYPART_ARC
(28,12),-0.892191 # DEPENDENCYPART_ARC
(28,13),-1.12739 # DEPENDENCYPART_ARC
(28,14),-1.54874 # DEPENDENCYPART_ARC
(28,15),-0.286349 # DEPENDENCYPART_ARC
(28,16),-0.195047 # DEPENDENCYPART_ARC
(28,17),-0.651869 # DEPENDENCYPART_ARC
(28,18),-0.504954 # DEPENDENCYPART_ARC
(28,19),0.161474 # DEPENDENCYPART_ARC
(28,20),0.149047 # DEPENDENCYPART_ARC
(28,21),0.580992 # DEPENDENCYPART_ARC
(28,22),0.191099 # DEPENDENCYPART_ARC
(28,23),0.550334 # DEPENDENCYPART_ARC
(28,24),-0.285912 # DEPENDENCYPART_ARC
(28,25),0.0404805 # DEPENDENCYPART_ARC
(28,26),0.0247269 # DEPENDENCYPART_ARC
(28,27),2.685 # DEPENDENCYPART_ARC
(28,29),0.0012079 # DEPENDENCYPART_ARC
(0,3),(0,9),-0.0696394 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.130186 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.192461 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0560196 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.12355 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.125051 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.197516 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0702434 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.226618 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0439346 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.0534275 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.139637 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.122057 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.109894 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0274173 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.113287 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.113852 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.108712 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0659606 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.120218 # DEPENDENCYPART_SIBL
(0,9),(0,24),-0.013852 # DEPENDENCYPART_SIBL
(0,9),(0,25),0.00660789 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.106989 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.223171 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.105229 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.248007 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.246365 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.265707 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.115018 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.221699 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0883892 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.101693 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.251354 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0534915 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.119126 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.120626 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.160026 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0686755 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.181756 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0367216 # DEPENDENCYPART_SIBL
(0,12),(0,25),-0.0470774 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.134841 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.113377 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.11331 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0658333 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0312144 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.119099 # DEPENDENCYPART_SIBL
(0,14),(0,24),0.00407622 # DEPENDENCYPART_SIBL
(0,14),(0,25),0.00758023 # DEPENDENCYPART_SIBL
(0,14),(0,28),-0.119152 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.246447 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.266792 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.115365 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.222061 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.0881827 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.104415 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.250915 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.267208 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.115356 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.223322 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0881827 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.104415 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.250037 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0857208 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.214429 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0561852 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0723347 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.14977 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.125394 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0138578 # DEPENDENCYPART_SIBL
(0,19),(0,25),0.00491936 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.104621 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0439346 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0534275 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.139637 # DEPENDENCYPART_SIBL
(0,24),(0,25),0.0173099 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.0695565 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.0776831 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0116838 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.12504 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00859441 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00769216 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.03515 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0214956 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0137743 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0136954 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0303561 # DEPENDENCYPART_SIBL
(3,1),(3,29),-0.0952526 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0477941 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.233831 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0259509 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.233831 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.233831 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00843313 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000560421 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0186051 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0231348 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.000975929 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.000905697 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.000560421 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0516048 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.00815188 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.044377 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0681968 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.057822 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0132294 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0720463 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0724688 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.0765897 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0413139 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00738485 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0462163 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0462163 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0473348 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00941697 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0595891 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0349825 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0622721 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0620674 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0425674 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.0584892 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0124792 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0124792 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0417528 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0157642 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0429505 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0269433 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0458664 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0460405 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0157642 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.0548272 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.056221 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0462163 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0473348 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00941697 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0595891 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0349825 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0622721 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0620674 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0425674 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0584892 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0473348 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00941697 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0595891 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0349825 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0622721 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0620674 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.0425674 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0584892 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.164974 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0252119 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.104084 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0132968 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0116878 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.164974 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.0165706 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.204043 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0555807 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.105545 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.177733 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.179189 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0651398 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.201497 # DEPENDENCYPART_SIBL
(3,11),(3,29),0.00726496 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0100924 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0844066 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0850044 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0245263 # DEPENDENCYPART_SIBL
(3,13),(3,28),-0.0819553 # DEPENDENCYPART_SIBL
