# _root_ A marseille-i és a párizsi , a Gare_de_l'Esten működő toborzóirodákban manapság sokszor többen jelentkeznek egy-egy nap , mint ahányat egyáltalán felvehetnek .
#goldHeads=2,10,10,5,10,10,8,9,10,14,14,14,14,0,16,14,14,14,21,21,14,14,
#predictedHeads=2,10,14,10,10,10,8,9,10,14,14,13,14,0,0,14,14,14,21,21,14,14,
(0,3),(0,12),-0.0681547 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0642281 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.12355 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0641414 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0672455 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.186626 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0581222 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0348716 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0352747 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0127804 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0127671 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0887234 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0127639 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0352751 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0801278 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0360482 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0887234 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0582448 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0415439 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0404371 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.107518 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0394506 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.058211 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.125563 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0527028 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.107518 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0295376 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0306239 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.114399 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0294944 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0583678 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.126368 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0615101 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.114399 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0125044 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.080587 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0122125 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0354902 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0930575 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0356144 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.080587 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0806457 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0122185 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0355039 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0966969 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0356281 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0806457 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.108683 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.113932 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.23804 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.113895 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.245466 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0354889 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0930575 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.0356131 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0805794 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.124608 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0581397 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.113897 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.052728 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.135549 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.113079 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0284901 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.000686448 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0287581 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00548556 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.00548556 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0375479 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0137052 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0759838 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0759838 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0202901 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.12504 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00858477 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00854567 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0432733 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0193618 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0273371 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0130756 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0361286 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0505264 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0391598 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0130756 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0952526 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0281179 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0853213 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0113718 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00894992 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0852498 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00894992 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0104598 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0241365 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0165458 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00509443 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00302142 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0113718 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.020818 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00634916 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.00509443 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0296997 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0443926 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0444167 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0525838 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0135703 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0130826 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0720463 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0495719 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0323412 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.052615 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0720463 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.0413139 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0160007 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0127742 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0376702 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0127742 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0395299 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00259866 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00313431 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0459856 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0365182 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0160007 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0162229 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0403342 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0459856 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0562175 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0670661 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.048723 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0670661 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0480333 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0648999 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0649597 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.185194 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0486609 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0651398 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.113625 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0479912 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.185194 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00726496 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00734265 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0462163 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0483106 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.020371 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0187468 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0601764 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0452663 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0520306 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0428085 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0601764 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0584892 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0125098 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.039473 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00258265 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00311829 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0458919 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0364613 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.015829 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0161522 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.0402773 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0458919 # DEPENDENCYPART_SIBL
(3,9),(3,22),0.0561043 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0483106 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.020371 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0187468 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0601764 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0452663 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0520306 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0428085 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0601764 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0584892 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0243232 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.024909 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0666857 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0589963 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00257314 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0619084 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0651859 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0666857 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.000132568 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.00506976 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.047736 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0393412 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.00122101 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0377358 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0425083 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.047736 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0177786 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0464811 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0380355 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.000766351 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0400616 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0412026 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0464811 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.016453 # DEPENDENCYPART_SIBL
(3,14),(3,16),0.0275057 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.16027 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0021596 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0245006 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.0160633 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.173438 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0135673 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0552577 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.056929 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0610973 # DEPENDENCYPART_SIBL
(3,16),(3,22),0.00815227 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.113625 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0479912 # DEPENDENCYPART_SIBL
(3,17),(3,21),0.185194 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.00726496 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0134041 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0491686 # DEPENDENCYPART_SIBL
(3,18),(3,22),0.0415905 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0633368 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.00461625 # DEPENDENCYPART_SIBL
(3,21),(3,22),0.173438 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.113914 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0509172 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.102494 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.229753 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.000880212 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0225869 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0225869 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.015516 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.015515 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00548556 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.00548556 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0375479 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.368101 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.229477 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0162773 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0225794 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0225794 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00672265 # DEPENDENCYPART_SIBL
