# _root_ Elismerte ugyanakkor , hogy kevés léket vágtak az őstó jégfelületén , de — hangsúlyozta — az egyesület álláspontja szerint nem ez volt a halpusztulás oka .
#goldHeads=12,1,1,1,6,7,1,9,10,7,12,0,14,12,14,17,18,19,22,22,22,14,24,25,22,12,
#predictedHeads=12,1,1,1,6,7,12,9,10,7,12,0,14,12,14,17,18,19,22,22,22,12,24,25,22,12,
(1,26),-0.894256 # DEPENDENCYPART_ARC
(2,1),-0.213972 # DEPENDENCYPART_ARC
(2,3),-0.805413 # DEPENDENCYPART_ARC
(2,6),-1.51395 # DEPENDENCYPART_ARC
(2,7),-1.35761 # DEPENDENCYPART_ARC
(2,14),-1.62716 # DEPENDENCYPART_ARC
(2,26),-1.86248 # DEPENDENCYPART_ARC
(4,1),-1.89294 # DEPENDENCYPART_ARC
(4,2),-0.12939 # DEPENDENCYPART_ARC
(4,3),0.267681 # DEPENDENCYPART_ARC
(4,5),-0.780018 # DEPENDENCYPART_ARC
(4,6),-1.39408 # DEPENDENCYPART_ARC
(4,7),-0.430093 # DEPENDENCYPART_ARC
(4,9),-1.76862 # DEPENDENCYPART_ARC
(4,10),-1.91988 # DEPENDENCYPART_ARC
(4,11),-1.10323 # DEPENDENCYPART_ARC
(4,12),-1.01069 # DEPENDENCYPART_ARC
(4,13),-0.878035 # DEPENDENCYPART_ARC
(4,14),-1.46181 # DEPENDENCYPART_ARC
(4,15),-1.06862 # DEPENDENCYPART_ARC
(4,22),-1.14515 # DEPENDENCYPART_ARC
(4,26),-0.850388 # DEPENDENCYPART_ARC
(5,1),-1.47021 # DEPENDENCYPART_ARC
(5,4),-0.411114 # DEPENDENCYPART_ARC
(5,22),-1.5176 # DEPENDENCYPART_ARC
(5,26),-1.20477 # DEPENDENCYPART_ARC
(6,1),-1.51575 # DEPENDENCYPART_ARC
(6,2),-0.81825 # DEPENDENCYPART_ARC
(6,3),-0.454271 # DEPENDENCYPART_ARC
(6,4),-0.194906 # DEPENDENCYPART_ARC
(6,5),2.14347 # DEPENDENCYPART_ARC
(6,9),-1.83182 # DEPENDENCYPART_ARC
(6,10),-2.42557 # DEPENDENCYPART_ARC
(6,19),-1.92885 # DEPENDENCYPART_ARC
(7,1),-0.766385 # DEPENDENCYPART_ARC
(7,2),0.0452115 # DEPENDENCYPART_ARC
(7,3),-0.193384 # DEPENDENCYPART_ARC
(7,4),-0.332866 # DEPENDENCYPART_ARC
(7,5),-0.359275 # DEPENDENCYPART_ARC
(7,6),2.04201 # DEPENDENCYPART_ARC
(7,8),-0.880083 # DEPENDENCYPART_ARC
(7,9),0.369691 # DEPENDENCYPART_ARC
(7,10),1.92326 # DEPENDENCYPART_ARC
(7,11),0.165826 # DEPENDENCYPART_ARC
(7,12),0.116907 # DEPENDENCYPART_ARC
(7,13),-0.500338 # DEPENDENCYPART_ARC
(7,14),-0.168435 # DEPENDENCYPART_ARC
(7,15),-0.821229 # DEPENDENCYPART_ARC
(7,17),-2.70731 # DEPENDENCYPART_ARC
(7,18),-2.48757 # DEPENDENCYPART_ARC
(7,19),-1.34652 # DEPENDENCYPART_ARC
(7,20),-1.34105 # DEPENDENCYPART_ARC
(7,21),-2.38787 # DEPENDENCYPART_ARC
(7,22),-0.546454 # DEPENDENCYPART_ARC
(7,24),-3.29312 # DEPENDENCYPART_ARC
(7,25),-2.3437 # DEPENDENCYPART_ARC
(7,26),-0.691601 # DEPENDENCYPART_ARC
(9,5),-0.980117 # DEPENDENCYPART_ARC
(9,7),-0.493189 # DEPENDENCYPART_ARC
(9,8),1.70431 # DEPENDENCYPART_ARC
(10,1),-2.83927 # DEPENDENCYPART_ARC
(10,2),-1.85955 # DEPENDENCYPART_ARC
(10,3),-1.4203 # DEPENDENCYPART_ARC
(10,4),-1.34679 # DEPENDENCYPART_ARC
(10,5),-0.660147 # DEPENDENCYPART_ARC
(10,6),-3.14633 # DEPENDENCYPART_ARC
(10,7),-2.37323 # DEPENDENCYPART_ARC
(10,8),0.101615 # DEPENDENCYPART_ARC
(10,9),2.81978 # DEPENDENCYPART_ARC
(10,11),-0.813541 # DEPENDENCYPART_ARC
(10,12),-1.72069 # DEPENDENCYPART_ARC
(10,13),-1.1627 # DEPENDENCYPART_ARC
(10,14),-1.67062 # DEPENDENCYPART_ARC
(10,19),-1.87429 # DEPENDENCYPART_ARC
(10,22),-2.0119 # DEPENDENCYPART_ARC
(12,1),-0.253358 # DEPENDENCYPART_ARC
(12,2),-1.59122 # DEPENDENCYPART_ARC
(12,3),-0.949135 # DEPENDENCYPART_ARC
(12,4),-0.382649 # DEPENDENCYPART_ARC
(12,5),-1.05665 # DEPENDENCYPART_ARC
(12,6),-1.92582 # DEPENDENCYPART_ARC
(12,7),0.527041 # DEPENDENCYPART_ARC
(12,8),-1.20394 # DEPENDENCYPART_ARC
(12,9),-0.916741 # DEPENDENCYPART_ARC
(12,10),-1.07838 # DEPENDENCYPART_ARC
(12,11),0.561005 # DEPENDENCYPART_ARC
(12,13),-0.303533 # DEPENDENCYPART_ARC
(12,14),0.169326 # DEPENDENCYPART_ARC
(12,15),-0.632556 # DEPENDENCYPART_ARC
(12,17),-1.75216 # DEPENDENCYPART_ARC
(12,18),-1.73057 # DEPENDENCYPART_ARC
(12,19),-1.49073 # DEPENDENCYPART_ARC
(12,20),-1.5687 # DEPENDENCYPART_ARC
(12,21),-1.91117 # DEPENDENCYPART_ARC
(12,22),-0.655965 # DEPENDENCYPART_ARC
(12,24),-2.12507 # DEPENDENCYPART_ARC
(12,25),-2.11621 # DEPENDENCYPART_ARC
(12,26),0.0136132 # DEPENDENCYPART_ARC
(14,1),-0.550585 # DEPENDENCYPART_ARC
(14,2),-1.09168 # DEPENDENCYPART_ARC
(14,3),-0.549537 # DEPENDENCYPART_ARC
(14,4),-0.403458 # DEPENDENCYPART_ARC
(14,5),-1.20699 # DEPENDENCYPART_ARC
(14,6),0.052053 # DEPENDENCYPART_ARC
(14,7),-0.335609 # DEPENDENCYPART_ARC
(14,8),-1.30281 # DEPENDENCYPART_ARC
(14,9),0.104455 # DEPENDENCYPART_ARC
(14,10),0.314618 # DEPENDENCYPART_ARC
(14,11),0.285662 # DEPENDENCYPART_ARC
(14,12),0.595079 # DEPENDENCYPART_ARC
(14,13),0.878348 # DEPENDENCYPART_ARC
(14,15),0.635162 # DEPENDENCYPART_ARC
(14,16),-1.24616 # DEPENDENCYPART_ARC
(14,17),-0.703585 # DEPENDENCYPART_ARC
(14,18),-0.531204 # DEPENDENCYPART_ARC
(14,19),-0.174503 # DEPENDENCYPART_ARC
(14,20),-0.533037 # DEPENDENCYPART_ARC
(14,21),-1.72594 # DEPENDENCYPART_ARC
(14,22),0.491487 # DEPENDENCYPART_ARC
(14,24),-2.14821 # DEPENDENCYPART_ARC
(14,25),-1.75881 # DEPENDENCYPART_ARC
(14,26),-0.0492368 # DEPENDENCYPART_ARC
(16,15),-0.62477 # DEPENDENCYPART_ARC
(17,8),-1.80786 # DEPENDENCYPART_ARC
(17,16),1.79607 # DEPENDENCYPART_ARC
(18,9),-1.07152 # DEPENDENCYPART_ARC
(18,10),-4.3542 # DEPENDENCYPART_ARC
(18,11),-1.64352 # DEPENDENCYPART_ARC
(18,12),-1.14186 # DEPENDENCYPART_ARC
(18,13),-1.37309 # DEPENDENCYPART_ARC
(18,14),-1.48731 # DEPENDENCYPART_ARC
(18,15),-0.742533 # DEPENDENCYPART_ARC
(18,16),-0.0878801 # DEPENDENCYPART_ARC
(18,17),2.84566 # DEPENDENCYPART_ARC
(18,25),-2.0764 # DEPENDENCYPART_ARC
(19,3),-0.955621 # DEPENDENCYPART_ARC
(19,6),-1.73618 # DEPENDENCYPART_ARC
(19,9),-1.62273 # DEPENDENCYPART_ARC
(19,10),-1.09465 # DEPENDENCYPART_ARC
(19,11),-0.83598 # DEPENDENCYPART_ARC
(19,12),-0.906271 # DEPENDENCYPART_ARC
(19,13),-0.976302 # DEPENDENCYPART_ARC
(19,15),-0.662535 # DEPENDENCYPART_ARC
(19,16),-0.88014 # DEPENDENCYPART_ARC
(19,17),0.51931 # DEPENDENCYPART_ARC
(19,18),2.5933 # DEPENDENCYPART_ARC
(19,24),-1.59285 # DEPENDENCYPART_ARC
(19,25),-1.6343 # DEPENDENCYPART_ARC
(20,6),-1.81573 # DEPENDENCYPART_ARC
(20,10),-1.80965 # DEPENDENCYPART_ARC
(20,13),-1.15786 # DEPENDENCYPART_ARC
(20,15),-1.07564 # DEPENDENCYPART_ARC
(20,17),-0.776527 # DEPENDENCYPART_ARC
(20,18),-0.72629 # DEPENDENCYPART_ARC
(20,19),-0.125025 # DEPENDENCYPART_ARC
(20,22),-0.772335 # DEPENDENCYPART_ARC
(20,24),-1.23876 # DEPENDENCYPART_ARC
(20,25),-1.32615 # DEPENDENCYPART_ARC
(20,26),-1.18334 # DEPENDENCYPART_ARC
(21,4),-1.01667 # DEPENDENCYPART_ARC
(21,7),-0.521397 # DEPENDENCYPART_ARC
(21,11),-1.26739 # DEPENDENCYPART_ARC
(21,12),-1.18251 # DEPENDENCYPART_ARC
(21,14),-0.277459 # DEPENDENCYPART_ARC
(21,17),-1.46809 # DEPENDENCYPART_ARC
(21,18),-1.51504 # DEPENDENCYPART_ARC
(21,19),-1.07285 # DEPENDENCYPART_ARC
(21,20),-0.243239 # DEPENDENCYPART_ARC
(21,22),0.103859 # DEPENDENCYPART_ARC
(21,24),-0.689796 # DEPENDENCYPART_ARC
(21,25),-0.707306 # DEPENDENCYPART_ARC
(21,26),-1.20316 # DEPENDENCYPART_ARC
(22,1),-1.4524 # DEPENDENCYPART_ARC
(22,2),-2.12437 # DEPENDENCYPART_ARC
(22,3),-0.739558 # DEPENDENCYPART_ARC
(22,4),-0.970619 # DEPENDENCYPART_ARC
(22,5),-2.10527 # DEPENDENCYPART_ARC
(22,6),-1.93339 # DEPENDENCYPART_ARC
(22,7),-1.31835 # DEPENDENCYPART_ARC
(22,9),-1.5669 # DEPENDENCYPART_ARC
(22,10),-1.27568 # DEPENDENCYPART_ARC
(22,11),-0.680041 # DEPENDENCYPART_ARC
(22,12),-0.347159 # DEPENDENCYPART_ARC
(22,13),-0.707352 # DEPENDENCYPART_ARC
(22,14),-0.82171 # DEPENDENCYPART_ARC
(22,15),-0.161345 # DEPENDENCYPART_ARC
(22,16),-1.57937 # DEPENDENCYPART_ARC
(22,17),0.0846798 # DEPENDENCYPART_ARC
(22,18),0.316174 # DEPENDENCYPART_ARC
(22,19),0.966362 # DEPENDENCYPART_ARC
(22,20),1.22402 # DEPENDENCYPART_ARC
(22,21),1.87237 # DEPENDENCYPART_ARC
(22,23),-1.01077 # DEPENDENCYPART_ARC
(22,24),0.617494 # DEPENDENCYPART_ARC
(22,25),1.1001 # DEPENDENCYPART_ARC
(22,26),-0.38978 # DEPENDENCYPART_ARC
(24,16),-1.70651 # DEPENDENCYPART_ARC
(24,20),-1.79685 # DEPENDENCYPART_ARC
(24,21),-0.976203 # DEPENDENCYPART_ARC
(24,23),1.55615 # DEPENDENCYPART_ARC
(24,25),-1.4875 # DEPENDENCYPART_ARC
(25,17),-0.931808 # DEPENDENCYPART_ARC
(25,19),-1.69266 # DEPENDENCYPART_ARC
(25,20),-1.44405 # DEPENDENCYPART_ARC
(25,21),-1.35826 # DEPENDENCYPART_ARC
(25,23),0.155478 # DEPENDENCYPART_ARC
(25,24),2.98415 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.113676 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.266994 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.246091 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.252459 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.246093 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.108462 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.101154 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.241711 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.108149 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.115321 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.144933 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.115321 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.063594 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0324835 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.1193 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.130334 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.209056 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.13047 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0952971 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0595879 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.138225 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.251022 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.245468 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.108008 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.100922 # DEPENDENCYPART_SIBL
(0,7),(0,22),-0.241086 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.144282 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0801746 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.0444 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.150607 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.108468 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.101383 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.237918 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.036062 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.116955 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.1154 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00931587 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0288355 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0320831 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00841427 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0449328 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0216965 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00841427 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00841427 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00931587 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0819528 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0264109 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0434115 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0264109 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0134745 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.00894865 # DEPENDENCYPART_SIBL
(1,2),(1,19),9.71016e-05 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.00718667 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.00874527 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0366983 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.00091839 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0476769 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.80181 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0255023 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0601453 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.185743 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0618825 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0601453 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0601453 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0207464 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.146477 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0439036 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.19828 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0439036 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0497681 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0593593 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0126493 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.122413 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0156629 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.282485 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0721927 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.00914292 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00618666 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0270702 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.100566 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0486996 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0270702 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0270702 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0441698 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0057754 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0253994 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.101815 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0253994 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0311818 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.027605 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0339429 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.00450178 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0885556 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.0997685 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.0200805 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.0931603 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0222925 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0149321 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0224673 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0222925 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0222925 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00836836 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0191003 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00787077 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0134108 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.00787077 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0276025 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0228269 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0104573 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0114475 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0050515 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.00216571 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.0184162 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.00226219 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0395104 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0209709 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0389258 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0389258 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0190687 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.058334 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0116577 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.03956 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0116577 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0439779 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0400535 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0207778 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0165747 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.051496 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0213257 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.0319851 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.0438244 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0124549 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0153536 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0153536 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0484458 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.00711385 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0393886 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0118252 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0393886 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0205403 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.015891 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0589253 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.0209072 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0147702 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.00564703 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0115764 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.0131422 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0474952 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0474952 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0262686 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0328782 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.00133404 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.000506558 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.00133404 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0432141 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0469608 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.00629755 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.0138677 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.010118 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.00523969 # DEPENDENCYPART_SIBL
(1,8),(1,25),0.0514018 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.0262127 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0389258 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0190687 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.058334 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0116577 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.03956 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0116577 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0439779 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0400535 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0207778 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0165747 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.051496 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.0213257 # DEPENDENCYPART_SIBL
(1,9),(1,25),-0.0319851 # DEPENDENCYPART_SIBL
(1,9),(1,26),-0.0438244 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0190687 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.058334 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0116577 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.03956 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0116577 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0439779 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0400535 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0207778 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.0165747 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.051496 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0213257 # DEPENDENCYPART_SIBL
(1,10),(1,25),-0.0319851 # DEPENDENCYPART_SIBL
(1,10),(1,26),-0.0438244 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.146477 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0439036 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.19828 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0439036 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0497681 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0593593 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0126493 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.122413 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0156629 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.282485 # DEPENDENCYPART_SIBL
(1,11),(1,25),0.0721927 # DEPENDENCYPART_SIBL
(1,11),(1,26),0.00914292 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0250334 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0358953 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0250334 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.00579882 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.00937564 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0330685 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0154646 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0596564 # DEPENDENCYPART_SIBL
(1,12),(1,22),-0.0358653 # DEPENDENCYPART_SIBL
(1,12),(1,25),0.0169 # DEPENDENCYPART_SIBL
(1,12),(1,26),-0.0509157 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0187294 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.151508 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.01889 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.025385 # DEPENDENCYPART_SIBL
