# _root_ Ám 1996-ban született egy újabb rendelet , amely alapján a díj magasabb lett , mint amennyit a szegedi orvosegyetem előzőleg kifizetett .
#goldHeads=3,3,0,6,6,3,3,9,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
#predictedHeads=3,3,0,6,6,3,3,13,13,11,13,13,3,13,13,21,19,19,21,21,13,3,
(11,9),-2.40824 # DEPENDENCYPART_ARC
(11,10),1.77323 # DEPENDENCYPART_ARC
(11,12),-1.36332 # DEPENDENCYPART_ARC
(11,21),-1.53628 # DEPENDENCYPART_ARC
(12,1),-1.09657 # DEPENDENCYPART_ARC
(12,2),-1.69964 # DEPENDENCYPART_ARC
(12,3),-2.05652 # DEPENDENCYPART_ARC
(12,6),-2.54358 # DEPENDENCYPART_ARC
(12,7),-1.06025 # DEPENDENCYPART_ARC
(12,8),-1.19737 # DEPENDENCYPART_ARC
(12,9),-1.28313 # DEPENDENCYPART_ARC
(12,10),-0.73198 # DEPENDENCYPART_ARC
(12,11),-0.304179 # DEPENDENCYPART_ARC
(12,14),-1.0137 # DEPENDENCYPART_ARC
(12,15),-1.40708 # DEPENDENCYPART_ARC
(12,19),-2.06965 # DEPENDENCYPART_ARC
(12,21),-1.46856 # DEPENDENCYPART_ARC
(12,22),-1.35825 # DEPENDENCYPART_ARC
(13,1),0.206595 # DEPENDENCYPART_ARC
(13,2),0.131405 # DEPENDENCYPART_ARC
(13,3),-0.333119 # DEPENDENCYPART_ARC
(13,4),-1.12844 # DEPENDENCYPART_ARC
(13,5),-0.831999 # DEPENDENCYPART_ARC
(13,6),-0.128375 # DEPENDENCYPART_ARC
(13,7),0.0268487 # DEPENDENCYPART_ARC
(13,8),1.23542 # DEPENDENCYPART_ARC
(13,9),2.09557 # DEPENDENCYPART_ARC
(13,10),-0.899577 # DEPENDENCYPART_ARC
(13,11),1.56122 # DEPENDENCYPART_ARC
(13,12),1.74333 # DEPENDENCYPART_ARC
(13,14),0.653915 # DEPENDENCYPART_ARC
(13,15),1.869 # DEPENDENCYPART_ARC
(13,16),-1.16682 # DEPENDENCYPART_ARC
(13,17),-1.85756 # DEPENDENCYPART_ARC
(13,18),-1.21388 # DEPENDENCYPART_ARC
(13,19),-1.48172 # DEPENDENCYPART_ARC
(13,20),-1.05135 # DEPENDENCYPART_ARC
(13,21),-0.111732 # DEPENDENCYPART_ARC
(13,22),-0.888042 # DEPENDENCYPART_ARC
(15,1),-0.995989 # DEPENDENCYPART_ARC
(15,3),-3.396 # DEPENDENCYPART_ARC
(15,5),-1.313 # DEPENDENCYPART_ARC
(15,6),-1.68204 # DEPENDENCYPART_ARC
(15,7),-1.99208 # DEPENDENCYPART_ARC
(15,8),-1.22778 # DEPENDENCYPART_ARC
(15,9),-1.10364 # DEPENDENCYPART_ARC
(15,11),-0.793008 # DEPENDENCYPART_ARC
(15,12),-0.438632 # DEPENDENCYPART_ARC
(15,13),-2.11579 # DEPENDENCYPART_ARC
(15,14),0.179007 # DEPENDENCYPART_ARC
(15,18),-1.25216 # DEPENDENCYPART_ARC
(15,19),-1.44065 # DEPENDENCYPART_ARC
(15,20),-1.44298 # DEPENDENCYPART_ARC
(15,21),-0.577704 # DEPENDENCYPART_ARC
(15,22),-0.253233 # DEPENDENCYPART_ARC
(16,18),-0.871978 # DEPENDENCYPART_ARC
(16,19),-0.656247 # DEPENDENCYPART_ARC
(17,18),-0.719885 # DEPENDENCYPART_ARC
(18,8),-2.6695 # DEPENDENCYPART_ARC
(18,15),-1.28055 # DEPENDENCYPART_ARC
(18,16),-1.10477 # DEPENDENCYPART_ARC
(18,17),-0.563268 # DEPENDENCYPART_ARC
(19,2),-3.63265 # DEPENDENCYPART_ARC
(19,4),-1.82252 # DEPENDENCYPART_ARC
(19,10),-1.57208 # DEPENDENCYPART_ARC
(19,11),-2.21262 # DEPENDENCYPART_ARC
(19,12),-1.29663 # DEPENDENCYPART_ARC
(19,13),-1.00479 # DEPENDENCYPART_ARC
(19,14),-1.24237 # DEPENDENCYPART_ARC
(19,15),-0.952991 # DEPENDENCYPART_ARC
(19,16),-1.22515 # DEPENDENCYPART_ARC
(19,17),1.36921 # DEPENDENCYPART_ARC
(19,18),2.3815 # DEPENDENCYPART_ARC
(19,20),-1.26126 # DEPENDENCYPART_ARC
(20,3),-1.40896 # DEPENDENCYPART_ARC
(20,7),-1.43872 # DEPENDENCYPART_ARC
(20,9),-1.68666 # DEPENDENCYPART_ARC
(20,13),-1.26101 # DEPENDENCYPART_ARC
(20,14),-1.13692 # DEPENDENCYPART_ARC
(20,15),-1.01272 # DEPENDENCYPART_ARC
(20,18),-0.852669 # DEPENDENCYPART_ARC
(20,19),-0.118505 # DEPENDENCYPART_ARC
(20,22),-1.45191 # DEPENDENCYPART_ARC
(21,1),-0.0995344 # DEPENDENCYPART_ARC
(21,2),-0.409803 # DEPENDENCYPART_ARC
(21,3),-1.01778 # DEPENDENCYPART_ARC
(21,5),-2.06187 # DEPENDENCYPART_ARC
(21,6),-1.55241 # DEPENDENCYPART_ARC
(21,7),-0.87391 # DEPENDENCYPART_ARC
(21,8),-0.651658 # DEPENDENCYPART_ARC
(21,9),0.0709934 # DEPENDENCYPART_ARC
(21,10),-2.04546 # DEPENDENCYPART_ARC
(21,11),-0.750142 # DEPENDENCYPART_ARC
(21,12),-1.28936 # DEPENDENCYPART_ARC
(21,13),-0.935204 # DEPENDENCYPART_ARC
(21,14),-0.427452 # DEPENDENCYPART_ARC
(21,15),-0.37443 # DEPENDENCYPART_ARC
(21,16),0.179692 # DEPENDENCYPART_ARC
(21,17),-1.35889 # DEPENDENCYPART_ARC
(21,18),-0.481457 # DEPENDENCYPART_ARC
(21,19),1.72814 # DEPENDENCYPART_ARC
(21,20),2.45457 # DEPENDENCYPART_ARC
(21,22),-0.181068 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0556148 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.118848 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0756674 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.12265 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.159432 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.123867 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0842803 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0354658 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0809376 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0930824 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.08228 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.110555 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.234113 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.237481 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.241511 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.107507 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.125571 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.108059 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.23754 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.240917 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.135917 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0316236 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0194809 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0123419 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0174299 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0103464 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.012342 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0194808 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0219214 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0174299 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0263859 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0123419 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0230035 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.030144 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0131843 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.031464 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0922552 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.189445 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0909468 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0922607 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0314602 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0355211 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.189445 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0116329 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0922609 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0475206 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0169705 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.111113 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.012386 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0131548 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0142597 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0123855 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0235998 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0149755 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0131548 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00204493 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0123865 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0114829 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0208017 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0449771 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0282497 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0124115 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.013137 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0310606 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0169565 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0282497 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0235241 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0126916 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.0120888 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.024432 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.00322254 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.105292 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.113651 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.072017 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.279765 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0138679 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.148612 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.11413 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.099712 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.230111 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0265323 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0144777 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0286708 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0175444 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0210918 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0239959 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0140323 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0118772 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0250127 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.00473875 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0311141 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0169434 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.027728 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0235164 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0126443 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.01208 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0244117 # DEPENDENCYPART_SIBL
(1,11),(1,22),-0.00379289 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0162112 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.00973867 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.00209007 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0135596 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0114454 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.0220374 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.0454678 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.216483 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0241848 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.113911 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.0589811 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.032701 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.140723 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.148612 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.11413 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.099712 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.230111 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.0265323 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.0342167 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00219302 # DEPENDENCYPART_SIBL
(1,15),(1,21),-0.0330567 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.0363086 # DEPENDENCYPART_SIBL
(1,19),(1,20),-0.01208 # DEPENDENCYPART_SIBL
(1,19),(1,21),-0.0244114 # DEPENDENCYPART_SIBL
(1,19),(1,22),-0.00322231 # DEPENDENCYPART_SIBL
(1,20),(1,21),-0.0381185 # DEPENDENCYPART_SIBL
(1,20),(1,22),-0.0142062 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.100766 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0387773 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0456167 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0154128 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0492764 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0402549 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0492764 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0431389 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0961209 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00665505 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00221612 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0940273 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0414923 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0940273 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0353347 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.1075 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00791299 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0251543 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.052972 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0251543 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0553439 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0290013 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0656561 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0566665 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0656561 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0577221 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00151271 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.400406 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0111852 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.371439 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.067871 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.100915 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.037225 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.122464 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.371439 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.067871 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.110183 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0080296 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0174891 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0154073 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00290918 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0101736 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0308592 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0261197 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0160427 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0150494 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0242867 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00290918 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0144359 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0102905 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0126706 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0154067 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0164495 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.00921929 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0376475 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0169251 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0132968 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0137685 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0159263 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.000690947 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.00486312 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0114459 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0151147 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0161422 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0137685 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00821019 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00187868 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0127352 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0132974 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0454484 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0124996 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.00998995 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0273557 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0098085 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00506553 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0406694 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.038721 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0282991 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0457255 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00245147 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0098085 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0220527 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0177607 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0418311 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0273536 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0285951 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0274387 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0110015 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0286432 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0596445 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0440418 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0622715 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0295941 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00763611 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00765904 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0286432 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0187106 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.033968 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0136218 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0277593 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0192473 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0208611 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.00399701 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0855844 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0504441 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.140408 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0870635 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.063601 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.324043 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0120435 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.454266 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0342212 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0728779 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.088959 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.106643 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.230365 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0771433 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0379302 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.117143 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0520061 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.114056 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0232979 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0514423 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.074398 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.027907 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.117934 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0529818 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0606507 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0010234 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.0370048 # DEPENDENCYPART_SIBL
