# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(22,17),-0.0600741 # DEPENDENCYPART_ARC
(22,18),0.241616 # DEPENDENCYPART_ARC
(22,19),-0.542002 # DEPENDENCYPART_ARC
(22,20),1.60408 # DEPENDENCYPART_ARC
(22,21),2.46801 # DEPENDENCYPART_ARC
(22,23),-1.43137 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0638021 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.066328 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.108504 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0290816 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0332422 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.109382 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0719927 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.114331 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0327055 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0332786 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0323772 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0960062 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.115033 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0239294 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0245032 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0352556 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0967434 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.133219 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.133229 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.110168 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.256456 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0631239 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0348999 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0801538 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0355831 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0807457 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.109382 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00907785 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00860255 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00331961 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00907785 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0285178 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.428627 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.342981 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00482316 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0787788 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0763263 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.166552 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.212081 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.103086 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0485651 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0787788 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.23047 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00454476 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.075794 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0159472 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.075794 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00422585 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.075794 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.075794 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00987927 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0193174 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0176588 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0946848 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0176588 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0234338 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0176588 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0176588 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.003771 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0136421 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0694459 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0136421 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0192275 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0136421 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0136421 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0371885 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00657174 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0195231 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00232048 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0195231 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0195231 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0180543 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0106896 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.197217 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0106896 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0106896 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0194835 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00232048 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0195231 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0195231 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0180543 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0130594 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0130594 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0131713 # DEPENDENCYPART_SIBL
(4,19),(4,22),-0.0195231 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0180543 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.0180543 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.367034 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.158477 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0269132 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.192199 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.193992 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0305209 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.193992 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0272321 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.101702 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0304685 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0035159 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.114774 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.121986 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.064355 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.121986 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00763228 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0642981 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00565296 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.14072 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.203576 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0149377 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.203576 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0182281 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.195998 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0307629 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00247578 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0806321 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.00247578 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0352753 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0576761 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.049004 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0301579 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.049004 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0270552 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.0831772 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0301388 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0265967 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.00905297 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0146208 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00379334 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.200453 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.087121 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00905297 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.0146208 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0336591 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0168754 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00396124 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.122962 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0596708 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0168448 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0157181 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0487227 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0163398 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0222951 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.017872 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0487227 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00200765 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0499301 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0178779 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0154364 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0487228 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0178767 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0200156 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0487227 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.0785759 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0893939 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.107902 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0322542 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0324298 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0289215 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0385541 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0457564 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0105917 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0334862 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0385541 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.00611663 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0397615 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0335066 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0286119 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0385541 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0333016 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0347615 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0385541 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.00676353 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.190845 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0137338 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0220899 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0236226 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0679598 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00716233 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0307211 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0210456 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0679598 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0168687 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0691672 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0210362 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0234815 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0679598 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0210403 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0189052 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0679598 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.021742 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0585019 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000164791 # DEPENDENCYPART_SIBL
(6,4),(6,8),9.99026e-05 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0299411 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0641799 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.102864 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00258695 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0299411 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0498331 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0331141 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.00259494 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0022272 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0299411 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.00252707 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0101737 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0299411 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0908124 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0387336 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0393297 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.020059 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0281111 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0615389 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.041827 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.020059 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0945456 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0251975 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0418349 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0370128 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.020059 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.041767 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0553918 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.020059 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0224251 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0165443 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00894718 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0346052 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0592608 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0134822 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00894718 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0441095 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0110943 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0134683 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0134684 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.00894718 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0134733 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0107381 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.00894718 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.0355329 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0109127 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0353739 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.058264 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0149633 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0109127 # DEPENDENCYPART_SIBL
